gene_oid	gene_length	percent_identity	query_start	query_end	subj_start	subj_end	evalue	bit_score	ko_id	ko_name	EC	img_ko_flag
2785712218	391	100	1	391	1	391	0.0e+00	875	KO:K02498	HemY protein		
2785712219	390	100	1	390	1	390	0.0e+00	852	KO:K02496	uroporphyrin-III C-methyltransferase [EC:2.1.1.107]	EC:2.1.1.107	
2785712220	243	100	1	243	1	243	0.0e+00	533	KO:K01719	uroporphyrinogen-III synthase [EC:4.2.1.75]	EC:4.2.1.75	
2785712221	312	100	1	312	1	312	0.0e+00	697	KO:K01749	hydroxymethylbilane synthase [EC:2.5.1.61]	EC:2.5.1.61	
2785712222	353	100	1	353	1	353	0.0e+00	800	KO:K21022	diguanylate cyclase [EC:2.7.7.65]	EC:2.7.7.65	
2785712223	223	100	1	223	1	223	0.0e+00	518	KO:K06999	phospholipase/carboxylesterase		
2785712224	213	100	1	213	1	213	0.0e+00	481	KO:K00942	guanylate kinase [EC:2.7.4.8]	EC:2.7.4.8	
2785712225	90	100	1	90	1	90	4.3e-55	196	KO:K03060	DNA-directed RNA polymerase subunit omega [EC:2.7.7.6]	EC:2.7.7.6	
2785712226	703	100	1	703	1	703	0.0e+00	1600	KO:K01139	GTP diphosphokinase / guanosine-3',5'-bis(diphosphate) 3'-diphosphatase [EC:2.7.6.5 3.1.7.2]	EC:2.7.6.5	
2785712226	703	100	1	703	1	703	0.0e+00	1600	KO:K01139	GTP diphosphokinase / guanosine-3',5'-bis(diphosphate) 3'-diphosphatase [EC:2.7.6.5 3.1.7.2]	EC:3.1.7.2	
2785712228	235	100	1	235	1	235	0.0e+00	545	KO:K00556	tRNA (guanosine-2'-O-)-methyltransferase [EC:2.1.1.34]	EC:2.1.1.34	
2785712229	690	100	1	690	1	690	0.0e+00	1570	KO:K03655	ATP-dependent DNA helicase RecG [EC:5.6.2.4]	EC:5.6.2.4	
2785712230	258	100	1	258	1	258	0.0e+00	588	KO:K15984	16S rRNA (guanine1516-N2)-methyltransferase [EC:2.1.1.242]	EC:2.1.1.242	
2785712231	157	100	1	157	1	157	2.0e-109	357	KO:K24138	glutaredoxin/glutathione-dependent peroxiredoxin [EC:1.11.1.25 1.11.1.27]	EC:1.11.1.25	
2785712231	157	100	1	157	1	157	2.0e-109	357	KO:K24138	glutaredoxin/glutathione-dependent peroxiredoxin [EC:1.11.1.25 1.11.1.27]	EC:1.11.1.27	
2785712233	344	100	1	344	1	344	0.0e+00	777	KO:K02012	iron(III) transport system substrate-binding protein		
2785712234	506	100	1	506	1	506	0.0e+00	1110	KO:K02011	iron(III) transport system permease protein		
2785712235	343	100	1	343	1	343	0.0e+00	782	KO:K02010	iron(III) transport system ATP-binding protein [EC:7.2.2.7]	EC:7.2.2.7	
2785712237	223	100	1	223	1	223	0.0e+00	509	KO:K07275	outer membrane protein		
2785712240	395	100	1	395	1	395	0.0e+00	892	KO:K21973	blue light- and temperature-responsive anti-repressor		
2785712241	519	48.66	10	513	10	526	0.0e+00	559	KO:K18968	diguanylate cyclase [EC:2.7.7.65]	EC:2.7.7.65	
2785712242	294	100	1	294	1	294	0.0e+00	672	KO:K05596	LysR family transcriptional regulator, chromosome initiation inhibitor		
2785712243	200	100	1	200	1	200	0.0e+00	454	KO:K06895	L-lysine exporter family protein LysE/ArgO		
2785712244	105	100	1	105	1	105	1.5e-70	241	KO:K11741	quaternary ammonium compound-resistance protein SugE		
2785712247	381	100	1	381	1	381	0.0e+00	840	KO:K03585	membrane fusion protein, multidrug efflux system		
2785712248	1032	100	1	1032	1	1032	0.0e+00	2280	KO:K18138	multidrug efflux pump		
2785712254	493	100	1	493	1	493	0.0e+00	1060	KO:K03406	methyl-accepting chemotaxis protein		
2785712257	204	100	1	204	1	204	0.0e+00	479	KO:K01497	GTP cyclohydrolase II [EC:3.5.4.25]	EC:3.5.4.25	
2785712260	222	100	1	222	1	222	0.0e+00	515	KO:K00799	glutathione S-transferase [EC:2.5.1.18]	EC:2.5.1.18	
2785712261	613	100	1	613	1	613	0.0e+00	1390	KO:K03654	ATP-dependent DNA helicase RecQ [EC:5.6.2.4]	EC:5.6.2.4	
2785712263	445	100	1	445	1	445	0.0e+00	984	KO:K06213	magnesium transporter		
2785712264	304	100	1	304	1	304	0.0e+00	682	KO:K05786	chloramphenicol-sensitive protein RarD		
2785712266	723	100	1	723	1	723	0.0e+00	1660	KO:K03657	ATP-dependent DNA helicase UvrD/PcrA [EC:5.6.2.4]	EC:5.6.2.4	
2785712267	268	100	1	268	1	268	0.0e+00	605	KO:K00640	serine O-acetyltransferase [EC:2.3.1.30]	EC:2.3.1.30	
2785712268	502	100	1	502	1	502	0.0e+00	1110	KO:K21019	diguanylate cyclase [EC:2.7.7.65]	EC:2.7.7.65	
2785712269	246	100	1	246	1	246	0.0e+00	559	KO:K20862	FMN hydrolase / 5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase [EC:3.1.3.102 3.1.3.104]	EC:3.1.3.102	
2785712269	246	100	1	246	1	246	0.0e+00	559	KO:K20862	FMN hydrolase / 5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase [EC:3.1.3.102 3.1.3.104]	EC:3.1.3.104	
2785712270	306	100	1	306	1	306	0.0e+00	696	KO:K03733	integrase/recombinase XerC		
2785712271	231	100	1	231	1	231	0.0e+00	510	KO:K09921	uncharacterized protein		
2785712272	276	100	1	276	1	276	0.0e+00	644	KO:K01778	diaminopimelate epimerase [EC:5.1.1.7]	EC:5.1.1.7	
2785712273	416	100	1	416	1	416	0.0e+00	947	KO:K01586	diaminopimelate decarboxylase [EC:4.1.1.20]	EC:4.1.1.20	
2785712276	172	100	1	172	1	172	6.7e-122	394	KO:K19302	undecaprenyl-diphosphatase [EC:3.6.1.27]	EC:3.6.1.27	
2785712277	161	100	1	161	1	161	1.6e-112	367	KO:K02553	regulator of ribonuclease activity A		
2785712278	413	100	1	413	1	413	0.0e+00	964	KO:K02027	multiple sugar transport system substrate-binding protein		
2785712279	269	100	1	269	1	269	0.0e+00	635	KO:K05986	nuclease S1 [EC:3.1.30.1]	EC:3.1.30.1	
2785712280	210	100	1	210	1	210	0.0e+00	475	KO:K03186	flavin prenyltransferase [EC:2.5.1.129]	EC:2.5.1.129	
2785712281	452	100	1	452	1	452	0.0e+00	1060	KO:K02558	UDP-N-acetylmuramate: L-alanyl-gamma-D-glutamyl-meso-diaminopimelate ligase [EC:6.3.2.45]	EC:6.3.2.45	
2785712282	325	100	1	325	1	325	0.0e+00	754	KO:K03841	fructose-1,6-bisphosphatase I [EC:3.1.3.11]	EC:3.1.3.11	
2785712283	176	100	1	176	1	176	4.2e-126	407	KO:K01507	inorganic pyrophosphatase [EC:3.6.1.1]	EC:3.6.1.1	
2785712284	161	100	1	161	1	161	1.2e-117	381	KO:K09950	uncharacterized protein		
2785712285	315	100	1	315	1	315	0.0e+00	708	KO:K01714	4-hydroxy-tetrahydrodipicolinate synthase [EC:4.3.3.7]	EC:4.3.3.7	
2785712287	139	100	1	139	1	139	2.1e-99	327	KO:K07107	acyl-CoA thioester hydrolase [EC:3.1.2.-]	EC:3.1.2.-	
2785712289	411	100	1	411	1	411	0.0e+00	936	KO:K03797	carboxyl-terminal processing protease [EC:3.4.21.102]	EC:3.4.21.102	
2785712290	500	100	1	500	1	500	0.0e+00	1130	KO:K04046	hypothetical chaperone protein		
2785712292	943	100	1	943	1	943	0.0e+00	2150	KO:K03701	excinuclease ABC subunit A		
2785712296	287	100	1	287	1	287	0.0e+00	646	KO:K06889	uncharacterized protein		
2785712297	333	100	1	333	1	333	0.0e+00	743	KO:K02529	LacI family transcriptional regulator, galactose operon repressor		
2785712298	339	100	1	339	1	339	0.0e+00	795	KO:K01785	aldose 1-epimerase [EC:5.1.3.3]	EC:5.1.3.3	
2785712299	351	100	1	351	1	351	0.0e+00	850	KO:K00965	UDPglucose--hexose-1-phosphate uridylyltransferase [EC:2.7.7.12]	EC:2.7.7.12	
2785712300	379	100	1	379	1	379	0.0e+00	855	KO:K00849	galactokinase [EC:2.7.1.6]	EC:2.7.1.6	
2785712301	520	100	1	520	1	520	0.0e+00	1170	KO:K03307	solute:Na+ symporter, SSS family		
2785712302	194	100	1	194	1	194	0.0e+00	470	KO:K03111	single-strand DNA-binding protein		
2785712305	709	100	1	709	1	709	0.0e+00	1680	KO:K07407	alpha-galactosidase [EC:3.2.1.22]	EC:3.2.1.22	
2785712306	484	100	1	484	1	484	0.0e+00	1090	KO:K03307	solute:Na+ symporter, SSS family		
2785712307	914	100	1	914	1	914	0.0e+00	2080	KO:K02014	iron complex outermembrane recepter protein		
2785712308	494	100	1	494	1	494	0.0e+00	1140	KO:K00864	glycerol kinase [EC:2.7.1.30]	EC:2.7.1.30	
2785712309	252	100	1	252	1	252	0.0e+00	570	KO:K02444	DeoR family transcriptional regulator, glycerol-3-phosphate regulon repressor		
2785712310	515	100	1	515	1	515	0.0e+00	1180	KO:K00111	glycerol-3-phosphate dehydrogenase [EC:1.1.5.3]	EC:1.1.5.3	
2785712313	304	100	1	304	1	304	0.0e+00	674	KO:K12279	MSHA biogenesis protein MshI		
2785712314	208	100	1	208	1	208	0.0e+00	461	KO:K12279	MSHA biogenesis protein MshI		
2785712315	215	100	1	215	1	215	0.0e+00	476	KO:K12280	MSHA biogenesis protein MshJ		
2785712316	106	100	1	106	1	106	4.4e-67	231	KO:K12281	MSHA biogenesis protein MshK		
2785712317	582	100	1	582	1	582	0.0e+00	1290	KO:K12282	MSHA biogenesis protein MshL		
2785712318	300	100	1	300	1	300	0.0e+00	678	KO:K12283	MSHA biogenesis protein MshM		
2785712319	408	100	1	408	1	408	0.0e+00	891	KO:K12284	MSHA biogenesis protein MshN		
2785712320	570	100	1	570	1	570	0.0e+00	1270	KO:K12276	MSHA biogenesis protein MshE		
2785712321	411	100	1	411	1	411	0.0e+00	900	KO:K12278	MSHA biogenesis protein MshG		
2785712324	405	100	1	405	1	405	0.0e+00	934	KO:K07493	putative transposase		
2785712325	170	66.67	1	168	1	161	3.8e-66	235	KO:K10924	MSHA pilin protein MshA		
2785712326	153	100	1	153	1	153	3.7e-106	348	KO:K10926	MSHA pilin protein MshC		
2785712327	184	100	1	184	1	184	0.0e+00	425	KO:K10927	MSHA pilin protein MshD		
2785712328	251	86.45	1	251	1	251	0.0e+00	486	KO:K12285	MSHA biogenesis protein MshO		
2785712329	151	63.82	1	151	1	152	6.6e-59	213	KO:K12286	MSHA biogenesis protein MshP		
2785712330	1230	100	1	1230	1	1230	0.0e+00	2840	KO:K12287	MSHA biogenesis protein MshQ		
2785712331	347	100	1	347	1	347	0.0e+00	771	KO:K03569	rod shape-determining protein MreB and related proteins		
2785712332	300	100	1	300	1	300	0.0e+00	661	KO:K03570	rod shape-determining protein MreC		
2785712333	158	100	1	158	1	158	1.4e-113	369	KO:K03571	rod shape-determining protein MreD		
2785712334	196	100	1	196	1	196	0.0e+00	431	KO:K06287	nucleoside triphosphate pyrophosphatase [EC:3.6.1.-]	EC:3.6.1.-	
2785712335	488	100	1	488	1	488	0.0e+00	1090	KO:K08301	ribonuclease G [EC:3.1.26.-]	EC:3.1.26.-	
2785712337	272	100	1	272	1	272	0.0e+00	622	KO:K11206	deaminated glutathione amidase [EC:3.5.1.128]	EC:3.5.1.128	
2785712338	480	100	1	480	1	480	0.0e+00	1090	KO:K03568	TldD protein		
2785712340	185	100	1	185	1	185	1.4e-130	420	KO:K09889	ribosome-associated protein		
2785712341	443	100	1	443	1	443	0.0e+00	993	KO:K03592	PmbA protein		
2785712343	1039	100	1	1039	1	1039	0.0e+00	2490	KO:K01190	beta-galactosidase [EC:3.2.1.23]	EC:3.2.1.23	
2785712344	235	100	1	235	1	235	0.0e+00	539	KO:K07773	two-component system, OmpR family, aerobic respiration control protein ArcA		
2785712346	474	100	1	474	1	474	0.0e+00	1110	KO:K00703	starch synthase [EC:2.4.1.21]	EC:2.4.1.21	
2785712347	360	100	1	360	1	360	0.0e+00	825	KO:K00564	16S rRNA (guanine1207-N2)-methyltransferase [EC:2.1.1.172]	EC:2.1.1.172	
2785712348	239	100	1	239	1	239	0.0e+00	559	KO:K03439	tRNA (guanine-N7-)-methyltransferase [EC:2.1.1.33]	EC:2.1.1.33	
2785712350	355	100	1	355	1	355	0.0e+00	836	KO:K03575	A/G-specific adenine glycosylase [EC:3.2.2.31]	EC:3.2.2.31	
2785712363	252	100	1	252	1	252	0.0e+00	574	KO:K07448	restriction system protein		
2785712365	97	38.89	12	97	15	104	3.4e-14	80.1	KO:K06993	ribonuclease H-related protein		
2785712369	297	100	1	297	1	297	0.0e+00	662	KO:K04763	integrase/recombinase XerD		
2785712373	549	100	1	549	1	549	0.0e+00	1260	KO:K07459	putative ATP-dependent endonuclease of the OLD family		
2785712378	426	100	1	426	1	426	0.0e+00	919	KO:K15725	outer membrane protein, heavy metal efflux system		
2785712379	393	100	1	393	1	393	0.0e+00	867	KO:K15727	membrane fusion protein, heavy metal efflux system		
2785712380	1035	100	1	1035	1	1035	0.0e+00	2260	KO:K15726	heavy metal efflux system protein		
2785712381	292	100	1	292	1	292	0.0e+00	664	KO:K16264	cobalt-zinc-cadmium efflux system protein		
2785712383	135	100	1	135	1	135	1.6e-88	295	KO:K00901	diacylglycerol kinase (ATP) [EC:2.7.1.107]	EC:2.7.1.107	
2785712384	535	100	1	535	1	535	0.0e+00	1230	KO:K03760	lipid A ethanolaminephosphotransferase [EC:2.7.8.43]	EC:2.7.8.43	
2785712394	1048	100	1	1048	1	1048	0.0e+00	2280	KO:K15726	heavy metal efflux system protein		
2785712395	412	100	1	412	1	412	0.0e+00	924	KO:K15727	membrane fusion protein, heavy metal efflux system		
2785712396	429	100	1	429	1	429	0.0e+00	924	KO:K15725	outer membrane protein, heavy metal efflux system		
2785712399	429	100	1	429	1	429	0.0e+00	992	KO:K14059	integrase		
2785712400	269	56.52	60	266	6	212	2.3e-79	282	KO:K07025	putative hydrolase of the HAD superfamily		
2785712401	394	100	1	394	1	394	0.0e+00	851	KO:K03406	methyl-accepting chemotaxis protein		
2785712402	121	100	1	121	1	121	1.6e-82	277	KO:K03413	two-component system, chemotaxis family, chemotaxis protein CheY		
2785712403	697	100	1	697	1	697	0.0e+00	1550	KO:K03407	two-component system, chemotaxis family, sensor kinase CheA [EC:2.7.13.3]	EC:2.7.13.3	
2785712404	167	100	1	167	1	167	1.1e-113	371	KO:K03408	purine-binding chemotaxis protein CheW		
2785712405	966	100	1	966	1	966	0.0e+00	2160	KO:K03406	methyl-accepting chemotaxis protein		
2785712406	276	100	1	276	1	276	0.0e+00	638	KO:K00575	chemotaxis protein methyltransferase CheR [EC:2.1.1.80]	EC:2.1.1.80	
2785712407	209	100	1	209	1	209	0.0e+00	480	KO:K03411	chemotaxis protein CheD [EC:3.5.1.44]	EC:3.5.1.44	
2785712408	348	100	1	348	1	348	0.0e+00	781	KO:K03412	two-component system, chemotaxis family, protein-glutamate methylesterase/glutaminase [EC:3.1.1.61 3.5.1.44]	EC:3.1.1.61	
2785712408	348	100	1	348	1	348	0.0e+00	781	KO:K03412	two-component system, chemotaxis family, protein-glutamate methylesterase/glutaminase [EC:3.1.1.61 3.5.1.44]	EC:3.5.1.44	
2785712409	403	100	1	403	1	403	0.0e+00	863	KO:K03406	methyl-accepting chemotaxis protein		
2785712410	121	100	1	121	1	121	2.8e-81	273	KO:K03413	two-component system, chemotaxis family, chemotaxis protein CheY		
2785712411	653	100	1	653	1	653	0.0e+00	1450	KO:K03407	two-component system, chemotaxis family, sensor kinase CheA [EC:2.7.13.3]	EC:2.7.13.3	
2785712412	167	100	1	167	1	167	3.1e-113	369	KO:K03408	purine-binding chemotaxis protein CheW		
2785712413	768	100	1	768	1	768	0.0e+00	1700	KO:K03406	methyl-accepting chemotaxis protein		
2785712414	969	100	1	969	1	969	0.0e+00	2170	KO:K03406	methyl-accepting chemotaxis protein		
2785712415	277	100	1	277	1	277	0.0e+00	633	KO:K00575	chemotaxis protein methyltransferase CheR [EC:2.1.1.80]	EC:2.1.1.80	
2785712416	205	100	1	205	1	205	0.0e+00	476	KO:K03411	chemotaxis protein CheD [EC:3.5.1.44]	EC:3.5.1.44	
2785712417	348	100	1	348	1	348	0.0e+00	766	KO:K03412	two-component system, chemotaxis family, protein-glutamate methylesterase/glutaminase [EC:3.1.1.61 3.5.1.44]	EC:3.1.1.61	
2785712417	348	100	1	348	1	348	0.0e+00	766	KO:K03412	two-component system, chemotaxis family, protein-glutamate methylesterase/glutaminase [EC:3.1.1.61 3.5.1.44]	EC:3.5.1.44	
2785712419	223	100	1	223	1	223	0.0e+00	503	KO:K01560	2-haloacid dehalogenase [EC:3.8.1.2]	EC:3.8.1.2	
2785712420	442	90.72	1	442	1	442	0.0e+00	936	KO:K07495	putative transposase		
2785712421	752	100	1	752	1	752	0.0e+00	1750	KO:K02014	iron complex outermembrane recepter protein		
2785712424	507	100	1	507	1	507	0.0e+00	1180	KO:K01194	alpha,alpha-trehalase [EC:3.2.1.28]	EC:3.2.1.28	
2785712432	334	100	1	334	1	334	0.0e+00	742	KO:K05499	LacI family transcriptional regulator, repressor for deo operon, udp, cdd, tsx, nupC, and nupG		
2785712436	309	100	1	309	1	309	0.0e+00	720	KO:K01816	hydroxypyruvate isomerase [EC:5.3.1.22]	EC:5.3.1.22	
2785712437	561	100	1	561	1	561	0.0e+00	1340	KO:K26059	glucoside 3-dehydrogenase (cytochrome c) catalytic subunit [EC:1.1.2.11]	EC:1.1.2.11	
2785712438	205	100	1	205	1	205	0.0e+00	469	KO:K26060	glucoside 3-dehydrogenase (cytochrome c) hitch-hiker subunit		
2785712440	382	100	1	382	1	382	0.0e+00	849	KO:K19954	alcohol dehydrogenase [EC:1.1.1.-]	EC:1.1.1.-	
2785712446	462	100	1	462	1	462	0.0e+00	1070	KO:K00986	RNA-directed DNA polymerase [EC:2.7.7.49]	EC:2.7.7.49	
2785712447	333	100	1	333	1	333	0.0e+00	762	KO:K00826	branched-chain amino acid aminotransferase [EC:2.6.1.42]	EC:2.6.1.42	
2785712448	248	100	1	248	1	248	0.0e+00	580	KO:K01834	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]	EC:5.4.2.11	
2785712449	153	100	1	153	1	153	5.3e-113	367	KO:K09705	uncharacterized protein		
2785712450	905	100	1	905	1	905	0.0e+00	2080	KO:K27802	aconitate hydratase A / 2-methylisocitrate dehydratase [EC:4.2.1.3 4.2.1.99]	EC:4.2.1.3	
2785712450	905	100	1	905	1	905	0.0e+00	2080	KO:K27802	aconitate hydratase A / 2-methylisocitrate dehydratase [EC:4.2.1.3 4.2.1.99]	EC:4.2.1.99	
2785712453	103	100	1	103	1	103	3.4e-67	231	KO:K02946	small subunit ribosomal protein S10		
