gene_oid	gene_length	query_start	query_end	subj_start	subj_end	evalue	bit_score	pfam_id	pfam_name	pfam_length
2785712111	323	10	200	10	185	7.8e-27	91.9	pfam05621	TniB	189
2785712112	613	7	118	1	142	7.1e-09	34.4	pfam06527	TniQ	142
2785712113	275	40	172	7	119	2.0e-13	48.2	pfam06114	Peptidase_M78	123
2785712114	122	22	77	1	55	1.3e-08	32.7	pfam01381	HTH_3	55
2785712115	74	6	65	1	62	7.7e-26	88	pfam09954	DUF2188	62
2785712116	111	11	56	2	46	2.2e-15	54.3	pfam07411	DUF1508	48
2785712116	111	61	107	2	46	8.5e-17	58.8	pfam07411	DUF1508	48
2785712117	172	4	109	3	118	2.6e-10	38.6	pfam04970	LRAT	120
2785712123	692	6	550	2	535	0.0e+00	693	pfam02092	tRNA_synt_2f	536
2785712123	692	578	686	3	103	4.5e-14	50.5	pfam05746	DALR_1	117
2785712124	301	9	290	1	278	0.0e+00	505	pfam02091	tRNA-synt_2e	278
2785712125	202	18	193	1	176	1.4e-77	257.5	pfam03352	Adenine_glyco	177
2785712126	153	14	142	1	127	4.8e-42	141	pfam10675	DUF2489	130
2785712127	167	14	158	16	149	1.8e-34	116.7	pfam04220	YihI	155
2785712128	233	76	221	8	161	2.1e-20	71	pfam13489	Methyltransf_23	164
2785712129	207	24	107	2	88	8.5e-14	50.6	pfam00034	Cytochrom_C	90
2785712129	207	118	207	2	89	2.3e-11	42.8	pfam00034	Cytochrom_C	90
2785712130	211	26	144	1	113	7.1e-20	69.2	pfam01926	MMR_HSR1	113
2785712131	930	8	170	2	164	2.3e-61	204.2	pfam02739	5_3_exonuc_N	164
2785712131	930	171	273	1	96	1.3e-27	94.1	pfam01367	5_3_exonuc	97
2785712131	930	331	518	1	172	4.5e-39	132	pfam01612	DNA_pol_A_exo1	173
2785712131	930	550	928	2	381	0.0e+00	566.4	pfam00476	DNA_pol_A	381
2785712133	483	36	483	5	491	2.7e-97	324.2	pfam02386	TrkH	502
2785712134	459	3	125	1	116	2.7e-29	99.8	pfam02254	TrkA_N	116
2785712134	459	155	226	2	70	4.4e-10	37.3	pfam02080	TrkA_C	71
2785712134	459	235	350	1	116	1.5e-25	87.8	pfam02254	TrkA_N	116
2785712134	459	389	452	8	70	2.7e-11	41.2	pfam02080	TrkA_C	71
2785712135	439	10	132	8	133	4.9e-20	70.2	pfam01029	NusB	133
2785712135	439	149	222	2	73	2.3e-17	60.9	pfam22458	RsmF-B_ferredox	74
2785712135	439	243	435	2	198	4.7e-69	230	pfam01189	Methyltr_RsmB-F	199
2785712136	316	5	184	3	181	4.0e-56	187.6	pfam00551	Formyl_trans_N	181
2785712136	316	205	303	1	98	8.7e-32	107.3	pfam02911	Formyl_trans_C	100
2785712137	169	3	153	2	155	4.2e-54	180.3	pfam01327	Pep_deformylase	156
2785712138	365	45	92	1	42	2.1e-11	41.6	pfam01476	LysM	43
2785712139	369	73	282	6	211	2.1e-76	253.8	pfam02481	DNA_processg_A	212
2785712139	369	303	362	11	61	6.3e-09	33.7	pfam17782	DprA_WH	61
2785712140	158	1	158	1	153	4.3e-63	209.7	pfam04361	DUF494	153
2785712141	180	20	58	2	38	9.4e-15	52.1	pfam01396	zf-C4_Topoisom	39
2785712141	180	68	106	2	38	2.1e-16	57.4	pfam01396	zf-C4_Topoisom	39
2785712141	180	110	150	2	36	9.0e-13	45.8	pfam01396	zf-C4_Topoisom	39
2785712142	201	27	201	2	176	3.1e-45	151.8	pfam01300	Sua5_yciO_yrdC	178
2785712143	310	18	310	1	295	0.0e+00	449.6	pfam01218	Coprogen_oxidas	295
2785712144	226	26	226	1	195	3.2e-63	211.1	pfam03922	OmpW	195
2785712145	143	21	141	3	121	3.8e-30	102.5	pfam01152	Bac_globin	121
2785712146	253	1	68	19	83	8.4e-11	40	pfam08501	Shikimate_dh_N	83
2785712146	253	88	176	9	86	1.7e-13	48.8	pfam01488	Shikimate_DH	138
2785712146	253	218	248	1	28	3.0e-11	40.8	pfam18317	SDH_C	31
2785712148	188	91	124	1	32	2.9e-05	21.7	pfam14602	Hexapep_2	34
2785712149	347	164	316	199	346	3.6e-10	37.2	pfam02350	Epimerase_2	347
2785712156	176	38	175	4	136	6.7e-30	101.9	pfam09411	PagL	136
2785712159	1029	5	141	4	99	7.1e-12	43.9	pfam02811	PHP	164
2785712159	1029	270	525	1	260	4.3e-87	290	pfam07733	DNA_pol3_alpha	260
2785712159	1029	528	696	1	166	2.3e-55	184.4	pfam17657	DNA_pol3_finger	166
2785712159	1029	769	857	2	88	3.1e-16	57.3	pfam14579	HHH_6	90
2785712159	1029	938	1013	1	72	4.0e-08	31.1	pfam01336	tRNA_anti-codon	75
2785712160	513	51	193	17	145	4.2e-08	31.2	pfam00817	IMS	148
2785712163	583	43	573	1	532	0.0e+00	583.8	pfam05960	DUF885	532
2785712164	111	6	103	2	97	4.3e-39	130.9	pfam08850	DUF1820	97
2785712165	535	289	511	1	191	2.9e-45	152.3	pfam04389	Peptidase_M28	193
2785712166	131	20	60	1	35	1.7e-06	26	pfam13518	HTH_28	52
2785712167	255	90	188	5	102	8.3e-19	65.7	pfam00665	rve	102
2785712167	255	195	248	4	49	9.7e-06	23.6	pfam13333	rve_2	56
2785712168	195	13	59	16	45	1.7e-09	35.3	pfam00440	TetR_N	47
2785712168	195	79	194	1	113	1.2e-48	161.9	pfam22276	SlmA-like_C	117
2785712169	409	6	180	1	160	2.5e-35	119.4	pfam02441	Flavoprotein	162
2785712169	409	193	375	1	186	1.1e-72	241.7	pfam04127	DFP	186
2785712170	225	3	80	1	77	3.1e-28	95.7	pfam20582	UPF0758_N	77
2785712170	225	103	223	2	121	1.2e-43	145.9	pfam04002	RadC	121
2785712172	229	28	215	2	186	1.7e-28	97.5	pfam11102	YjbF	189
2785712173	249	22	144	5	122	1.1e-06	26.9	pfam20616	Caps_syn_GfcC_N	129
2785712173	249	158	247	14	88	2.4e-14	51.1	pfam06251	Caps_syn_GfcC_C	90
2785712174	700	35	694	1	657	0.0e+00	775.3	pfam06082	YjbH	658
2785712175	78	3	62	1	60	2.7e-28	95.7	pfam00830	Ribosomal_L28	60
2785712176	51	3	49	2	47	1.7e-19	67.9	pfam00471	Ribosomal_L33	47
2785712178	269	1	114	1	117	1.3e-36	123.7	pfam01149	Fapy_DNA_glyco	117
2785712178	269	129	221	1	91	8.1e-28	94.2	pfam06831	H2TH	93
2785712178	269	241	269	1	28	6.6e-11	39.8	pfam06827	zf-FPG_IleRS	30
2785712179	162	6	135	1	132	1.3e-33	114	pfam01467	CTP_transf_like	133
2785712180	240	31	235	2	207	8.4e-45	150.7	pfam06293	Kdo	207
2785712183	814	47	274	51	238	5.9e-07	27.2	pfam14827	dCache_3	239
2785712183	814	379	536	1	158	5.4e-48	160.7	pfam00990	GGDEF	161
2785712183	814	555	791	3	236	5.0e-76	253.1	pfam00563	EAL	236
2785712184	398	42	387	2	361	5.4e-73	244.2	pfam00155	Aminotran_1_2	361
2785712185	341	24	137	2	104	4.9e-30	101.8	pfam08240	ADH_N	104
2785712185	341	174	304	1	128	4.5e-32	108.7	pfam00107	ADH_zinc_N	129
2785712186	103	8	97	11	100	4.2e-19	66.9	pfam00581	Rhodanese	102
2785712187	287	2	80	4	76	6.1e-13	46.8	pfam12122	Rhomboid_N	86
2785712187	287	138	282	2	139	1.3e-25	88.3	pfam01694	Rhomboid	143
2785712188	137	32	135	1	103	2.0e-21	74.4	pfam03748	FliL	103
2785712189	204	26	195	5	166	1.6e-34	117	pfam04345	Chor_lyase	168
2785712190	285	23	273	1	244	3.5e-70	234.1	pfam01040	UbiA	250
2785712191	83	1	78	1	76	2.7e-30	102.6	pfam04380	BMFP	77
2785712192	671	3	266	1	271	5.0e-92	306.3	pfam00580	UvrD-helicase	271
2785712192	671	271	615	1	349	2.8e-77	258.4	pfam13361	UvrD_C	350
2785712193	866	50	193	4	133	2.0e-09	35.7	pfam13185	GAF_2	136
2785712193	866	247	392	3	136	4.0e-14	50.9	pfam13185	GAF_2	136
2785712193	866	443	601	1	160	7.1e-50	166.9	pfam00990	GGDEF	161
2785712193	866	620	856	2	233	3.5e-57	191.4	pfam00563	EAL	236
2785712194	135	54	131	3	68	8.4e-17	59.2	pfam13442	Cytochrome_CBB3	68
2785712196	470	161	455	1	303	8.9e-51	170.9	pfam03553	Na_H_antiporter	303
2785712197	589	28	521	2	483	0.0e+00	542.4	pfam02028	BCCT	485
2785712199	82	1	79	1	78	8.5e-33	110.6	pfam11173	DUF2960	79
2785712202	550	3	160	18	124	1.0e-12	46.1	pfam13489	Methyltransf_23	164
2785712202	550	434	482	3	53	2.6e-07	28.5	pfam13395	HNH_4	54
2785712203	697	58	159	2	107	8.6e-16	56.4	pfam07715	Plug	107
2785712203	697	230	668	13	436	2.1e-38	131.2	pfam00593	TonB_dep_Rec_b-barrel	436
2785712205	406	6	134	2	113	6.5e-12	43.8	pfam02771	Acyl-CoA_dh_N	113
2785712205	406	138	239	2	97	7.0e-19	65.8	pfam02770	Acyl-CoA_dh_M	97
2785712205	406	251	402	1	147	1.3e-34	117.5	pfam00441	Acyl-CoA_dh_1	150
2785712206	311	16	75	1	60	3.4e-17	60.1	pfam00126	HTH_1	60
2785712206	311	102	305	5	206	5.6e-17	59.7	pfam03466	LysR_substrate	209
2785712207	253	6	209	5	196	1.9e-18	65	pfam00753	Lactamase_B	196
2785712208	461	32	459	2	440	6.7e-78	260.5	pfam04317	DUF463	443
2785712209	364	229	364	6	135	1.7e-23	81.1	pfam05128	DUF697	162
2785712210	408	11	253	1	240	8.6e-59	196.8	pfam06738	ThrE	241
2785712210	408	273	401	3	128	2.9e-13	48.2	pfam12821	ThrE_2	129
2785712212	377	78	239	3	161	4.3e-17	60.7	pfam04055	Radical_SAM	166
2785712212	377	256	364	2	88	2.3e-15	54.5	pfam06968	BATS	88
2785712213	256	3	247	2	247	3.8e-108	358.4	pfam05690	ThiG	247
2785712214	69	5	69	2	76	8.0e-11	40.3	pfam02597	ThiS	76
2785712215	264	26	262	1	237	5.2e-54	180.8	pfam00899	ThiF	238
2785712216	533	28	271	1	235	5.6e-49	164.7	pfam08543	Phos_pyr_kin	246
2785712216	533	333	513	13	180	4.0e-52	174.2	pfam02581	TMP-TENI	180
2785712217	636	22	104	2	80	4.9e-30	101.2	pfam13667	ThiC-associated	81
2785712217	636	144	592	1	419	0.0e+00	624.9	pfam01964	ThiC_Rad_SAM	420
2785712218	391	29	134	1	105	1.1e-22	78.1	pfam07219	HemY_N	107
2785712219	390	148	382	2	235	2.4e-55	185.7	pfam04375	HemX	236
2785712220	243	12	235	4	231	1.3e-29	100.9	pfam02602	HEM4	231
2785712221	312	10	218	1	206	1.1e-88	294.1	pfam01379	Porphobil_deam	207
2785712221	312	229	300	2	73	6.3e-21	72.5	pfam03900	Porphobil_deamC	74
2785712222	353	194	350	1	161	4.8e-45	151.2	pfam00990	GGDEF	161
2785712223	223	7	222	8	216	1.5e-57	192.9	pfam02230	Abhydrolase_2	217
2785712224	213	6	191	4	181	4.3e-60	200.5	pfam00625	Guanylate_kin	182
2785712225	90	8	61	1	52	3.0e-21	73.2	pfam01192	RNA_pol_Rpb6	53
2785712226	703	26	176	2	155	2.5e-54	181.2	pfam13328	HD_4	156
2785712226	703	235	346	1	111	3.0e-42	141.4	pfam04607	RelA_SpoT	113
2785712226	703	388	447	1	60	6.9e-21	72	pfam02824	TGS	60
2785712226	703	458	555	2	86	7.8e-07	27.3	pfam19296	RelA_AH_RIS	185
2785712226	703	619	697	2	80	6.3e-17	60	pfam13291	ACT_4	80
2785712227	128	8	126	2	118	1.7e-39	132.6	pfam01042	Ribonuc_L-PSP	121
2785712228	235	19	158	2	142	6.5e-38	128	pfam00588	SpoU_methylase	142
2785712228	235	162	215	1	54	1.1e-20	71.1	pfam12105	SpoU_methylas_C	54
2785712229	690	8	171	2	159	9.8e-22	75.2	pfam17191	RecG_wedge	162
2785712229	690	267	435	3	164	1.3e-24	84.8	pfam00270	DEAD	167
2785712229	690	466	586	4	108	5.2e-19	66.5	pfam00271	Helicase_C	110
2785712229	690	613	683	2	62	7.5e-14	49.5	pfam19833	RecG_dom3_C	87
2785712230	258	23	255	11	229	5.8e-84	279	pfam04445	SAM_MT	230
2785712231	157	3	154	1	148	8.5e-34	114.4	pfam08534	Redoxin	148
2785712233	344	50	291	9	306	1.1e-08	33.4	pfam01547	SBP_bac_1	307
2785712234	506	58	242	1	171	1.6e-11	42.2	pfam00528	BPD_transp_1	184
2785712234	506	316	496	2	175	1.2e-18	65.4	pfam00528	BPD_transp_1	184
2785712235	343	17	155	2	136	6.7e-34	115.4	pfam00005	ABC_tran	137
2785712235	343	269	337	1	68	1.6e-07	29.3	pfam08402	TOBE_2	76
2785712236	393	4	392	2	243	3.0e-99	329.3	pfam03486	HI0933_like	244
2785712236	393	188	338	1	165	4.3e-43	144.9	pfam22780	HI0933_like_1st	165
2785712237	223	24	223	1	195	2.7e-63	211.4	pfam03922	OmpW	195
2785712240	395	2	93	1	91	2.1e-27	93	pfam04940	BLUF	92
2785712240	395	150	378	8	236	3.2e-48	162.1	pfam00563	EAL	236
2785712241	519	137	342	3	203	1.0e-14	52.9	pfam07695	7TMR-DISM_7TM	205
2785712241	519	357	514	1	159	2.0e-36	123.1	pfam00990	GGDEF	161
2785712242	294	4	62	2	59	3.8e-16	56.8	pfam00126	HTH_1	60
2785712242	294	85	290	7	201	1.6e-10	38.6	pfam03466	LysR_substrate	209
2785712243	200	14	200	3	190	7.6e-33	111.6	pfam01810	LysE	193
2785712244	105	1	94	1	93	2.3e-24	83.7	pfam00893	Multi_Drug_Res	93
2785712245	238	96	231	1	114	6.5e-26	89	pfam07386	DUF1499	114
2785712246	237	16	165	3	127	4.2e-35	118.7	pfam12339	DNAJ_related	127
2785712247	381	49	289	11	214	2.4e-17	60.9	pfam16576	HlyD_D23	214
2785712248	1032	1	1024	1	1020	0.0e+00	1268	pfam00873	ACR_tran	1021
2785712249	165	4	161	32	101	5.2e-08	31.7	pfam12697	Abhydrolase_6	217
2785712250	613	7	183	23	196	1.8e-20	71.8	pfam02550	AcetylCoA_hydro	198
2785712250	613	267	420	1	153	2.5e-67	223.6	pfam13336	AcetylCoA_hyd_C	154
2785712250	613	467	592	31	113	2.2e-09	35.6	pfam00583	Acetyltransf_1	116
2785712251	323	20	318	1	297	2.3e-82	274.6	pfam00850	Hist_deacetyl	298
2785712252	246	6	67	5	60	1.7e-06	26.1	pfam00462	Glutaredoxin	60
2785712252	246	114	243	10	126	3.2e-10	38.4	pfam07291	MauE	128
2785712253	172	114	172	2	59	2.0e-16	57.9	pfam20029	DUF6436	59
2785712254	493	275	460	2	170	2.6e-37	126.2	pfam00015	MCPsignal	172
2785712255	292	99	266	62	163	7.1e-08	30.2	pfam08443	RimK	188
2785712256	497	39	270	2	227	1.0e-76	255.4	pfam11737	DUF3300	227
2785712257	204	9	174	4	164	5.9e-64	212.5	pfam00925	GTP_cyclohydro2	165
2785712258	946	50	171	40	136	1.9e-06	25.9	pfam07696	7TMR-DISMED2	136
2785712258	946	410	512	10	103	9.1e-10	36.7	pfam13426	PAS_9	103
2785712258	946	524	679	1	161	1.6e-35	120.2	pfam00990	GGDEF	161
2785712258	946	700	937	3	236	4.6e-55	184.5	pfam00563	EAL	236
2785712260	222	1	75	6	76	4.3e-15	53.8	pfam02798	GST_N	76
2785712260	222	144	207	31	93	6.8e-07	27.4	pfam00043	GST_C	93
2785712261	613	34	199	3	162	1.3e-28	97.8	pfam00270	DEAD	167
2785712261	613	226	337	2	110	2.1e-23	80.7	pfam00271	Helicase_C	110
2785712261	613	348	410	2	66	5.3e-16	57.1	pfam16124	RecQ_Zn_bind	66
2785712261	613	412	524	1	109	1.6e-34	116.1	pfam09382	RQC	114
2785712261	613	538	605	3	68	1.4e-21	74.2	pfam00570	HRDC	68
2785712262	170	71	161	2	76	1.6e-12	45.5	pfam03061	4HBT	79
2785712263	445	31	132	5	102	4.9e-19	66.7	pfam03448	MgtE_N	102
2785712263	445	316	439	1	125	1.3e-34	117.1	pfam01769	MgtE	125
2785712264	304	9	147	2	135	1.4e-14	52.3	pfam00892	EamA	136
2785712265	425	128	241	1	104	3.8e-10	37.9	pfam00072	Response_reg	111
2785712265	425	257	408	1	161	8.6e-36	121.1	pfam00990	GGDEF	161
2785712266	723	10	273	1	270	1.4e-94	314.7	pfam00580	UvrD-helicase	271
2785712266	723	278	618	1	349	9.3e-84	279.7	pfam13361	UvrD_C	350
2785712266	723	675	722	2	48	2.1e-08	31.9	pfam21196	PcrA_UvrD_tudor	48
2785712267	268	10	114	2	104	5.7e-35	117.8	pfam06426	SATase_N	105
2785712267	268	194	229	1	35	3.6e-10	37.1	pfam00132	Hexapep	36
2785712268	502	46	335	8	258	1.1e-08	32.5	pfam05231	MASE1	299
2785712268	502	346	498	2	160	6.0e-37	124.8	pfam00990	GGDEF	161
2785712269	246	10	209	2	191	7.8e-16	57	pfam00702	Hydrolase	191
2785712270	306	15	95	1	81	5.5e-17	59.8	pfam02899	Phage_int_SAM_1	83
2785712270	306	116	291	2	172	3.8e-47	158.2	pfam00589	Phage_integrase	172
2785712271	231	18	229	3	215	7.4e-44	148	pfam04340	DUF484	219
2785712272	276	5	126	1	120	7.5e-36	120.8	pfam01678	DAP_epimerase	121
2785712272	276	153	269	3	121	3.3e-35	118.8	pfam01678	DAP_epimerase	121
2785712273	416	29	370	5	95	4.8e-27	92.1	pfam00278	Orn_DAP_Arg_deC	95
2785712273	416	34	281	2	247	3.7e-75	250.4	pfam02784	Orn_Arg_deC_N	247
2785712274	78	19	40	2	23	4.1e-07	27.6	pfam13627	LPAM_2	23
2785712275	355	1	303	1	319	1.2e-33	114.6	pfam13528	Glyco_trans_1_3	322
2785712276	172	58	172	5	123	7.9e-25	85.1	pfam01569	PAP2	130
2785712277	161	5	153	1	151	1.6e-37	127	pfam03737	RraA-like	152
2785712278	413	35	330	9	306	1.2e-35	121.9	pfam01547	SBP_bac_1	307
2785712279	269	28	265	1	258	6.4e-60	201.1	pfam02265	S1-P1_nuclease	258
2785712280	210	5	190	1	162	8.7e-44	146.9	pfam02441	Flavoprotein	162
2785712281	452	2	103	1	87	1.4e-20	71.4	pfam01225	Mur_ligase	95
2785712281	452	108	289	2	200	8.2e-21	72.8	pfam08245	Mur_ligase_M	200
2785712281	452	311	433	1	127	9.7e-21	72.9	pfam02875	Mur_ligase_C	127
2785712282	325	2	184	9	191	2.6e-49	165.4	pfam00316	FBPase	191
2785712282	325	188	322	1	125	5.6e-47	156.7	pfam18913	FBPase_C	127
2785712283	176	18	174	1	152	1.1e-59	198.6	pfam00719	Pyrophosphatase	153
2785712284	161	34	160	1	138	5.0e-44	147.7	pfam11736	DUF3299	139
2785712285	315	1	170	2	161	3.6e-21	73.1	pfam00701	DHDPS	289
2785712285	315	185	312	187	288	3.9e-08	30.3	pfam00701	DHDPS	289
2785712286	232	128	221	3	97	3.7e-12	45	pfam13640	2OG-FeII_Oxy_3	98
2785712287	139	13	129	1	121	7.0e-22	76.1	pfam13279	4HBT_2	122
2785712289	411	26	84	12	55	4.4e-09	34.1	pfam14684	Tricorn_C1	59
2785712289	411	220	389	2	151	3.6e-14	50.6	pfam03572	Peptidase_S41	165
2785712290	500	163	318	113	231	5.5e-10	36	pfam00012	HSP70	599
2785712290	500	358	500	246	373	1.6e-05	21.3	pfam00012	HSP70	599
2785712292	943	130	238	1	108	2.7e-38	128.1	pfam17760	UvrA_inter	109
2785712292	943	290	399	1	110	2.4e-39	132	pfam17755	UvrA_DNA-bind	110
2785712292	943	756	861	64	137	5.3e-06	25	pfam00005	ABC_tran	137
2785712293	445	12	348	1	346	7.2e-45	151.3	pfam07690	MFS_1	347
2785712294	194	7	181	1	187	1.8e-24	85.2	pfam00702	Hydrolase	191
2785712297	333	3	48	1	46	7.6e-22	74.8	pfam00356	LacI	46
2785712297	333	168	330	2	166	1.9e-28	97.6	pfam13377	Peripla_BP_3	167
2785712298	339	17	336	3	299	8.4e-80	266.3	pfam01263	Aldose_epim	299
2785712299	351	3	176	3	184	1.7e-70	235.2	pfam01087	GalP_UDP_transf	184
2785712299	351	182	347	4	164	1.1e-66	221.5	pfam02744	GalP_UDP_tr_C	165
2785712300	379	8	57	2	49	1.1e-23	80.5	pfam10509	GalKase_gal_bdg	49
2785712300	379	112	180	2	64	1.5e-18	65	pfam00288	GHMP_kinases_N	65
2785712300	379	276	360	3	84	5.6e-12	43.9	pfam08544	GHMP_kinases_C	85
2785712301	520	39	440	1	403	1.0e-69	233.3	pfam00474	SSF	406
2785712302	194	6	109	1	104	6.0e-44	146.3	pfam00436	SSB	104
2785712304	441	56	186	78	140	7.9e-13	45.6	pfam03403	PAF-AH_p_II	372
2785712305	709	24	256	2	242	1.3e-36	124.3	pfam16875	Glyco_hydro_36N	253
2785712305	709	260	602	1	344	8.1e-125	414.3	pfam02065	Melibiase	347
2785712305	709	614	705	6	65	4.0e-14	50.8	pfam16874	Glyco_hydro_36C	77
2785712306	484	40	425	1	406	7.1e-33	112	pfam00474	SSF	406
2785712307	914	63	168	9	102	9.4e-18	62.7	pfam07715	Plug	107
2785712307	914	385	881	10	436	1.3e-28	99	pfam00593	TonB_dep_Rec_b-barrel	436
2785712308	494	4	251	2	245	3.4e-75	250.7	pfam00370	FGGY_N	245
2785712308	494	260	449	2	196	2.6e-42	142.8	pfam02782	FGGY_C	198
2785712309	252	6	62	1	56	1.7e-19	67.3	pfam08220	HTH_DeoR	57
2785712309	252	73	232	2	160	5.7e-50	167.3	pfam00455	DeoRC	160
2785712310	515	12	365	1	317	1.7e-61	206.6	pfam01266	DAO	353
2785712310	515	385	496	3	107	6.5e-13	46.6	pfam16901	DAO_C	126
2785712314	208	118	196	2	76	3.3e-12	44.3	pfam05137	PilN	78
2785712317	582	154	263	1	91	6.8e-22	75.8	pfam07655	Secretin_N_2	91
2785712317	582	383	561	2	169	1.0e-41	140.3	pfam00263	Secretin	169
2785712318	300	39	171	4	129	8.8e-33	111.3	pfam13401	AAA_22	130
2785712319	408	232	295	7	68	4.6e-07	28	pfam14559	TPR_19	68
2785712320	570	61	150	1	87	4.1e-17	59.9	pfam05157	MshEN	90
2785712320	570	186	454	3	268	9.5e-96	318	pfam00437	T2SSE	269
2785712321	411	75	198	1	125	1.9e-31	106.6	pfam00482	T2SSF	125
2785712321	411	278	400	2	125	2.2e-27	93.5	pfam00482	T2SSF	125
2785712323	101	2	28	2	27	7.8e-10	35.9	pfam07963	N_methyl	27
2785712324	405	3	381	10	377	2.5e-119	396.5	pfam00872	Transposase_mut	379
2785712325	170	4	30	3	26	1.6e-08	31.8	pfam07963	N_methyl	27
2785712326	153	1	26	3	26	3.5e-06	24.4	pfam07963	N_methyl	27
2785712327	184	11	37	2	27	3.0e-06	24.6	pfam07963	N_methyl	27
2785712328	251	6	32	2	26	7.2e-09	32.9	pfam07963	N_methyl	27
2785712330	1230	655	1227	4	576	1.0e-86	290.3	pfam20419	DUF6701	577
2785712331	347	10	340	2	323	0.0e+00	491.1	pfam06723	MreB_Mbl	327
2785712332	300	123	270	2	146	6.7e-43	143.9	pfam04085	MreC	147
2785712333	158	1	151	6	157	2.0e-33	113.7	pfam04093	MreD	158
2785712334	196	4	192	2	186	4.7e-61	203.7	pfam02545	Maf	187
2785712335	488	124	392	1	270	7.2e-104	344.9	pfam10150	RNase_E_G	270
2785712335	488	403	488	2	83	1.7e-08	32.4	pfam20833	RNase_E_G_Thio	86
2785712336	1331	502	787	5	287	1.4e-68	229.5	pfam13116	DUF3971	289
2785712336	1331	1046	1287	1	237	3.1e-53	178.7	pfam13502	AsmA_2	237
2785712337	272	4	257	4	255	1.1e-50	170.3	pfam00795	CN_hydrolase	256
2785712338	480	35	99	1	65	1.4e-17	61.6	pfam01523	PmbA_TldD_1st	65
2785712338	480	123	237	2	107	1.9e-19	68.1	pfam19290	PmbA_TldD_2nd	109
2785712338	480	244	478	2	220	1.1e-70	235.2	pfam19289	PmbA_TldD_3rd	220
2785712340	185	26	179	3	153	1.9e-52	175.1	pfam04751	DUF615	153
2785712341	443	29	93	1	65	4.7e-12	43.9	pfam01523	PmbA_TldD_1st	65
2785712341	443	120	227	1	109	1.0e-16	59.3	pfam19290	PmbA_TldD_2nd	109
2785712341	443	234	442	2	220	1.8e-66	221.4	pfam19289	PmbA_TldD_3rd	220
2785712342	284	40	187	18	80	1.2e-05	23	pfam02311	AraC_binding	135
2785712342	284	203	282	1	79	1.5e-21	74.5	pfam12833	HTH_18	80
2785712343	1039	47	218	2	169	9.5e-58	192.8	pfam02837	Glyco_hydro_2_N	169
2785712343	1039	220	332	2	109	4.3e-18	64	pfam00703	Glyco_hydro_2	109
2785712343	1039	334	628	1	300	1.7e-113	376.7	pfam02836	Glyco_hydro_2_C	302
2785712343	1039	639	728	1	86	7.4e-19	65.8	pfam16353	LacZ_4	87
2785712343	1039	763	1034	6	247	2.8e-60	202	pfam02929	Bgal_small_N	248
2785712344	235	6	115	1	109	5.9e-28	95.2	pfam00072	Response_reg	111
2785712344	235	153	229	1	77	2.6e-22	76.7	pfam00486	Trans_reg_C	77
2785712345	548	430	543	5	109	1.2e-22	78.4	pfam02518	HATPase_c	111
2785712346	474	2	235	1	237	2.8e-66	221.6	pfam08323	Glyco_transf_5	239
2785712346	474	278	447	8	156	8.0e-16	56	pfam00534	Glycos_transf_1	172
2785712347	360	7	182	1	156	9.4e-29	98.4	pfam08468	MTS_N	158
2785712347	360	190	357	2	170	9.0e-52	173.1	pfam05175	MTS	170
2785712348	239	63	233	2	173	6.8e-63	209.2	pfam02390	Methyltransf_4	173
2785712349	234	40	221	63	244	8.0e-17	59.6	pfam00561	Abhydrolase_1	245
