Gene or region,New gene name,Function,Fourier,FDR,Peak,Peak R value,Cluster,Cluster membership score,"Cyanobase categories, main",Cyanobase sub-categories,Normalized,StdDev Norm,Normalized.1,StdDev Norm.1,Normalized.2,StdDev Norm.2,Normalized.3,StdDev Norm.3,Normalized.4,StdDev Norm.4,Normalized.5,StdDev Norm.5,Normalized.6,StdDev Norm.6,Normalized.7,StdDev Norm.7,Normalized.8,StdDev Norm.8,Normalized.9,StdDev Norm.9,Normalized.10,StdDev Norm.10,Normalized.11,StdDev Norm.11,Normalized.12,StdDev Norm.12,Normalized.13,StdDev Norm.13,Normalized.14,StdDev Norm.14,Normalized.15,StdDev Norm.15,Normalized.16,StdDev Norm.16,Normalized.17,StdDev Norm.17,Normalized.18,StdDev Norm.18,Normalized.19,StdDev Norm.19,Normalized.20,StdDev Norm.20,Normalized.21,StdDev Norm.21,Normalized.22,StdDev Norm.22,Normalized.23,StdDev Norm.23,Normalized.24,StdDev Norm.24,resolved_locus_tag,resolution_method
PMM0011,PMED4_00101,Protein phosphatase 2C domain,9.214921202,0.229278351,17.4,0.530066014,18.0,1.0,10.0 Regulatory functions,10.0 Regulatory functions,1.1539766,0.008745134,0.75928575,0.12382859,0.8103816,0.036645334,0.871698,0.054841593,0.9213407,0.26753905,1.3369519,0.09582315,1.1877425,0.30395073,1.0806512,0.08574577,0.7878759,0.10791244,0.9261402,0.105794035,1.0002,0.056033198,1.0161431,0.008572601,0.98356026,0.19050683,0.8143699,0.047502536,1.0148704,0.084369496,1.4303893,0.14392398,1.4012794,0.2553982,1.3102797,0.19192795,1.0814623,0.12600608,0.93677056,0.13456094,0.9401183,0.16078691,0.9673451,0.029295776,0.80153733,0.0675789,1.002829,0.1176995,0.9701894,0.12445351,PMM0011,locus_tag:Gene or region
PMM0012,PMED4_00111,argH Fumarate lyase,16.61888367,0.0,18.2,0.949170029,6.0,0.518133679,1.0 Amino acid biosynthesis,1.4 Glutamate family / Nitrogen assimilation,0.70565987,0.057005934,0.5213482,0.014700573,0.93627995,0.049191583,1.7382047,0.005142266,1.7656587,0.71705496,2.917596,0.2367593,2.0047333,0.068735585,1.4436827,0.1377015,0.9651553,0.040103633,0.7847903,0.13928972,0.7659982,0.06858719,0.63063145,0.035673458,0.58950335,0.04237518,0.53757566,0.029627161,1.0657121,0.08692907,2.2434435,0.44500288,3.0303087,0.38923365,3.0310862,0.13865542,2.4364254,0.17629842,1.624459,0.15624695,1.2229898,0.023351701,1.006993,0.1259602,0.645147,0.035645932,0.59445155,0.025572382,0.61296046,0.041245382,PMM0012,locus_tag:Gene or region
PMM0013,PMED4_00121,RNA-binding region RNP-1 (RNA recognition motif),14.08822186,0.008752905,4.8,0.814535155,16.0,0.790414156,"7.0 Fatty acid, phospholipid and sterol metabolism","7.0 Fatty acid, phospholipid and sterol metabolism",1.11327,0.055423293,1.0981033,0.024064062,1.0646299,0.15553854,0.96325296,0.12244798,0.79958135,0.08746786,0.79398686,0.066886455,0.99801016,0.010794692,0.9922212,0.05151354,1.1112064,0.04725908,1.059426,0.10162436,1.1142043,0.010201448,1.1158215,0.053757157,1.0494317,0.13332818,0.9837191,0.1337616,0.9792594,0.10353902,0.9000416,0.013127018,0.82039076,0.07391234,0.76718605,0.008983342,0.81835306,0.036777146,0.9323016,0.020333214,1.0497113,0.05154006,1.0508562,0.02950667,0.97132856,0.03658701,1.0451573,0.05771079,0.9585451,0.060788825,PMM0013,locus_tag:Gene or region
PMM0014,PMED4_00131,conserved hypothetical protein,13.8730048,0.011603843,23.0,0.800274843,9.0,0.908516299,16.0 Hypothetical,16.1 Conserved hypothetical protein,1.177626,0.08247345,0.7120032,0.037706908,0.7946318,0.037393954,0.69590074,0.2311676,0.951104,0.23646407,1.0304137,0.08921116,1.2676675,0.13665625,1.438433,0.22662923,1.1453509,0.3143876,1.1150825,0.19942555,1.00344,0.19080327,0.8881109,0.08602096,0.90297544,0.00909877,0.6870032,0.017088428,0.82656103,0.1428686,0.9200117,0.1093156,1.0231588,0.033651173,1.0991532,0.005154496,1.28769,0.093248524,1.3372382,0.28264913,1.6277299,0.37229323,1.300794,0.10408009,0.929209,0.16870703,0.95529914,0.029791439,0.9962963,0.06854634,PMM0014,locus_tag:Gene or region
PMM0015,PMED4_00141,Domain of unknown function DUF25,10.2828567,0.148897886,12.2,0.600813299,17.0,1.0,16.0 Hypothetical,16.1 Conserved hypothetical protein,1.1573404,0.12991348,0.975642,0.023749987,1.0380604,0.18995507,1.0659864,0.10933436,0.990153,0.1464965,0.989977,0.13639934,1.0036105,0.04271088,0.92890835,0.03654691,0.8327443,0.026783794,0.9095507,0.013761133,1.006606,0.097017616,1.0126435,0.040775273,1.2315047,0.26037183,1.0662174,0.030064294,1.1331556,0.118774846,1.2229061,0.006041613,1.2233402,0.070296586,1.0477762,0.035865963,1.0575826,0.13808535,0.9594486,0.033217378,0.94318926,0.004896895,0.9618378,0.06305132,0.8684477,0.06079605,0.9948938,0.01905137,1.2940494,0.60520273,PMM0015,locus_tag:Gene or region
PMM0016,PMED4_00151,grpE Heat shock protein GrpE,12.52147249,0.039264877,22.0,0.71585645,8.0,0.86939086,4.0 Cellular processes,4.3 Chaperones,0.6227597,0.17204303,0.3643536,0.008778083,0.35401827,0.038542304,0.57853675,0.06440363,0.5684296,0.29225343,1.0061103,0.003257704,1.2672334,0.30955192,1.1173214,0.18252178,1.1163521,0.1226393,1.0283952,0.18113111,0.8363523,0.030614793,0.6719521,0.06210053,0.73767495,0.16201359,0.71629727,0.14702678,0.94972765,0.33220726,1.2678342,0.23944336,1.3368859,0.6037111,1.434935,0.12004571,1.6562366,0.15432245,1.5483742,0.16055454,1.6606228,0.3642854,1.3469766,0.25562513,1.0081775,0.18806474,1.0061101,0.21294962,1.2065083,0.43251124,PMM0016,locus_tag:Gene or region
PMM0017,PMED4_00161,dnaJ DnaJ protein,14.93129508,0.003215768,21.4,0.850030004,8.0,0.980173266,4.0 Cellular processes,4.3 Chaperones,0.7745841,0.034263536,0.49795872,0.0877481,0.6200366,0.02904216,0.7264071,0.09120534,0.74792045,0.165598,1.1540903,0.004830294,1.4129665,0.1456882,1.2157369,0.21462287,1.1790787,0.06771608,0.9999421,0.015218759,0.8235091,0.008441822,0.68481094,0.076743044,0.7788342,0.086552925,0.67310596,0.011783266,0.8521346,0.08247936,1.0966626,0.00903807,1.1883813,0.20690683,1.3673972,0.12234739,1.5622803,0.23934123,1.4861343,0.13089268,1.3725165,0.19273938,1.242156,0.0638893,0.7980683,0.10240371,0.8800715,0.22593273,0.99371034,0.27506736,PMM0017,locus_tag:Gene or region
PMM0018,PMED4_00171,conserved hypothetical protein,13.02984543,0.025094817,22.6,0.749333369,9.0,0.961940403,16.0 Hypothetical,16.1 Conserved hypothetical protein,1.242183,0.17869323,0.71350986,0.21729001,0.64111006,0.11780182,0.65025914,0.028891264,0.77087754,0.16188183,1.1569104,0.03287786,1.3236164,0.29864147,1.1626788,0.22895338,1.0515413,0.30814692,0.98350614,0.16025221,1.0867369,0.19629966,1.0200294,0.10889964,0.9145607,0.3593517,0.7731783,0.04119914,0.8579995,0.005553132,0.97690904,0.15767935,0.99967647,0.043036573,1.1536556,0.095394984,1.4715288,0.3021058,1.2832794,0.14135012,1.3903301,0.00294725,1.3081908,0.05697843,0.8203453,0.052456327,0.8938465,0.04206116,0.9119091,0.102515645,PMM0018,locus_tag:Gene or region
PMM0019,PMED4_00181,conserved hypothetical protein,14.04949462,0.009056025,20.4,0.796861648,8.0,0.465676101,16.0 Hypothetical,16.1 Conserved hypothetical protein,1.0200331,0.027423028,0.6054563,0.11844452,0.8627308,0.03032723,0.8669125,0.14038152,1.1675816,0.000521,0.98010767,0.017838161,1.3452059,0.24873869,1.1571658,0.037347917,0.99659085,0.003644572,0.8980517,0.018651448,0.8331453,0.2866932,0.76062596,0.021766176,0.95179826,0.20334904,0.6771754,0.08809115,0.906171,0.17251551,1.0840498,0.18261342,1.2357014,0.24003614,1.3349174,0.019525489,1.4199848,0.1227798,1.3465872,0.48058766,1.355386,0.5049934,1.2371901,0.16874422,0.8232233,0.035494667,0.95943695,0.062893584,0.86929417,0.07909353,PMM0019,locus_tag:Gene or region
PMM0020,PMED4_00191,conserved hypothetical protein,16.04196325,0.000465116,18.0,0.917423867,5.0,0.979853057,16.0 Hypothetical,16.1 Conserved hypothetical protein,0.5268917,0.008982025,0.55634654,0.10538431,1.0543964,0.13290393,1.5518953,0.43449846,1.4777008,0.8617698,2.1196146,0.06944341,1.5728041,0.20508885,1.3751665,0.14392403,1.0280684,0.08225472,0.8799872,0.0175364,0.8881063,0.05561444,0.80751526,0.10714838,0.52995014,0.13872617,0.51385325,0.06636239,1.0926931,0.14998882,2.046348,0.016999904,2.19893,0.22708334,1.8397603,0.12387917,1.5699874,0.056387156,1.234732,0.05306707,1.0613887,0.008241648,0.8809637,0.034492604,0.64434874,0.047359113,0.5777483,0.015721884,0.5750577,0.036021966,PMM0020,locus_tag:Gene or region
PMM0021,PMED4_00201,murB UDP-N-acetylenolpyruvoylglucosamine reductase,11.19025901,0.093922925,19.6,0.634595755,6.0,0.355074601,3.0 Cell envelope,3.2 Murein sacculus and peptidoglycan,0.90302855,0.07635757,0.8333424,0.062261753,0.8370844,0.036232725,0.9363888,0.23247738,0.97829115,0.35689545,1.0278136,0.02094506,0.95232445,0.052644968,1.1355816,0.031892926,1.0213829,0.106800124,0.98505324,0.17769134,0.9816565,0.16427387,0.87194073,0.0378142,0.9999999,0.00067,0.80557495,0.000495,0.94533956,0.13429108,1.2587415,0.022171563,1.153586,0.053511698,1.0701258,0.056372922,1.1918892,0.2402568,0.9996641,0.32039526,1.0940446,0.32954085,1.1975017,0.27715722,0.902316,0.027508913,1.0326937,0.028426664,0.83900315,0.075512916,PMM0021,locus_tag:Gene or region
PMM0022,PMED4_00211,murC Probable UDP-N-acetylmuramate-alanine ligase,14.64945061,0.004562044,17.6,0.840909623,5.0,0.681563646,3.0 Cell envelope,3.2 Murein sacculus and peptidoglycan,0.9896275,0.004605908,0.6753201,0.07521578,0.8482649,0.122346714,1.2100457,0.107633784,1.3048047,0.49434787,1.6607404,0.18301661,1.3012747,0.29635325,1.2224623,0.22606884,0.9632173,0.020724362,0.7987945,0.119640656,0.91111153,0.09123271,0.9230576,0.16532078,0.8371876,0.096517675,0.61461264,0.022386346,1.1698012,0.10044981,1.6188546,0.38276666,1.9323262,0.16432752,1.5576181,0.038384758,1.4823927,0.033675082,1.0026921,0.25658077,1.1058381,0.40345204,1.0149672,0.0450599,0.72042775,0.07650685,0.93105346,0.22725555,0.9010212,0.06899162,PMM0022,locus_tag:Gene or region
PMM0023,PMED4_00221,gap2 Glyceraldehyde 3-phosphatedehydrogenase(NADP+)(phosphorylating),16.22383514,0.000547945,6.8,0.923086475,16.0,0.564184029,8.0 Photosynthesis and respiration,8.2 CO2 fixation,2.211858,0.014848654,1.7231948,0.08930658,1.4573263,0.25655392,0.99574876,0.3134065,0.4978971,0.08674202,0.33378702,0.02667895,0.5866783,0.004904467,0.6043183,0.010737252,0.78974056,0.066313,1.0748821,0.15310512,1.2805852,0.004235264,1.4185331,0.00217815,1.361639,0.075881764,1.2093343,0.077345155,1.0687367,0.05934936,0.6285326,0.10699069,0.37893042,0.003617387,0.31203997,0.007147252,0.5034506,0.08591425,0.5973222,0.07243157,0.74402833,0.05627707,1.0492057,0.14154617,1.1855478,0.009944497,1.1931885,0.032544352,1.1991969,0.16924994,PMM0023,locus_tag:Gene or region
PMM0024,PMED4_00231,thiL putative thiamine-monophosphate kinase,11.25420982,0.09112662,5.0,0.649908002,16.0,0.39254174,"2.0 Biosynthesis of cofactors, prosthetic groups, and carriers",2.11 Thiamine,1.2040733,0.001596783,1.1429468,0.2290523,1.071014,0.038269803,0.96322304,0.31858003,0.7111294,0.020101497,0.94971144,0.16720471,0.9095943,0.10143022,0.99884653,0.007785571,1.075452,0.028815027,1.0129371,0.002375061,1.1212456,0.07802245,0.9921612,0.10724977,1.1225686,0.060682204,0.9203756,0.026369583,0.9658455,0.07305505,0.9553232,0.032541044,0.7982595,0.13268545,0.75624436,0.10042952,1.0475523,0.044479035,0.8614215,0.10933895,1.0133618,0.107423455,1.0953801,0.053675402,0.90919954,0.08596182,1.016306,0.029543575,1.0083344,0.063663654,PMM0024,locus_tag:Gene or region
PMM0025,PMED4_00241,Cyclophilin-type peptidyl-prolyl cis-transisomerase,16.65278614,0.0,6.2,0.95035777,16.0,0.946557318,13.0 Translation,13.5 Protein modification and translation factors,1.3817904,0.101495445,1.2438135,0.17447229,1.0243917,0.16881359,0.7671772,0.24793436,0.51287645,0.030741664,0.49200022,0.030089183,0.65734375,0.11518671,0.7904245,0.06826707,0.9014532,0.13869618,1.0480535,0.07623319,1.2525098,0.0763197,1.315758,0.19187239,1.3809588,0.31887645,1.0705173,0.2441029,1.1468444,0.12823382,0.9397962,0.050361954,0.71219325,0.028935822,0.5880268,0.003783386,0.6175376,0.17919236,0.7602738,0.05364943,0.9066098,0.14577796,1.0864493,0.07105197,1.1730914,0.07197305,1.3224231,0.17367376,1.2786238,0.4364384,PMM0025,locus_tag:Gene or region
PMM0026,PMED4_00251,efp Elongation factor P (EF-P),13.98157137,0.010355253,8.0,0.792551136,1.0,0.914684914,13.0 Translation,13.5 Protein modification and translation factors,1.3158221,0.046144307,1.1517549,0.021429026,1.2031878,0.15757194,1.3306041,0.00520067,1.0411253,0.12834828,0.8047334,0.15410402,0.79367584,0.14310125,0.92807275,5.13e-05,0.9167671,0.051550936,1.0965205,0.022024142,1.295337,0.11349369,1.3631934,0.14587925,1.1359739,0.11719991,1.0602558,0.11732736,1.0787785,0.26291984,1.0843929,0.124047264,0.8408854,0.16260737,0.6523418,0.016135188,0.68997884,0.023386864,0.78637856,0.044725575,0.9016399,0.005335443,1.0116727,0.017169934,0.9543945,0.005993869,1.1482027,0.028207088,1.125052,0.2515185,PMM0026,locus_tag:Gene or region
PMM0027,PMED4_00261,"accB,fabE Biotin / Lipoyl attachment",13.29707901,0.020159151,2.0,0.783434951,11.0,0.415734332,"7.0 Fatty acid, phospholipid and sterol metabolism","7.0 Fatty acid, phospholipid and sterol metabolism",1.1040446,0.02635204,0.94763726,0.09932931,0.8678716,0.17539236,1.0162752,0.2564075,0.7620536,0.029619696,0.9626237,0.052217953,0.9935271,0.06281913,1.0165161,0.121929504,1.0413309,0.0887534,1.1226562,0.01654602,1.156002,0.083906285,1.1388811,0.10112799,0.9024232,0.21657424,0.84197253,0.19680272,0.87982374,0.066622265,0.972132,0.08602071,0.9443324,0.13837795,0.9357977,0.12652385,0.97970164,0.008449704,0.9914115,0.029311333,1.1329622,0.061806783,1.130907,0.06536505,0.98668754,0.000523,1.0307798,0.002992095,0.9847231,0.014073228,PMM0027,locus_tag:Gene or region
PMM0028,PMED4_00271,pdxA putative pyridoxal phosphate biosynthetic proteinPdxA,10.49905049,0.135516605,21.0,0.59648219,17.0,1.0,"2.0 Biosynthesis of cofactors, prosthetic groups, and carriers",2.9 Pyridoxine,0.9350901,0.099093035,0.606505,0.15332332,0.86560786,0.13411547,0.86031103,0.32456437,0.84571457,0.3034573,1.0093526,0.022372324,1.1708275,0.3075059,1.083294,0.1108356,0.9154769,0.12196382,0.9926975,0.005126175,1.044742,0.08001842,0.87792706,0.12367032,0.9762787,0.0385474,0.82856464,0.028963946,0.9979623,0.013064673,1.3209658,0.1835364,1.262017,0.13689964,1.0194432,0.045151874,1.2087971,0.011809234,1.2503892,0.058526415,1.1430174,0.09969825,1.071662,0.099553056,0.8386171,0.054903086,0.98576653,0.06445389,0.90252405,0.07423848,PMM0028,locus_tag:Gene or region
PMM0029,PMED4_00281,conserved hypothetical protein,1.584279415,0.958744016,4.6,0.091894923,17.0,1.0,16.0 Hypothetical,16.1 Conserved hypothetical protein,1.2747662,0.20628133,0.9477293,0.050932866,1.0101744,0.13466512,0.98822594,0.096995756,0.8756473,0.26871845,0.88704085,0.09982158,1.122788,0.07605429,1.1112354,0.054995485,1.0394406,0.07075748,1.0063341,0.019439504,1.0205758,0.032026827,1.0642688,0.15046309,1.0923605,0.20495714,0.931117,0.10522725,1.0315926,0.001497731,0.9713057,0.09132248,0.9113354,0.072458155,0.7907505,0.05557826,0.9693716,0.057520144,1.0297209,0.095859475,1.0626948,0.080469795,0.965915,0.05091051,0.74333483,0.003153739,0.94593555,0.0769071,0.9392564,0.39462677,PMM0029,locus_tag:Gene or region
PMM0030,PMED4_00291,possible Transcription factor TFIID (or TATA-b,12.3538932,0.045902579,18.2,0.705828762,6.0,0.604322727,13.0 Translation,13.5 Protein modification and translation factors,0.67487967,0.09124684,0.44243008,0.01917504,0.84787476,0.13276573,1.4287258,0.27576867,1.4719754,0.67052585,2.0367534,0.05282242,1.0847975,0.1451044,0.95648646,0.0944447,0.75227916,0.034265112,0.83789325,0.020209646,1.0884115,0.09134562,0.86908734,0.095279105,0.6493734,0.03275552,0.52291274,0.07061157,1.0415664,0.20613837,1.9314759,0.23516482,2.593316,0.66499424,2.160354,0.03980171,1.3081034,0.045618106,0.9993868,0.018691532,1.0959235,0.053441443,1.1179453,0.006053333,0.9211187,0.043526605,1.0120107,0.08335802,0.83984715,0.11654629,PMM0030,locus_tag:Gene or region
PMM0031,PMED4_00301,HNH endonuclease,15.81500032,0.000369686,17.2,0.911652848,5.0,0.984961373,"11.0 DNA replication, recombination, and repair","11.0 DNA replication, recombination, and repair",0.7812468,0.018567936,0.5805699,0.044397563,0.9958491,0.14379892,1.6233836,0.049293756,1.5430489,0.629021,2.0585663,0.07586478,1.360881,0.118211426,1.1735371,0.075379625,0.94687116,0.12470079,0.807156,0.16459447,0.7565417,0.01961692,0.7159165,0.039842814,0.74993,0.035296932,0.81674117,0.027194297,1.3528669,0.10029289,2.1047494,0.13398659,2.2829669,0.1992243,2.1186569,0.27115065,1.4293929,0.09175685,1.1022369,0.3746138,0.96837205,0.1293982,1.0308464,0.10233439,0.73576653,0.017304596,0.81716174,0.046556495,0.79141396,0.033005998,PMM0031,locus_tag:Gene or region
