cds_fna_id	old_locus_tag	product
lcl|CP000111.1_cds_Pmt9312_0070_73	PMT9312_0070	peptide deformylase
lcl|CP000111.1_cds_Pmt9312_0071_74	PMT9312_0071	esterase/lipase/thioesterase family active site
lcl|CP000111.1_cds_Pmt9312_0072_75	PMT9312_0072	cysteine desulfurase
lcl|CP000111.1_cds_Pmt9312_0073_76	PMT9312_0073	ABC transporter, membrane component
lcl|CP000111.1_cds_Pmt9312_0074_77	PMT9312_0074	FeS assembly ATPase SufC
lcl|CP000111.1_cds_Pmt9312_0075_78	PMT9312_0075	Iron-regulated ABC transporter membrane component SufB
lcl|CP000111.1_cds_Pmt9312_0076_79	PMT9312_0076	conserved hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0077_80	PMT9312_0077	conserved hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0078_81	PMT9312_0078	membrane protein
lcl|CP000111.1_cds_Pmt9312_0079_82	PMT9312_0079	phosphoglucomutase
lcl|CP000111.1_cds_Pmt9312_0080_83	PMT9312_0080	Recombination protein MgsA
lcl|CP000111.1_cds_Pmt9312_0081_84	PMT9312_0081	4'-phosphopantetheinyl transferase family protein-like protein
lcl|CP000111.1_cds_Pmt9312_0082_85	PMT9312_0082	putative bacterioferritin comigratory (BCP) protein
lcl|CP000111.1_cds_Pmt9312_0083_86	PMT9312_0083	putative transcriptional acitvator, Baf
lcl|CP000111.1_cds_Pmt9312_0084_87	PMT9312_0084	phosphoadenylylsulfate reductase (thioredoxin)
lcl|CP000111.1_cds_Pmt9312_0085_88	PMT9312_0085	putative NADH dehydrogenase, transport associated
lcl|CP000111.1_cds_Pmt9312_0086_89	PMT9312_0086	putative sodium/sulfate transporter, DASS family
lcl|CP000111.1_cds_Pmt9312_0087_90	PMT9312_0087	sodium transporter, trk family-like protein
lcl|CP000111.1_cds_Pmt9312_0088_91	PMT9312_0088	putative potassium channel, VIC family
lcl|CP000111.1_cds_Pmt9312_0089_92	PMT9312_0089	conserved hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0090_93	PMT9312_0090	conserved hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0091_94	PMT9312_0091	conserved hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0092_95	PMT9312_0092	hypothetical protein
lcl|CP000111.1_cds_ABS83088.1_96	PMT9312_1973	Conserved hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0093_97	PMT9312_0093	ATPase
lcl|CP000111.1_cds_ABS83089.1_98	PMT9312_1974	Conserved hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0094_99	PMT9312_0094	PDZ/DHR/GLGF protein
lcl|CP000111.1_cds_Pmt9312_0095_100	PMT9312_0095	conserved hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0096_101	PMT9312_0096	conserved hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0097_102	PMT9312_0097	high light inducible protein-like protein
lcl|CP000111.1_cds_Pmt9312_0098_103	PMT9312_0098	conserved hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0099_104	PMT9312_0099	serum resistance locus BrkB-like protein
lcl|CP000111.1_cds_Pmt9312_0100_105	PMT9312_0100	inositol monophosphate family protein
lcl|CP000111.1_cds_Pmt9312_0101_106	PMT9312_0101	RND family outer membrane efflux protein-like protein
lcl|CP000111.1_cds_Pmt9312_0102_107	PMT9312_0102	Fe-S oxidoreductase-like protein
lcl|CP000111.1_cds_Pmt9312_0103_108	PMT9312_0103	conserved hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0104_109	PMT9312_0104	L-aspartate oxidase
lcl|CP000111.1_cds_Pmt9312_0105_110	PMT9312_0105	Thioredoxin domain 2
lcl|CP000111.1_cds_Pmt9312_0106_111	PMT9312_0106	SSU ribosomal protein S12P methylthiotransferase
lcl|CP000111.1_cds_ABS83090.1_112	PMT9312_1975	Conserved hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0107_113	PMT9312_0107	conserved hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0108_114	PMT9312_0108	conserved hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0109_115	PMT9312_0109	ribD/ribG-like protein
lcl|CP000111.1_cds_Pmt9312_0110_116	PMT9312_0110	6-pyruvoyl tetrahydropterin synthase
lcl|CP000111.1_cds_Pmt9312_0111_117	PMT9312_0111	shikimate kinase
lcl|CP000111.1_cds_Pmt9312_1809_118	PMT9312_1809	conserved hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0112_119	PMT9312_0112	POLO box duplicated region-like protein
lcl|CP000111.1_cds_Pmt9312_0113_120	PMT9312_0113	putative glutathione S-transferase
lcl|CP000111.1_cds_ABS83091.1_121	PMT9312_1976	Conserved hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0114_122	PMT9312_0114	conserved hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0115_123	PMT9312_0115	ribosome-binding factor A
lcl|CP000111.1_cds_Pmt9312_0116_124	PMT9312_0116	uroporphyrinogen-III synthase
lcl|CP000111.1_cds_Pmt9312_0117_125	PMT9312_0117	conserved hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0118_126	PMT9312_0118	zeta-carotene desaturase
lcl|CP000111.1_cds_Pmt9312_0119_127	PMT9312_0119	HesB/YadR/YfhF
lcl|CP000111.1_cds_Pmt9312_0120_128	PMT9312_0120	conserved hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0121_129	PMT9312_0121	conserved hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0122_130	PMT9312_0122	conserved hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0123_131	PMT9312_0123	conserved hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0124_132	PMT9312_0124	conserved hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0125_133	PMT9312_0125	Heat shock protein DnaJ-like protein
lcl|CP000111.1_cds_Pmt9312_0126_134	PMT9312_0126	cysteine synthase
lcl|CP000111.1_cds_Pmt9312_0127_135	PMT9312_0127	conserved hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0128_136	PMT9312_0128	ATPase
lcl|CP000111.1_cds_Pmt9312_0129_137	PMT9312_0129	signal peptide binding domain-like protein
lcl|CP000111.1_cds_Pmt9312_0130_138	PMT9312_0130	two component transcriptional regulator, winged helix family
lcl|CP000111.1_cds_Pmt9312_0131_139	PMT9312_0131	DNA polymerase III, delta prime subunit
lcl|CP000111.1_cds_Pmt9312_0132_140	PMT9312_0132	thymidylate kinase
lcl|CP000111.1_cds_Pmt9312_0133_141	PMT9312_0133	Heavy metal translocating P-type ATPase
lcl|CP000111.1_cds_Pmt9312_0134_142	PMT9312_0134	TPR repeat
lcl|CP000111.1_cds_Pmt9312_0135_143	PMT9312_0135	DNA repair protein RadA
lcl|CP000111.1_cds_Pmt9312_0136_144	PMT9312_0136	two component transcriptional regulator, winged helix family
lcl|CP000111.1_cds_Pmt9312_0137_145	PMT9312_0137	phosphate:acyl-
lcl|CP000111.1_cds_Pmt9312_0138_146	PMT9312_0138	3-oxoacyl-
lcl|CP000111.1_cds_Pmt9312_0139_147	PMT9312_0139	malonyl CoA-acyl carrier protein transacylase
lcl|CP000111.1_cds_Pmt9312_0140_148	PMT9312_0140	1-acyl-sn-glycerol-3-phosphate acyltransferase
lcl|CP000111.1_cds_Pmt9312_0141_149	PMT9312_0141	conserved hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0142_150	PMT9312_0142	putative Ycf34
lcl|CP000111.1_cds_Pmt9312_0143_151	PMT9312_0143	poly A polymerase family
lcl|CP000111.1_cds_Pmt9312_0144_152	PMT9312_0144	RNA-binding region RNP-1
lcl|CP000111.1_cds_Pmt9312_0145_153	PMT9312_0145	phytoene synthase
lcl|CP000111.1_cds_Pmt9312_0146_154	PMT9312_0146	three-step phytoene desaturase / zeta-carotene desaturase
lcl|CP000111.1_cds_Pmt9312_0147_155	PMT9312_0147	NADH dehydrogenase I subunit M
lcl|CP000111.1_cds_Pmt9312_0148_156	PMT9312_0148	conserved hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0149_157	PMT9312_0149	putative rubisco transcriptional regulator
lcl|CP000111.1_cds_Pmt9312_0150_158	PMT9312_0150	conserved hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0151_159	PMT9312_0151	NADH dehydrogenase subunit L
lcl|CP000111.1_cds_Pmt9312_0152_160	PMT9312_0152	NADH dehydrogenase subunit M
lcl|CP000111.1_cds_Pmt9312_0153_161	PMT9312_0153	conserved hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0154_162	PMT9312_0154	putative sugar-phosphate nucleotidyl transferase
lcl|CP000111.1_cds_Pmt9312_0155_163	PMT9312_0155	conserved hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0156_164	PMT9312_0156	transcriptional regulator, LuxR family
lcl|CP000111.1_cds_ABS83092.1_165	PMT9312_1977	Conserved hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0157_166	PMT9312_0157	conserved hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0158_167	PMT9312_0158	NAD(+) kinase
lcl|CP000111.1_cds_Pmt9312_0159_168	PMT9312_0159	NADH dehydrogenase subunit K
lcl|CP000111.1_cds_Pmt9312_0160_169	PMT9312_0160	NADH dehydrogenase subunit J
lcl|CP000111.1_cds_Pmt9312_0161_170	PMT9312_0161	NADH-plastoquinone oxidoreductase, I subunit
lcl|CP000111.1_cds_Pmt9312_0162_171	PMT9312_0162	NADH dehydrogenase subunit H
lcl|CP000111.1_cds_Pmt9312_0163_172	PMT9312_0163	citrate synthase
lcl|CP000111.1_cds_Pmt9312_0164_173	PMT9312_0164	hypothetical precursor
lcl|CP000111.1_cds_Pmt9312_0165_174	PMT9312_0165	Rhodanese-like protein
lcl|CP000111.1_cds_Pmt9312_0166_175	PMT9312_0166	tryptophan synthase, beta chain
lcl|CP000111.1_cds_Pmt9312_0167_176	PMT9312_0167	translation initiation factor 1 (eIF-1/SUI1)
lcl|CP000111.1_cds_Pmt9312_0168_177	PMT9312_0168	adenylylsulfate kinase
lcl|CP000111.1_cds_Pmt9312_0169_178	PMT9312_0169	5-(carboxyamino)imidazole ribonucleotide mutase
lcl|CP000111.1_cds_Pmt9312_0170_179	PMT9312_0170	Mg-protoporphyrin IX methyltransferase
lcl|CP000111.1_cds_Pmt9312_0171_180	PMT9312_0171	two component transcriptional regulator, LuxR family
lcl|CP000111.1_cds_Pmt9312_0172_181	PMT9312_0172	nifS-like aminotransferase class-V
lcl|CP000111.1_cds_Pmt9312_0173_182	PMT9312_0173	methyltransferase
lcl|CP000111.1_cds_Pmt9312_0174_183	PMT9312_0174	NADH dehydrogenase subunit D
lcl|CP000111.1_cds_Pmt9312_0175_184	PMT9312_0175	conserved hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0176_185	PMT9312_0176	putative O-succinylbenzoic acid--CoA ligase (OSB-CoA synthetase)
lcl|CP000111.1_cds_Pmt9312_0177_186	PMT9312_0177	putative O-succinylbenzoate synthase
lcl|CP000111.1_cds_Pmt9312_0178_187	PMT9312_0178	1,4-dihydroxy-2-naphthoate phytyltransferase
lcl|CP000111.1_cds_Pmt9312_0179_188	PMT9312_0179	isochorismate synthase
lcl|CP000111.1_cds_Pmt9312_0180_189	PMT9312_0180	glutathione synthase
lcl|CP000111.1_cds_Pmt9312_0181_190	PMT9312_0181	Glutaredoxin, GrxC
lcl|CP000111.1_cds_Pmt9312_0182_191	PMT9312_0182	bacterial peptide chain release factor 2 (bRF-2)
lcl|CP000111.1_cds_Pmt9312_0183_192	PMT9312_0183	conserved hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0184_193	PMT9312_0184	Protein of unknown function UPF0054
lcl|CP000111.1_cds_Pmt9312_0185_194	PMT9312_0185	diacylglycerol kinase
lcl|CP000111.1_cds_Pmt9312_0186_195	PMT9312_0186	anthranilate synthase, component II
lcl|CP000111.1_cds_Pmt9312_0187_196	PMT9312_0187	conserved hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0188_197	PMT9312_0188	histidinol phosphate aminotransferase apoenzyme
lcl|CP000111.1_cds_Pmt9312_0189_198	PMT9312_0189	arginyl-tRNA synthetase
lcl|CP000111.1_cds_Pmt9312_0190_199	PMT9312_0190	nicotinate-nucleotide pyrophosphorylase (carboxylating)
lcl|CP000111.1_cds_Pmt9312_0191_200	PMT9312_0191	tRNA modification GTPase trmE
lcl|CP000111.1_cds_Pmt9312_0192_201	PMT9312_0192	conserved hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0193_202	PMT9312_0193	metal dependent phosphohydrolase
lcl|CP000111.1_cds_Pmt9312_0194_203	PMT9312_0194	ATPase
lcl|CP000111.1_cds_Pmt9312_0195_204	PMT9312_0195	ribosomal large subunit pseudouridine synthase D
lcl|CP000111.1_cds_Pmt9312_0196_205	PMT9312_0196	Ras superfamily GTP-binding protein YlqF
lcl|CP000111.1_cds_Pmt9312_0197_206	PMT9312_0197	phosphoglycerate kinase
lcl|CP000111.1_cds_Pmt9312_0198_207	PMT9312_0198	conserved hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0199_208	PMT9312_0199	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase
lcl|CP000111.1_cds_Pmt9312_0200_209	PMT9312_0200	L-threonine O-3-phosphate decarboxylase
lcl|CP000111.1_cds_Pmt9312_0201_210	PMT9312_0201	dihydroorotate oxidase A
lcl|CP000111.1_cds_Pmt9312_0202_211	PMT9312_0202	RNase HI
lcl|CP000111.1_cds_Pmt9312_0203_212	PMT9312_0203	LSU ribosomal protein L12P
lcl|CP000111.1_cds_Pmt9312_0204_213	PMT9312_0204	LSU ribosomal protein L10P
lcl|CP000111.1_cds_Pmt9312_0205_214	PMT9312_0205	LSU ribosomal protein L1P
lcl|CP000111.1_cds_Pmt9312_0206_215	PMT9312_0206	LSU ribosomal protein L11P
lcl|CP000111.1_cds_Pmt9312_0207_216	PMT9312_0207	transcription antitermination protein nusG
lcl|CP000111.1_cds_Pmt9312_0208_217	PMT9312_0208	protein translocase subunit secE/sec61 gamma
lcl|CP000111.1_cds_Pmt9312_0209_218	PMT9312_0209	ATPase
lcl|CP000111.1_cds_Pmt9312_0210_219	PMT9312_0210	enolase
lcl|CP000111.1_cds_Pmt9312_0211_220	PMT9312_0211	kinase-like protein
lcl|CP000111.1_cds_Pmt9312_0212_221	PMT9312_0212	repeat motif protein bdrA3-like protein
lcl|CP000111.1_cds_Pmt9312_0213_222	PMT9312_0213	Thioredoxin-disulfide reductase
lcl|CP000111.1_cds_Pmt9312_0214_223	PMT9312_0214	nitrogen regulatory protein P-II (GlnB, GlnK)
lcl|CP000111.1_cds_Pmt9312_0215_224	PMT9312_0215	putative sodium-dependent bicarbonate transporter
lcl|CP000111.1_cds_Pmt9312_0216_225	PMT9312_0216	putative sulfate transporter
lcl|CP000111.1_cds_Pmt9312_0217_226	PMT9312_0217	porphobilinogen synthase
lcl|CP000111.1_cds_Pmt9312_0218_227	PMT9312_0218	glyoxalase/bleomycin resistance protein/dioxygenase superfamily
lcl|CP000111.1_cds_Pmt9312_0219_228	PMT9312_0219	MutS2 family protein
lcl|CP000111.1_cds_Pmt9312_0220_229	PMT9312_0220	GTP1/OBG family protein
lcl|CP000111.1_cds_Pmt9312_0221_230	PMT9312_0221	conserved hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0222_231	PMT9312_0222	conserved hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0223_232	PMT9312_0223	glutathione S-transferase
lcl|CP000111.1_cds_Pmt9312_0224_233	PMT9312_0224	Aspartoacylase
lcl|CP000111.1_cds_ABS83093.1_234	PMT9312_1817	Conserved hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0225_235	PMT9312_0225	photosystem q(b) protein
lcl|CP000111.1_cds_Pmt9312_0226_236	PMT9312_0226	chorismate synthase
lcl|CP000111.1_cds_Pmt9312_0227_237	PMT9312_0227	2-keto-3-deoxy-phosphogluconate aldolase
lcl|CP000111.1_cds_Pmt9312_0228_238	PMT9312_0228	membrane protease FtsH catalytic subunit
lcl|CP000111.1_cds_Pmt9312_0229_239	PMT9312_0229	sulfate adenylyltransferase
lcl|CP000111.1_cds_Pmt9312_0230_240	PMT9312_0230	photosystem II manganese-stabilizing protein
lcl|CP000111.1_cds_Pmt9312_0231_241	PMT9312_0231	Phosphopantothenate-cysteine ligase / Phosphopantothenoylcysteine decarboxylase
lcl|CP000111.1_cds_Pmt9312_0232_242	PMT9312_0232	conserved hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0233_243	PMT9312_0233	conserved hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0234_244	PMT9312_0234	conserved hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0235_245	PMT9312_0235	aspartate carbamoyltransferase
lcl|CP000111.1_cds_Pmt9312_0237_246	PMT9312_0237	aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit C
lcl|CP000111.1_cds_Pmt9312_0238_247	PMT9312_0238	beta-carotene hydroxylase
lcl|CP000111.1_cds_Pmt9312_0239_248	PMT9312_0239	conserved hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0240_249	PMT9312_0240	Isoleucyl-tRNA synthetase
lcl|CP000111.1_cds_Pmt9312_0241_250	PMT9312_0241	conserved hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0242_251	PMT9312_0242	conserved hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0243_252	PMT9312_0243	phosphoglucosamine mutase
lcl|CP000111.1_cds_Pmt9312_0244_253	PMT9312_0244	thioredoxin-like protein TxlA
lcl|CP000111.1_cds_Pmt9312_0245_254	PMT9312_0245	Thymidylate synthase complementing protein ThyX
lcl|CP000111.1_cds_Pmt9312_0246_255	PMT9312_0246	dCTP deaminase
lcl|CP000111.1_cds_Pmt9312_0247_256	PMT9312_0247	cob(I)yrinic acid a,c-diamide adenosyltransferase
lcl|CP000111.1_cds_Pmt9312_0248_257	PMT9312_0248	transcriptional regulator, Crp/Fnr family
lcl|CP000111.1_cds_Pmt9312_0249_258	PMT9312_0249	conserved hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0250_259	PMT9312_0250	conserved hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0251_260	PMT9312_0251	conserved hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0252_261	PMT9312_0252	peptidyl-tRNA hydrolase
lcl|CP000111.1_cds_Pmt9312_0253_262	PMT9312_0253	photosystem II PsbH protein
lcl|CP000111.1_cds_Pmt9312_0254_263	PMT9312_0254	photosystem II reaction centre N protein (psbN)
lcl|CP000111.1_cds_Pmt9312_0255_264	PMT9312_0255	photosystem II reaction center PsbI protein
lcl|CP000111.1_cds_Pmt9312_0256_265	PMT9312_0256	conserved hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0257_266	PMT9312_0257	3-isopropylmalate dehydratase, small subunit
lcl|CP000111.1_cds_Pmt9312_0258_267	PMT9312_0258	3-isopropylmalate dehydratase, large subunit
lcl|CP000111.1_cds_Pmt9312_0259_268	PMT9312_0259	competence/damage-inducible protein cinA
lcl|CP000111.1_cds_Pmt9312_0260_269	PMT9312_0260	serine hydroxymethyltransferase
lcl|CP000111.1_cds_Pmt9312_0261_270	PMT9312_0261	conserved hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0262_271	PMT9312_0262	conserved hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0263_272	PMT9312_0263	integral membrane protein MviN
lcl|CP000111.1_cds_Pmt9312_0264_273	PMT9312_0264	sugar fermentation stimulation protein
lcl|CP000111.1_cds_Pmt9312_0265_274	PMT9312_0265	ammonium transporter
lcl|CP000111.1_cds_Pmt9312_0266_275	PMT9312_0266	hydroxymethylbutenyl pyrophosphate reductase
lcl|CP000111.1_cds_Pmt9312_0267_276	PMT9312_0267	conserved hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0268_277	PMT9312_0268	IMP cyclohydrolase
lcl|CP000111.1_cds_Pmt9312_0269_278	PMT9312_0269	putative esterase
lcl|CP000111.1_cds_Pmt9312_0270_279	PMT9312_0270	conserved hypothetical protein
lcl|CP000111.1_cds_Pmt9312_0271_280	PMT9312_0271	histidine kinase
lcl|CP000111.1_cds_Pmt9312_0272_281	PMT9312_0272	cobalamin-5'-phosphate synthase
lcl|CP000111.1_cds_Pmt9312_0273_282	PMT9312_0273	tRNA-guanine transglycosylase
lcl|CP000111.1_cds_Pmt9312_0274_283	PMT9312_0274	photosystem II protein PsbK
lcl|CP000111.1_cds_Pmt9312_0275_284	PMT9312_0275	putative oxidoreductase
