Supplemental Table 4: Genes with significant differential expression in axenic Alteromonas sp. (EZ55) under elevated CO2,,,,,
"Gene locus identifier (locus_tag), log2 fold change (logFC), log2 counts per million (log CPM), likelyhood ratio (LR) and p-value calculated from edgeR. Annotations are from EZ55 genome.",,,,,
locus tag,logFC,logCPM,LR,PValue,annotation
AEZ55_0629,-1.334578086,4.684001268,13.71138458,0.000213158,hypothetical protein
AEZ55_1086,-1.333451551,8.323835723,9.399390918,0.002170575,conserved hypothetical protein
AEZ55_0226,-1.301228595,5.688771368,27.16527534,1.87E-07,conserved domain protein
AEZ55_1609,-1.29500436,3.996999489,9.968388038,0.001592509,imidazole glycerol phosphate synthase subunit
AEZ55_4903,-1.287010767,12.34203047,7.410791391,0.00648338,conserved hypothetical protein
AEZ55_1040,-1.273590339,7.381550047,9.427470786,0.002137589,branched-chain amino acid transport protein
AEZ55_1402,-1.267877422,6.268648637,15.7769631,7.13E-05,conserved hypothetical protein
AEZ55_0227,-1.261277137,2.31216381,22.91018845,1.70E-06,conserved hypothetical protein
AEZ55_4280,-1.254802911,5.907808545,26.50484779,2.63E-07,undecaprenyl-phosphate glucose
AEZ55_4123,-1.23733752,8.357082536,11.35331315,0.000753135,Hsp20/alpha crystallin family protein
AEZ55_1823,-1.23452008,10.60881649,6.874040906,0.008745668,conserved hypothetical protein
AEZ55_1610,-1.231672921,5.329136977,8.865252332,0.002906501,"putative imidazoleglycerol phosphate synthase,"
AEZ55_3347,-1.217553707,4.917341013,5.0392701,0.024778928,putative lipoprotein
AEZ55_1970,-1.215634585,7.482333663,17.13406748,3.48E-05,"aminotransferase, class IV"
AEZ55_1172,-1.188931938,7.654628068,11.70369818,0.00062376,"glycosyl hydrolase family 20, domain 2"
AEZ55_1094,-1.174841176,7.081130369,15.05570272,0.000104384,UDP-N-acetylmuramoylalanine--D-glutamate ligase
AEZ55_4628,-1.173174538,10.25374832,6.628853862,0.010033981,conserved domain protein
AEZ55_1582,-1.171665957,8.546138646,9.04726589,0.00263088,conserved hypothetical protein
AEZ55_3098,-1.160197945,0.330619567,5.621298148,0.017743502,hypothetical protein
AEZ55_4890,-1.159440675,5.684618871,14.45273234,0.000143721,4-hydroxy-2-oxovalerate aldolase
AEZ55_1947,-1.154179902,6.066647374,10.53357947,0.001172249,conserved hypothetical protein
AEZ55_4891,-1.147509383,5.980431442,16.45269777,4.99E-05,acetaldehyde dehydrogenase (acetylating)
AEZ55_1612,-1.142614326,6.036710223,10.91396605,0.00095442,"imidazole glycerol phosphate synthase, glutamine"
AEZ55_2924,-1.134745755,0.953538086,10.38230605,0.001272287,hypothetical protein
AEZ55_1093,-1.131655417,7.587971971,13.90582259,0.000192202,phospho-N-acetylmuramoyl-pentapeptide-
AEZ55_0696,-1.131301115,6.765327747,16.04375376,6.19E-05,phosphoadenosine phosphosulfate reductase
AEZ55_1405,-1.130126901,12.44818883,6.256014554,0.012377234,PspA/IM30 family protein
AEZ55_3433,-1.130089694,8.773011894,5.792605557,0.016093719,"transcriptional regulator, MarR family"
AEZ55_1611,-1.129877094,5.970563761,9.572558862,0.001975073,1-(5-phosphoribosyl)-5-[(5-
AEZ55_4630,-1.118608777,6.433050903,15.18564612,9.74E-05,conserved hypothetical protein
AEZ55_4067,-1.116406661,5.550724278,11.6380108,0.000646177,YciI family protein
AEZ55_4087,-1.115806446,9.280944469,5.817050287,0.01587154,ferritin-like domain protein
AEZ55_3569,-1.105138959,2.231027554,11.73917334,0.000611982,hypothetical protein
AEZ55_1581,-1.089739629,9.427437777,6.515438763,0.010694193,conserved hypothetical protein
AEZ55_3188,-1.088370893,3.105357895,14.84113547,0.000116956,conserved domain protein
AEZ55_4617,-1.078154765,6.165106794,4.222166214,0.039899192,hemerythrin HHE cation binding domain protein
AEZ55_1268,-1.067077691,9.51655378,7.066060272,0.007855781,radical SAM domain protein
AEZ55_2965,-1.065884203,6.739934764,9.649828379,0.001893693,glycerol-3-phosphate dehydrogenase (NAD(P)(+))
AEZ55_3633,-1.059214031,7.616345411,11.92788494,0.000552999,bacterial flagellin N-terminus
AEZ55_1304,-1.057139964,4.40752517,9.464882131,0.002094429,"transporter, BCCT family protein"
AEZ55_1867,-1.053877628,9.206311246,5.789156507,0.016125324,conserved hypothetical protein
AEZ55_1242,-1.052664071,5.332760703,13.77342571,0.000206233,"sortase, marine proteobacterial type"
AEZ55_3059,-1.04593976,2.159388901,9.702652654,0.001840022,conserved hypothetical protein
AEZ55_2964,-1.044750821,8.085412612,6.526757719,0.010626348,conserved hypothetical protein
AEZ55_4068,-1.040252364,7.648358469,7.554430757,0.00598627,"tryptophan synthase, alpha subunit"
AEZ55_1969,-1.039793114,3.151220577,20.26750951,6.73E-06,conserved domain protein
AEZ55_1798,-1.039717034,7.302183833,4.199738063,0.040430224,hypothetical protein
AEZ55_1306,-1.038006321,6.564761763,9.243636898,0.002363151,choline dehydrogenase
AEZ55_3864,-1.035628372,11.72441647,5.045302118,0.024692801,conserved hypothetical protein
AEZ55_0021,-1.029616954,5.58829093,13.45697397,0.000244097,hypothetical protein
AEZ55_2925,-1.027398974,7.410122838,15.99586603,6.35E-05,"glutathione S-transferase, N-terminal domain"
AEZ55_4893,-1.026502873,5.664858079,13.10411924,0.000294647,2-oxopent-4-enoate hydratase
AEZ55_2207,-1.02095238,5.523557291,12.24344706,0.000466895,chaperonin GroS
AEZ55_4909,-1.019724393,5.01735304,16.64517853,4.51E-05,"transposase, IS4 family"
AEZ55_1948,-1.018780431,9.713026345,4.990455876,0.025487493,ferric reductase like transmembrane component
AEZ55_1175,-1.017834793,4.773608954,7.263808434,0.007035793,SIS domain protein
AEZ55_1401,-1.017693519,6.330959899,12.04724876,0.000518689,conserved hypothetical protein
AEZ55_5008,-1.01685821,6.688286307,16.64689342,4.50E-05,conserved hypothetical protein
AEZ55_0616,-1.014571371,0.922427255,8.970267778,0.002744084,flavin reductase like domain protein
AEZ55_2906,-1.013087029,-0.240795067,4.366633331,0.036649333,hypothetical protein
AEZ55_0348,-1.007797917,6.029742784,17.03927918,3.66E-05,"ABC transporter, ATP-binding protein"
AEZ55_4508,-1.007527717,10.59738011,5.680888302,0.017150682,TonB-dependent receptor plug domain protein
AEZ55_2211,-1.003621657,6.509001199,9.105692738,0.002548152,"peptidase, M23 family"
AEZ55_4582,-1.00314755,8.236800805,8.030551022,0.004599484,nitroreductase family protein
AEZ55_1400,-1.001611744,5.712458617,10.88615631,0.000968857,glutathionylspermidine synthase
AEZ55_1176,-1.0014092,4.304280454,10.55056251,0.001161527,N-acetylglucosamine-6-phosphate deacetylase
AEZ55_1902,1.020407324,1.083237314,7.513759318,0.006122945,conserved hypothetical protein
AEZ55_4853,1.025676514,1.617013614,11.96494797,0.000542107,hypothetical protein
AEZ55_2851,1.040122312,1.654159033,10.15949745,0.001435597,ribosomal protein L29
AEZ55_3785,1.060559953,5.781376765,22.79672398,1.80E-06,stearoyl-CoA 9-desaturase
AEZ55_1320,1.131516545,4.463881852,4.186547051,0.040746008,conserved hypothetical protein
AEZ55_0835,1.166031786,-0.275071646,6.107013019,0.01346465,hypothetical protein
AEZ55_0129,1.367610704,7.618629698,4.117969848,0.042429967,nickel-dependent hydrogenases B-type cytochrome
AEZ55_4697,1.506047187,7.642822228,7.557767508,0.005975197,conserved domain protein
AEZ55_2005,1.634635497,10.01238302,6.065728877,0.013782986,flavodoxin-like fold protein
AEZ55_1113,1.675525008,-1.239743624,5.691158626,0.017050593,conserved hypothetical protein
AEZ55_2796,1.691314829,-1.582332276,4.951544957,0.026067364,chemotaxis protein CheY
AEZ55_2121,1.754344433,7.10485369,4.132111113,0.042076828,DoxX protein
AEZ55_2128,1.834924764,7.348127239,7.607397016,0.005812934,cupin domain protein
AEZ55_3786,3.589112274,-1.62090966,13.190601,0.000281357,conserved hypothetical protein
