ID,organism,eggnog_predicted_gene_name,eggnog_predicted_gene_description,eggnog_predicted_COG,KEGG_predicted_gene_name,KEGG_predicted_KEGG_identifier,day2_LFC,day2_pvalue,day2_padj,day4_LFC,day4_pvalue,day4_padj,day5_LFC,day5_pvalue,day5_padj
1_1032_MED4_genome,MED4,secD,Part of the Sec protein translocase complex. Interacts with the SecYEG preprotein conducting channel. SecDF uses the proton motive force (PMF) to complete protein translocation after the ATP-dependent function of SecA,U,secD; preprotein translocase subunit SecD,K03072,-0.232228014,0.457632961,0.711256406,-0.088173521,0.62897263,1,0.051417698,0.814909445,1
1_1033_MED4_genome,MED4,pdhB,Pyruvate dehydrogenase E1 component beta subunit,C,"PDHB, pdhB; pyruvate dehydrogenase E1 component subunit beta [EC:1.2.4.1]",K00162,-0.74685418,0.098617573,0.621338653,-0.05703476,0.807886094,1,-0.042927479,0.725107537,1
1_1034_MED4_genome,MED4,,Alternative locus ID,S,,,0.107013111,0.906078535,0.949578214,-0.206073593,0.490179776,1,0.585076019,0.029852608,1
1_1035_MED4_genome,MED4,ispE,Catalyzes the phosphorylation of the position 2 hydroxy group of 4-diphosphocytidyl-2C-methyl-D-erythritol,F,ispE; 4-diphosphocytidyl-2-C-methyl-D-erythritol kinase [EC:2.7.1.148],K00919,-0.11487198,0.747925151,0.862403491,0.037489827,0.886241677,1,0.352776242,0.100363637,1
1_1036_MED4_genome,MED4,ksgA,Specifically dimethylates two adjacent adenosines (A1518 and A1519) in the loop of a conserved hairpin near the 3'-end of 16S rRNA in the 30S particle. May play a critical role in biogenesis of 30S subunits,J,ksgA; 16S rRNA (adenine1518-N6/adenine1519-N6)-dimethyltransferase [EC:2.1.1.182],K02528,0.072865077,0.834384482,0.910465466,0.052873824,0.862525181,1,0.207100699,0.307767889,1
1_1037_MED4_genome,MED4,,Alternative locus ID,S,,,-0.719210852,0.12316476,0.621338653,0.019253298,0.922346544,1,-0.032545085,0.873924245,1
1_1038_MED4_genome,MED4,rlmH,Specifically methylates the pseudouridine at position 1915 (m3Psi1915) in 23S rRNA,J,rlmH; 23S rRNA (pseudouridine1915-N3)-methyltransferase [EC:2.1.1.177],K00783,1.484266194,0.58004468,0.778662355,0.405295068,0.381078729,1,0.755279806,0.048845151,1
1_1039_MED4_genome,MED4,umuD,Belongs to the peptidase S24 family,KT,umuD; DNA polymerase V [EC:3.4.21.-],K03503,1.034489571,0.203526153,0.622126319,0.656709034,0.13824381,1,0.392430615,0.351960914,1
1_104_MED4_genome,MED4,,Alternative locus ID,S,,,0.64982623,0.227921768,0.629961848,-0.208931198,0.461788051,1,0.205996586,0.366325781,1
1_1040_MED4_genome,MED4,umuC,lesion bypass DNA polymerase V (UmuC),L,umuC; DNA polymerase V,K03502,0.193046814,0.673297866,0.822776846,0.131196734,0.766743645,1,0.223611278,0.458733497,1
1_1041_MED4_genome,MED4,,Alternative locus ID,H,,,-0.623128769,0.220780311,0.628898664,0.159444855,0.752971296,1,-0.03945261,0.927133932,1
1_1042_MED4_genome,MED4,dnaG,RNA polymerase that catalyzes the synthesis of short RNA molecules used as primers for DNA polymerase during DNA replication,L,dnaG; DNA primase [EC:2.7.7.101],K02316,0.356111291,0.51476701,0.745621563,0.220989179,0.551847278,1,0.158706036,0.541150076,1
1_1043_MED4_genome,MED4,,Integral membrane protein,EG,,,1.269853105,0.237425648,0.629961848,-0.028020908,0.941727265,1,0.265198973,0.460229769,1
1_1044_MED4_genome,MED4,,Alternative locus ID,S,,,-2.11541601,0.025498713,0.621338653,0.005232692,0.989966042,1,-0.389218716,0.052590446,1
1_1045_MED4_genome,MED4,ruvA,"The RuvA-RuvB complex in the presence of ATP renatures cruciform structure in supercoiled DNA with palindromic sequence, indicating that it may promote strand exchange reactions in homologous recombination. RuvAB is a helicase that mediates the Holliday junction migration by localized denaturation and reannealing. RuvA stimulates, in the presence of DNA, the weak ATPase activity of RuvB",L,ruvA; holliday junction DNA helicase RuvA,K03550,-0.513610315,0.121044623,0.621338653,0.305923977,0.246109189,1,0.038235225,0.887502108,1
1_1046_MED4_genome,MED4,rpsO,"One of the primary rRNA binding proteins, it binds directly to 16S rRNA where it helps nucleate assembly of the platform of the 30S subunit by binding and bridging several RNA helices of the 16S rRNA",J,"RP-S15, MRPS15, rpsO; small subunit ribosomal protein S15",K02956,-2.205763516,0.057089459,0.621338653,-0.621424952,0.257627035,1,-0.279807564,0.174047118,1
1_1047_MED4_genome,MED4,,Alternative locus ID,S,,,-0.7081166,0.199321749,0.621338653,-0.328116323,0.371121106,1,-0.12107527,0.622554215,1
1_1048_MED4_genome,MED4,dnaE,DNA polymerase,L,dnaE; DNA polymerase III subunit alpha [EC:2.7.7.7],K02337,0.003252236,0.991608931,1,0.026000741,0.880078765,1,0.052669232,0.730742551,1
1_1049_MED4_genome,MED4,gatA,Allows the formation of correctly charged Gln-tRNA(Gln) through the transamidation of misacylated Glu-tRNA(Gln) in organisms which lack glutaminyl-tRNA synthetase. The reaction takes place in the presence of glutamine and ATP through an activated gamma-phospho-Glu-tRNA(Gln),J,"gatA, QRSL1; aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit A [EC:6.3.5.6 6.3.5.7]",K02433,0.433786795,0.289342791,0.641833142,-0.239013098,0.352230499,1,0.142254774,0.350204356,1
1_105_MED4_genome,MED4,nadB,Catalyzes the oxidation of L-aspartate to iminoaspartate,H,nadB; L-aspartate oxidase [EC:1.4.3.16],K00278,0.886755401,0.343353778,0.667593733,0.080889936,0.811407153,1,0.061353883,0.674164602,1
1_1050_MED4_genome,MED4,,Alternative locus ID,T,,,-1.607089058,0.048107629,0.621338653,-0.187786418,0.545702718,1,-0.545518997,0.014347072,1
1_1051_MED4_genome,MED4,rlmB,Belongs to the class IV-like SAM-binding methyltransferase superfamily. RNA methyltransferase TrmH family,J,rlmB; 23S rRNA (guanosine2251-2'-O)-methyltransferase [EC:2.1.1.185],K03218,0.785882172,0.238161839,0.629961848,-0.113308365,0.654860432,1,0.139842924,0.288818249,1
1_1052_MED4_genome,MED4,mrnC,Involved in correct processing of both the 5' and 3' ends of 23S rRNA precursor. Processes 30S rRNA precursor transcript even in absence of ribonuclease 3 (Rnc),J,mrnC; mini-ribonuclease III [EC:3.1.26.-],K11145,0.862578901,0.105480026,0.621338653,-0.575724115,0.306375193,1,0.134744389,0.32988659,1
1_1053_MED4_genome,MED4,carA,Belongs to the CarA family,F,"carA, CPA1; carbamoyl-phosphate synthase small subunit [EC:6.3.5.5]",K01956,0.61222693,0.146484688,0.621338653,-0.278452037,0.170464539,1,0.177371849,0.212905448,1
1_1054_MED4_genome,MED4,trpD,Catalyzes the transfer of the phosphoribosyl group of 5- phosphorylribose-1-pyrophosphate (PRPP) to anthranilate to yield N-(5'-phosphoribosyl)-anthranilate (PRA),F,trpD; anthranilate phosphoribosyltransferase [EC:2.4.2.18],K00766,-0.312747724,0.385749222,0.679215633,-0.535154237,0.176297634,1,0.043159539,0.747224103,1
1_1055_MED4_genome,MED4,,Protein of unknown function (DUF3288),S,,,-1.495210979,0.087142179,0.621338653,-0.547699425,0.205208988,1,0.053696719,0.831134278,1
1_1056_MED4_genome,MED4,,ABC transporter,V,"mdlA, smdA; ATP-binding cassette, subfamily B, multidrug efflux pump",K18889,0.438923907,0.520618456,0.748318637,0.13053032,0.743158713,1,0.391782708,0.043400582,1
1_1057_MED4_genome,MED4,msrA,Has an important function as a repair enzyme for proteins that have been inactivated by oxidation. Catalyzes the reversible oxidation-reduction of methionine sulfoxide in proteins to methionine,O,msrA; peptide-methionine (S)-S-oxide reductase [EC:1.8.4.11],K07304,-0.077423007,0.793481977,0.890997069,0.116741713,0.66944947,1,0.11361943,0.683748414,1
1_1058_MED4_genome,MED4,,None,None,,,-0.774019331,0.088741266,0.621338653,0.14989204,0.532178953,1,0.427332247,0.232759385,1
1_1059_MED4_genome,MED4,uppP,Catalyzes the dephosphorylation of undecaprenyl diphosphate (UPP). Confers resistance to bacitracin,V,bacA; undecaprenyl-diphosphatase [EC:3.6.1.27],K06153,1.118320134,0.148631917,0.621338653,-0.133336689,0.760985657,1,0.315709988,0.074996073,1
1_106_MED4_genome,MED4,,Alternative locus ID,CO,,,-0.55193656,0.151499035,0.621338653,-0.107407594,0.609422244,1,-0.121830752,0.360806852,1
1_1060_MED4_genome,MED4,,Alternative locus ID,S,,,-1.040003975,0.054336095,0.621338653,0.126280818,0.817983842,1,-0.161265683,0.461873304,1
1_1061_MED4_genome,MED4,,Alternative locus ID,S,,,-0.569952534,0.227455662,0.629961848,-0.19105191,0.700054688,1,0.103057504,0.566263245,1
1_1062_MED4_genome,MED4,,Alternative locus ID,S,,,-0.586910341,0.289265317,0.641833142,0.057613461,0.900601829,1,-0.083465347,0.725600279,1
1_1063_MED4_genome,MED4,,Alternative locus ID,S,,,0.951522145,0.272740379,0.639652889,0.238475621,0.475958055,1,0.158531699,0.30776838,1
1_1064_MED4_genome,MED4,,Alternative locus ID,S,GLYK; D-glycerate 3-kinase [EC:2.7.1.31],K15918,1.035353902,0.377610395,0.678943893,-0.008262303,0.977411142,1,-0.102040259,0.593732075,1
1_1065_MED4_genome,MED4,,Alternative locus ID,S,E3.1.3.70; mannosyl-3-phosphoglycerate phosphatase [EC:3.1.3.70],K07026,0.069908604,0.839659454,0.912841096,0.283512197,0.197631867,1,0.103391924,0.710233258,1
1_1066_MED4_genome,MED4,amyA,Alternative locus ID,G,E2.4.1.7; sucrose phosphorylase [EC:2.4.1.7],K00690,0.664876269,0.24212186,0.629961848,0.040347465,0.860793139,1,-0.075118425,0.564317953,1
1_1067_MED4_genome,MED4,,Alternative locus ID,M,gpgS; glucosyl-3-phosphoglycerate synthase [EC:2.4.1.266],K13693,0.449469163,0.247544659,0.629961848,-0.066254616,0.764561433,1,0.019937688,0.896561908,1
1_1068_MED4_genome,MED4,ureC,Belongs to the metallo-dependent hydrolases superfamily. Urease alpha subunit family,E,ureC; urease subunit alpha [EC:3.5.1.5],K01428,0.742090359,0.121048773,0.621338653,0.008938871,0.966935729,1,0.232029552,0.159576062,1
1_1069_MED4_genome,MED4,ureB,Belongs to the urease beta subunit family,E,ureB; urease subunit beta [EC:3.5.1.5],K01429,0.210925738,0.559131751,0.762637007,-0.273955637,0.216434457,1,0.5038079,0.133745681,1
1_107_MED4_genome,MED4,rimO,Catalyzes the methylthiolation of an aspartic acid residue of ribosomal protein S12,J,rimO; ribosomal protein S12 methylthiotransferase [EC:2.8.4.4],K14441,0.440333108,0.516323807,0.746319062,0.202328153,0.678989978,1,0.32735186,0.091910088,1
1_1070_MED4_genome,MED4,ureA,Belongs to the urease gamma subunit family,E,ureA; urease subunit gamma [EC:3.5.1.5],K01430,-0.37496689,0.43835274,0.704336247,-0.474378827,0.085434125,1,0.040504291,0.824131099,1
1_1071_MED4_genome,MED4,ureD,Required for maturation of urease via the functional incorporation of the urease nickel metallocenter,O,"ureD, ureH; urease accessory protein",K03190,0.403591597,0.371697745,0.676647814,0.145228171,0.643319835,1,-0.002244067,0.987265506,1
1_1072_MED4_genome,MED4,ureE,Involved in urease metallocenter assembly. Binds nickel. Probably functions as a nickel donor during metallocenter assembly,O,ureE; urease accessory protein,K03187,-0.992935962,0.151619368,0.621338653,-0.167893635,0.57897797,1,-0.003324668,0.981967856,1
1_1073_MED4_genome,MED4,ureF,Required for maturation of urease via the functional incorporation of the urease nickel metallocenter,O,ureF; urease accessory protein,K03188,0.31340716,0.524166293,0.748318637,-0.11022999,0.706963912,1,0.18653416,0.406340512,1
1_1074_MED4_genome,MED4,ureG,"Facilitates the functional incorporation of the urease nickel metallocenter. This process requires GTP hydrolysis, probably effectuated by UreG",F,ureG; urease accessory protein,K03189,0.438264,0.348940098,0.669518581,0.045284124,0.900864404,1,-0.047360992,0.751191104,1
1_1075_MED4_genome,MED4,urtA,substrate binding protein,E,urtA; urea transport system substrate-binding protein,K11959,0.810094828,0.10918551,0.621338653,-0.342750911,0.36545954,1,0.380097587,0.395206859,1
1_1076_MED4_genome,MED4,urtB,Belongs to the binding-protein-dependent transport system permease family,E,urtB; urea transport system permease protein,K11960,1.570592798,0.049934304,0.621338653,0.058741219,0.859329345,1,0.389661309,0.038380403,1
1_1077_MED4_genome,MED4,urtC,Belongs to the binding-protein-dependent transport system permease family,E,urtC; urea transport system permease protein,K11961,0.742246453,0.060240577,0.621338653,-0.000467101,0.998599547,1,0.160786339,0.419797094,1
1_1078_MED4_genome,MED4,urtD,Alternative locus ID,S,urtD; urea transport system ATP-binding protein,K11962,0.981055398,0.152680675,0.621338653,0.216227579,0.665997237,1,0.56875775,0.025684136,1
1_1079_MED4_genome,MED4,urtE,Alternative locus ID,E,urtE; urea transport system ATP-binding protein,K11963,-1.158569261,0.063337045,0.621338653,0.514593756,0.415366911,1,0.324738357,0.387481573,1
1_108_MED4_genome,MED4,,,,,,0.438348009,0.346630316,0.669518581,-0.055415975,0.853785853,1,0.744682248,0.012608384,1
1_1080_MED4_genome,MED4,,Alternative locus ID,S,,,0.70793754,0.093705582,0.621338653,0.114965135,0.675810008,1,-0.146498057,0.678850648,1
1_1081_MED4_genome,MED4,,,,,,1.007025897,0.123002176,0.621338653,-0.319943251,0.405905509,1,0.195457927,0.171200152,1
1_1082_MED4_genome,MED4,,Alternative locus ID,S,,,1.255290939,0.149658782,0.621338653,-0.445649638,0.270639813,1,0.678487997,0.034663205,1
1_1083_MED4_genome,MED4,,None,None,,,1.532959984,0.564139745,0.766009173,-0.21346382,0.655777714,1,0.591908426,0.341947407,1
1_1084_MED4_genome,MED4,,Alternative locus ID,S,,,0.183142433,0.642823838,0.801860126,-0.309798422,0.172479395,1,0.055679903,0.842038108,1
1_1085_MED4_genome,MED4,,Alternative locus ID,S,evrA; viologen exporter family transport system ATP-binding protein,K25156,0.326331757,0.452015241,0.707102018,-0.203533132,0.631156359,1,0.515289324,0.038085459,1
1_1086_MED4_genome,MED4,,multidrug efflux ABC transporter,S,evrB; viologen exporter family transport system permease protein,K25155,0.953198697,0.183813538,0.621338653,-0.011315212,0.980104155,1,0.657876548,0.003099278,1
1_1087_MED4_genome,MED4,,multidrug efflux associated,S,evrC; viologen exporter family transport system permease protein,K25154,1.393168836,0.195953058,0.621338653,-0.191977726,0.74168713,1,0.533037215,0.126232258,1
1_1088_MED4_genome,MED4,,Alternative locus ID,S,,,1.301114432,0.355684681,0.672280536,-0.204950432,0.472418063,1,-0.063146484,0.796387069,1
1_1089_MED4_genome,MED4,,Alternative locus ID,S,,,1.005788119,0.357263732,0.672280536,-0.135814277,0.589378678,1,-0.173408556,0.467398295,1
1_109_MED4_genome,MED4,,Alternative locus ID,H,,,-0.086229047,0.830829392,0.907346937,0.109952839,0.663052034,1,0.34071827,0.380881649,1
1_1090_MED4_genome,MED4,,membrane transporter protein,S,K07090; uncharacterized protein,K07090,1.086441675,0.19616671,0.621338653,-0.019321543,0.970577465,1,-0.033097035,0.902109555,1
1_1091_MED4_genome,MED4,,Alternative locus ID,L,,,0.628947936,0.32345758,0.657825033,0.364825383,0.156925764,1,0.084412639,0.631337047,1
1_1092_MED4_genome,MED4,,None,None,,,1.701669563,0.541746833,0.7528975,-0.006176666,0.98836611,1,0.356740563,0.060619294,1
1_1093_MED4_genome,MED4,,Alternative locus ID,S,,,0.990174702,0.232057571,0.629961848,-0.105004056,0.714191821,1,-0.254221576,0.22100426,1
1_1094_MED4_genome,MED4,,Alternative locus ID,S,,,-2.090304217,0.019036615,0.621338653,0.379333202,0.20748382,1,-0.808282202,0.035533995,1
1_1095_MED4_genome,MED4,,Alternative locus ID,S,,,-0.842091519,0.037512837,0.621338653,0.323169154,0.224788855,1,-0.366364731,0.345998292,1
1_1096_MED4_genome,MED4,,Alternative locus ID,S,,,0.388465964,0.686436416,0.828774122,0.464169319,0.289315072,1,-0.05162859,0.858149335,1
1_1097_MED4_genome,MED4,,Alternative locus ID,S,,,-0.173405249,0.590619995,0.780017712,0.338494433,0.218708883,1,-0.150649286,0.407198402,1
1_1098_MED4_genome,MED4,,Alternative locus ID,F,,,0.024168022,0.944658669,0.971451786,0.04535344,0.829964872,1,-0.168360918,0.436360679,1
1_1099_MED4_genome,MED4,,Alternative locus ID,F,,,0.947266385,0.315753016,0.657636568,0.003197448,0.990567122,1,-0.119662661,0.506104188,1
1_11_MED4_genome,MED4,rsbU,Regulator of sigma subunit,KT,rsbU_P; phosphoserine phosphatase RsbU/P [EC:3.1.3.3],K07315,0.439208188,0.306271584,0.648583511,-0.220117259,0.484527227,1,0.114671898,0.420991103,1
1_110_MED4_genome,MED4,,Alternative locus ID,S,K09919; uncharacterized protein,K09919,0.995884037,0.302046972,0.647374634,0.038440455,0.941760413,1,0.203421602,0.403021859,1
1_1100_MED4_genome,MED4,rpsU,Belongs to the bacterial ribosomal protein bS21 family,J,"RP-S21, MRPS21, rpsU; small subunit ribosomal protein S21",K02970,-2.110009177,0.016318656,0.621338653,0.032293562,0.933114194,1,-0.206044282,0.563157549,1
1_1101_MED4_genome,MED4,,Alternative locus ID,L,,,-1.098145267,0.060124811,0.621338653,-0.348911262,0.447861834,1,-0.187097993,0.279518387,1
1_1102_MED4_genome,MED4,,ATP GTP-binding site motif A,F,"udk, UCK; uridine kinase [EC:2.7.1.48]",K00876,0.505493179,0.835705917,0.911118653,0.210042751,0.655572778,1,0.069928047,0.891054089,1
1_1103_MED4_genome,MED4,,Alternative locus ID,S,RNLS; renalase [EC:1.6.3.5],K18208,1.273643619,0.642708894,0.801860126,0.48592233,0.689482383,1,0.368335504,0.703308354,1
1_1104_MED4_genome,MED4,,Alternative locus ID,S,,,1.844381042,0.473276201,0.727158744,0.801282922,0.431148806,1,0.851212981,0.202916432,1
1_1105_MED4_genome,MED4,,Alternative locus ID,S,,,-1.519355567,0.059685096,0.621338653,0.317854879,0.456311422,1,-0.078183086,0.809033145,1
1_1106_MED4_genome,MED4,,Belongs to the peptidase S51 family,E,,,-0.785562932,0.13055331,0.621338653,0.092403051,0.738892514,1,-0.207402236,0.283536387,1
1_1107_MED4_genome,MED4,,Alternative locus ID,M,,,-0.024357326,0.950091641,0.974716568,-0.343658702,0.234471293,1,-0.005402342,0.977474066,1
1_1108_MED4_genome,MED4,,Alternative locus ID,S,,,1.422010964,0.608233274,0.785753947,-0.14761673,0.751427688,1,0.398843552,0.321331937,1
1_1109_MED4_genome,MED4,,Alternative locus ID,S,,,-1.735122833,0.062222548,0.621338653,-0.158105277,0.647640194,1,-0.326760053,0.221603649,1
