,,,,,Total Mutations,,Lineages Represented,
CC9311,400ppm,SYNC_RS02025,30S ribosomal protein S5,0.023,8,0,1,0
CC9311,400ppm,SYNC_RS02220,phosphoenolpyruvate carboxylase,0.565,3,1,3,1
CC9311,400ppm,SYNC_RS04280,thioredoxin-disulfide reductase,0.389,3,0,3,0
CC9311,800 ppm,SYNC_RS00070,PP2C family protein-serine/threonine phosphatase,0.389,3,6,1,4
CC9311,800 ppm,SYNC_RS01270,helix-turn-helix domain-containing protein,0.086,1,7,1,3
CC9311,800 ppm,SYNC_RS01485,alpha-mannosidase,0.389,1,4,1,3
CC9311,800 ppm,SYNC_RS03615,hydantoin utilization protein A,0.565,2,4,2,3
CC9311,800 ppm,SYNC_RS06095,chloride channel protein,0.774,4,3,2,3
CC9311,800 ppm,SYNC_RS06850,endoglucanase,0.152,0,5,0,3
CC9311,800 ppm,SYNC_RS09920,tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex transferase subunit TsaD,0.251,2,6,2,4
CC9311,800 ppm,SYNC_RS12965,SDR family NAD(P)-dependent oxidoreductase,0.251,0,4,0,3
PCC6803,Both,sll0058,molecular chaperone DnaK,0.545,3,4,3,4
PCC6803,Both,sll0626,LIM17 protein,1,5,5,5,5
PCC6803,Both,sll1165,DNA mismatch repair protein MutS,0.545,6,5,5,5
PCC6803,Both,sll1181,HlyD family secretion protein,1,5,5,5,5
PCC6803,Both,sll1296,CheA like-protein,0.545,4,5,4,4
PCC6803,Both,sll1350,hypothetical protein,0.545,4,5,4,4
PCC6803,Both,sll1615,tRNA modification GTPase TrmE,1,4,4,4,4
PCC6803,Both,sll5080,non-heme chloroperoxidase,1,4,4,4,4
PCC6803,Both,slr0161,twitching motility protein,1,5,5,5,5
PCC6803,Both,slr0895,hypothetical protein,1,5,5,5,5
PCC6803,Both,slr1916,esterase,0.545,3,4,3,4
PCC6803,Both,slr1962,hypothetical protein,0.545,5,4,4,4
PCC6803,Both,ssr6089,hypothetical protein,0.545,4,5,4,5
PCC6803,400 ppm,sll0923,exopolysaccharide export protein,0.227,3,1,3,1
PCC6803,400 ppm,slr1122,hypothetical protein,0.545,4,3,3,2
PCC6803,400 ppm,slr1635,transposase,0.227,4,2,4,2
PCC6803,400 ppm,slr1664,hypothetical protein,0.227,3,1,3,1
PCC6803,800 ppm,sll0043,CheA like-protein,0.07,0,3,0,3
PCC6803,800 ppm,sll0063,hypothetical protein,0.545,2,3,2,3
PCC6803,800 ppm,sll1452,nitrate transport protein NrtC,0.003,0,5,0,3
PCC6803,800 ppm,sll7075,hypothetical protein,0.07,0,3,0,3
PCC6803,800 ppm,slr0408,integrin alpha subunit protein,0.227,2,4,1,3
PCC6803,800 ppm,slr0755,hypothetical protein,0.227,2,4,1,4
CCMP1005,Both,THAOC_00048,hypothetical protein,1,3,3,3,3
CCMP1005,Both,THAOC_00050,hypothetical protein,0.691,5,8,3,4
CCMP1005,Both,THAOC_00139,hypothetical protein,0.691,5,8,4,5
CCMP1005,Both,THAOC_00173,hypothetical protein,0.691,3,6,3,6
CCMP1005,Both,THAOC_00469,hypothetical protein,0.596,3,7,3,6
CCMP1005,Both,THAOC_00477,hypothetical protein,0.426,6,12,3,6
CCMP1005,Both,THAOC_00482,hypothetical protein,0.507,3,8,3,6
CCMP1005,Both,THAOC_00538,hypothetical protein,0.289,30,38,6,6
CCMP1005,Both,THAOC_00551,hypothetical protein,0.233,7,16,3,4
CCMP1005,Both,THAOC_00579,hypothetical protein,1,3,3,3,3
CCMP1005,Both,THAOC_00597,hypothetical protein,0.289,5,13,3,5
CCMP1005,Both,THAOC_00693,hypothetical protein,0.895,3,4,3,4
CCMP1005,Both,THAOC_00755,hypothetical protein,0.596,3,7,3,6
CCMP1005,Both,THAOC_00784,hypothetical protein,0.791,3,5,3,3
CCMP1005,Both,THAOC_00876,hypothetical protein,0.791,3,5,3,5
CCMP1005,Both,THAOC_00922,hypothetical protein,0.691,3,6,3,6
CCMP1005,Both,THAOC_01004,hypothetical protein,1,3,3,3,3
CCMP1005,Both,THAOC_01156,hypothetical protein,0.895,6,7,3,4
CCMP1005,Both,THAOC_01163,hypothetical protein,0.895,3,4,3,4
CCMP1005,Both,THAOC_01221,hypothetical protein,1,9,9,4,3
CCMP1005,Both,THAOC_01409,hypothetical protein,0.691,3,6,3,5
CCMP1005,Both,THAOC_01421,hypothetical protein,0.791,3,5,3,5
CCMP1005,Both,THAOC_01441,hypothetical protein,0.047,12,27,6,6
CCMP1005,Both,THAOC_01443,hypothetical protein,0.112,5,17,5,5
CCMP1005,Both,THAOC_01575,hypothetical protein,0.895,42,43,6,6
CCMP1005,Both,THAOC_01624,hypothetical protein,0.507,6,11,4,6
CCMP1005,Both,THAOC_01807,hypothetical protein,0.004,38,60,6,6
CCMP1005,Both,THAOC_01953,hypothetical protein,0.426,24,30,6,6
CCMP1005,Both,THAOC_02182,hypothetical protein,0.691,10,13,4,4
CCMP1005,Both,THAOC_02192,hypothetical protein,0.112,36,48,6,6
CCMP1005,Both,THAOC_02456,hypothetical protein,1,12,12,6,6
CCMP1005,Both,THAOC_02525,hypothetical protein,0,97,130,6,6
CCMP1005,Both,THAOC_02647,hypothetical protein,0.426,14,20,4,5
CCMP1005,Both,THAOC_02737,hypothetical protein,0.233,23,32,4,6
CCMP1005,Both,THAOC_02990,hypothetical protein,0.002,52,75,6,6
CCMP1005,Both,THAOC_03358,hypothetical protein,0.691,42,45,6,6
CCMP1005,Both,THAOC_03564,hypothetical protein,0,92,140,6,6
CCMP1005,Both,THAOC_03570,hypothetical protein,0.233,8,17,4,5
CCMP1005,Both,THAOC_03609,hypothetical protein,0.791,3,5,3,5
CCMP1005,Both,THAOC_03658,hypothetical protein,0.017,18,36,6,6
CCMP1005,Both,THAOC_04034,hypothetical protein,0.289,11,19,3,6
CCMP1005,Both,THAOC_04358,hypothetical protein,1,54,54,6,6
CCMP1005,Both,THAOC_04646,hypothetical protein,0.085,25,38,6,6
CCMP1005,Both,THAOC_04823,hypothetical protein,0,10,38,4,4
CCMP1005,Both,THAOC_04955,hypothetical protein,1,82,82,6,6
CCMP1005,Both,THAOC_05259,hypothetical protein,0.791,4,6,4,6
CCMP1005,Both,THAOC_05367,hypothetical protein,0.691,5,8,3,4
CCMP1005,Both,THAOC_05378,hypothetical protein,0.063,8,22,6,6
CCMP1005,Both,THAOC_05653,hypothetical protein,0.289,38,46,6,6
CCMP1005,Both,THAOC_05797,hypothetical protein,0.791,75,77,6,6
CCMP1005,Both,THAOC_05907,hypothetical protein,0.233,8,17,4,6
CCMP1005,Both,THAOC_05922,hypothetical protein,0.507,73,78,6,6
CCMP1005,Both,THAOC_05991,hypothetical protein,0.001,19,43,6,6
CCMP1005,Both,THAOC_06132,hypothetical protein,0.895,4,5,4,5
CCMP1005,Both,THAOC_06225,hypothetical protein,0.791,13,15,6,6
CCMP1005,Both,THAOC_06506,hypothetical protein,0.034,9,25,3,6
CCMP1005,Both,THAOC_06589,hypothetical protein,0.691,7,10,4,5
CCMP1005,Both,THAOC_06642,hypothetical protein,0.691,6,9,6,5
CCMP1005,Both,THAOC_07205,hypothetical protein,0.426,33,39,6,6
CCMP1005,Both,THAOC_07231,hypothetical protein,0.895,18,19,3,3
CCMP1005,Both,THAOC_07301,hypothetical protein,0.691,34,37,6,6
CCMP1005,Both,THAOC_07343,hypothetical protein,0.791,16,18,6,6
CCMP1005,Both,THAOC_07462,hypothetical protein,0.791,9,11,6,6
CCMP1005,Both,THAOC_07561,hypothetical protein,1,74,74,6,6
CCMP1005,Both,THAOC_07615,hypothetical protein,0.426,16,22,4,5
CCMP1005,Both,THAOC_07779,hypothetical protein,0.233,5,14,4,6
CCMP1005,Both,THAOC_07780,hypothetical protein,0.791,4,6,4,6
CCMP1005,Both,THAOC_07851,hypothetical protein,0.596,26,22,4,6
CCMP1005,Both,THAOC_07905,hypothetical protein,0.507,12,17,6,6
CCMP1005,Both,THAOC_07992,hypothetical protein,0.426,77,83,6,6
CCMP1005,Both,THAOC_08092,hypothetical protein,0.426,17,23,3,5
CCMP1005,Both,THAOC_08180,hypothetical protein,0.691,72,75,6,6
CCMP1005,Both,THAOC_08181,hypothetical protein,0.289,77,69,6,6
CCMP1005,Both,THAOC_08197,hypothetical protein,1,7,7,3,3
CCMP1005,Both,THAOC_08360,hypothetical protein,0.895,11,12,6,6
CCMP1005,Both,THAOC_08671,hypothetical protein,1,69,69,6,6
CCMP1005,Both,THAOC_08828,hypothetical protein,0.024,11,28,6,6
CCMP1005,Both,THAOC_08957,hypothetical protein,0.426,99,105,6,6
CCMP1005,Both,THAOC_08971,hypothetical protein,0.185,8,18,6,6
CCMP1005,Both,THAOC_09026,hypothetical protein,0,24,80,6,6
CCMP1005,Both,THAOC_09027,hypothetical protein,0.895,5,6,5,6
CCMP1005,Both,THAOC_09038,hypothetical protein,0.691,4,7,3,6
CCMP1005,Both,THAOC_09160,hypothetical protein,0.596,67,63,6,6
CCMP1005,Both,THAOC_09217,hypothetical protein,0,62,97,6,6
CCMP1005,Both,THAOC_09307,hypothetical protein,0.112,8,20,4,6
CCMP1005,Both,THAOC_09415,hypothetical protein,0.008,64,84,6,6
CCMP1005,Both,THAOC_09472,hypothetical protein,0.507,6,11,3,5
CCMP1005,Both,THAOC_09505,hypothetical protein,0.145,129,140,6,6
CCMP1005,Both,THAOC_09507,hypothetical protein,0.017,30,48,6,6
CCMP1005,Both,THAOC_09538,hypothetical protein,0.004,63,85,6,6
CCMP1005,Both,THAOC_09571,hypothetical protein,0.895,5,6,3,3
CCMP1005,Both,THAOC_09645,hypothetical protein,0.791,8,10,3,4
CCMP1005,Both,THAOC_09692,hypothetical protein,0.063,12,26,6,6
CCMP1005,Both,THAOC_09742,hypothetical protein,0.507,10,15,3,5
CCMP1005,Both,THAOC_09801,hypothetical protein,0.145,13,24,3,5
CCMP1005,Both,THAOC_10057,hypothetical protein,0.001,59,83,6,6
CCMP1005,Both,THAOC_10070,hypothetical protein,0.145,12,23,3,6
CCMP1005,Both,THAOC_10120,hypothetical protein,0.289,8,16,4,4
CCMP1005,Both,THAOC_10262,hypothetical protein,0.895,56,57,6,6
CCMP1005,Both,THAOC_10390,hypothetical protein,0.895,14,13,6,6
CCMP1005,Both,THAOC_10820,hypothetical protein,0.353,21,28,3,4
CCMP1005,Both,THAOC_10840,hypothetical protein,0.691,24,21,3,3
CCMP1005,Both,THAOC_10871,hypothetical protein,0.596,11,7,3,3
CCMP1005,Both,THAOC_11022,hypothetical protein,0.691,3,6,3,6
CCMP1005,Both,THAOC_11202,hypothetical protein,0.001,60,85,6,6
CCMP1005,Both,THAOC_11307,hypothetical protein,0.426,61,67,6,6
CCMP1005,Both,THAOC_11468,hypothetical protein,0.145,9,20,4,5
CCMP1005,Both,THAOC_11473,hypothetical protein,0.112,59,47,6,6
CCMP1005,Both,THAOC_11580,hypothetical protein,1,51,51,6,6
CCMP1005,Both,THAOC_11661,hypothetical protein,0.791,8,10,6,5
CCMP1005,Both,THAOC_11797,hypothetical protein,1,4,4,3,3
CCMP1005,Both,THAOC_12013,hypothetical protein,0.008,73,93,6,6
CCMP1005,Both,THAOC_12182,hypothetical protein,0,51,89,6,6
CCMP1005,Both,THAOC_12243,hypothetical protein,0,50,85,6,6
CCMP1005,Both,THAOC_12254,hypothetical protein,0.691,34,37,6,6
CCMP1005,Both,THAOC_12402,hypothetical protein,0.895,18,19,3,3
CCMP1005,Both,THAOC_12454,hypothetical protein,0.426,54,60,6,6
CCMP1005,Both,THAOC_12460,hypothetical protein,0.004,48,26,6,6
CCMP1005,Both,THAOC_12592,hypothetical protein,1,10,10,4,5
CCMP1005,Both,THAOC_12613,hypothetical protein,0.507,21,16,3,3
CCMP1005,Both,THAOC_12715,hypothetical protein,0.895,15,16,6,6
CCMP1005,Both,THAOC_12758,hypothetical protein,1,60,60,6,6
CCMP1005,Both,THAOC_12804,hypothetical protein,0,70,11,6,6
CCMP1005,Both,THAOC_12900,hypothetical protein,0.353,34,41,6,6
CCMP1005,Both,THAOC_12944,hypothetical protein,0.507,88,93,6,6
CCMP1005,Both,THAOC_12954,hypothetical protein,1,8,8,4,4
CCMP1005,Both,THAOC_12963,hypothetical protein,0.895,27,28,6,6
CCMP1005,Both,THAOC_13005,hypothetical protein,0.289,16,24,6,6
CCMP1005,Both,THAOC_13021,hypothetical protein,0.791,56,58,6,6
CCMP1005,Both,THAOC_13118,hypothetical protein,0.791,55,53,6,6
CCMP1005,Both,THAOC_13129,hypothetical protein,1,60,60,6,6
CCMP1005,Both,THAOC_13222,hypothetical protein,0,134,169,6,6
CCMP1005,Both,THAOC_13308,hypothetical protein,0.507,49,54,6,6
CCMP1005,Both,THAOC_13326,hypothetical protein,0,77,117,6,6
CCMP1005,Both,THAOC_13364,hypothetical protein,0.426,4,10,3,4
CCMP1005,Both,THAOC_13400,hypothetical protein,1,132,132,6,6
CCMP1005,Both,THAOC_13439,hypothetical protein,0.791,69,71,6,6
CCMP1005,Both,THAOC_13555,hypothetical protein,0.185,64,74,6,6
CCMP1005,Both,THAOC_13652,hypothetical protein,1,48,48,6,6
CCMP1005,Both,THAOC_13675,hypothetical protein,0.691,54,57,6,6
CCMP1005,Both,THAOC_13750,hypothetical protein,0.596,7,11,6,5
CCMP1005,Both,THAOC_13768,hypothetical protein,0.185,29,39,6,6
CCMP1005,Both,THAOC_13772,hypothetical protein,0.596,7,11,6,6
CCMP1005,Both,THAOC_13909,hypothetical protein,0.005,34,55,6,6
CCMP1005,Both,THAOC_13981,hypothetical protein,0.596,57,61,6,6
CCMP1005,Both,THAOC_14097,hypothetical protein,0.005,11,32,4,6
CCMP1005,Both,THAOC_14103,hypothetical protein,0.507,32,37,6,6
CCMP1005,Both,THAOC_14190,hypothetical protein,1,60,60,6,6
CCMP1005,Both,THAOC_14334,hypothetical protein,0.233,60,69,6,6
CCMP1005,Both,THAOC_14372,hypothetical protein,0.596,56,52,6,6
CCMP1005,Both,THAOC_14520,hypothetical protein,1,12,12,6,6
CCMP1005,Both,THAOC_14542,hypothetical protein,0.001,63,89,6,6
CCMP1005,Both,THAOC_14703,hypothetical protein,0.791,4,6,4,6
CCMP1005,Both,THAOC_14717,hypothetical protein,0.791,11,13,6,6
CCMP1005,Both,THAOC_14788,hypothetical protein,1,49,49,6,6
CCMP1005,Both,THAOC_14794,hypothetical protein,0.145,43,54,6,6
CCMP1005,Both,THAOC_14804,hypothetical protein,0.895,12,11,6,6
CCMP1005,Both,THAOC_14860,hypothetical protein,0.791,22,20,4,5
CCMP1005,Both,THAOC_14984,hypothetical protein,0.289,78,86,6,6
CCMP1005,Both,THAOC_15053,hypothetical protein,0.791,58,60,6,6
CCMP1005,Both,THAOC_15203,hypothetical protein,0.185,73,83,6,6
CCMP1005,Both,THAOC_15452,hypothetical protein,0,118,160,6,6
CCMP1005,Both,THAOC_15507,hypothetical protein,0.507,10,5,6,4
CCMP1005,Both,THAOC_15564,hypothetical protein,0.185,26,36,6,6
CCMP1005,Both,THAOC_15681,hypothetical protein,0.185,7,17,3,6
CCMP1005,Both,THAOC_15692,hypothetical protein,0.895,107,108,6,6
CCMP1005,Both,THAOC_15696,hypothetical protein,0.596,20,24,6,6
CCMP1005,Both,THAOC_15734,hypothetical protein,0.691,45,48,6,6
CCMP1005,Both,THAOC_15785,hypothetical protein,0.791,70,72,6,6
CCMP1005,Both,THAOC_15815,hypothetical protein,0.895,4,5,4,5
CCMP1005,Both,THAOC_15975,hypothetical protein,0.047,105,120,6,6
CCMP1005,Both,THAOC_15993,hypothetical protein,0.791,82,84,6,6
CCMP1005,Both,THAOC_16261,hypothetical protein,0.596,10,14,6,5
CCMP1005,Both,THAOC_16272,hypothetical protein,0.289,63,71,6,6
CCMP1005,Both,THAOC_16279,hypothetical protein,0.289,14,22,6,6
CCMP1005,Both,THAOC_16332,hypothetical protein,0.289,15,23,6,6
CCMP1005,Both,THAOC_16391,hypothetical protein,0.507,53,58,6,6
CCMP1005,Both,THAOC_16396,hypothetical protein,0.426,33,39,6,6
CCMP1005,Both,THAOC_16519,hypothetical protein,0.017,19,37,6,6
CCMP1005,Both,THAOC_16586,hypothetical protein,0.005,47,68,6,6
CCMP1005,Both,THAOC_16678,hypothetical protein,0.895,19,20,6,6
CCMP1005,Both,THAOC_16742,hypothetical protein,0.145,67,56,6,5
CCMP1005,Both,THAOC_16758,hypothetical protein,0.145,13,24,6,6
CCMP1005,Both,THAOC_16770,hypothetical protein,0.691,42,45,6,6
CCMP1005,Both,THAOC_16807,hypothetical protein,1,53,53,6,6
CCMP1005,Both,THAOC_16839,hypothetical protein,0.691,40,43,6,6
CCMP1005,Both,THAOC_16916,hypothetical protein,1,6,6,6,6
CCMP1005,Both,THAOC_16946,hypothetical protein,0.085,62,75,6,6
CCMP1005,Both,THAOC_17029,hypothetical protein,0.895,48,49,6,6
CCMP1005,Both,THAOC_17067,hypothetical protein,0.791,82,84,6,6
CCMP1005,Both,THAOC_17118,hypothetical protein,0.596,43,47,6,6
CCMP1005,Both,THAOC_17360,hypothetical protein,0.895,4,3,4,3
CCMP1005,Both,THAOC_17382,hypothetical protein,0.895,5,4,4,4
CCMP1005,Both,THAOC_17409,hypothetical protein,0.791,4,6,3,5
CCMP1005,Both,THAOC_17430,hypothetical protein,0.233,34,43,6,6
CCMP1005,Both,THAOC_17531,hypothetical protein,0.233,67,58,6,6
CCMP1005,Both,THAOC_17571,hypothetical protein,0.289,12,20,6,6
CCMP1005,Both,THAOC_17574,hypothetical protein,0.353,6,13,3,6
CCMP1005,Both,THAOC_17836,hypothetical protein,0.691,8,11,4,6
CCMP1005,Both,THAOC_17946,hypothetical protein,0.596,36,32,6,6
CCMP1005,Both,THAOC_18006,hypothetical protein,0.691,11,14,3,6
CCMP1005,Both,THAOC_18125,hypothetical protein,0.596,7,3,4,3
CCMP1005,Both,THAOC_18155,hypothetical protein,0.024,102,119,6,6
CCMP1005,Both,THAOC_18206,hypothetical protein,0.426,17,23,6,6
CCMP1005,Both,THAOC_18208,hypothetical protein,0.233,48,57,6,6
CCMP1005,Both,THAOC_18219,hypothetical protein,1,41,41,6,6
CCMP1005,Both,THAOC_18225,hypothetical protein,0.791,3,5,3,5
CCMP1005,Both,THAOC_18369,hypothetical protein,0.145,44,55,6,6
CCMP1005,Both,THAOC_18440,hypothetical protein,0.185,25,35,6,6
CCMP1005,Both,THAOC_18484,hypothetical protein,0.791,66,68,6,6
CCMP1005,Both,THAOC_18534,hypothetical protein,0.047,36,51,6,6
CCMP1005,Both,THAOC_18645,hypothetical protein,0.507,20,25,6,6
CCMP1005,Both,THAOC_18711,hypothetical protein,0.185,41,51,6,6
CCMP1005,Both,THAOC_18963,hypothetical protein,0.791,40,42,6,6
CCMP1005,Both,THAOC_18972,hypothetical protein,1,4,4,4,4
CCMP1005,Both,THAOC_18974,hypothetical protein,1,47,47,6,6
CCMP1005,Both,THAOC_19016,hypothetical protein,0.507,13,18,6,6
CCMP1005,Both,THAOC_19033,hypothetical protein,0.001,40,65,6,6
CCMP1005,Both,THAOC_19236,hypothetical protein,0.596,42,46,6,6
CCMP1005,Both,THAOC_19248,hypothetical protein,1,60,60,6,6
CCMP1005,Both,THAOC_19278,hypothetical protein,0.233,81,90,6,6
CCMP1005,Both,THAOC_19298,hypothetical protein,1,3,3,3,3
CCMP1005,Both,THAOC_19322,hypothetical protein,0.289,55,63,6,6
CCMP1005,Both,THAOC_19368,hypothetical protein,0.691,9,12,6,5
CCMP1005,Both,THAOC_19564,hypothetical protein,0.791,4,6,3,3
CCMP1005,Both,THAOC_19590,hypothetical protein,0.008,52,72,6,6
CCMP1005,Both,THAOC_19662,hypothetical protein,0.691,39,42,6,6
CCMP1005,Both,THAOC_19697,hypothetical protein,0.012,52,71,6,6
CCMP1005,Both,THAOC_19701,hypothetical protein,0.001,76,100,6,6
CCMP1005,Both,THAOC_19727,hypothetical protein,0.895,94,93,6,6
CCMP1005,Both,THAOC_19732,hypothetical protein,0.289,44,52,5,6
CCMP1005,Both,THAOC_19843,hypothetical protein,0.596,54,50,6,6
CCMP1005,Both,THAOC_19861,hypothetical protein,0.145,16,27,4,6
CCMP1005,Both,THAOC_19898,hypothetical protein,0.895,35,36,6,6
CCMP1005,Both,THAOC_19961,hypothetical protein,0.112,10,22,5,6
CCMP1005,Both,THAOC_20013,hypothetical protein,1,60,60,6,6
CCMP1005,Both,THAOC_20102,hypothetical protein,0,144,203,6,6
CCMP1005,Both,THAOC_20184,hypothetical protein,0.353,6,13,3,5
CCMP1005,Both,THAOC_20265,hypothetical protein,0.233,52,61,6,6
CCMP1005,Both,THAOC_20291,hypothetical protein,0.691,64,61,6,6
CCMP1005,Both,THAOC_20434,hypothetical protein,0.895,35,36,6,6
CCMP1005,Both,THAOC_20440,hypothetical protein,0.691,5,8,4,6
CCMP1005,Both,THAOC_20445,hypothetical protein,0.005,18,39,4,6
CCMP1005,Both,THAOC_20535,hypothetical protein,0.017,57,75,6,6
CCMP1005,Both,THAOC_20539,hypothetical protein,0.596,14,18,4,6
CCMP1005,Both,THAOC_20623,hypothetical protein,0.596,9,5,3,3
CCMP1005,Both,THAOC_20651,hypothetical protein,0.112,3,15,3,5
CCMP1005,Both,THAOC_20696,hypothetical protein,0.085,69,82,6,6
CCMP1005,Both,THAOC_20716,hypothetical protein,0.596,57,61,6,6
CCMP1005,Both,THAOC_20866,hypothetical protein,0.691,33,36,6,6
CCMP1005,Both,THAOC_20973,hypothetical protein,0.791,12,14,3,4
CCMP1005,Both,THAOC_20986,hypothetical protein,0.289,52,60,6,6
CCMP1005,Both,THAOC_20988,hypothetical protein,0.895,47,48,6,6
CCMP1005,Both,THAOC_21002,hypothetical protein,0.895,30,29,6,6
CCMP1005,Both,THAOC_21027,hypothetical protein,0.895,41,42,6,6
CCMP1005,Both,THAOC_21125,hypothetical protein,0.691,33,36,6,6
CCMP1005,Both,THAOC_21328,hypothetical protein,0.426,30,36,6,6
CCMP1005,Both,THAOC_21342,hypothetical protein,0.233,51,60,6,6
CCMP1005,Both,THAOC_21409,hypothetical protein,0.004,22,44,6,6
CCMP1005,Both,THAOC_21427,hypothetical protein,0.895,36,37,6,6
CCMP1005,Both,THAOC_21498,hypothetical protein,0.791,33,35,6,6
CCMP1005,Both,THAOC_21545,hypothetical protein,0.895,15,14,6,6
CCMP1005,Both,THAOC_21776,hypothetical protein,0,36,64,6,6
CCMP1005,Both,THAOC_21777,hypothetical protein,1,6,6,6,6
CCMP1005,Both,THAOC_21870,hypothetical protein,0,28,77,6,6
CCMP1005,Both,THAOC_21943,hypothetical protein,1,48,48,6,6
CCMP1005,Both,THAOC_21955,hypothetical protein,0.289,3,11,3,6
CCMP1005,Both,THAOC_22017,hypothetical protein,0.691,8,5,6,5
CCMP1005,Both,THAOC_22068,hypothetical protein,0.596,7,11,3,4
CCMP1005,Both,THAOC_22141,hypothetical protein,1,30,30,6,6
CCMP1005,Both,THAOC_22142,hypothetical protein,0.012,45,64,6,6
CCMP1005,Both,THAOC_22169,hypothetical protein,0.691,54,57,6,6
CCMP1005,Both,THAOC_22177,hypothetical protein,0.185,49,59,6,6
CCMP1005,Both,THAOC_22200,hypothetical protein,0.791,29,27,6,6
CCMP1005,Both,THAOC_22204,hypothetical protein,1,42,42,6,6
CCMP1005,Both,THAOC_22209,hypothetical protein,0.791,3,5,3,5
CCMP1005,Both,THAOC_22232,hypothetical protein,0.008,55,75,5,6
CCMP1005,Both,THAOC_22391,hypothetical protein,0.895,29,30,6,6
CCMP1005,Both,THAOC_22432,hypothetical protein,0.085,75,88,6,6
CCMP1005,Both,THAOC_22439,hypothetical protein,0.063,49,63,6,6
CCMP1005,Both,THAOC_22445,hypothetical protein,0.507,6,11,3,5
CCMP1005,Both,THAOC_22513,hypothetical protein,0.691,7,10,6,6
CCMP1005,Both,THAOC_22667,hypothetical protein,0.596,14,18,6,6
CCMP1005,Both,THAOC_22740,hypothetical protein,0.791,25,27,4,5
CCMP1005,Both,THAOC_22769,hypothetical protein,0.895,17,18,6,6
CCMP1005,Both,THAOC_22833,hypothetical protein,0.691,10,13,6,6
CCMP1005,Both,THAOC_23001,hypothetical protein,1,42,42,6,6
CCMP1005,Both,THAOC_23120,hypothetical protein,0.426,11,17,4,6
CCMP1005,Both,THAOC_23210,hypothetical protein,1,4,4,4,4
CCMP1005,Both,THAOC_23387,hypothetical protein,0.507,5,10,3,6
CCMP1005,Both,THAOC_23436,hypothetical protein,0.017,48,66,6,6
CCMP1005,Both,THAOC_23465,hypothetical protein,0.895,11,12,6,6
CCMP1005,Both,THAOC_23481,hypothetical protein,0.691,20,23,6,6
CCMP1005,Both,THAOC_23503,hypothetical protein,0.791,6,8,6,6
CCMP1005,Both,THAOC_23582,hypothetical protein,0.895,31,30,6,6
CCMP1005,Both,THAOC_23866,hypothetical protein,0.596,17,21,4,6
CCMP1005,Both,THAOC_23880,hypothetical protein,0.426,11,17,4,5
CCMP1005,Both,THAOC_23892,hypothetical protein,0.507,5,10,3,4
CCMP1005,Both,THAOC_23925,hypothetical protein,0.596,20,16,4,5
CCMP1005,Both,THAOC_24053,hypothetical protein,0.791,4,6,4,6
CCMP1005,Both,THAOC_24062,hypothetical protein,0.017,54,72,6,6
CCMP1005,Both,THAOC_24085,hypothetical protein,0.691,38,35,6,6
CCMP1005,Both,THAOC_24136,hypothetical protein,0.895,6,7,4,6
