GID,genename,kid,ko,definition,cyanobase,cyanobase_def,uniprot_acc,uniprot_def,ec_num,start_pos,pos,length
sync_0056,,syg:sync_0056,,hypothetical protein,,conserved hypothetical protein,Q0IE28,Putative uncharacterized protein.,,58299,58299..58913,204
sync_0057,,syg:sync_0057,,putative photosystem I assembly related protein Ycf37,,putative photosystem I assembly related protein Ycf37,Q0IE27,Putative photosystem I assembly related protein Ycf37.,,58881,complement(58881..59456),191
sync_0058,rplT,syg:sync_0058,K02887,ribosomal protein L20,rplT,ribosomal protein L20,Q0IE26,50S ribosomal protein L20.,,59493,complement(59493..59840),115
sync_0059,rpmI,syg:sync_0059,K02916,ribosomal protein L35,rpmI,ribosomal protein L35,Q0IE25,50S ribosomal protein L35.,,59911,complement(59911..60108),65
sync_0060,,syg:sync_0060,,SpoIID/LytB domain protein,,SpoIID/LytB domain protein,Q0IE24,SpoIID/LytB domain protein.,,60053,60053..61798,581
sync_0061,,syg:sync_0061,K03429,"glycosyl transferase, group 2 family protein",,"glycosyl transferase, group 2 family protein",Q0IE23,"Glycosyl transferase, group 2 family protein (EC 2.4.1.-).",2.4.1.157,61805,61805..63208,467
sync_0062,dnaX,syg:sync_0062,K02343,"DNA polymerase III, subunits gamma and tau",dnaX,"DNA polymerase III, subunits gamma and tau",Q0IE22,"DNA polymerase III, subunits gamma and tau (EC 2.7.7.7).",2.7.7.7,63229,complement(63229..65160),643
sync_0063,,syg:sync_0063,,hypothetical protein,,conserved hypothetical protein,Q0IE21,Putative uncharacterized protein.,,65184,complement(65184..65879),231
sync_0064,clpX,syg:sync_0064,K03544,"ATP-dependent Clp protease, ATP-binding subunit ClpX",clpX,"ATP-dependent Clp protease, ATP-binding subunit ClpX",Q0IE20,"ATP-dependent Clp protease, ATP-binding subunit ClpX.",,65892,complement(65892..67247),451
sync_0065,clpP-1,syg:sync_0065,K01358,"ATP-dependent Clp protease, proteolytic subunit ClpP",clpP-1,"ATP-dependent Clp protease, proteolytic subunit ClpP",Q0IE19,"ATP-dependent Clp protease, proteolytic subunit ClpP (EC 3.4.21.92).",3.4.21.92,67336,complement(67336..68025),229
sync_0066,tig,syg:sync_0066,K03545,trigger factor,tig,trigger factor,Q0IE18,Trigger factor (EC 5.2.1.8).,,68072,complement(68072..69421),449
sync_0067,asd,syg:sync_0067,K00133,aspartate-semialdehyde dehydrogenase,asd,aspartate-semialdehyde dehydrogenase,Q0IE17,Aspartate-semialdehyde dehydrogenase (EC 1.2.1.11).,1.2.1.11,69595,69595..70626,343
sync_0068,dapA,syg:sync_0068,K01714,dihydrodipicolinate synthase,dapA,dihydrodipicolinate synthase,Q0IE16,Dihydrodipicolinate synthase (EC 4.2.1.52).,4.2.1.52,70632,70632..71540,302
sync_0069,,syg:sync_0069,K12574,metallo-beta-lactamase family protein,,metallo-beta-lactamase family protein,Q0IE15,Metallo-beta-lactamase family protein.,3.1.-.-,71600,71600..73630,676
sync_0070,,syg:sync_0070,,hypothetical protein,,conserved hypothetical protein,Q0IE14,Putative uncharacterized protein.,,73616,complement(73616..74251),211
sync_0071,,syg:sync_0071,K04075,possible MesJ homolog,,possible MesJ homolog,Q0IE13,Possible MesJ homolog.,6.3.4.-,74423,complement(74423..75418),331
sync_0072,,syg:sync_0072,,hypothetical protein,,conserved hypothetical protein,Q0IE12,Putative uncharacterized protein.,,75518,75518..76291,257
sync_0073,,syg:sync_0073,K08972,hypothetical protein,,conserved hypothetical protein,Q0IE11,Putative uncharacterized protein.,,76413,76413..76838,141
sync_0074,uvrB,syg:sync_0074,K03702,"excinuclease ABC, B subunit",uvrB,"excinuclease ABC, B subunit",Q0IE10,UvrABC system protein B.,,76950,76950..78989,679
sync_0075,,syg:sync_0075,K00928,"asparate kinase, monofunctional class",,"asparate kinase, monofunctional class",Q0IE09,Aspartokinase (EC 2.7.2.4).,2.7.2.4,78990,complement(78990..80807),605
sync_0076,,syg:sync_0076,,curli production assembly/transport component CsgG subfamily protein,,Curli production assembly/transport component CsgG subfamily protein,Q0IE08,Curli production assembly/transport component CsgG subfamily protein.,,80858,80858..81763,301
sync_0077,holA,syg:sync_0077,K02340,"DNA polymerase III, delta subunit",holA,"DNA polymerase III, delta subunit",Q0IE07,"DNA polymerase III, delta subunit (EC 2.7.7.7).",2.7.7.7,81808,complement(81808..82788),326
sync_0078,cobH,syg:sync_0078,K06042,precorrin-8X methylmutase,cobH,precorrin-8X methylmutase,Q0IE06,Precorrin-8X methylmutase (EC 5.4.1.2).,5.4.1.2,82922,82922..83485,187
sync_0079,mutS,syg:sync_0079,K03555,DNA mismatch repair protein MutS,mutS,DNA mismatch repair protein MutS,Q0IE05,DNA mismatch repair protein MutS.,,83470,complement(83470..86205),911
sync_0080,psbZ,syg:sync_0080,K02724,photosystem II core protein PsbZ,psbZ,photosystem II core protein PsbZ,Q0IE04,Photosystem II core protein PsbZ.,,86371,86371..86559,62
sync_0081,ribH,syg:sync_0081,K00794,"6,7-dimethyl-8-ribityllumazine synthase",ribH,"6,7-dimethyl-8-ribityllumazine synthase",Q0IE03,"6,7-dimethyl-8-ribityllumazine synthase (EC 2.5.1.9).",2.5.1.-,86622,86622..87104,160
sync_0082,,syg:sync_0082,,tRNA-Gly,,Gly tRNA,,,,87169,87169..87240,
sync_0083,,syg:sync_0083,,glyoxalase family protein family,,glyoxalase family protein family,Q0IE02,Glyoxalase family protein family.,,87347,87347..87949,200
sync_0084,wecD,syg:sync_0084,,hypothetical protein,wecD,unnamed protein product,Q0IE01,Unnamed protein product.,,88284,complement(88284..88739),151
sync_0085,,syg:sync_0085,,"glycosyl transferase, group 1 family protein",,"glycosyl transferase, group 1 family protein",Q0IE00,"Glycosyl transferase, group 1 family protein (EC 2.4.1.-).",,88881,88881..90002,373
sync_0086,secA,syg:sync_0086,K03070,"preprotein translocase, SecA subunit",secA,"preprotein translocase, SecA subunit",Q0IDZ9,"Preprotein translocase, SecA subunit.",,90095,90095..92947,950
sync_0087,cysE,syg:sync_0087,K00640,serine O-acetyltransferase,cysE,serine O-acetyltransferase,Q0IDZ8,Serine O-acetyltransferase (EC 2.3.1.30).,2.3.1.30,92957,complement(92957..93703),248
sync_0088,,syg:sync_0088,K07978,"transcriptional regulator, GntR family protein",,"transcriptional regulator, GntR family protein",Q0IDZ7,"Transcriptional regulator, GntR family protein.",,93784,complement(93784..94773),329
sync_0089,,syg:sync_0089,K01061,dienelactone hydrolase,,Dienelactone hydrolase,Q0IDZ6,Dienelactone hydrolase (EC 3.1.1.45).,3.1.1.45,94883,94883..95656,257
sync_0090,infC,syg:sync_0090,K02520,translation initiation factor IF-3,infC,translation initiation factor IF-3,Q0IDZ5,Translation initiation factor IF-3.,,95647,complement(95647..96285),212
sync_0091,miaA,syg:sync_0091,K00791,tRNA delta(2)-isopentenylpyrophosphate transferase,miaA,tRNA delta(2)-isopentenylpyrophosphate transferase,Q0IDZ4,TRNA delta(2)-isopentenylpyrophosphate transferase (EC 2.5.1.8).,2.5.1.75,96339,complement(96339..97271),310
sync_0092,gyrB,syg:sync_0092,K02470,"DNA gyrase, B subunit",gyrB,"DNA gyrase, B subunit",Q0IDZ3,"DNA gyrase, B subunit (EC 5.99.1.3).",5.99.1.3,97390,97390..99357,655
sync_0093,,syg:sync_0093,,hypothetical protein,,conserved hypothetical protein,Q0IDZ2,Putative uncharacterized protein.,,99381,99381..99695,104
sync_0094,,syg:sync_0094,K06199,protein CrcB homolog 1,,Protein CrcB homolog 1,Q0IDZ1,Protein CrcB homolog 1.,,99688,99688..100098,136
sync_0095,crcB,syg:sync_0095,K06199,CrcB protein,crcB,crcB protein,Q0IDZ0,Protein crcB homolog.,,100098,100098..100493,131
sync_0096,,syg:sync_0096,K00432,glutathione peroxidase,,Glutathione peroxidase,Q0IDY9,Glutathione peroxidase (EC 1.11.1.9).,1.11.1.9,100483,complement(100483..100962),159
sync_0097,mgtE,syg:sync_0097,K06213,magnesium transporter,mgtE,magnesium transporter,Q0IDY8,Magnesium transporter.,,101040,101040..102494,484
sync_0098,,syg:sync_0098,K03087,"type II alternative RNA polymerase sigma factor, sigma-70 family protein",,"Type II alternative RNA polymerase sigma factor, sigma-70 family protein",Q0IDY7,"Type II alternative RNA polymerase sigma factor, sigma-70 family protein.",,102547,102547..103554,335
sync_0099,,syg:sync_0099,,predicted hydrolase,,Predicted hydrolase,Q0IDY6,Predicted hydrolase.,,103539,complement(103539..104435),298
sync_0100,,syg:sync_0100,,acriflavin resistance protein AcrF,,acriflavin resistance protein acrF,Q0IDY5,Acriflavin resistance protein acrF.,,104459,complement(104459..107713),1084
sync_0101,,syg:sync_0101,,"efflux transporter, RND family, MFP subunit subfamily",,"efflux transporter, RND family, MFP subunit subfamily",Q0IDY4,"Efflux transporter, RND family, MFP subunit subfamily.",,107718,complement(107718..108872),384
sync_0102,,syg:sync_0102,K03575,putative A/G-specific adenine glycosylase,,putative A/G-specific adenine glycosylase,Q0IDY3,Putative A/G-specific adenine glycosylase.,3.2.2.-,109043,109043..110197,384
sync_0103,,syg:sync_0103,K00847,"sugar kinase, ribokinase family protein",,"Sugar kinase, ribokinase family protein",Q0IDY2,"Sugar kinase, ribokinase family protein (EC 2.7.1.4).",2.7.1.4,110274,110274..111266,330
sync_0104,,syg:sync_0104,,"probable sugar kinase YPO1816 , putative",,"probable sugar kinase YPO1816 , putative",Q0IDY1,"Probable sugar kinase YPO1816 , putative.",,111384,complement(111384..112280),298
sync_0105,,syg:sync_0105,K01915,putative glutamine synthetase,,putative glutamine synthetase,Q0IDY0,Putative glutamine synthetase.,6.3.1.2,112332,complement(112332..113687),451
sync_0106,,syg:sync_0106,K03307,"transporter, solute:sodium symporter (SSS) family protein",,"transporter, solute:sodium symporter (SSS) family protein",Q0IDX9,"Transporter, solute:sodium symporter (SSS) family protein.",,113842,113842..115455,537
sync_0107,,syg:sync_0107,K06925,conserved hypothetical protein TIGR00150,,conserved hypothetical protein TIGR00150,Q0IDX8,Putative uncharacterized protein.,,115418,complement(115418..115942),174
sync_0108,ahcY,syg:sync_0108,K01251,adenosylhomocysteinase,ahcY,adenosylhomocysteinase,Q0IDX7,Adenosylhomocysteinase (EC 3.3.1.1).,3.3.1.1,115967,115967..117397,476
sync_0109,,syg:sync_0109,,uncharacterized DedA family conserved membrane protein,,Uncharacterized DedA family conserved membrane protein,Q0IDX6,Uncharacterized DedA family conserved membrane protein.,,117857,117857..118516,219
sync_0110,,syg:sync_0110,K03111,putative single-stranded DNA-binding protein,,putative single-stranded DNA-binding protein,Q0IDX5,Putative single-stranded DNA-binding protein.,,118594,complement(118594..118974),126
sync_0111,,syg:sync_0111,K03569,rod shape determining protein,,Rod shape determining protein,Q0IDX4,Rod shape determining protein.,,119111,119111..120163,350
sync_0112,mreC,syg:sync_0112,K03570,cell shape-determining protein,mreC,Cell shape-determining protein,Q0IDX3,Cell shape-determining protein.,,120169,120169..120912,247
sync_0113,,syg:sync_0113,,hypothetical protein,,putative membrane protein,Q0IDX2,Putative membrane protein.,,120916,120916..121419,167
sync_0114,,syg:sync_0114,K02027,"bacterial extracellular solute-binding protein, family 1",,"Bacterial extracellular solute-binding protein, family 1",Q0IDX1,"Bacterial extracellular solute-binding protein, family 1.",,121380,121380..122723,447
sync_0115,,syg:sync_0115,,two-component response regulator,,two-component response regulator,Q0IDX0,Two-component response regulator.,,122862,122862..123629,255
sync_0116,lysS,syg:sync_0116,K04567,lysyl-tRNA synthetase,lysS,lysyl-tRNA synthetase,Q0IDW9,Lysyl-tRNA synthetase (EC 6.1.1.6).,6.1.1.6,123701,123701..125170,489
sync_0117,,syg:sync_0117,,hypothetical protein,,conserved hypothetical protein,Q0IDW8,Putative uncharacterized protein.,,125216,125216..125479,87
sync_0118,,syg:sync_0118,,hypothetical protein,,conserved hypothetical protein,Q0IDW7,Putative uncharacterized protein.,,125502,complement(125502..125987),161
sync_0119,,syg:sync_0119,,hypothetical protein,,conserved hypothetical protein,Q0IDW6,Putative uncharacterized protein.,,125984,complement(125984..126217),77
sync_0120,,syg:sync_0120,,hypothetical protein,,conserved hypothetical protein,Q0IDW5,Putative uncharacterized protein.,,126245,complement(126245..127156),303
sync_0121,,syg:sync_0121,,domain of unknown function (DUF323) family protein,,Domain of unknown function (DUF323) family protein,Q0IDW4,Putative uncharacterized protein.,,127222,complement(127222..128493),423
sync_0122,,syg:sync_0122,K08884,serine/threonine protein kinase,,serine/threonine protein kinase,Q0IDW3,Serine/threonine protein kinase (EC 2.7.11.1).,2.7.11.1,128551,128551..130629,692
sync_0123,smpB,syg:sync_0123,K03664,SsrA-binding protein,smpB,SsrA-binding protein,Q0IDW2,SsrA-binding protein.,,130623,complement(130623..131117),164
sync_0124,ruvB,syg:sync_0124,K03551,Holliday junction DNA helicase RuvB,ruvB,Holliday junction DNA helicase RuvB,Q0IDW1,Holliday junction DNA helicase RuvB.,,131182,131182..132261,359
sync_0125,,syg:sync_0125,,tetratricopeptide repeat protein,,tetratricopeptide repeat protein,Q0IDW0,Tetratricopeptide repeat protein.,,132258,132258..133067,269
sync_0126,,syg:sync_0126,K01302,"peptidase, M20D family protein",,"peptidase, M20D family protein",Q0IDV9,"Peptidase, M20D family protein (EC 3.4.17.-).",3.4.17.-,133064,133064..134239,391
sync_0127,,syg:sync_0127,,hypothetical protein,,conserved hypothetical protein,Q0IDV8,Putative uncharacterized protein.,,134236,134236..134466,76
sync_0128,,syg:sync_0128,,CotB mutant,,CotB mutant,Q0IDV7,CotB mutant.,,134468,134468..135094,208
sync_0129,thiC,syg:sync_0129,K03147,thiamine biosynthesis protein ThiC,thiC,thiamine biosynthesis protein ThiC,Q0IDV6,Thiamine biosynthesis protein ThiC.,,135289,135289..136686,465
sync_0130,tkt,syg:sync_0130,K00615,transketolase,tkt,transketolase,Q0IDV5,Transketolase (EC 2.2.1.1).,2.2.1.1,136863,complement(136863..138872),669
sync_0131,fabF,syg:sync_0131,K09458,3-oxoacyl-[acyl-carrier-protein] synthase II,fabF,3-oxoacyl-[acyl-carrier-protein] synthase II,Q0IDV4,synthase II (EC 2.3.1.41).,2.3.1.179,138921,complement(138921..140168),415
sync_0132,acpP,syg:sync_0132,K02078,acyl carrier protein,acpP,acyl carrier protein,Q0IDV3,Acyl carrier protein.,,140177,complement(140177..140461),94
sync_0133,psaC,syg:sync_0133,K02691,photosystem I iron-sulfur protein PsaC,psaC,photosystem I iron-sulfur protein PsaC,Q0IDV2,Photosystem I iron-sulfur center (Photosystem I subunit VII) (9 kDa polypeptide) (PSI-C) (PsaC).,,140569,140569..140814,81
sync_0134,glmS,syg:sync_0134,K00820,"glucosamine--fructose-6-phosphate aminotransferase, isomerizing",glmS,"glucosamine--fructose-6-phosphate aminotransferase, isomerizing",Q0IDV1,"Glucosamine--fructose-6-phosphate aminotransferase, isomerizing (EC 2.6.1.16).",2.6.1.16,140865,140865..142751,628
sync_0135,,syg:sync_0135,,Mycobacterium tuberculosis PIN domain family subfamily,,Mycobacterium tuberculosis PIN domain family subfamily,Q0IDV0,Mycobacterium tuberculosis PIN domain family subfamily.,,142873,complement(142873..143319),148
sync_0136,,syg:sync_0136,,hypothetical protein,,conserved hypothetical protein,Q0IDU9,Putative uncharacterized protein.,,143319,complement(143319..143564),81
sync_0137,citT-1,syg:sync_0137,,di/tricarboxylate transporter,citT-1,Di/tricarboxylate transporter,Q0IDU8,Di/tricarboxylate transporter.,,143745,complement(143745..144116),123
sync_0138,,syg:sync_0138,,hypothetical protein,,conserved hypothetical protein,Q0IDU7,Putative uncharacterized protein.,,144179,complement(144179..144307),42
sync_0139,,syg:sync_0139,,putative glycosyl transferase,,putative glycosyl transferase,Q0IDU6,Putative glycosyl transferase.,,144595,complement(144595..145389),264
sync_0140,,syg:sync_0140,,hypothetical protein,,hypothetical protein,Q0IDU5,Putative uncharacterized protein.,,145603,complement(145603..146538),311
sync_0141,,syg:sync_0141,,glycosyl transferase family 11,,Glycosyl transferase family 11,Q0IDU4,Glycosyl transferase family 11.,,146555,complement(146555..147379),274
sync_0142,,syg:sync_0142,,hypothetical protein,,"membrane protein, putative",Q0IDU3,"Membrane protein, putative.",,147550,complement(147550..148272),240
sync_0143,,syg:sync_0143,,hypothetical protein,,hypothetical protein,Q0IDU2,Putative uncharacterized protein.,,148272,complement(148272..149102),276
sync_0144,,syg:sync_0144,,hypothetical protein,,"membrane protein, putative",Q0IDU1,"Membrane protein, putative.",,149099,complement(149099..150211),370
sync_0145,wcaG-2,syg:sync_0145,K02377,GDP-L-fucose synthetase,wcaG-2,GDP-L-fucose synthetase,Q0IDU0,GDP-L-fucose synthetase (EC 1.1.1.271).,1.1.1.271,150622,complement(150622..151629),335
sync_0146,gmd,syg:sync_0146,K01711,"GDP-mannose 4,6-dehydratase",gmd,"GDP-mannose 4,6-dehydratase",Q0IDT9,"GDP-mannose 4,6-dehydratase (EC 4.2.1.47).",4.2.1.47,151635,complement(151635..152789),384
sync_0147,,syg:sync_0147,,possible sugar transferase,,possible sugar transferase,Q0IDT8,Possible sugar transferase (EC 2.7.-.-).,,152790,complement(152790..154172),460
sync_0148,,syg:sync_0148,,hypothetical protein,,hypothetical protein,Q0IDT7,Putative uncharacterized protein.,,154198,complement(154198..154335),45
sync_0149,,syg:sync_0149,K01991,GumB protein,,gumB protein,Q0IDT6,GumB protein.,,154746,complement(154746..155735),329
