species,symbol,product,logFC,PValue
CC9311,sync_1112,hypothetical protein_sync_1112,-1.009904689,0.046779267
WH8102,SYNW1382,conserved hypothetical protein_SYNW1382,-1.815093538,7.86E-08
WH8102,RNA_15,tRNA-Met,-1.534889687,3.52E-05
WH8102,hypB,hydrogenase expression/formation protein HypB,1.468628463,3.71E-05
WH8102,SYNW1416,"ABC transporter, nitrate-like",1.006280485,9.77E-05
WH8102,SYNW2102,hypothetical protein_SYNW2102,-1.210253281,0.000798292
WH8102,SYNW2488,conserved hypothetical protein_SYNW2488,-1.143910389,0.000942772
WH8102,hypA2,putative hydrogenase expression/formation protein HypA2,1.211592174,0.006938878
WH8102,SYNW1412,putative agmatine ureohydrolase,1.030688236,0.010328469
WH8102,"csoS1, ccmk1",carboxysome shell protein CsoS1,1.275788501,0.014184149
WH8102,"rbcL, cbbL","ribulose 1,5-bisphosphate carboxylase/oxygenase large subunit",1.18055396,0.019368937
WH8102,"rbcS, cbbS","ribulose 1,5-bisphosphate carboxylase/oxygenase small subunit",1.028342576,0.031368589
WH8102,urtA1,"putative urea ABC transporter, urea binding protein",1.249666215,0.042737817
WH8102,SYNW2100,hypothetical protein_SYNW2100,-1.003079147,0.049422849
