GID,SYMBOL,kid,PRODUCT,ko,cyanobase,cyanobase_def,uniprot_acc,uniprot_def,ec_num,start_pos,pos,length
SYNW0022,"gspE1, pilB1",syw:SYNW0022,general secretion pathway protein E,K02652,"gspE1,pilB1",General secretion pathway protein E,Q7UA78,General secretion pathway protein E.,,22538,complement(22538..24409),623
SYNW0023,grpE,syw:SYNW0023,putative heat shock protein GrpE,K03687,grpE,putative heat shock protein GrpE,Q7UA77,Protein grpE (HSP-70 cofactor).,,24509,24509..25165,218
SYNW0024,dnaJ,syw:SYNW0024,DnaJ protein,K03686,dnaJ,DnaJ protein,Q7UA76,Chaperone protein dnaJ.,,25165,25165..26298,377
SYNW0025,SYNW0025,syw:SYNW0025,conserved hypothetical protein,,,conserved hypothetical protein,Q7UA75,Hypothetical protein.,,26298,26298..26528,76
SYNW0026,SYNW0026,syw:SYNW0026,conserved hypothetical protein,K06949,,conserved hypothetical protein,Q7UA74,Hypothetical protein.,3.6.1.-,26535,26535..27434,299
SYNW0027,SYNW0027,syw:SYNW0027,conserved hypothetical protein,K09747,,conserved hypothetical protein,Q7UA73,UPF0133 protein SYNW0027.,,27409,complement(27409..27750),113
SYNW0028,murB,syw:SYNW0028,UDP-N-acetylenolpyruvoylglucosamine reductase,K00075,murB,UDP-N-acetylenolpyruvoylglucosamine reductase,Q7UA72,UDP-N-acetylenolpyruvoylglucosamine reductase (EC 1.1.1.158) (UDP-N- acetylmuramate dehydrogenase).,1.1.1.158,27775,complement(27775..28674),299
SYNW0029,murC,syw:SYNW0029,probable UDP-N-acetylmuramate-alanine ligase,K01924,murC,Probable UDP-N-acetylmuramate-alanine ligase,Q7UA71,UDP-N-acetylmuramate--L-alanine ligase (EC 6.3.2.8) (UDP-N- acetylmuramoyl-L-alanine synthetase).,6.3.2.8,28674,complement(28674..30077),467
SYNW0030,gap2,syw:SYNW0030,glyceraldehyde 3-phosphate dehydrogenase (NADP+),K00150,gap2,glyceraldehyde 3-phosphate dehydrogenase (NADP+),Q7UA70,Glyceraldehyde 3-phosphate dehydrogenase (NADP+) (EC 1.2.1.59).,1.2.1.59,30250,30250..31275,341
SYNW0031,thiL,syw:SYNW0031,putative thiamine monophosphate kinase,K00946,thiL,putative thiamine monophosphate kinase,Q7UA69,Putative thiamine monophosphate kinase (EC 2.7.4.16).,2.7.4.16,31341,complement(31341..32327),328
SYNW0032,SYNW0032,syw:SYNW0032,putative cyclophilin-type peptidyl-prolyl cis-trans isomerase,K01802,,putative cyclophilin-type peptidyl-prolyl cis-trans isomerase,Q7UA68,Putative cyclophilin-type peptidyl-prolyl cis-trans isomerase precursor.,5.2.1.8,32324,complement(32324..33433),369
SYNW0033,efp,syw:SYNW0033,translation elongation factor EF-P,K02356,efp,Translation elongation factor EF-P,Q7UA67,Elongation factor P (EF-P).,,33466,33466..34029,187
SYNW0034,accB,syw:SYNW0034,biotin carboxyl carrier protein (BCCP) subunit of acetyl-CoA carboxylase,K02160,accB,biotin carboxyl carrier protein (BCCP) subunit of acetyl-CoA carboxylase,Q7UA66,Biotin carboxyl carrier protein (BCCP) subunit of acetyl-CoA carboxylase.,,34026,34026..34499,157
SYNW0035,pdxA,syw:SYNW0035,putative pyridoxal phosphate biosynthetic protein PdxA,K00097,pdxA,putative pyridoxal phosphate biosynthetic protein PdxA,Q7UA65,Putative pyridoxal phosphate biosynthetic protein PdxA (EC 1.1.1.262).,1.1.1.262,34496,complement(34496..35518),340
SYNW0036,SYNW0036,syw:SYNW0036,hypothetical protein,,,hypothetical,Q7UA64,Hypothetical precursor.,,35524,35524..35700,58
SYNW0037,SYNW0037,syw:SYNW0037,conserved hypothetical protein,,,conserved hypothetical protein,Q7UA63,Hypothetical protein.,,35685,complement(35685..36590),301
SYNW0038,SYNW0038,syw:SYNW0038,HNH endonuclease:HNH nuclease,,,HNH endonuclease:HNH nuclease,Q7UA62,HNH endonuclease:HNH nuclease.,,36800,complement(36800..37201),133
SYNW0039,SYNW0039,syw:SYNW0039,possible helicase,,,possible helicase,Q7UA61,Possible helicase.,,37349,37349..38968,539
SYNW0040,SYNW0040,syw:SYNW0040,conserved hypothetical protein,,,conserved hypothetical protein,Q7UA60,Hypothetical protein precursor.,,39293,complement(39293..39718),141
SYNW0041,SYNW0041,syw:SYNW0041,conserved hypothetical protein,K07120,,conserved hypothetical protein,Q7UA59,Hypothetical protein precursor.,,39765,complement(39765..40268),167
SYNW0042,SYNW0042,syw:SYNW0042,conserved hypothetical protein,,,conserved hypothetical protein,Q7UA58,Hypothetical protein.,,40277,40277..40678,133
SYNW0043,SYNW0043,syw:SYNW0043,conserved hypothetical protein,,,conserved hypothetical protein,Q7UA57,Hypothetical protein.,,40717,40717..40947,76
SYNW0044,SYNW0044,syw:SYNW0044,conserved hypothetical protein,,,conserved hypothetical protein,Q7UA56,Hypothetical protein.,,41017,41017..41226,69
RNA_1,RNA_1,syw:RNA_1,tRNA-Gly,,,,,,,41242,complement(41242..41313),
SYNW0045,DHSS,syw:SYNW0045,soluble hydrogenase small subunit,K05912,DHSS,soluble hydrogenase small subunit,Q7UA55,Soluble hydrogenase small subunit (EC 1.12.-.-).,1.12.-.-,41347,complement(41347..42573),408
SYNW0046,cbiD,syw:SYNW0046,cobalamin biosynthesis protein D,K02188,cbiD,cobalamin biosynthesis protein D,Q7UA54,(EC 2.1.1.-).,,42588,42588..43655,355
SYNW0047,guaA,syw:SYNW0047,GMP synthase (glutamine-hydrolysing),K01951,guaA,GMP synthase (glutamine-hydrolysing),Q7UA53,(EC 6.3.5.2) (Glutamine amidotransferase) (GMP synthetase).,6.3.5.2,43692,43692..45278,528
SYNW0048,SYNW0048,syw:SYNW0048,conserved hypothetical protein,,,conserved hypothetical protein,Q7UA52,Hypothetical protein.,,45331,45331..45942,203
SYNW0049,SYNW0049,syw:SYNW0049,conserved hypothetical protein,,,conserved hypothetical protein,Q7UA51,Hypothetical protein.,,45952,45952..46314,120
SYNW0050,SYNW0050,syw:SYNW0050,putative penicillin-binding protein,K05515,,Putative penicillin-binding protein,Q7UA50,Putative penicillin-binding protein.,,46318,46318..48105,595
SYNW0051,sqdX,syw:SYNW0051,SqdX,,sqdX,SqdX,Q7UA49,SqdX.,,48109,complement(48109..49254),381
SYNW0052,sqdB,syw:SYNW0052,sulfolipid (UDP-sulfoquinovose) biosynthesis protein,,sqdB,sulfolipid (UDP-sulfoquinovose) biosynthesis protein,Q7UA48,Sulfolipid (UDP-sulfoquinovose) biosynthesis protein.,,49268,complement(49268..50464),398
SYNW0053,SYNW0053,syw:SYNW0053,similar to high light-inducible protein,,,similar to high light-inducible protein,Q7UA47,Similar to high light-inducible protein.,,50538,complement(50538..50711),57
SYNW0054,thiG,syw:SYNW0054,thiamin biosynthesis protein,K03149,thiG,thiamin biosynthesis protein,Q7UA46,Thiazole biosynthesis protein thiG.,,50807,complement(50807..51631),274
SYNW0055,SYNW0055,syw:SYNW0055,conserved hypothetical protein,,,conserved hypothetical protein,Q7UA45,Hypothetical protein.,,51683,51683..52234,183
SYNW0056,SYNW0056,syw:SYNW0056,conserved hypothetical protein,,,conserved hypothetical protein,Q7UA44,Hypothetical protein precursor.,,52258,complement(52258..52773),171
SYNW0057,"rpl20, rplT",syw:SYNW0057,50S ribosomal protein L20,K02887,"rpl20,rplT",50S ribosomal protein L20,Q7UA43,50S ribosomal protein L20.,,52783,complement(52783..53130),115
SYNW0058,"rpl35, rpmI",syw:SYNW0058,50S ribosomal protein L35,K02916,"rpl35,rpmI",50S ribosomal protein L35,Q7UA42,50S ribosomal protein L35.,,53171,complement(53171..53368),65
SYNW0059,SYNW0059,syw:SYNW0059,possible amidase enhancer,,,possible amidase enhancer,Q7UA41,Possible amidase enhancer.,,53427,53427..54974,515
SYNW0060,SYNW0060,syw:SYNW0060,putative glycosyltransferase,K03429,,putative glycosyltransferase,Q7UA40,Putative glycosyltransferase.,2.4.1.157,54999,54999..56321,440
SYNW0061,dnaX,syw:SYNW0061,"DNA polymerase, gamma and tau subunits",K02343,dnaX,"DNA polymerase, gamma and tau subunits",Q7UA39,"DNA polymerase, gamma and tau subunits (EC 2.7.7.7).",2.7.7.7,56384,complement(56384..58165),593
SYNW0062,SYNW0062,syw:SYNW0062,conserved hypothetical protein,,,conserved hypothetical protein,Q7UA38,Hypothetical protein.,,58189,complement(58189..58827),212
SYNW0063,clpX,syw:SYNW0063,putative ATP-dependent protease ATP-binding subunit ClpX,K03544,clpX,Putative ATP-dependent protease ATP-binding subunit ClpX,Q7UA37,ATP-dependent Clp protease ATP-binding subunit clpX.,,58846,complement(58846..60195),449
SYNW0064,clpP2,syw:SYNW0064,ATP-dependent Clp protease proteolytic subunit 2,K01358,clpP2,ATP-dependent Clp protease proteolytic subunit 2,Q7UA36,ATP-dependent Clp protease proteolytic subunit 1 (EC 3.4.21.92) (Endopeptidase Clp 1).,3.4.21.92,60277,complement(60277..60951),224
SYNW0065,SYNW0065,syw:SYNW0065,possible FKBP-type peptidyl-prolyl cis-trans isomerase,K03545,,Possible FKBP-type peptidyl-prolyl cis-trans isomerase,Q7UA35,Trigger factor (TF).,,60995,complement(60995..62413),472
SYNW0066,asd,syw:SYNW0066,aspartate-semialdehyde dehydrogenase,K00133,asd,aspartate-semialdehyde dehydrogenase,Q7UA34,Aspartate-semialdehyde dehydrogenase (EC 1.2.1.11).,1.2.1.11,62542,62542..63600,352
SYNW0067,dapA,syw:SYNW0067,dihydrodipicolinate synthase,K01714,dapA,dihydrodipicolinate synthase,Q7UA33,Dihydrodipicolinate synthase (EC 4.2.1.52) (DHDPS).,4.2.1.52,63597,63597..64505,302
SYNW0068,SYNW0068,syw:SYNW0068,conserved hypothetical protein,K12574,,conserved hypothetical protein,Q7UA32,Hypothetical protein.,3.1.-.-,64556,64556..66592,678
SYNW0069,SYNW0069,syw:SYNW0069,conserved hypothetical protein,,,conserved hypothetical protein,Q7UA31,Hypothetical protein.,,66593,complement(66593..67519),308
SYNW0070,lysC,syw:SYNW0070,aspartate kinase,K00928,lysC,aspartate kinase,Q7UA30,Aspartate kinase (EC 2.7.2.4).,2.7.2.4,67497,complement(67497..69299),600
SYNW0071,SYNW0071,syw:SYNW0071,conserved hypothetical protein,,,conserved hypothetical protein,Q7UA29,Hypothetical protein.,,69352,complement(69352..69798),148
SYNW0072,SYNW0072,syw:SYNW0072,hypothetical protein,,,hypothetical protein,Q7UA28,Hypothetical protein.,,69779,complement(69779..70087),102
SYNW0073,SYNW0073,syw:SYNW0073,conserved hypothetical protein,K02340,,conserved hypothetical protein,Q7UA27,Hypothetical protein.,2.7.7.7,70142,complement(70142..71107),321
SYNW0074,cobH,syw:SYNW0074,putative precorrin-8X methylmutase CobH,K06042,cobH,putative Precorrin-8X methylmutase CobH,Q7TTY0,Putative Precorrin-8X methylmutase CobH (EC 5.4.1.2).,5.4.1.2,71117,71117..71743,208
SYNW0075,SYNW0075,syw:SYNW0075,possible MesJ homolog,K04075,,possible MesJ homolog,Q7UA26,tRNA(Ile)-lysidine synthase (EC 6.3.4.-) (tRNA(Ile)-lysidine synthetase) (tRNA(Ile)-2-lysyl-cytidine synthase).,6.3.4.-,71712,complement(71712..72761),349
SYNW0076,SYNW0076,syw:SYNW0076,conserved hypothetical protein,,,conserved hypothetical protein,Q7UA25,Hypothetical protein.,,72760,72760..73518,252
SYNW0077,uvrB,syw:SYNW0077,excinuclease ABC subunit B,K03702,uvrB,excinuclease ABC subunit B,Q7UA24,UvrABC system protein B (Protein uvrB) (Excinuclease ABC subunit B).,,73579,73579..75612,677
SYNW0078,"mutS, fdv",syw:SYNW0078,putative DNA mismatch repair protein,K03555,"mutS,fdv",putative DNA mismatch repair protein,Q7UA23,DNA mismatch repair protein mutS.,,75609,complement(75609..78311),900
SYNW0079,SYNW0079,syw:SYNW0079,hypothetical protein,,,hypothetical,Q7UA22,Hypothetical.,,78348,complement(78348..79061),237
SYNW0080,SYNW0080,syw:SYNW0080,conserved hypothetical protein,,,conserved hypothetical protein,Q7UA21,Hypothetical protein.,,79065,complement(79065..79604),179
SYNW0081,"psbZ, ycf9",syw:SYNW0081,photosystem II PsbZ protein,K02724,"psbZ,ycf9",possible photosystem II protein PsbZ (ycf9),Q7UA20,Possible photosystem II protein PsbZ (Ycf9).,,79539,79539..79796,85
SYNW0082,ribH,syw:SYNW0082,"putative 6,7-dimethyl-8-ribityllumazine synthase or riboflavin synthase beta chain",K00794,ribH,"Putative 6,7-dimethyl-8-ribityllumazine synthase or riboflavin synthase beta chain",Q7UA19,"6,7-dimethyl-8-ribityllumazine synthase (EC 2.5.1.9) (DMRL synthase) (Lumazine synthase) (Riboflavin synthase beta chain).",2.5.1.-,79853,79853..80335,160
SYNW0083,SYNW0083,syw:SYNW0083,putative deacetylase sulfotransferase,,,putative deacetylase sulfotransferase,Q7UA18,Putative deacetylase sulfotransferase.,,80332,80332..81060,242
SYNW0084,SYNW0084,syw:SYNW0084,putative glycosyltransferase,,,Putative glycosyltransferase,Q7UA17,Putative glycosyltransferase (Putative glycosyltransferase RsfA).,,81057,81057..82268,403
SYNW0085,swmA,syw:SYNW0085,SwmA-cell surface protein required for swimming motility,,swmA,SwmA-cell surface protein required for swimming motility,Q7UA16,SwmA-cell surface protein required for swimming motility (Cell- surface-associated polypeptide SwmA).,,82533,complement(82533..85040),835
RNA_2,RNA_2,syw:RNA_2,tRNA-Gly,,,,,,,85193,85193..85264,
SYNW0086,secA,syw:SYNW0086,preprotein translocase SecA subunit,K03070,secA,preprotein translocase SecA subunit,Q7UA15,Preprotein translocase SecA subunit.,,85592,85592..88405,937
SYNW0087,SYNW0087,syw:SYNW0087,conserved hypothetical protein,,,conserved hypothetical protein,Q7UA14,Hypothetical protein.,,88413,88413..89363,316
SYNW0088,SYNW0088,syw:SYNW0088,conserved hypothetical protein,,,conserved hypothetical protein,Q7UA13,Hypothetical protein.,,89360,89360..91012,550
SYNW0089,SYNW0089,syw:SYNW0089,conserved hypothetical protein,,,conserved hypothetical protein,Q7UA12,Hypothetical protein.,,91067,91067..91843,258
SYNW0090,cysE,syw:SYNW0090,serine acetyltransferase,K00640,cysE,serine acetyltransferase,Q7UA11,Serine acetyltransferase (EC 2.3.1.30).,2.3.1.30,91797,complement(91797..92543),248
SYNW0091,SYNW0091,syw:SYNW0091,conserved hypothetical protein,K07978,,conserved hypothetical protein,Q7UA10,Hypothetical protein.,,92554,complement(92554..93555),333
SYNW0092,SYNW0092,syw:SYNW0092,possible carboxymethylenebutenolidase,K01061,,possible carboxymethylenebutenolidase,Q7UA09,Possible carboxymethylenebutenolidase (EC 3.1.1.45).,3.1.1.45,93602,93602..94387,261
SYNW0093,infC,syw:SYNW0093,translation initiation factor IF-3,K02520,infC,translation initiation factor IF-3,Q7UA08,Translation initiation factor IF-3.,,94384,complement(94384..95037),217
SYNW0094,"miaA, trpX",syw:SYNW0094,tRNA delta-2-isopentenylpyrophosphate (IPP) transferase,K00791,"miaA,trpX",tRNA delta-2-isopentenylpyrophosphate (IPP) transferase,Q7TTX9,tRNA delta(2)-isopentenylpyrophosphate transferase (EC 2.5.1.8) (IPP transferase) (Isopentenyl-diphosphate:tRNA isopentenyltransferase) (IPTase) (IPPT).,2.5.1.75,95094,complement(95094..95993),299
SYNW0095,gyrB,syw:SYNW0095,DNA gyrase subunit B,K02470,gyrB,DNA gyrase subunit B,Q7UA07,DNA gyrase subunit B (EC 5.99.1.3).,5.99.1.3,96148,96148..98115,655
SYNW0096,SYNW0096,syw:SYNW0096,conserved hypothetical protein,,,conserved hypothetical,Q7UA06,Conserved hypothetical.,,98115,98115..98465,116
SYNW0097,SYNW0097,syw:SYNW0097,conserved hypothetical protein,K06199,,conserved hypothetical protein,Q7UA05,Protein crcB homolog 1.,,98446,98446..98826,126
SYNW0098,SYNW0098,syw:SYNW0098,conserved hypothetical protein,K06199,,conserved hypothetical protein,Q7UA04,Protein crcB homolog 2.,,98819,98819..99217,132
SYNW0099,SYNW0099,syw:SYNW0099,glutathione peroxidase,K00432,,Glutathione peroxidase,Q7UA03,Glutathione peroxidase (EC 1.11.1.9).,1.11.1.9,99183,complement(99183..99656),157
SYNW0100,SYNW0100,syw:SYNW0100,hypothetical protein,,,hypothetical,Q7UA02,Hypothetical.,,99682,complement(99682..100593),303
SYNW0101,SYNW0101,syw:SYNW0101,"MgtE family, putative magnesium transport protein",K06213,,"MgtE family, putative magnesium transport protein",Q7UA01,"MgtE family, putative magnesium transport protein.",,100801,100801..102261,486
SYNW0102,SYNW0102,syw:SYNW0102,"type II alternative RNA polymerase sigma factor, sigma-70 family",K03087,,"Type II alternative RNA polymerase sigma factor, sigma-70 family",Q7UA00,"Type II alternative RNA polymerase sigma factor, sigma-70 family.",,102314,102314..103312,332
SYNW0103,SYNW0103,syw:SYNW0103,hypothetical protein,,,hypothetical,Q7U9Z9,Hypothetical.,,103634,103634..104506,290
SYNW0104,SYNW0104,syw:SYNW0104,possible glycosyltransferase,,,possible glycosyltransferase,Q7U9Z8,Possible glycosyltransferase.,,104580,104580..106289,569
SYNW0105,SYNW0105,syw:SYNW0105,conserved hypothetical protein,,,conserved hypothetical protein,Q7U9Z7,Hypothetical protein.,,106234,complement(106234..107169),311
SYNW0106,SYNW0106,syw:SYNW0106,moxR-like protein,,,moxR-like protein,Q7U9Z6,MoxR-like protein.,,107220,107220..107495,91
SYNW0107,SYNW0107,syw:SYNW0107,moxR-like protein,K03924,,moxR-like protein,Q7U9Z5,MoxR-like protein.,3.6.3.-,107458,107458..108129,223
SYNW0108,SYNW0108,syw:SYNW0108,conserved hypothetical protein,,,conserved hypothetical protein,Q7U9Z4,Hypothetical protein precursor.,,108116,108116..109006,296
SYNW0109,SYNW0109,syw:SYNW0109,conserved hypothetical protein,,,conserved hypothetical protein,Q7U9Z3,Hypothetical protein precursor.,,109003,109003..110241,412
SYNW0110,SYNW0110,syw:SYNW0110,hypothetical protein,,,hypothetical,Q7U9Z2,Hypothetical.,,110275,110275..110730,151
SYNW0111,SYNW0111,syw:SYNW0111,conserved hypothetical protein,,,conserved hypothetical protein,Q7U9Z1,Hypothetical protein precursor.,,110803,complement(110803..111282),159
SYNW0112,SYNW0112,syw:SYNW0112,hypothetical protein,,,hypothetical,Q7U9Z0,Hypothetical precursor.,,111257,111257..111538,93
SYNW0113,SYNW0113,syw:SYNW0113,alkyl sulfatase family protein,,,alkyl sulfatase family protein,Q7U9Y9,Alkyl sulfatase family protein precursor.,,111505,complement(111505..113628),707
SYNW0114,SYNW0114,syw:SYNW0114,hypothetical protein,,,hypothetical,Q7U9Y8,Hypothetical.,,113822,113822..114055,77
SYNW0115,SYNW0115,syw:SYNW0115,putative adenine glycosylase,K03575,,putative adenine glycosylase,Q7U9Y7,Putative adenine glycosylase (EC 3.2.2.-).,3.2.2.-,114154,114154..115296,380
SYNW0116,SYNW0116,syw:SYNW0116,hypothetical protein,,,hypothetical,Q7U9Y6,Hypothetical.,,115326,115326..116042,238
SYNW0117,SYNW0117,syw:SYNW0117,putative fructokinase,K00847,,Putative fructokinase,Q7U9Y5,Putative fructokinase (EC 2.7.1.4).,2.7.1.4,116091,116091..117011,306
SYNW0118,SYNW0118,syw:SYNW0118,conserved hypothetical protein,K06925,,conserved hypothetical protein,Q7U9Y4,Hypothetical protein.,,116978,complement(116978..117469),163
SYNW0119,"ahcY, sahH",syw:SYNW0119,putative adenosylhomocysteinase,K01251,"ahcY,sahH",putative adenosylhomocysteinase,Q7U9Y3,Adenosylhomocysteinase (EC 3.3.1.1) (S-adenosyl-L-homocysteine hydrolase) (AdoHcyase).,3.3.1.1,117498,117498..118928,476
SYNW0120,SYNW0120,syw:SYNW0120,putative alkaline phosphatase-like protein,,,putative alkaline phosphatase-like protein,Q7U9Y2,Putative alkaline phosphatase-like protein.,,118989,118989..119648,219
SYNW0121,ssb,syw:SYNW0121,single-stranded DNA-binding protein,K03111,ssb,single-stranded DNA-binding protein,Q7U9Y1,Single-stranded DNA-binding protein.,,119671,complement(119671..120048),125
SYNW0122,mreB,syw:SYNW0122,Rod shape determining protein,K03569,mreB,Rod shape determining protein,Q7U9Y0,Rod shape determining protein.,,120189,120189..121241,350
SYNW0123,mreC,syw:SYNW0123,putative rod shape-determining protein,K03570,mreC,putative rod shape-determining protein,Q7U9X9,Putative rod shape-determining protein.,,121246,121246..121992,248
SYNW0124,SYNW0124,syw:SYNW0124,conserved hypothetical protein,,,conserved hypothetical,Q7U9X8,Conserved hypothetical precursor.,,121995,121995..122504,169
SYNW0125,SYNW0125,syw:SYNW0125,putative sugar-binding protein,K02027,,putative sugar-binding protein,Q7U9X7,Putative sugar-binding protein precursor.,,122501,122501..123790,429
SYNW0126,SYNW0126,syw:SYNW0126,two-component response regulator,,,two-component response regulator,Q7U9X6,Two-component response regulator.,,123900,123900..124661,253
SYNW0127,lysS,syw:SYNW0127,lysyl-tRNA synthetase,K04567,lysS,lysyl-tRNA synthetase,Q7U9X5,Lysyl-tRNA synthetase (EC 6.1.1.6) (Lysine--tRNA ligase) (LysRS).,6.1.1.6,124707,124707..126215,502
SYNW0128,SYNW0128,syw:SYNW0128,conserved hypothetical protein,,,conserved hypothetical protein,Q7U9X4,Hypothetical protein.,,126243,126243..126506,87
SYNW0129,SYNW0129,syw:SYNW0129,conserved hypothetical protein,,,conserved hypothetical protein,Q7U9X3,Hypothetical protein.,,126508,complement(126508..126984),158
SYNW0130,SYNW0130,syw:SYNW0130,conserved hypothetical protein,,,conserved hypothetical protein,Q7U9X2,Hypothetical protein.,,126981,complement(126981..127217),78
SYNW0131,SYNW0131,syw:SYNW0131,conserved hypothetical protein,,,conserved hypothetical protein,Q7U9X1,Hypothetical protein.,,127240,complement(127240..128193),317
SYNW0132,SYNW0132,syw:SYNW0132,conserved hypothetical protein,,,conserved hypothetical protein,Q7U9X0,Hypothetical protein.,,128190,complement(128190..129350),386
SYNW0133,SYNW0133,syw:SYNW0133,conserved hypothetical protein,,,conserved hypothetical,Q7U9W9,Conserved hypothetical.,,129455,129455..130480,341
SYNW0134,smpB,syw:SYNW0134,tmRNA binding protein SmpB,K03664,smpB,tmRNA binding protein SmpB,Q7U9W8,SsrA-binding protein.,,130482,complement(130482..130982),166
SYNW0135,ruvB,syw:SYNW0135,Holliday junction DNA helicase RuvB,K03551,ruvB,Holliday junction DNA helicase RuvB,Q7U9W7,Holliday junction ATP-dependent DNA helicase ruvB (EC 3.6.1.-).,,131033,131033..132079,348
SYNW0136,SYNW0136,syw:SYNW0136,conserved hypothetical protein,,,conserved hypothetical protein,Q7U9W6,Hypothetical protein precursor.,,132085,132085..132849,254
SYNW0137,SYNW0137,syw:SYNW0137,zinc metallopeptidase M20/M25/M40 family,,,Zinc metallopeptidase M20/M25/M40 family,Q7U9W5,Zinc metallopeptidase M20/M25/M40 family precursor.,,132852,132852..134027,391
SYNW0138,SYNW0138,syw:SYNW0138,conserved hypothetical protein,,,conserved hypothetical protein,Q7U9W4,Hypothetical protein precursor.,,134027,134027..134245,72
SYNW0139,SYNW0139,syw:SYNW0139,conserved hypothetical protein,,,conserved hypothetical protein,Q7U9W3,Hypothetical protein.,,134256,134256..134873,205
SYNW0140,thiC,syw:SYNW0140,thiamin biosynthesis protein,K03147,thiC,thiamin biosynthesis protein,Q7U9W2,Thiamine biosynthesis protein thiC.,,135007,135007..136458,483
SYNW0141,"tktA, cbbT",syw:SYNW0141,transketolase,K00615,"tktA,cbbT",transketolase,Q7U9W1,Transketolase (EC 2.2.1.1).,2.2.1.1,136580,complement(136580..138589),669
