symbol,product,logFC,PValue,locus_tag
EZ55_02568,hypothetical protein,-1.656672912,1.35e-09,EZ55_02568
EZ55_02567,uncharacterized protein DUF3592,-1.654228397,8.95e-08,EZ55_02567
EZ55_04354,hypothetical protein,-1.644986915,1.49e-15,EZ55_04354
EZ55_02853,hypothetical protein,-1.641576465,9.5e-08,EZ55_02853
EZ55_03024,cell division protein ZapD,-1.639599834,1.07e-18,EZ55_03024
EZ55_03057,hypothetical protein,-1.633651596,4.19e-06,EZ55_03057
EZ55_03166,2-methylcitrate dehydratase,-1.633232561,6.3e-05,EZ55_03166
EZ55_02315,hypothetical protein,-1.632703486,1.29e-05,EZ55_02315
EZ55_00896,urocanate hydratase,-1.608073449,3.7e-08,EZ55_00896
EZ55_01931,glutamate 5-kinase,-1.603030415,3.63e-07,EZ55_01931
EZ55_02788,phage shock protein A (PspA) family protein,-1.588759278,8.43e-07,EZ55_02788
EZ55_03277,modulator of drug activity B,-1.587975574,3.57e-07,EZ55_03277
EZ55_01060,flagellin,-1.575017198,2.85e-08,EZ55_01060
EZ55_00872,Ohr subfamily peroxiredoxin,-1.57478812,0.001067483,EZ55_00872
EZ55_00477,hypothetical protein,-1.564796948,2.84e-17,
EZ55_03494,MAPEG family protein,-1.563392598,7.89e-12,EZ55_03494
EZ55_00298,HupE/UreJ protein,-1.562820956,1.38e-07,EZ55_00298
EZ55_03227,hypothetical protein,-1.554492661,9.58e-05,EZ55_03227
EZ55_00865,RNA polymerase sigma-70 factor (ECF subfamily),-1.551838592,9.45e-14,EZ55_00865
EZ55_02183,hypothetical protein,-1.549530232,1.51e-07,
EZ55_01738,hypothetical protein,-1.545633882,0.000945877,EZ55_01738
EZ55_03399,phage shock protein C (PspC) family protein,-1.536206979,1.42e-07,EZ55_03399
EZ55_03167,2-methylaconitate cis-trans isomerase,-1.528898589,0.000360024,EZ55_03167
EZ55_04314,hypothetical protein,-1.516253279,1.29e-13,EZ55_04314
EZ55_00548,toxin YoeB,-1.515911894,1.12e-12,EZ55_00548
EZ55_00550,mRNA interferase RelE/StbE,-1.4987021,8.68e-10,EZ55_00550
EZ55_01691,3-methylcrotonyl-CoA carboxylase alpha subunit,-1.496491761,1.31e-05,EZ55_01691
EZ55_01511,hypothetical protein,-1.483818851,3.34e-16,EZ55_01511
EZ55_03389,hypothetical protein,-1.474556497,7.59e-12,EZ55_03389
EZ55_00732,hypothetical protein,-1.465855078,1.98e-06,
EZ55_02877,choline dehydrogenase,-1.461989892,1.38e-07,EZ55_02877
EZ55_03400,phage shock protein A (PspA) family protein,-1.449712984,3.46e-07,EZ55_03400
EZ55_01277,hypothetical protein,-1.446342412,6.82e-08,
EZ55_02983,hexosaminidase,-1.444151427,3.45e-06,EZ55_02983
EZ55_01353,predicted patatin/cPLA2 family phospholipase,-1.44373185,4.64e-06,EZ55_01353
EZ55_04133,ParB family chromosome partitioning protein,-1.44330413,2.58e-10,EZ55_04133
EZ55_04140,DNA replication terminus site binding protein,-1.441366218,2.51e-11,EZ55_04140
EZ55_00318,methyl-accepting chemotaxis sensory transducer,-1.432007996,5.11e-06,EZ55_00318
EZ55_00022,hypothetical protein,-1.421377245,1.35e-10,EZ55_00022
EZ55_00699,DUF3016 family protein,-1.416350809,2.45e-09,EZ55_00699
EZ55_03611,outer membrane protein with beta-barrel domain,-1.407449761,2.91e-07,EZ55_03611
EZ55_03447,uncharacterized membrane protein YiaA,-1.40637302,0.001670792,EZ55_03447
EZ55_02787,hypothetical protein,-1.386080495,1.09e-06,EZ55_02787
EZ55_00282,hypothetical protein,-1.382687333,7.58e-16,EZ55_00282
EZ55_02693,RNA polymerase RpoE-like sigma-24 subunit,-1.370068095,3.97e-16,EZ55_02693
EZ55_03953,secreted protein,-1.358486684,1.79e-10,EZ55_03953
EZ55_04134,hypothetical protein,-1.353319179,1.91e-12,EZ55_04134
EZ55_03418,predicted DCC family thiol-disulfide,-1.343653695,9.9e-07,EZ55_03418
EZ55_00866,hypothetical protein,-1.33611564,1.04e-14,EZ55_00866
EZ55_01861,hypothetical protein,-1.333582272,2.08e-11,EZ55_01861
EZ55_01221,transposase,-1.331594864,7.16e-09,
EZ55_04308,hypothetical protein,-1.328029428,1.53e-10,EZ55_04308
EZ55_01737,glutathione S-transferase,-1.32448512,0.005708167,EZ55_01737
EZ55_02128,bacterioferritin,-1.323053468,1.64e-09,EZ55_02128
EZ55_03194,FHS family L-fucose permease-like MFS,-1.31997659,0.000361424,EZ55_03194
EZ55_03799,hypothetical protein,-1.31296907,1.44e-15,EZ55_03799
EZ55_00432,hypothetical protein,-1.311521028,6.66e-07,EZ55_00432
EZ55_03278,peroxiredoxin,-1.309104223,5.27e-06,EZ55_03278
EZ55_00462,hypothetical protein,-1.302522684,0.000641453,EZ55_00462
EZ55_02169,modulator of FtsH protease,-1.302522643,2.39e-11,EZ55_02169
EZ55_03448,hypothetical protein,-1.296531072,0.001102566,EZ55_03448
EZ55_04221,hypothetical protein,-1.294613858,7.34e-12,EZ55_04221
EZ55_00118,sulfur carrier protein ThiS,-1.293671205,0.000270303,EZ55_00118
EZ55_00160,RimK-like ATP-grasp domain-containing protein,-1.293392901,3.21e-09,EZ55_00160
EZ55_00070,transposase,-1.29097808,3.55e-15,
EZ55_00895,GntR family transcriptional regulator (histidine,-1.288302793,1.05e-06,EZ55_00895
EZ55_04045,acetyltransferase (GNAT) family protein,-1.286762262,4.67e-13,EZ55_04045
EZ55_03163,GntR family transcriptional regulator,-1.280453976,5.51e-06,EZ55_03163
EZ55_02404,glyceraldehyde-3-phosphate dehydrogenase (NAD+),-1.278097734,4.09e-06,EZ55_02404
EZ55_04234,hypothetical protein,-1.267156764,6.39e-13,
EZ55_02565,predicted acylesterase/phospholipase RssA,-1.265933814,5.8e-08,EZ55_02565
EZ55_02972,DNA polymerase family A,-1.260890471,1.85e-14,EZ55_02972
EZ55_04310,plasmid replication DNA-binding protein KfrA,-1.253185672,2.47e-09,EZ55_04310
EZ55_03263,HlyD family secretion protein,-1.250515979,3.25e-12,EZ55_03263
EZ55_04132,chromosome partitioning protein,-1.249672701,1.85e-07,EZ55_04132
EZ55_00870,hypothetical protein,-1.245595453,2.22e-12,
EZ55_01736,hypothetical protein,-1.245134001,0.00562512,EZ55_01736
EZ55_03228,diguanylate cyclase with PAS/PAC sensor,-1.239446022,1.1e-10,
EZ55_00871,DNA-binding MarR family transcriptional,-1.232002314,4.49e-06,EZ55_00871
EZ55_02300,KipI family sensor histidine kinase inhibitor,-1.231609233,4.13e-08,EZ55_02300
EZ55_03492,tetratricopeptide repeat protein,-1.229116555,2.54e-05,EZ55_03492
EZ55_01866,hypothetical protein,-1.227156402,6.45e-10,
EZ55_00894,imidazolonepropionase,-1.226344773,3.32e-08,EZ55_00894
EZ55_00212,TonB-dependent receptor,-1.209584989,1.25e-06,EZ55_00212
EZ55_04232,hypothetical protein,-1.208300766,1.69e-13,EZ55_04232
EZ55_03006,transposase,-1.207334639,8.980000000000001e-21,EZ55_03006
EZ55_00867,hypothetical protein,-1.206611052,1.13e-13,EZ55_00867
EZ55_01692,methylglutaconyl-CoA hydratase,-1.204832817,4.44e-05,EZ55_01692
EZ55_01592,PAS domain S-box-containing protein/diguanylate,-1.204769254,1.69e-09,EZ55_01592
EZ55_04098,TonB-dependent receptor,-1.20287334,0.002876052,EZ55_04098
EZ55_00897,histidine ammonia-lyase,-1.197414522,2.13e-05,EZ55_00897
EZ55_00205,galactokinase,-1.190106735,0.000634663,EZ55_00205
EZ55_02692,RseA-like anti sigma(E) protein,-1.189221494,5.48e-12,EZ55_02692
EZ55_00279,hypothetical protein,-1.187526937,1.91e-16,EZ55_00279
EZ55_02854,hypothetical protein,-1.181344344,0.000280566,EZ55_02854
EZ55_04245,hypothetical protein,-1.181254639,8e-05,EZ55_04245
EZ55_03253,L-ascorbate metabolism protein UlaG,-1.180550041,3.31e-09,EZ55_03253
EZ55_00303,predicted transcriptional regulator,-1.180313842,7.25e-12,EZ55_00303
EZ55_02973,reverse transcriptase (RNA-dependent DNA,-1.175775965,1.13e-11,EZ55_02973
EZ55_00911,hypothetical protein,-1.172361607,0.000961255,
EZ55_02129,bacterioferritin,-1.169661397,1.24e-07,EZ55_02129
EZ55_03414,DUF2884 family protein,-1.166547682,3.71e-07,EZ55_03414
EZ55_00692,putative hydrolase of HD superfamily,-1.165142891,4.44e-08,EZ55_00692
EZ55_03401,hypothetical protein,-1.161844131,2.96e-05,EZ55_03401
EZ55_02187,putative membrane protein,-1.160340392,4.42e-15,EZ55_02187
EZ55_04007,hypothetical protein,-1.159988404,4.56e-09,EZ55_04007
EZ55_02421,hypothetical protein,-1.156356796,2.21e-05,
EZ55_01690,hydroxymethylglutaryl-CoA lyase,-1.15159262,9.28e-05,EZ55_01690
EZ55_00501,sodium/proton antiporter (NhaA family),-1.148920696,3.19e-06,EZ55_00501
EZ55_04309,hypothetical protein,-1.145532608,4.23e-08,EZ55_04309
EZ55_00693,thiol:disulfide interchange protein DsbA,-1.144693448,6.3e-09,EZ55_00693
EZ55_01925,uncharacterized protein DUF2878,-1.140834831,1.87e-08,EZ55_01925
EZ55_02120,hydroxyacylglutathione hydrolase,-1.138098507,1.78e-09,EZ55_02120
EZ55_01059,flagellin,-1.137276197,6.83e-11,EZ55_01059
EZ55_00281,hypothetical protein,-1.136484485,1.93e-12,EZ55_00281
EZ55_01951,hypothetical protein,-1.11926694,2.03e-06,
EZ55_02767,iron-sulfur cluster assembly protein,-1.114405246,0.000627264,EZ55_02767
EZ55_03616,hypothetical protein,-1.114201294,3.38e-07,EZ55_03616
EZ55_02059,tryptophanyl-tRNA synthetase,-1.112198086,1.45e-08,EZ55_02059
EZ55_00299,cobalt-zinc-cadmium resistance protein CzcA,-1.111440813,1.22e-05,EZ55_00299
EZ55_03853,MerC mercury resistance protein,-1.102911525,0.000142949,EZ55_03853
EZ55_04046,protein SCO1/2,-1.102441036,7.38e-12,EZ55_04046
EZ55_01783,Fur family zinc uptake transcriptional regulator,-1.094626233,2.16e-05,EZ55_01783
EZ55_02802,isocitrate lyase,-1.093616939,0.016875416,EZ55_02802
EZ55_02491,AsnC family transcriptional regulator,-1.093117574,4.29e-08,EZ55_02491
EZ55_02981,glutamine--fructose-6-phosphate transaminase,-1.092459936,0.000429667,EZ55_02981
EZ55_04222,hypothetical protein,-1.092177755,7.53e-10,EZ55_04222
EZ55_04217,hypothetical protein,-1.089247691,6.48e-11,EZ55_04217
EZ55_00527,"catechol 2, 3-dioxygenase-like lactoylglutathione lyase",-1.086520941,5.84e-10,EZ55_00527
EZ55_03430,hypothetical protein,-1.083250766,1.94e-05,EZ55_03430
EZ55_02213,predicted Zn-dependent protease,-1.080225549,1.59e-13,EZ55_02213
EZ55_00893,formiminoglutamase,-1.074637915,5.06e-08,EZ55_00893
EZ55_03417,NAD(P)-dependent dehydrogenase (short-subunit,-1.074171209,8.38e-06,EZ55_03417
EZ55_00302,peptidase M48-like protein,-1.073064638,2.88e-10,EZ55_00302
EZ55_02601,hypothetical protein,-1.072558524,1.1e-12,EZ55_02601
EZ55_00019,uncharacterized protein DUF2188,-1.069698457,1.06e-05,EZ55_00019
EZ55_00385,hypothetical protein,-1.069676121,8.95e-06,EZ55_00385
EZ55_04220,hypothetical protein,-1.06747669,5.59e-08,
EZ55_00873,leukotriene A-4 hydrolase/aminopeptidase,-1.065526864,0.000124577,EZ55_00873
EZ55_00023,hypothetical protein,-1.062354141,1.16e-10,EZ55_00023
EZ55_03800,RNA polymerase RpoE-like sigma-24 subunit,-1.054592044,3.43e-10,EZ55_03800
EZ55_00297,hypothetical protein,-1.051181383,0.000185565,EZ55_00297
EZ55_02283,hypothetical protein,-1.051052459,5.87e-05,EZ55_02283
EZ55_00869,hemolysin III,-1.048681616,1.52e-10,EZ55_00869
EZ55_03449,hypothetical protein,-1.047182729,0.003871374,EZ55_03449
EZ55_00021,lecithin:retinol acyltransferase,-1.044312492,3.49e-05,EZ55_00021
EZ55_01559,starch phosphorylase,-1.043705608,5.84e-05,EZ55_01559
EZ55_02786,hypothetical protein,-1.037229287,7.8e-07,EZ55_02786
EZ55_00998,uncharacterized protein DUF3192,-1.034869931,2.93e-07,EZ55_00998
EZ55_00317,CheW protein,-1.027313281,0.0005509,EZ55_00317
EZ55_02982,glucosamine kinase,-1.026888251,0.000218434,EZ55_02982
EZ55_00400,TetR family transcriptional regulator,-1.024124706,9.42e-07,EZ55_00400
EZ55_04141,plasmid replication DNA-binding protein KfrA,-1.01960865,1.71e-07,EZ55_04141
EZ55_02050,ribosomal S4p-like protein,-1.017976949,4.44e-09,EZ55_02050
EZ55_02403,4-alpha-glucanotransferase,-1.017128421,0.000139674,EZ55_02403
EZ55_03041,UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine,-1.016673237,8.55e-08,EZ55_03041
EZ55_01591,quinol monooxygenase YgiN,-1.016319775,3.95e-07,EZ55_01591
EZ55_02058,DNA-binding transcriptional LysR family,-1.010575494,2.23e-10,EZ55_02058
EZ55_02976,glycine dehydrogenase,1.001113974,5.69e-05,EZ55_02976
EZ55_00790,LSU ribosomal protein L13P,1.006672926,5.42e-09,EZ55_00790
EZ55_03335,LuxR family two component transcriptional,1.010317,0.000286228,EZ55_03335
EZ55_03314,cytochrome c-550 PedF,1.012038874,3.92e-05,EZ55_03314
EZ55_03083,pilus retraction ATPase PilT,1.02101834,6.75e-17,EZ55_03083
EZ55_03178,uncharacterized protein DUF2726,1.024699314,2.32e-07,EZ55_03178
EZ55_02922,fucose permease,1.032486945,0.002342768,EZ55_02922
EZ55_00368,SSU ribosomal protein S17P,1.033323311,0.000508151,EZ55_00368
EZ55_03902,hypothetical protein,1.033817587,4.87e-11,EZ55_03902
EZ55_01187,LuxR family two component transcriptional,1.034055285,1.1e-05,EZ55_01187
EZ55_00366,LSU ribosomal protein L16P,1.034928304,0.000222003,EZ55_00366
EZ55_03258,hypothetical protein,1.056810509,1.59e-05,EZ55_03258
EZ55_01199,ferredoxin-NADP reductase,1.062230927,1.36e-06,EZ55_01199
EZ55_03835,beta-glucosidase,1.071838588,1.6e-08,EZ55_03835
EZ55_03218,GTP-binding protein,1.074342473,1.38e-06,EZ55_03218
EZ55_00104,hypothetical protein,1.096193728,1.52e-05,
EZ55_03726,LSU ribosomal protein L12P,1.096812029,2.71e-07,EZ55_03726
EZ55_03340,3-hydroxyisobutyrate dehydrogenase,1.107704737,0.000359649,EZ55_03340
EZ55_03069,diguanylate cyclase (GGDEF)-like protein,1.111789666,9.97e-16,EZ55_03069
EZ55_00367,LSU ribosomal protein L29P,1.114541542,0.000227381,EZ55_00367
EZ55_04019,predicted secreted protein with PEP-CTERM sorting,1.118937993,9.08e-07,EZ55_04019
EZ55_03339,methylmalonate-semialdehyde dehydrogenase,1.122869726,0.000471781,EZ55_03339
EZ55_00779,long-subunit acyl-CoA synthetase (AMP-forming),1.128088432,0.0009684,EZ55_00779
EZ55_00484,hypothetical protein,1.13315127,1.44e-05,EZ55_00484
EZ55_00423,type IV pilus assembly protein PilQ,1.140132906,1.41e-10,EZ55_00423
EZ55_03959,phosphoribosylaminoimidazolecarboxamide,1.153182678,1.03e-08,EZ55_03959
EZ55_01555,MoxR-like ATPase,1.15756508,4.84e-17,EZ55_01555
EZ55_03336,two-component system sensor histidine kinase,1.161827711,8.69e-06,EZ55_03336
EZ55_03727,LSU ribosomal protein L10P,1.164433765,4.7e-09,EZ55_03727
EZ55_00904,ATPase subunit of ABC transporter with duplicated,1.165438282,0.000236411,EZ55_00904
EZ55_03878,hypothetical protein,1.167276422,2.09e-10,EZ55_03878
EZ55_01530,peptidyl-tRNA hydrolase,1.18487952,1.43e-07,EZ55_01530
EZ55_00365,SSU ribosomal protein S3P,1.190786472,2.19e-05,EZ55_00365
EZ55_00376,inner membrane protein,1.217733524,0.000573239,EZ55_00376
EZ55_02977,glycine cleavage system H protein,1.230754625,9.63e-09,EZ55_02977
EZ55_00826,nitroreductase/dihydropteridine reductase,1.238111406,7.04e-09,EZ55_00826
EZ55_03037,methyl-accepting chemotaxis protein,1.245124381,7.08e-05,EZ55_03037
EZ55_00323,hypothetical protein,1.254882324,3.16e-09,EZ55_00323
EZ55_00777,short-subunit dehydrogenase,1.257725965,0.000134441,EZ55_00777
EZ55_02472,uncharacterized protein DUF4277,1.263480703,3e-12,
EZ55_00364,LSU ribosomal protein L22P,1.274505924,6.82e-06,EZ55_00364
EZ55_01225,iron complex outermembrane receptor protein,1.281514181,5.92e-05,EZ55_01225
EZ55_04261,hypothetical protein,1.282997275,5.02e-09,EZ55_04261
EZ55_04253,"catechol 2, 3-dioxygenase",1.285496241,1.82e-08,EZ55_04253
EZ55_00778,heme oxygenase-like protein,1.286822924,0.000341266,EZ55_00778
EZ55_00710,hypothetical protein,1.292056233,4.36e-11,EZ55_00710
EZ55_04258,4-hydroxy-2-oxovalerate aldolase,1.295424187,2.63e-07,EZ55_04258
EZ55_03327,outer membrane receptor protein involved in Fe,1.297962658,2.05e-06,EZ55_03327
EZ55_03962,Bax protein,1.299292578,2.3700000000000003e-21,EZ55_03962
EZ55_00776,hypothetical protein,1.303761396,3.98e-05,EZ55_00776
EZ55_01561,diguanylate cyclase (GGDEF)-like protein,1.307787956,7.92e-11,EZ55_01561
EZ55_01035,phosphoribosylformylglycinamidine synthase,1.312981657,2.61e-11,EZ55_01035
EZ55_00358,SSU ribosomal protein S10P,1.319841787,9.07e-06,EZ55_00358
EZ55_00269,uncharacterized protein (TIGR00288 family),1.319882764,5.86e-14,EZ55_00269
EZ55_04256,2-oxopent-4-enoate/cis-2-oxohex-4-enoate,1.32031078,2.49e-07,EZ55_04256
EZ55_02708,type IV pilus assembly protein PilE,1.325597168,6.92e-07,EZ55_02708
EZ55_02513,amidophosphoribosyltransferase,1.337252502,5.4e-11,EZ55_02513
EZ55_03240,outer membrane receptor for ferrienterochelin and,1.339997282,7.98e-09,EZ55_03240
EZ55_04251,"1, 2-dihydroxycyclohexa-3, 5-diene-1-carboxylate dehydrogenase",1.344078435,9.28e-06,EZ55_04251
EZ55_04254,2-hydroxymuconate semialdehyde dehydrogenase,1.361647998,2.96e-08,EZ55_04254
EZ55_04259,4-oxalocrotonate decarboxylase,1.375271577,1.49e-08,EZ55_04259
EZ55_02707,hypothetical protein,1.38304797,4.38e-06,EZ55_02707
EZ55_01769,hypothetical protein,1.402295626,4.56e-06,EZ55_01769
EZ55_04255,2-hydroxymuconate semialdehyde hydrolase,1.40321481,5.81e-08,EZ55_04255
EZ55_04248,"benzoate 1, 2-dioxygenase alpha subunit",1.407752616,7.9e-07,EZ55_04248
EZ55_01395,glutathione synthase/RimK-type ligase-like,1.40944216,1.36e-05,EZ55_01395
EZ55_04257,acetaldehyde dehydrogenase,1.417966292,1.06e-08,EZ55_04257
EZ55_00394,group II intron reverse transcriptase/maturase,1.429255467,1.15e-16,EZ55_00394
EZ55_03462,sterol desaturase/sphingolipid hydroxylase (fatty,1.437440306,0.000130118,EZ55_03462
EZ55_01292,hypothetical protein,1.441464502,2.4e-10,EZ55_01292
EZ55_02978,aminomethyltransferase,1.442004679,4.89e-10,EZ55_02978
EZ55_03020,type IV pilus assembly protein PilA,1.442413745,1.65e-08,EZ55_03020
EZ55_01727,Ig-like protein group 1,1.449598766,1.8100000000000002e-21,EZ55_01727
EZ55_01068,flagellin,1.452466821,1.78e-13,EZ55_01068
EZ55_00363,SSU ribosomal protein S19P,1.459907482,6.58e-08,EZ55_00363
EZ55_03221,hypothetical protein,1.476399876,1.73e-10,EZ55_03221
EZ55_04260,4-oxalocrotonate tautomerase,1.495565905,2.33e-09,EZ55_04260
EZ55_00709,periplasmic binding family protein,1.505135861,2.22e-09,EZ55_00709
EZ55_00362,LSU ribosomal protein L2P,1.512121057,9.05e-09,EZ55_00362
EZ55_01810,SM-20-related protein,1.52702614,0.000551881,EZ55_01810
EZ55_00042,LysM domain-containing protein,1.535165547,7.07e-27,EZ55_00042
EZ55_00361,LSU ribosomal protein L23P,1.540173522,2.7e-09,EZ55_00361
EZ55_00360,LSU ribosomal protein L4P,1.556263263,7.31e-09,EZ55_00360
EZ55_02709,type IV pilus assembly protein PilY1,1.57165338,7.72e-10,EZ55_02709
EZ55_04024,xylulokinase,1.572006064,9.99e-12,EZ55_04024
EZ55_00359,LSU ribosomal protein L3P,1.593905768,1.27e-08,EZ55_00359
EZ55_02702,type IV fimbrial biogenesis protein FimT,1.596347709,1.33e-20,EZ55_02702
EZ55_04250,"benzoate/toluate 1, 2-dioxygenase reductase subunit",1.603217468,1.02e-10,EZ55_04250
EZ55_04285,xylene monooxygenase electron transfer subunit,1.618223505,2.04e-10,EZ55_04285
EZ55_04286,benzyl alcohol dehydrogenase,1.639802457,8.82e-10,EZ55_04286
EZ55_03177,hypothetical protein,1.66515874,1.24e-11,EZ55_03177
EZ55_04282,benzaldehyde dehydrogenase (NAD+),1.67624757,1.08e-10,EZ55_04282
EZ55_04023,D-xylose isomerase,1.683375679,2.48e-14,EZ55_04023
EZ55_04249,"benzoate/toluate 1, 2-dioxygenase beta subunit",1.690237853,1.57e-08,EZ55_04249
EZ55_00268,restriction system protein,1.759461466,1.08e-10,EZ55_00268
EZ55_02372,hypothetical protein,1.767371669,0.000153617,EZ55_02372
EZ55_00426,type IV pilus assembly protein PilN,1.802408437,3.17e-16,EZ55_00426
EZ55_04283,alkane 1-monooxygenase/xylene monooxygenase,1.822709714,4.56e-12,EZ55_04283
EZ55_01776,uncharacterized protein DUF3718,1.830575969,3.18e-05,EZ55_01776
EZ55_02642,predicted secreted protein with PEP-CTERM sorting,1.845270313,2.11e-08,EZ55_02642
EZ55_00425,type IV pilus assembly protein PilO,1.846701892,1.56e-15,EZ55_00425
EZ55_03834,FHS family L-fucose permease-like MFS,1.85828956,8.27e-19,EZ55_03834
EZ55_02164,aromatic ring-opening dioxygenase catalytic,1.870352935,2.17e-09,EZ55_02164
EZ55_02165,putative oxidoreductase,1.901782962,7.27e-05,EZ55_02165
EZ55_00424,type IV pilus assembly protein PilP,1.929638681,2.91e-15,EZ55_00424
EZ55_04284,hypothetical protein,1.942075929,1.08e-12,
EZ55_00427,type IV pilus assembly protein PilM,1.967054863,4.53e-18,EZ55_00427
EZ55_03021,type IV pilus assembly protein PilC,2.035373465,2.86e-19,EZ55_03021
EZ55_02710,type IV pilus assembly protein PilX,2.065830355,1.66e-15,EZ55_02710
EZ55_01777,uncharacterized protein DUF3718,2.109422049,4.67e-08,EZ55_01777
EZ55_03244,VCBS repeat-containing protein,2.162593574,5.02e-15,EZ55_03244
EZ55_03243,uncharacterized protein DUF4331,2.227286135,2.51e-14,EZ55_03243
EZ55_02586,hypothetical protein,2.240868641,2.38e-07,EZ55_02586
EZ55_01782,uncharacterized protein DUF3718,2.265207182,3.07e-08,EZ55_01782
EZ55_02712,type IV pilus assembly protein PilV,2.291192374,4.62e-18,EZ55_02712
EZ55_02371,hypothetical protein,2.355292755,9.06e-08,EZ55_02371
EZ55_02711,type IV pilus assembly protein PilW,2.368904792,2.5699999999999998e-23,EZ55_02711
EZ55_03829,glycosyl hydrolase family 16,2.440842449,2.6899999999999997e-24,EZ55_03829
EZ55_03068,plasmid segregation centromere-binding protein,2.877289678,1.63e-26,EZ55_03068
EZ55_03067,plasmid segregation oscillating ATPase ParF,2.987613259,2.26e-17,EZ55_03067
