symbol,product,logFC,PValue
EZ55_02568,hypothetical protein,-1.656672912,1.35E-09
EZ55_02567,uncharacterized protein DUF3592,-1.654228397,8.95E-08
EZ55_04354,hypothetical protein,-1.644986915,1.49E-15
EZ55_02853,hypothetical protein,-1.641576465,9.50E-08
EZ55_03024,cell division protein ZapD,-1.639599834,1.07E-18
EZ55_03057,hypothetical protein,-1.633651596,4.19E-06
EZ55_03166,2-methylcitrate dehydratase,-1.633232561,6.30E-05
EZ55_02315,hypothetical protein,-1.632703486,1.29E-05
EZ55_00896,urocanate hydratase,-1.608073449,3.70E-08
EZ55_01931,glutamate 5-kinase,-1.603030415,3.63E-07
EZ55_02788,phage shock protein A (PspA) family protein,-1.588759278,8.43E-07
EZ55_03277,modulator of drug activity B,-1.587975574,3.57E-07
EZ55_01060,flagellin,-1.575017198,2.85E-08
EZ55_00872,Ohr subfamily peroxiredoxin,-1.57478812,0.001067483
EZ55_00477,hypothetical protein,-1.564796948,2.84E-17
EZ55_03494,MAPEG family protein,-1.563392598,7.89E-12
EZ55_00298,HupE/UreJ protein,-1.562820956,1.38E-07
EZ55_03227,hypothetical protein,-1.554492661,9.58E-05
EZ55_00865,RNA polymerase sigma-70 factor (ECF subfamily),-1.551838592,9.45E-14
EZ55_02183,hypothetical protein,-1.549530232,1.51E-07
EZ55_01738,hypothetical protein,-1.545633882,0.000945877
EZ55_03399,phage shock protein C (PspC) family protein,-1.536206979,1.42E-07
EZ55_03167,2-methylaconitate cis-trans isomerase,-1.528898589,0.000360024
EZ55_04314,hypothetical protein,-1.516253279,1.29E-13
EZ55_00548,toxin YoeB,-1.515911894,1.12E-12
EZ55_00550,mRNA interferase RelE/StbE,-1.4987021,8.68E-10
EZ55_01691,3-methylcrotonyl-CoA carboxylase alpha subunit,-1.496491761,1.31E-05
EZ55_01511,hypothetical protein,-1.483818851,3.34E-16
EZ55_03389,hypothetical protein,-1.474556497,7.59E-12
EZ55_00732,hypothetical protein,-1.465855078,1.98E-06
EZ55_02877,choline dehydrogenase,-1.461989892,1.38E-07
EZ55_03400,phage shock protein A (PspA) family protein,-1.449712984,3.46E-07
EZ55_01277,hypothetical protein,-1.446342412,6.82E-08
EZ55_02983,hexosaminidase,-1.444151427,3.45E-06
EZ55_01353,predicted patatin/cPLA2 family phospholipase,-1.44373185,4.64E-06
EZ55_04133,ParB family chromosome partitioning protein,-1.44330413,2.58E-10
EZ55_04140,DNA replication terminus site binding protein,-1.441366218,2.51E-11
EZ55_00318,methyl-accepting chemotaxis sensory transducer,-1.432007996,5.11E-06
EZ55_00022,hypothetical protein,-1.421377245,1.35E-10
EZ55_00699,DUF3016 family protein,-1.416350809,2.45E-09
EZ55_03611,outer membrane protein with beta-barrel domain,-1.407449761,2.91E-07
EZ55_03447,uncharacterized membrane protein YiaA,-1.40637302,0.001670792
EZ55_02787,hypothetical protein,-1.386080495,1.09E-06
EZ55_00282,hypothetical protein,-1.382687333,7.58E-16
EZ55_02693,RNA polymerase RpoE-like sigma-24 subunit,-1.370068095,3.97E-16
EZ55_03953,secreted protein,-1.358486684,1.79E-10
EZ55_04134,hypothetical protein,-1.353319179,1.91E-12
EZ55_03418,predicted DCC family thiol-disulfide,-1.343653695,9.90E-07
EZ55_00866,hypothetical protein,-1.33611564,1.04E-14
EZ55_01861,hypothetical protein,-1.333582272,2.08E-11
EZ55_01221,transposase,-1.331594864,7.16E-09
EZ55_04308,hypothetical protein,-1.328029428,1.53E-10
EZ55_01737,glutathione S-transferase,-1.32448512,0.005708167
EZ55_02128,bacterioferritin,-1.323053468,1.64E-09
EZ55_03194,FHS family L-fucose permease-like MFS,-1.31997659,0.000361424
EZ55_03799,hypothetical protein,-1.31296907,1.44E-15
EZ55_00432,hypothetical protein,-1.311521028,6.66E-07
EZ55_03278,peroxiredoxin,-1.309104223,5.27E-06
EZ55_00462,hypothetical protein,-1.302522684,0.000641453
EZ55_02169,modulator of FtsH protease,-1.302522643,2.39E-11
EZ55_03448,hypothetical protein,-1.296531072,0.001102566
EZ55_04221,hypothetical protein,-1.294613858,7.34E-12
EZ55_00118,sulfur carrier protein ThiS,-1.293671205,0.000270303
EZ55_00160,RimK-like ATP-grasp domain-containing protein,-1.293392901,3.21E-09
EZ55_00070,transposase,-1.29097808,3.55E-15
EZ55_00895,GntR family transcriptional regulator (histidine,-1.288302793,1.05E-06
EZ55_04045,acetyltransferase (GNAT) family protein,-1.286762262,4.67E-13
EZ55_03163,GntR family transcriptional regulator,-1.280453976,5.51E-06
EZ55_02404,glyceraldehyde-3-phosphate dehydrogenase (NAD+),-1.278097734,4.09E-06
EZ55_04234,hypothetical protein,-1.267156764,6.39E-13
EZ55_02565,predicted acylesterase/phospholipase RssA,-1.265933814,5.80E-08
EZ55_02972,DNA polymerase family A,-1.260890471,1.85E-14
EZ55_04310,plasmid replication DNA-binding protein KfrA,-1.253185672,2.47E-09
EZ55_03263,HlyD family secretion protein,-1.250515979,3.25E-12
EZ55_04132,chromosome partitioning protein,-1.249672701,1.85E-07
EZ55_00870,hypothetical protein,-1.245595453,2.22E-12
EZ55_01736,hypothetical protein,-1.245134001,0.00562512
EZ55_03228,diguanylate cyclase with PAS/PAC sensor,-1.239446022,1.10E-10
EZ55_00871,DNA-binding MarR family transcriptional,-1.232002314,4.49E-06
EZ55_02300,KipI family sensor histidine kinase inhibitor,-1.231609233,4.13E-08
EZ55_03492,tetratricopeptide repeat protein,-1.229116555,2.54E-05
EZ55_01866,hypothetical protein,-1.227156402,6.45E-10
EZ55_00894,imidazolonepropionase,-1.226344773,3.32E-08
EZ55_00212,TonB-dependent receptor,-1.209584989,1.25E-06
EZ55_04232,hypothetical protein,-1.208300766,1.69E-13
EZ55_03006,transposase,-1.207334639,8.98E-21
EZ55_00867,hypothetical protein,-1.206611052,1.13E-13
EZ55_01692,methylglutaconyl-CoA hydratase,-1.204832817,4.44E-05
EZ55_01592,PAS domain S-box-containing protein/diguanylate,-1.204769254,1.69E-09
EZ55_04098,TonB-dependent receptor,-1.20287334,0.002876052
EZ55_00897,histidine ammonia-lyase,-1.197414522,2.13E-05
EZ55_00205,galactokinase,-1.190106735,0.000634663
EZ55_02692,RseA-like anti sigma(E) protein,-1.189221494,5.48E-12
EZ55_00279,hypothetical protein,-1.187526937,1.91E-16
EZ55_02854,hypothetical protein,-1.181344344,0.000280566
EZ55_04245,hypothetical protein,-1.181254639,8.00E-05
EZ55_03253,L-ascorbate metabolism protein UlaG,-1.180550041,3.31E-09
EZ55_00303,predicted transcriptional regulator,-1.180313842,7.25E-12
EZ55_02973,reverse transcriptase (RNA-dependent DNA,-1.175775965,1.13E-11
EZ55_00911,hypothetical protein,-1.172361607,0.000961255
EZ55_02129,bacterioferritin,-1.169661397,1.24E-07
EZ55_03414,DUF2884 family protein,-1.166547682,3.71E-07
EZ55_00692,putative hydrolase of HD superfamily,-1.165142891,4.44E-08
EZ55_03401,hypothetical protein,-1.161844131,2.96E-05
EZ55_02187,putative membrane protein,-1.160340392,4.42E-15
EZ55_04007,hypothetical protein,-1.159988404,4.56E-09
EZ55_02421,hypothetical protein,-1.156356796,2.21E-05
EZ55_01690,hydroxymethylglutaryl-CoA lyase,-1.15159262,9.28E-05
EZ55_00501,sodium/proton antiporter (NhaA family),-1.148920696,3.19E-06
EZ55_04309,hypothetical protein,-1.145532608,4.23E-08
EZ55_00693,thiol:disulfide interchange protein DsbA,-1.144693448,6.30E-09
EZ55_01925,uncharacterized protein DUF2878,-1.140834831,1.87E-08
EZ55_02120,hydroxyacylglutathione hydrolase,-1.138098507,1.78E-09
EZ55_01059,flagellin,-1.137276197,6.83E-11
EZ55_00281,hypothetical protein,-1.136484485,1.93E-12
EZ55_01951,hypothetical protein,-1.11926694,2.03E-06
EZ55_02767,iron-sulfur cluster assembly protein,-1.114405246,0.000627264
EZ55_03616,hypothetical protein,-1.114201294,3.38E-07
EZ55_02059,tryptophanyl-tRNA synthetase,-1.112198086,1.45E-08
EZ55_00299,cobalt-zinc-cadmium resistance protein CzcA,-1.111440813,1.22E-05
EZ55_03853,MerC mercury resistance protein,-1.102911525,0.000142949
EZ55_04046,protein SCO1/2,-1.102441036,7.38E-12
EZ55_01783,Fur family zinc uptake transcriptional regulator,-1.094626233,2.16E-05
EZ55_02802,isocitrate lyase,-1.093616939,0.016875416
EZ55_02491,AsnC family transcriptional regulator,-1.093117574,4.29E-08
EZ55_02981,glutamine--fructose-6-phosphate transaminase,-1.092459936,0.000429667
EZ55_04222,hypothetical protein,-1.092177755,7.53E-10
EZ55_04217,hypothetical protein,-1.089247691,6.48E-11
EZ55_00527,"catechol 2, 3-dioxygenase-like lactoylglutathione lyase",-1.086520941,5.84E-10
EZ55_03430,hypothetical protein,-1.083250766,1.94E-05
EZ55_02213,predicted Zn-dependent protease,-1.080225549,1.59E-13
EZ55_00893,formiminoglutamase,-1.074637915,5.06E-08
EZ55_03417,NAD(P)-dependent dehydrogenase (short-subunit,-1.074171209,8.38E-06
EZ55_00302,peptidase M48-like protein,-1.073064638,2.88E-10
EZ55_02601,hypothetical protein,-1.072558524,1.10E-12
EZ55_00019,uncharacterized protein DUF2188,-1.069698457,1.06E-05
EZ55_00385,hypothetical protein,-1.069676121,8.95E-06
EZ55_04220,hypothetical protein,-1.06747669,5.59E-08
EZ55_00873,leukotriene A-4 hydrolase/aminopeptidase,-1.065526864,0.000124577
EZ55_00023,hypothetical protein,-1.062354141,1.16E-10
EZ55_03800,RNA polymerase RpoE-like sigma-24 subunit,-1.054592044,3.43E-10
EZ55_00297,hypothetical protein,-1.051181383,0.000185565
EZ55_02283,hypothetical protein,-1.051052459,5.87E-05
EZ55_00869,hemolysin III,-1.048681616,1.52E-10
EZ55_03449,hypothetical protein,-1.047182729,0.003871374
EZ55_00021,lecithin:retinol acyltransferase,-1.044312492,3.49E-05
EZ55_01559,starch phosphorylase,-1.043705608,5.84E-05
EZ55_02786,hypothetical protein,-1.037229287,7.80E-07
EZ55_00998,uncharacterized protein DUF3192,-1.034869931,2.93E-07
EZ55_00317,CheW protein,-1.027313281,0.0005509
EZ55_02982,glucosamine kinase,-1.026888251,0.000218434
EZ55_00400,TetR family transcriptional regulator,-1.024124706,9.42E-07
EZ55_04141,plasmid replication DNA-binding protein KfrA,-1.01960865,1.71E-07
EZ55_02050,ribosomal S4p-like protein,-1.017976949,4.44E-09
EZ55_02403,4-alpha-glucanotransferase,-1.017128421,0.000139674
EZ55_03041,UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine,-1.016673237,8.55E-08
EZ55_01591,quinol monooxygenase YgiN,-1.016319775,3.95E-07
EZ55_02058,DNA-binding transcriptional LysR family,-1.010575494,2.23E-10
EZ55_02976,glycine dehydrogenase,1.001113974,5.69E-05
EZ55_00790,LSU ribosomal protein L13P,1.006672926,5.42E-09
EZ55_03335,LuxR family two component transcriptional,1.010317,0.000286228
EZ55_03314,cytochrome c-550 PedF,1.012038874,3.92E-05
EZ55_03083,pilus retraction ATPase PilT,1.02101834,6.75E-17
EZ55_03178,uncharacterized protein DUF2726,1.024699314,2.32E-07
EZ55_02922,fucose permease,1.032486945,0.002342768
EZ55_00368,SSU ribosomal protein S17P,1.033323311,0.000508151
EZ55_03902,hypothetical protein,1.033817587,4.87E-11
EZ55_01187,LuxR family two component transcriptional,1.034055285,1.10E-05
EZ55_00366,LSU ribosomal protein L16P,1.034928304,0.000222003
EZ55_03258,hypothetical protein,1.056810509,1.59E-05
EZ55_01199,ferredoxin-NADP reductase,1.062230927,1.36E-06
EZ55_03835,beta-glucosidase,1.071838588,1.60E-08
EZ55_03218,GTP-binding protein,1.074342473,1.38E-06
EZ55_00104,hypothetical protein,1.096193728,1.52E-05
EZ55_03726,LSU ribosomal protein L12P,1.096812029,2.71E-07
EZ55_03340,3-hydroxyisobutyrate dehydrogenase,1.107704737,0.000359649
EZ55_03069,diguanylate cyclase (GGDEF)-like protein,1.111789666,9.97E-16
EZ55_00367,LSU ribosomal protein L29P,1.114541542,0.000227381
EZ55_04019,predicted secreted protein with PEP-CTERM sorting,1.118937993,9.08E-07
EZ55_03339,methylmalonate-semialdehyde dehydrogenase,1.122869726,0.000471781
EZ55_00779,long-subunit acyl-CoA synthetase (AMP-forming),1.128088432,0.0009684
EZ55_00484,hypothetical protein,1.13315127,1.44E-05
EZ55_00423,type IV pilus assembly protein PilQ,1.140132906,1.41E-10
EZ55_03959,phosphoribosylaminoimidazolecarboxamide,1.153182678,1.03E-08
EZ55_01555,MoxR-like ATPase,1.15756508,4.84E-17
EZ55_03336,two-component system sensor histidine kinase,1.161827711,8.69E-06
EZ55_03727,LSU ribosomal protein L10P,1.164433765,4.70E-09
EZ55_00904,ATPase subunit of ABC transporter with duplicated,1.165438282,0.000236411
EZ55_03878,hypothetical protein,1.167276422,2.09E-10
EZ55_01530,peptidyl-tRNA hydrolase,1.18487952,1.43E-07
EZ55_00365,SSU ribosomal protein S3P,1.190786472,2.19E-05
EZ55_00376,inner membrane protein,1.217733524,0.000573239
EZ55_02977,glycine cleavage system H protein,1.230754625,9.63E-09
EZ55_00826,nitroreductase/dihydropteridine reductase,1.238111406,7.04E-09
EZ55_03037,methyl-accepting chemotaxis protein,1.245124381,7.08E-05
EZ55_00323,hypothetical protein,1.254882324,3.16E-09
EZ55_00777,short-subunit dehydrogenase,1.257725965,0.000134441
EZ55_02472,uncharacterized protein DUF4277,1.263480703,3.00E-12
EZ55_00364,LSU ribosomal protein L22P,1.274505924,6.82E-06
EZ55_01225,iron complex outermembrane receptor protein,1.281514181,5.92E-05
EZ55_04261,hypothetical protein,1.282997275,5.02E-09
EZ55_04253,"catechol 2, 3-dioxygenase",1.285496241,1.82E-08
EZ55_00778,heme oxygenase-like protein,1.286822924,0.000341266
EZ55_00710,hypothetical protein,1.292056233,4.36E-11
EZ55_04258,4-hydroxy-2-oxovalerate aldolase,1.295424187,2.63E-07
EZ55_03327,outer membrane receptor protein involved in Fe,1.297962658,2.05E-06
EZ55_03962,Bax protein,1.299292578,2.37E-21
EZ55_00776,hypothetical protein,1.303761396,3.98E-05
EZ55_01561,diguanylate cyclase (GGDEF)-like protein,1.307787956,7.92E-11
EZ55_01035,phosphoribosylformylglycinamidine synthase,1.312981657,2.61E-11
EZ55_00358,SSU ribosomal protein S10P,1.319841787,9.07E-06
EZ55_00269,uncharacterized protein (TIGR00288 family),1.319882764,5.86E-14
EZ55_04256,2-oxopent-4-enoate/cis-2-oxohex-4-enoate,1.32031078,2.49E-07
EZ55_02708,type IV pilus assembly protein PilE,1.325597168,6.92E-07
EZ55_02513,amidophosphoribosyltransferase,1.337252502,5.40E-11
EZ55_03240,outer membrane receptor for ferrienterochelin and,1.339997282,7.98E-09
EZ55_04251,"1, 2-dihydroxycyclohexa-3, 5-diene-1-carboxylate dehydrogenase",1.344078435,9.28E-06
EZ55_04254,2-hydroxymuconate semialdehyde dehydrogenase,1.361647998,2.96E-08
EZ55_04259,4-oxalocrotonate decarboxylase,1.375271577,1.49E-08
EZ55_02707,hypothetical protein,1.38304797,4.38E-06
EZ55_01769,hypothetical protein,1.402295626,4.56E-06
EZ55_04255,2-hydroxymuconate semialdehyde hydrolase,1.40321481,5.81E-08
EZ55_04248,"benzoate 1, 2-dioxygenase alpha subunit",1.407752616,7.90E-07
EZ55_01395,glutathione synthase/RimK-type ligase-like,1.40944216,1.36E-05
EZ55_04257,acetaldehyde dehydrogenase,1.417966292,1.06E-08
EZ55_00394,group II intron reverse transcriptase/maturase,1.429255467,1.15E-16
EZ55_03462,sterol desaturase/sphingolipid hydroxylase (fatty,1.437440306,0.000130118
EZ55_01292,hypothetical protein,1.441464502,2.40E-10
EZ55_02978,aminomethyltransferase,1.442004679,4.89E-10
EZ55_03020,type IV pilus assembly protein PilA,1.442413745,1.65E-08
EZ55_01727,Ig-like protein group 1,1.449598766,1.81E-21
EZ55_01068,flagellin,1.452466821,1.78E-13
EZ55_00363,SSU ribosomal protein S19P,1.459907482,6.58E-08
EZ55_03221,hypothetical protein,1.476399876,1.73E-10
EZ55_04260,4-oxalocrotonate tautomerase,1.495565905,2.33E-09
EZ55_00709,periplasmic binding family protein,1.505135861,2.22E-09
EZ55_00362,LSU ribosomal protein L2P,1.512121057,9.05E-09
EZ55_01810,SM-20-related protein,1.52702614,0.000551881
EZ55_00042,LysM domain-containing protein,1.535165547,7.07E-27
EZ55_00361,LSU ribosomal protein L23P,1.540173522,2.70E-09
EZ55_00360,LSU ribosomal protein L4P,1.556263263,7.31E-09
EZ55_02709,type IV pilus assembly protein PilY1,1.57165338,7.72E-10
EZ55_04024,xylulokinase,1.572006064,9.99E-12
EZ55_00359,LSU ribosomal protein L3P,1.593905768,1.27E-08
EZ55_02702,type IV fimbrial biogenesis protein FimT,1.596347709,1.33E-20
EZ55_04250,"benzoate/toluate 1, 2-dioxygenase reductase subunit",1.603217468,1.02E-10
EZ55_04285,xylene monooxygenase electron transfer subunit,1.618223505,2.04E-10
EZ55_04286,benzyl alcohol dehydrogenase,1.639802457,8.82E-10
EZ55_03177,hypothetical protein,1.66515874,1.24E-11
EZ55_04282,benzaldehyde dehydrogenase (NAD+),1.67624757,1.08E-10
EZ55_04023,D-xylose isomerase,1.683375679,2.48E-14
EZ55_04249,"benzoate/toluate 1, 2-dioxygenase beta subunit",1.690237853,1.57E-08
EZ55_00268,restriction system protein,1.759461466,1.08E-10
EZ55_02372,hypothetical protein,1.767371669,0.000153617
EZ55_00426,type IV pilus assembly protein PilN,1.802408437,3.17E-16
EZ55_04283,alkane 1-monooxygenase/xylene monooxygenase,1.822709714,4.56E-12
EZ55_01776,uncharacterized protein DUF3718,1.830575969,3.18E-05
EZ55_02642,predicted secreted protein with PEP-CTERM sorting,1.845270313,2.11E-08
EZ55_00425,type IV pilus assembly protein PilO,1.846701892,1.56E-15
EZ55_03834,FHS family L-fucose permease-like MFS,1.85828956,8.27E-19
EZ55_02164,aromatic ring-opening dioxygenase catalytic,1.870352935,2.17E-09
EZ55_02165,putative oxidoreductase,1.901782962,7.27E-05
EZ55_00424,type IV pilus assembly protein PilP,1.929638681,2.91E-15
EZ55_04284,hypothetical protein,1.942075929,1.08E-12
EZ55_00427,type IV pilus assembly protein PilM,1.967054863,4.53E-18
EZ55_03021,type IV pilus assembly protein PilC,2.035373465,2.86E-19
EZ55_02710,type IV pilus assembly protein PilX,2.065830355,1.66E-15
EZ55_01777,uncharacterized protein DUF3718,2.109422049,4.67E-08
EZ55_03244,VCBS repeat-containing protein,2.162593574,5.02E-15
EZ55_03243,uncharacterized protein DUF4331,2.227286135,2.51E-14
EZ55_02586,hypothetical protein,2.240868641,2.38E-07
EZ55_01782,uncharacterized protein DUF3718,2.265207182,3.07E-08
EZ55_02712,type IV pilus assembly protein PilV,2.291192374,4.62E-18
EZ55_02371,hypothetical protein,2.355292755,9.06E-08
EZ55_02711,type IV pilus assembly protein PilW,2.368904792,2.57E-23
EZ55_03829,glycosyl hydrolase family 16,2.440842449,2.69E-24
EZ55_03068,plasmid segregation centromere-binding protein,2.877289678,1.63E-26
EZ55_03067,plasmid segregation oscillating ATPase ParF,2.987613259,2.26E-17
