symbol,product,logFC,PValue
EZ55_01773,acetyl-CoA C-acetyltransferase,-1.115374103,5.69E-05
EZ55_02321,broad specificity phosphatase PhoE,-1.113987519,6.52E-06
EZ55_00193,DNA-binding MarR family transcriptional,-1.090542051,0.00021303
EZ55_04342,glutaredoxin,-1.08792402,0.000354177
EZ55_00776,hypothetical protein,-1.087587467,0.002358884
EZ55_00204,UDPglucose--hexose-1-phosphate,-1.08646629,0.000546188
EZ55_00213,glycerol kinase,-1.081414837,0.001100116
EZ55_00157,glutaredoxin,-1.076805392,0.000525556
EZ55_03244,VCBS repeat-containing protein,-1.073571447,0.00049279
EZ55_00779,long-subunit acyl-CoA synthetase (AMP-forming),-1.068748665,0.005411093
EZ55_00416,uncharacterized protein (TIGR02001 family),-1.066491721,0.002046653
EZ55_03222,PAS/PAC sensor signal transduction histidine,-1.061298862,3.07E-05
EZ55_02937,peroxiredoxin,-1.05079264,0.004776535
EZ55_03875,hypothetical protein,-1.048317433,6.89E-06
EZ55_02501,sucrose phosphorylase,-1.045807651,0.019519333
EZ55_03362,catalase-peroxidase,-1.041098626,0.000773311
EZ55_01814,peroxiredoxin (alkyl hydroperoxide reductase,-1.040741952,0.00105283
EZ55_02936,hypothetical protein,-1.035838992,0.007732176
EZ55_03798,putative adhesin,-1.032815338,2.90E-10
EZ55_02423,hypothetical protein,-1.025766948,0.001234811
EZ55_02855,outer membrane receptor protein involved in Fe,-1.023064976,0.035922355
EZ55_02319,aminoglycoside phosphotransferase (APT) family,-1.017389839,5.47E-06
EZ55_00873,leukotriene A-4 hydrolase/aminopeptidase,-1.013617814,0.000246091
EZ55_03996,outer membrane protein with beta-barrel domain,-1.003304094,0.005615251
EZ55_03945,biotin carboxyl carrier protein,-1.002697846,1.95E-08
EZ55_02917,hypothetical protein,-1.001483058,0.000168524
EZ55_01038,hypothetical protein,1.000944463,5.50E-07
EZ55_03497,CBS domain-containing protein,1.003679111,1.39E-08
EZ55_03508,hypothetical protein,1.03825404,9.28E-05
EZ55_03492,tetratricopeptide repeat protein,1.04118792,4.87E-05
EZ55_03057,hypothetical protein,1.044436342,0.000518106
EZ55_02315,hypothetical protein,1.045737502,0.000976164
EZ55_02372,hypothetical protein,1.0702502,0.021599597
EZ55_01485,propionyl-CoA synthetase,1.079311215,6.14E-06
EZ55_03881,NADH dehydrogenase,1.085640902,1.67E-06
EZ55_01615,uncharacterized membrane protein YfcA,1.095200592,2.44E-09
EZ55_01810,SM-20-related protein,1.117956097,0.011457929
EZ55_00532,hypothetical protein,1.134728557,2.37E-06
EZ55_03165,2-methylcitrate synthase,1.145701484,0.000102094
EZ55_02802,isocitrate lyase,1.171484766,0.003927906
EZ55_03449,hypothetical protein,1.181368346,0.000254788
EZ55_03448,hypothetical protein,1.185655801,0.000622018
EZ55_02804,malate synthase,1.187262305,0.001889613
EZ55_03446,hypothetical protein,1.192059378,6.84E-05
EZ55_02834,hypothetical protein,1.198419889,1.44E-08
EZ55_03499,putative solute:sodium symporter small subunit,1.288934264,2.20E-05
EZ55_03447,uncharacterized membrane protein YiaA,1.300194396,0.000761348
EZ55_03167,2-methylaconitate cis-trans isomerase,1.339236217,0.000252243
EZ55_03166,2-methylcitrate dehydratase,1.460902263,2.35E-05
EZ55_03498,cation/acetate symporter,1.505200328,3.51E-07
EZ55_01736,hypothetical protein,2.091885605,1.48E-07
EZ55_01737,glutathione S-transferase,2.189354883,2.20E-07
EZ55_01738,hypothetical protein,2.407868642,3.36E-09
