gene_names,gene,locus_tag_ncbi,locus_tag,source,start,end,strand,Note,exception,inference,product,protein_id,Ontology_term,go_component,go_function,go_process,gene_synonym,old_locus_tags
ACZ81_RS00120,,ACZ81_RS00120,ACZ81_00120,Protein Homology,27824,28366,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014977866.1,type I DNA topoisomerase,WP_014975256.1,"GO:0006265,GO:0003677,GO:0003916,GO:0005694",chromosome|0005694||IEA,"DNA binding|0003677||IEA,DNA topoisomerase activity|0003916||IEA",DNA topological change|0006265||IEA,,ACZ81_00120
ACZ81_RS00125,,ACZ81_RS00125,ACZ81_00125,Protein Homology,28412,29017,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014947734.1,Sua5/YciO/YrdC/YwlC family protein,WP_014975257.1,GO:0003725,,double-stranded RNA binding|0003725||IEA,,,ACZ81_00125
hemF,hemF,ACZ81_RS00130,ACZ81_00130,Protein Homology,29014,29946,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014996781.1,oxygen-dependent coproporphyrinogen oxidase,WP_049586350.1,"GO:0006779,GO:0004109",,coproporphyrinogen oxidase activity|0004109||IEA,porphyrin-containing compound biosynthetic process|0006779||IEA,,ACZ81_00130
ACZ81_RS00135,,ACZ81_RS00135,ACZ81_00135,Protein Homology,30181,30861,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012516551.1,OmpW family outer membrane protein,WP_061438872.1,GO:0019867,outer membrane|0019867||IEA,,,,ACZ81_00135
ACZ81_RS00140,,ACZ81_RS00140,ACZ81_00140,Protein Homology,30987,31418,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014977869.1,group II truncated hemoglobin,WP_014947737.1,"GO:0005344,GO:0019825,GO:0020037,GO:0046872",,"oxygen carrier activity|0005344||IEA,oxygen binding|0019825||IEA,heme binding|0020037||IEA,metal ion binding|0046872||IEA",,,ACZ81_00140
aroE,aroE,ACZ81_RS00145,ACZ81_00145,Protein Homology,31417,32256,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012516553.1,shikimate dehydrogenase,WP_061438874.1,"GO:0019632,GO:0004764",,shikimate 3-dehydrogenase (NADP+) activity|0004764||IEA,shikimate metabolic process|0019632||IEA,,ACZ81_00145
ACZ81_RS00150,,ACZ81_RS00150,ACZ81_00150,Protein Homology,32253,32795,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012516554.1,gamma carbonic anhydrase family protein,WP_014977871.1,GO:0046872,,metal ion binding|0046872||IEA,,,ACZ81_00150
ACZ81_RS00155,,ACZ81_RS00155,ACZ81_00155,Protein Homology,32972,34015,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014977872.1,UDP-N-acetylglucosamine 2-epimerase,WP_014977872.1,,,,,,ACZ81_00155
ACZ81_RS00180,,ACZ81_RS00180,ACZ81_00180,Protein Homology,39908,40438,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014947741.1,acyloxyacyl hydrolase,WP_014975262.1,,,,,,ACZ81_00180
ACZ81_RS00185,,ACZ81_RS00185,ACZ81_00185,Protein Homology,40575,41405,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014975263.1,substrate-binding periplasmic protein,WP_061438876.1,,,,,,ACZ81_00185
ACZ81_RS00190,,ACZ81_RS00190,ACZ81_00190,Protein Homology,41386,42177,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014975264.1,hypothetical protein,WP_061438878.1,,,,,,ACZ81_00190
ACZ81_RS00195,,ACZ81_RS00195,ACZ81_00195,Protein Homology,42319,45408,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012516560.1,error-prone DNA polymerase,WP_061438880.1,"GO:0006260,GO:0003887,GO:0008408",,"DNA-directed DNA polymerase activity|0003887||IEA,3'-5' exonuclease activity|0008408||IEA",DNA replication|0006260||IEA,,ACZ81_00195
ACZ81_RS00200,,ACZ81_RS00200,ACZ81_00200,Protein Homology,45445,46932,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014996790.1,Y-family DNA polymerase,WP_061438881.1,"GO:0006260,GO:0006281,GO:0003684,GO:0003887,GO:0046872",,"damaged DNA binding|0003684||IEA,DNA-directed DNA polymerase activity|0003887||IEA,metal ion binding|0046872||IEA","DNA replication|0006260||IEA,DNA repair|0006281||IEA",,ACZ81_00200
ACZ81_RS00205,,ACZ81_RS00205,ACZ81_00205,Protein Homology,46932,47681,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_015065854.1,recombinase RecA,WP_061438884.1,,,,,,ACZ81_00205
ACZ81_RS00210,,ACZ81_RS00210,ACZ81_00210,Protein Homology,47929,48438,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014977879.1,hypothetical protein,WP_061438886.1,,,,,,ACZ81_00210
ACZ81_RS00215,,ACZ81_RS00215,ACZ81_00215,Protein Homology,48441,50192,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014977880.1,DUF885 domain-containing protein,WP_061438888.1,,,,,,ACZ81_00215
ACZ81_RS00220,,ACZ81_RS00220,ACZ81_00220,Protein Homology,50231,50566,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012516565.1,DUF1820 family protein,WP_061438894.1,,,,,,ACZ81_00220
ACZ81_RS00225,,ACZ81_RS00225,ACZ81_00225,Protein Homology,50755,52392,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014996794.1,M28 family metallopeptidase,WP_049587523.1,"GO:0008237,GO:0008270,GO:0016020",membrane|0016020||IEA,"metallopeptidase activity|0008237||IEA,zinc ion binding|0008270||IEA",,,ACZ81_00225
slmA,slmA,ACZ81_RS00230,ACZ81_00230,Protein Homology,52636,53223,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014996795.1,nucleoid occlusion factor SlmA,WP_012516568.1,"GO:0010974,GO:0003677",,DNA binding|0003677||IEA,negative regulation of division septum assembly|0010974||IEA,,ACZ81_00230
coaBC,coaBC,ACZ81_RS00235,ACZ81_00235,Protein Homology,53339,54568,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014947751.1,bifunctional phosphopantothenoylcysteine decarboxylase/phosphopantothenate--cysteine ligase CoaBC,WP_061438895.1,"GO:0015937,GO:0015941,GO:0004632,GO:0004633,GO:0010181",,"phosphopantothenate--cysteine ligase activity|0004632||IEA,phosphopantothenoylcysteine decarboxylase activity|0004633||IEA,FMN binding|0010181||IEA","coenzyme A biosynthetic process|0015937||IEA,pantothenate catabolic process|0015941||IEA",,ACZ81_00235
radC,radC,ACZ81_RS00240,ACZ81_00240,Protein Homology,54778,55455,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014947752.1,RadC family protein,WP_014947752.1,,,,,,ACZ81_00240
ACZ81_RS00245,,ACZ81_RS00245,ACZ81_00245,Protein Homology,55548,55901,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014977885.1,hypothetical protein,WP_014947753.1,,,,,,ACZ81_00245
ACZ81_RS00250,,ACZ81_RS00250,ACZ81_00250,Protein Homology,55996,56685,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014947754.1,YjbF family lipoprotein,WP_014947754.1,,,,,,ACZ81_00250
ACZ81_RS00255,,ACZ81_RS00255,ACZ81_00255,Protein Homology,56685,57434,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014996800.1,capsule biosynthesis GfcC family protein,WP_039236677.1,,,,,,ACZ81_00255
ACZ81_RS00260,,ACZ81_RS00260,ACZ81_00260,Protein Homology,57431,59533,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014996801.1,YjbH domain-containing protein,WP_014977887.1,,,,,,ACZ81_00260
rpmB,rpmB,ACZ81_RS00265,ACZ81_00265,Protein Homology,59871,60107,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_018347033.1,50S ribosomal protein L28,WP_014947757.1,"GO:0006412,GO:0003735,GO:0005840",ribosome|0005840||IEA,structural constituent of ribosome|0003735||IEA,translation|0006412||IEA,,ACZ81_00265
rpmG,rpmG,ACZ81_RS00270,ACZ81_00270,Protein Homology,60119,60274,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011470150.1,50S ribosomal protein L33,WP_012516577.1,"GO:0006412,GO:0003735,GO:0005840",ribosome|0005840||IEA,structural constituent of ribosome|0003735||IEA,translation|0006412||IEA,,ACZ81_00270
ACZ81_RS00275,,ACZ81_RS00275,ACZ81_00275,Protein Homology,60541,61005,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014977888.1,hypothetical protein,WP_039226967.1,,,,,,ACZ81_00275
mutM,mutM,ACZ81_RS00280,ACZ81_00280,Protein Homology,61006,61815,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014996803.1,bifunctional DNA-formamidopyrimidine glycosylase/DNA-(apurinic or apyrimidinic site) lyase,WP_061438898.1,"GO:0006281,GO:0006284,GO:0003676,GO:0003684,GO:0003906,GO:0008270,GO:0008534,GO:0016799,GO:0019104",,"nucleic acid binding|0003676||IEA,damaged DNA binding|0003684||IEA,DNA-(apurinic or apyrimidinic site) endonuclease activity|0003906||IEA,zinc ion binding|0008270||IEA,oxidized purine nucleobase lesion DNA N-glycosylase activity|0008534||IEA,hydrolase activity%2C hydrolyzing N-glycosyl compounds|0016799||IEA,DNA N-glycosylase activity|0019104||IEA","DNA repair|0006281||IEA,base-excision repair|0006284||IEA",,ACZ81_00280
coaD,coaD,ACZ81_RS00285,ACZ81_00285,Protein Homology,61834,62322,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014996804.1,pantetheine-phosphate adenylyltransferase,WP_061438900.1,"GO:0015937,GO:0004595",,pantetheine-phosphate adenylyltransferase activity|0004595||IEA,coenzyme A biosynthetic process|0015937||IEA,,ACZ81_00285
ACZ81_RS00290,,ACZ81_RS00290,ACZ81_00290,Protein Homology,62421,63152,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014996805.1,3-deoxy-D-manno-octulosonic acid kinase,WP_061438902.1,GO:0016773,,phosphotransferase activity%2C alcohol group as acceptor|0016773||IEA,,,ACZ81_00290
ACZ81_RS00295,,ACZ81_RS00295,ACZ81_00295,Protein Homology,63632,64105,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014977891.1,hypothetical protein,WP_039226966.1,,,,,,ACZ81_00295
ACZ81_RS00300,,ACZ81_RS00300,ACZ81_00300,Protein Homology,64102,65277,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014977892.1,hypothetical protein,WP_061438903.1,,,,,,ACZ81_00300
ACZ81_RS00305,,ACZ81_RS00305,ACZ81_00305,Protein Homology,65287,67731,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014947764.1,bifunctional diguanylate cyclase/phosphodiesterase,WP_061438906.1,,,,,,ACZ81_00305
ACZ81_RS00310,,ACZ81_RS00310,ACZ81_00310,Protein Homology,67895,69091,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012516586.1,glycine C-acetyltransferase,WP_014977894.1,"GO:0009058,GO:0008890,GO:0030170",,"glycine C-acetyltransferase activity|0008890||IEA,pyridoxal phosphate binding|0030170||IEA",biosynthetic process|0009058||IEA,,ACZ81_00310
tdh,tdh,ACZ81_RS00315,ACZ81_00315,Protein Homology,69088,70113,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_015065862.1,L-threonine 3-dehydrogenase,WP_014947766.1,"GO:0006567,GO:0008743",,L-threonine 3-dehydrogenase activity|0008743||IEA,threonine catabolic process|0006567||IEA,,ACZ81_00315
glpE,glpE,ACZ81_RS00320,ACZ81_00320,Protein Homology,70113,70424,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014977895.1,thiosulfate sulfurtransferase GlpE,WP_014947767.1,GO:0004792,,thiosulfate-cyanide sulfurtransferase activity|0004792||IEA,,,ACZ81_00320
glpG,glpG,ACZ81_RS00325,ACZ81_00325,Protein Homology,70565,71428,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014977896.1,rhomboid family intramembrane serine protease GlpG,WP_014977896.1,"GO:0019538,GO:0004252,GO:0005886",plasma membrane|0005886||IEA,serine-type endopeptidase activity|0004252||IEA,protein metabolic process|0019538||IEA,,ACZ81_00325
ACZ81_RS00330,,ACZ81_RS00330,ACZ81_00330,Protein Homology,71484,71897,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012516590.1,flagellar basal body-associated protein FliL,WP_014977897.1,,,,,,ACZ81_00330
ACZ81_RS00335,,ACZ81_RS00335,ACZ81_00335,Protein Homology,72046,72615,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_015065863.1,chorismate--pyruvate lyase family protein,WP_014975276.1,"GO:0006744,GO:0008813,GO:0005737",cytoplasm|0005737||IEA,chorismate lyase activity|0008813||IEA,ubiquinone biosynthetic process|0006744||IEA,,ACZ81_00335
ubiA,ubiA,ACZ81_RS00340,ACZ81_00340,Protein Homology,72612,73469,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014996815.1,4-hydroxybenzoate octaprenyltransferase,WP_061438908.1,"GO:0006744,GO:0008412",,4-hydroxybenzoate polyprenyltransferase activity|0008412||IEA,ubiquinone biosynthetic process|0006744||IEA,,ACZ81_00340
ubiK,ubiK,ACZ81_RS00345,ACZ81_00345,Protein Homology,73571,73822,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014975278.1,ubiquinone biosynthesis accessory factor UbiK,WP_014947772.1,"GO:0006744,GO:0042802",,identical protein binding|0042802||IEA,ubiquinone biosynthetic process|0006744||IEA,yqiC,ACZ81_00345
rep,rep,ACZ81_RS00350,ACZ81_00350,Protein Homology,73935,75950,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014947773.1,DNA helicase Rep,WP_061438910.1,"GO:0006260,GO:0003677,GO:0003678,GO:0005524",,"DNA binding|0003677||IEA,DNA helicase activity|0003678||IEA,ATP binding|0005524||IEA",DNA replication|0006260||IEA,,ACZ81_00350
ACZ81_RS00355,,ACZ81_RS00355,ACZ81_00355,Protein Homology,75996,78596,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012516597.1,sensor domain-containing phosphodiesterase,WP_014977899.1,"GO:0000160,GO:0007165,GO:0005515,GO:0071111",,"protein binding|0005515||IEA,cyclic-guanylate-specific phosphodiesterase activity|0071111||IEA","phosphorelay signal transduction system|0000160||IEA,signal transduction|0007165||IEA",,ACZ81_00355
ACZ81_RS00360,,ACZ81_RS00360,ACZ81_00360,Protein Homology,78700,79107,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014996819.1,c-type cytochrome,WP_014947775.1,"GO:0009055,GO:0020037,GO:0046872",,"electron transfer activity|0009055||IEA,heme binding|0020037||IEA,metal ion binding|0046872||IEA",,,ACZ81_00360
ACZ81_RS00370,,ACZ81_RS00370,ACZ81_00370,Protein Homology,79455,80648,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_013462868.1,type II toxin-antitoxin system HipA family toxin,WP_061438912.1,"GO:0016310,GO:0004674,GO:0110001",toxin-antitoxin complex|0110001||IEA,protein serine/threonine kinase activity|0004674||IEA,phosphorylation|0016310||IEA,,ACZ81_00370
ACZ81_RS00375,,ACZ81_RS00375,ACZ81_00375,Protein Homology,80638,80928,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012516600.1,helix-turn-helix domain-containing protein,WP_061438914.1,GO:0003677,,DNA binding|0003677||IEA,,,ACZ81_00375
nhaC,nhaC,ACZ81_RS00380,ACZ81_00380,Protein Homology,81232,82644,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014947776.1,Na+/H+ antiporter NhaC,WP_061438916.1,"GO:0006814,GO:1902600,GO:0015297,GO:0015385,GO:0016020",membrane|0016020||IEA,"antiporter activity|0015297||IEA,sodium:proton antiporter activity|0015385||IEA","sodium ion transport|0006814||IEA,proton transmembrane transport|1902600||IEA",,ACZ81_00380
ACZ81_RS00385,,ACZ81_RS00385,ACZ81_00385,Protein Homology,82748,84517,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012516626.1,BCCT family transporter,WP_061438918.1,"GO:0071705,GO:0022857,GO:0016020",membrane|0016020||IEA,transmembrane transporter activity|0022857||IEA,nitrogen compound transport|0071705||IEA,,ACZ81_00385
ACZ81_RS00390,,ACZ81_RS00390,ACZ81_00390,Protein Homology,84668,85297,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014947778.1,hypothetical protein,WP_061438920.1,,,,,,ACZ81_00390
ACZ81_RS00395,,ACZ81_RS00395,ACZ81_00395,Protein Homology,85433,85681,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014947779.1,DUF2960 family protein,WP_061438921.1,,,,,,ACZ81_00395
ACZ81_RS00400,,ACZ81_RS00400,ACZ81_00400,Protein Homology,86246,88012,-,,,COORDINATES: protein motif:HMM:NF014044.6,ATP-binding protein,WP_061438923.1,"GO:0005524,GO:0016887",,"ATP binding|0005524||IEA,ATP hydrolysis activity|0016887||IEA",,,ACZ81_00400
ACZ81_RS00405,,ACZ81_RS00405,ACZ81_00405,Protein Homology,88014,89102,-,,,COORDINATES: protein motif:HMM:NF024685.6,SIR2 family protein,WP_061438925.1,,,,,,ACZ81_00405
ACZ81_RS21400,,ACZ81_RS21400,ACZ81_RS21400,GeneMarkS-2+,89299,89688,-,,,COORDINATES: ab initio prediction:GeneMarkS-2+,hypothetical protein,WP_232375976.1,,,,,,
ACZ81_RS21405,,ACZ81_RS21405,ACZ81_RS21405,Protein Homology,89663,89944,-,,,COORDINATES: protein motif:HMM:NF017640.6,replication endonuclease,WP_338132597.1,GO:0006260,,,DNA replication|0006260||IEA,,
ACZ81_RS00420,,ACZ81_RS00420,ACZ81_00420,GeneMarkS-2+,90588,91721,+,,,COORDINATES: ab initio prediction:GeneMarkS-2+,DUF4124 domain-containing protein,WP_061438931.1,,,,,,ACZ81_00420
ACZ81_RS00425,,ACZ81_RS00425,ACZ81_00425,Protein Homology,91736,93433,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_006955889.1,class I SAM-dependent methyltransferase,WP_061438932.1,,,,,,ACZ81_00425
ACZ81_RS00430,,ACZ81_RS00430,ACZ81_00430,Protein Homology,93669,95762,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_015065896.1,TonB-dependent siderophore receptor,WP_061438933.1,"GO:0015891,GO:0055085,GO:0015267,GO:0046872,GO:0009279,GO:0016020","cell outer membrane|0009279||IEA,membrane|0016020||IEA","channel activity|0015267||IEA,metal ion binding|0046872||IEA","siderophore transport|0015891||IEA,transmembrane transport|0055085||IEA",,ACZ81_00430
ACZ81_RS00435,,ACZ81_RS00435,ACZ81_00435,Protein Homology,95930,96460,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014975299.1,hypothetical protein,WP_039227006.1,,,,,,ACZ81_00435
ACZ81_RS00440,,ACZ81_RS00440,ACZ81_00440,Protein Homology,96485,97012,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014947785.1,hypothetical protein,WP_039236707.1,,,,,,ACZ81_00440
ACZ81_RS00445,,ACZ81_RS00445,ACZ81_00445,Protein Homology,97086,98306,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012516655.1,acyl-CoA dehydrogenase family protein,WP_061438935.1,GO:0016627,,oxidoreductase activity%2C acting on the CH-CH group of donors|0016627||IEA,,,ACZ81_00445
