uniprot_id	locus_tag	product	PMTid	P9313name
Q7V9B7	AKG35_RS00175	SDR family oxidoreductase	PMT_0034	P9313_00341
Q7TV84	AKG35_RS00180	hypothetical protein	PMT_0035	P9313_00351
Q7V9B6	AKG35_RS00185	HNH endonuclease	PMT_0036	P9313_00361
Q7TV83	AKG35_RS00190	DEAD/DEAH box helicase	PMT_0037	P9313_00371
NA	AKG35_RS00195	hypothetical protein	NA	NA
Q7TV82	AKG35_RS00200	hypothetical protein	PMT_0038	P9313_00381
Q7V9B5	AKG35_RS00205	AbrB family transcriptional regulator	PMT_0039	P9313_00391
Q7V9B4	AKG35_RS00210	chemotaxis protein	PMT_0040	P9313_00401
Q7V9B3	AKG35_RS00215	hypothetical protein	PMT_0041	P9313_00411
Q7V9B2	AKG35_RS00220	hypothetical protein	PMT_0042	P9313_00421
Q7V9B1	AKG35_RS00230	alanine--glyoxylate aminotransferase family protein	PMT_0043	P9313_00431
Q7V9B0	AKG35_RS00235	cobalt-precorrin-5B (C(1))-methyltransferase CbiD	PMT_0044	P9313_00441
Q7V9A9	AKG35_RS00240	glutamine-hydrolyzing GMP synthase	PMT_0045	P9313_00451
Q7V9A8	AKG35_RS00245	hypothetical protein	PMT_0046	P9313_00461
Q7V9A7	AKG35_RS00250	hypothetical protein	PMT_0047	P9313_00471
Q7V9A6	AKG35_RS00255	penicillin-binding protein 2	PMT_0048	P9313_00481
Q7V9A5	AKG35_RS00260	glycosyltransferase family 1 protein	PMT_0049	P9313_00491
Q7V9A4	AKG35_RS00265	NAD-dependent epimerase/dehydratase family protein	PMT_0050	P9313_00501
Q7V9A3	AKG35_RS00270	ssl1498 family light-harvesting-like protein	PMT_0051	P9313_00511
Q7V9A2	AKG35_RS00275	thiazole synthase	PMT_0052	P9313_00521
Q7V9A1	AKG35_RS00280	hypothetical protein	PMT_0053	P9313_00531
Q7V9A0	AKG35_RS00285	tetratricopeptide repeat protein	PMT_0054	P9313_00541
Q7V999	AKG35_RS00295	50S ribosomal protein L20	PMT_0055	P9313_00581
Q7V998	AKG35_RS00300	50S ribosomal protein L35	PMT_0056	P9313_00591
Q7V997	AKG35_RS00305	SpoIID/LytB domain-containing protein	PMT_0057	P9313_00611
Q7V996	AKG35_RS00310	glycosyltransferase family 2 protein	PMT_0058	P9313_00621
Q7V995	AKG35_RS00315	DNA polymerase III subunit gamma/tau	PMT_0059	P9313_00631
Q7V994	AKG35_RS00320	lecithin retinol acyltransferase family protein	PMT_0060	P9313_00641
Q7V993	AKG35_RS00325	ATP-dependent protease ATP-binding subunit ClpX	PMT_0061	P9313_00651
Q7V992	AKG35_RS00330	ATP-dependent Clp endopeptidase proteolytic subunit ClpP	PMT_0062	P9313_00661
Q7V991	AKG35_RS00335	trigger factor	PMT_0063	P9313_00671
Q7TV81	AKG35_RS00340	aspartate-semialdehyde dehydrogenase	PMT_0064	P9313_00681
Q7V990	AKG35_RS00345	4-hydroxy-tetrahydrodipicolinate synthase	PMT_0065	P9313_00701
Q7V989	AKG35_RS00350	ribonuclease J	PMT_0066	P9313_00721
Q7V988	AKG35_RS00355	hypothetical protein	PMT_0067	P9313_00731
Q7V987	AKG35_RS00360	tRNA lysidine(34) synthetase TilS	PMT_0068	P9313_00741
Q7V986	AKG35_RS00365	DUF561 domain-containing protein	PMT_0069	P9313_00751
Q7V985	AKG35_RS00370	phage holin family protein	PMT_0070	P9313_00761
Q7TV80	AKG35_RS00375	excinuclease ABC subunit UvrB	PMT_0071	P9313_00771
Q7V984	AKG35_RS00380	hypothetical protein	PMT_0072	P9313_00781
Q7V983	AKG35_RS00385	aspartate kinase	PMT_0073	P9313_00791
Q7V982	AKG35_RS00390	DNA polymerase III subunit delta	PMT_0074	P9313_00801
Q7TV79	AKG35_RS00395	precorrin-8X methylmutase	PMT_0075	P9313_00811
Q7V981	AKG35_RS00400	HlyD family efflux transporter periplasmic adaptor subunit	PMT_0076	P9313_00821
Q7V980	AKG35_RS00405	peptidase domain-containing ABC transporter	PMT_0077	P9313_00831
Q7V979	AKG35_RS00410	peptidylprolyl isomerase	PMT_0078	P9313_00841
Q7V978	AKG35_RS00415	DNA mismatch repair protein MutS	PMT_0079	P9313_00851
Q7TV78	AKG35_RS00420	photosystem II reaction center protein PsbZ	PMT_0080	P9313_00861
Q7V977	AKG35_RS00425	6%2C7-dimethyl-8-ribityllumazine synthase	PMT_0081	P9313_00871
Q7V976	AKG35_RS00435	GNAT family N-acetyltransferase	PMT_0082	P9313_00881
Q7V975	AKG35_RS00440	preprotein translocase subunit SecA	PMT_0083	P9313_00891
NA	AKG35_RS12620	glucose-1-phosphate thymidylyltransferase	NA	NA
Q7V973	AKG35_RS00445	glycosyltransferase family 2 protein	PMT_0085	P9313_00911
Q7V972	AKG35_RS00450	NAD-dependent epimerase/dehydratase family protein	PMT_0086	P9313_00921
Q7V971	AKG35_RS00455	glycosyltransferase	PMT_0087	P9313_00931
Q7V970	AKG35_RS00460	hypothetical protein	PMT_0088	P9313_00941
Q7V969	AKG35_RS12140	acyltransferase	PMT_0089	P9313_00951
Q7V968	AKG35_RS00470	hypothetical protein	PMT_0090	P9313_00961
Q7V967	AKG35_RS00475	DUF115 domain-containing protein	PMT_0091	P9313_00971
Q7V966	AKG35_RS00480	peptidylprolyl isomerase	PMT_0092	P9313_00981
Q7V965	AKG35_RS00485	peptidase domain-containing ABC transporter	PMT_0093	P9313_00991
Q7V964	AKG35_RS00490	HlyD family efflux transporter periplasmic adaptor subunit	PMT_0094	P9313_01001
Q7V963	AKG35_RS00495	UDP-N-acetylglucosamine 4%2C6-dehydratase (inverting)	PMT_0095	P9313_01011
Q7V962	AKG35_RS00500	UDP-4-amino-4%2C6-dideoxy-N-acetyl-beta-L-altrosamine transaminase	PMT_0096	P9313_01021
Q7V961	AKG35_RS00505	aldo/keto reductase	PMT_0097	P9313_01031
Q7V960	AKG35_RS00510	N-acetyl sugar amidotransferase	PMT_0098	P9313_01041
Q7V959	AKG35_RS00515	imidazole glycerol phosphate synthase subunit HisH	PMT_0099	P9313_01051
Q7V958	AKG35_RS00520	HisA/HisF-related TIM barrel protein	PMT_0100	P9313_01061
Q7V957	AKG35_RS12145	GNAT family N-acetyltransferase	PMT_0101	P9313_01071
Q7V956	AKG35_RS00525	glycosyltransferase family protein	PMT_0102	P9313_01081
Q7TV77	AKG35_RS00530	aminotransferase class III-fold pyridoxal phosphate-dependent enzyme	PMT_0103	P9313_01091
Q7V955	AKG35_RS12150	UDP-2%2C4-diacetamido-2%2C4%2C6-trideoxy-beta-L-altropyranose hydrolase	PMT_0104	P9313_01101
Q7V954	AKG35_RS12625	hypothetical protein	PMT_0105	P9313_01111
Q7V953	AKG35_RS00540	pseudaminic acid synthase	PMT_0106	P9313_01121
Q7V952	AKG35_RS00545	class I SAM-dependent methyltransferase	PMT_0107	P9313_01131
Q7V951	AKG35_RS00550	ABC transporter ATP-binding protein	PMT_0108	P9313_01141
Q7V950	AKG35_RS00555	ABC transporter permease	PMT_0109	P9313_01151
Q7V949	AKG35_RS00560	methyltransferase domain-containing protein	PMT_0110	P9313_01161
Q7V947	AKG35_RS00565	glucose-1-phosphate thymidylyltransferase RfbA	PMT_0112	P9313_01171
Q7V946	AKG35_RS00570	dTDP-4-dehydrorhamnose 3%2C5-epimerase	PMT_0113	P9313_01181
Q7V945	AKG35_RS00575	dTDP-4-dehydrorhamnose reductase	PMT_0114	P9313_01191
Q7V944	AKG35_RS00580	dTDP-glucose 4%2C6-dehydratase	PMT_0115	P9313_01221
Q7V943	AKG35_RS12630	hypothetical protein	PMT_0116	P9313_01231
Q7V942	AKG35_RS00585	serine O-acetyltransferase	PMT_0117	P9313_01241
Q7V941	AKG35_RS00590	GntR family transcriptional regulator	PMT_0118	P9313_01261
Q7TV76	AKG35_RS00595	translation initiation factor IF-3	PMT_0119	P9313_01281
Q7TV75	AKG35_RS00600	tRNA (adenosine(37)-N6)-dimethylallyltransferase MiaA	PMT_0120	P9313_01291
Q7V940	AKG35_RS00605	DNA topoisomerase (ATP-hydrolyzing) subunit B	PMT_0121	P9313_01301
Q7V939	AKG35_RS00610	hypothetical protein	PMT_0122	P9313_01311
Q7V938	AKG35_RS00615	CrcB family protein	PMT_0123	P9313_01321
Q7V937	AKG35_RS00620	CrcB family protein	PMT_0124	P9313_01331
Q7V936	AKG35_RS00625	glutathione peroxidase	PMT_0125	P9313_01341
Q7V935	AKG35_RS00630	magnesium transporter	PMT_0126	P9313_01351
Q7V934	AKG35_RS00635	RpoD/SigA family RNA polymerase sigma factor	PMT_0127	P9313_01361
Q7TV74	AKG35_RS00640	alpha/beta fold hydrolase	PMT_0128	P9313_01371
Q7V933	AKG35_RS00645	efflux RND transporter permease subunit	PMT_0129	P9313_01381
Q7V932	AKG35_RS00650	efflux RND transporter periplasmic adaptor subunit	PMT_0130	P9313_01391
Q7V931	AKG35_RS00655	succinate dehydrogenase cytochrome b subunit	PMT_0131	P9313_01401
Q7TV73	AKG35_RS00660	fumarate reductase/succinate dehydrogenase flavoprotein subunit	PMT_0132	P9313_01411
Q7V930	AKG35_RS00665	succinate dehydrogenase/fumarate reductase iron-sulfur subunit	PMT_0133	P9313_01421
Q7TV72	AKG35_RS00670	isopenicillin N synthase family oxygenase	PMT_0134	P9313_01431
Q7V929	AKG35_RS00675	8-oxo-dGTP diphosphatase MutT	PMT_0135	P9313_01441
Q7V928	AKG35_RS00680	carbohydrate kinase	PMT_0136	P9313_01451
Q7V927	AKG35_RS00685	tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex ATPase subunit type 1 TsaE	PMT_0137	P9313_01461
Q7V926	AKG35_RS00690	adenosylhomocysteinase	PMT_0138	P9313_01471
Q7V925	AKG35_RS00695	glucosyltransferase domain-containing protein	PMT_0139	P9313_01481
Q7V924	AKG35_RS00700	DedA family protein	PMT_0140	P9313_01491
Q7V923	AKG35_RS00705	single-stranded DNA-binding protein	PMT_0141	P9313_01501
Q7V922	AKG35_RS00710	rod shape-determining protein	PMT_0142	P9313_01511
Q7V921	AKG35_RS00715	rod shape-determining protein MreC	PMT_0143	P9313_01521
Q7V920	AKG35_RS00720	hypothetical protein	PMT_0144	P9313_01531
Q7V919	AKG35_RS00725	sugar ABC transporter substrate-binding protein	PMT_0145	P9313_01541
Q7V918	AKG35_RS00730	winged helix-turn-helix domain-containing protein	PMT_0146	P9313_01551
Q7U3A4	AKG35_RS00735	lysine--tRNA ligase	PMT_0147	P9313_01561
Q7V917	AKG35_RS00740	hypothetical protein	PMT_0148	P9313_01571
Q7V916	AKG35_RS00745	hypothetical protein	PMT_0149	P9313_01581
Q7V915	AKG35_RS00750	hypothetical protein	PMT_0150	P9313_01591
Q7V914	AKG35_RS00755	L-histidine N(alpha)-methyltransferase	PMT_0151	P9313_01601
Q7V913	AKG35_RS00760	ergothioneine biosynthesis protein EgtB	PMT_0152	P9313_01611
Q7V912	AKG35_RS13135	hypothetical protein	PMT_0153	P9313_01621
Q7TV71	AKG35_RS00770	serine/threonine protein kinase	PMT_0154	P9313_01631
Q7V911	AKG35_RS00775	SsrA-binding protein SmpB	PMT_0155	P9313_01641
Q7V910	AKG35_RS00780	Holliday junction branch migration DNA helicase RuvB	PMT_0156	P9313_01651
Q7V909	AKG35_RS00785	tetratricopeptide repeat protein	PMT_0157	P9313_01661
Q7V908	AKG35_RS00790	amidohydrolase	PMT_0158	P9313_01671
Q7V907	AKG35_RS00795	DUF3188 domain-containing protein	PMT_0159	P9313_01681
Q7V906	AKG35_RS00800	phosphomethylpyrimidine synthase ThiC	PMT_0160	P9313_01691
B9ERC6	AKG35_RS00805	Nif11-like leader peptide family natural product precursor	NA	NA
Q7V905	AKG35_RS12160	DUF1499 domain-containing protein	PMT_0161	P9313_01721
Q7TV70	AKG35_RS00815	hypothetical protein	PMT_0162	P9313_01741
Q7V904	AKG35_RS00820	shikimate kinase	PMT_0163	P9313_01751
Q7V903	AKG35_RS00825	6-carboxytetrahydropterin synthase	PMT_0164	P9313_01761
Q7V902	AKG35_RS00830	RibD family protein	PMT_0165	P9313_01771
B9ERC9	AKG35_RS12635	GNAT family N-acetyltransferase	NA	NA
Q7V901	AKG35_RS12635	GNAT family N-acetyltransferase	PMT_0166	P9313_01781
Q7TV69	AKG35_RS00835	hypothetical protein	PMT_0168	P9313_01811
Q7V8Z9	AKG35_RS00845	GNAT family N-acetyltransferase	PMT_0170	P9313_01831
Q7TV67	AKG35_RS00850	hypothetical protein	PMT_0171	P9313_01841
Q7V8Z8	AKG35_RS00855	DUF4346 domain-containing protein	PMT_0172	P9313_01851
Q7V8Z7	AKG35_RS00860	B12-binding domain-containing radical SAM protein	PMT_0173	P9313_01861
B9ERD0	AKG35_RS00865	cytochrome b6	NA	NA
Q7V8Z6	AKG35_RS00870	MFS transporter	PMT_0174	P9313_01881
Q7V8Z5	AKG35_RS00875	30S ribosomal protein S12 methylthiotransferase RimO	PMT_0175	P9313_01891
Q7V8Z4	AKG35_RS00880	thioredoxin	PMT_0176	P9313_01901
Q7V8Z3	AKG35_RS00885	L-aspartate oxidase	PMT_0177	P9313_01911
Q7TV66	AKG35_RS00890	photosystem II complex extrinsic protein PsbU	PMT_0178	P9313_01921
Q7V8Z2	AKG35_RS00895	DUF3120 domain-containing protein	PMT_0179	P9313_01931
Q7V8Z1	AKG35_RS00900	undecaprenyl-diphosphate phosphatase	PMT_0180	P9313_01941
Q7V8Z0	AKG35_RS00905	TIGR03279 family radical SAM protein	PMT_0181	P9313_01951
Q7V8Y9	AKG35_RS00910	TolC family protein	PMT_0182	P9313_01961
Q7V8Y8	AKG35_RS00915	inositol monophosphatase family protein	PMT_0183	P9313_01971
Q7V8Y7	AKG35_RS00950	acireductone synthase	PMT_0184	P9313_02031
Q7V8Y6	AKG35_RS00955	methylthioribulose 1-phosphate dehydratase	PMT_0185	P9313_02041
Q7V8Y5	AKG35_RS00960	DNA-formamidopyrimidine glycosylase	PMT_0186	P9313_02051
Q7V8Y4	AKG35_RS00965	photosystem I reaction center subunit IV	PMT_0187	P9313_02061
Q7V8Y3	AKG35_RS00970	hypothetical protein	PMT_0188	P9313_02071
Q7TV65	AKG35_RS00975	ATP-dependent DNA helicase	PMT_0189	P9313_02081
Q7V8Y2	AKG35_RS00980	LysM peptidoglycan-binding domain-containing protein	PMT_0190	P9313_02091
Q7V8Y1	AKG35_RS00985	aldehyde dehydrogenase family protein	PMT_0191	P9313_02101
B9ERD6	AKG35_RS12640	hypothetical protein	NA	NA
Q7V8Y0	AKG35_RS00990	glycoside hydrolase family 13 protein	PMT_0192	P9313_02121
Q7V8X9	AKG35_RS00995	alanine:cation symporter family protein	PMT_0193	P9313_02131
B9ERD7	AKG35_RS12645	hypothetical protein	NA	NA
B9ERD8	AKG35_RS01000	hypothetical protein	NA	NA
B9ERD9	AKG35_RS01005	hypothetical protein	NA	NA
Q7V8X8	AKG35_RS01010	DUF1651 domain-containing protein	PMT_0194	P9313_02171
Q7V8X7	AKG35_RS01025	type II 3-dehydroquinate dehydratase	PMT_0195	P9313_02181
Q7V8X6	AKG35_RS01030	tRNA-(ms[2]io[6]A)-hydroxylase	PMT_0196	P9313_02191
Q7V8X5	AKG35_RS01035	acireductone dioxygenase	PMT_0197	P9313_02201
Q7TV64	AKG35_RS01040	precorrin-2 C(20)-methyltransferase	PMT_0198	P9313_02211
Q7V8X4	AKG35_RS01045	DUF4079 domain-containing protein	PMT_0199	P9313_02221
Q7V8X3	AKG35_RS01050	tRNA dihydrouridine synthase DusB	PMT_0200	P9313_02241
Q7V8X2	AKG35_RS01055	DUF1824 family protein	PMT_0201	P9313_02251
B9ERE1	AKG35_RS01060	Nif11-like leader peptide family natural product precursor	NA	NA
Q7V8X1	AKG35_RS01065	DUF1823 family protein	PMT_0202	P9313_02291
Q7V8X0	AKG35_RS01070	ribosome biogenesis GTPase Der	PMT_0203	P9313_02301
Q7V8W9	AKG35_RS01075	cobalt ABC transporter permease	PMT_0204	P9313_02311
Q7V8W8	AKG35_RS01080	PipX family protein	PMT_0205	P9313_02321
Q7V8W7	AKG35_RS01085	YggS family pyridoxal phosphate-dependent enzyme	PMT_0206	P9313_02331
Q7V8W6	AKG35_RS01090	cell division protein SepF	PMT_0207	P9313_02341
Q7V8W5	AKG35_RS01095	pyrroline-5-carboxylate reductase	PMT_0208	P9313_02351
Q7V8W4	AKG35_RS01100	glycosyltransferase family 4 protein	PMT_0209	P9313_02361
Q7V8W3	AKG35_RS01105	MFS transporter	PMT_0210	P9313_02371
Q7V8W2	AKG35_RS01110	DNA repair protein RecO	PMT_0211	P9313_02381
Q7V8W1	AKG35_RS01115	deoxyribose-phosphate aldolase	PMT_0212	P9313_02391
Q7V8W0	AKG35_RS01120	ribosome-associated translation inhibitor RaiA	PMT_0213	P9313_02401
Q7V8V9	AKG35_RS01125	lipoyl(octanoyl) transferase LipB	PMT_0214	P9313_02411
Q7V8V8	AKG35_RS01130	AMP-binding protein	PMT_0215	P9313_02421
Q7V8V7	AKG35_RS01135	YlqD family protein	PMT_0216	P9313_02431
Q7V8V6	AKG35_RS01140	ion transporter	PMT_0217	P9313_02441
Q7V8V5	AKG35_RS01145	hypothetical protein	PMT_0218	P9313_02451
Q7TV63	AKG35_RS01155	hypothetical protein	PMT_0219	P9313_02471
Q7V8V4	AKG35_RS01160	2-oxo acid dehydrogenase subunit E2	PMT_0220	P9313_02491
Q7V8V3	AKG35_RS01165	hypothetical protein	PMT_0221	P9313_02501
NA	AKG35_RS13425	hypothetical protein	NA	NA
Q7TV62	AKG35_RS01170	APC family permease	PMT_0222	P9313_02521
B9ERE7	AKG35_RS01175	hypothetical protein	NA	NA
Q7V8V2	AKG35_RS01185	tRNA preQ1(34) S-adenosylmethionine ribosyltransferase-isomerase QueA	PMT_0223	P9313_02561
Q7V8V1	AKG35_RS01190	cysteine synthase A	PMT_0224	P9313_02571
Q7V8V0	AKG35_RS01195	PLP-dependent transferase	PMT_0225	P9313_02581
Q7TV61	AKG35_RS01200	PLP-dependent transferase	PMT_0226	P9313_02591
Q7V8U9	AKG35_RS01205	30S ribosomal protein S4	PMT_0227	P9313_02611
Q7V8U8	AKG35_RS01210	membrane protein insertion efficiency factor YidD	PMT_0228	P9313_02621
Q7V8U7	AKG35_RS01215	glutaredoxin family protein	PMT_0229	P9313_02631
Q7V8U6	AKG35_RS01220	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2%2C6-diaminopimelate ligase	PMT_0230	P9313_02641
Q7TV60	AKG35_RS01225	alpha/beta fold hydrolase	PMT_0231	P9313_02651
Q7V8U5	AKG35_RS01230	HupE/UreJ family protein	PMT_0232	P9313_02661
Q7V8U4	AKG35_RS01235	aminotransferase class V-fold PLP-dependent enzyme	PMT_0233	P9313_02671
Q7V8U3	AKG35_RS01240	site-specific integrase	PMT_0234	P9313_02681
Q7V8U2	AKG35_RS12655	hypothetical protein	PMT_0235	P9313_02691
NA	AKG35_RS01250	hypothetical protein	NA	NA
NA	AKG35_RS12660	hypothetical protein	NA	NA
Q7V8U0	AKG35_RS01255	hypothetical protein	PMT_0237	P9313_02731
Q7V8T9	AKG35_RS01260	CCRG-2 family protein	PMT_0238	P9313_02741
Q7TV59	AKG35_RS01265	Nif11-like leader peptide family natural product precursor	PMT_0239	P9313_02751
Q7V8T8	AKG35_RS12175	hypothetical protein	PMT_0240	P9313_02761
B9ES72	AKG35_RS12175	hypothetical protein	NA	NA
B9ERF3	AKG35_RS12175	hypothetical protein	NA	NA
Q7V8T7	AKG35_RS01270	Nif11-like leader peptide family natural product precursor	PMT_0241	P9313_02771
Q7V8T6	AKG35_RS01275	Nif11-like leader peptide family natural product precursor	PMT_0242	P9313_02801
Q7V8T5	AKG35_RS01280	Nif11-like leader peptide family natural product precursor	PMT_0243	P9313_02811
Q7V8T4	AKG35_RS01285	Nif11-like leader peptide family natural product precursor	PMT_0244	P9313_02821
NA	AKG35_RS01290	hypothetical protein	NA	NA
Q7V8T3	AKG35_RS01295	Nif11-like leader peptide family natural product precursor	PMT_0245	P9313_02841
B9ERF6	AKG35_RS01300	CCRG-2 family RiPP	NA	NA
B9ERF7	AKG35_RS12665	CCRG-2 family RiPP	NA	NA
Q7V8T2	AKG35_RS01305	CCRG-2 family RiPP	PMT_0246	P9313_02871
Q7V8T1	AKG35_RS01310	Nif11-like leader peptide family natural product precursor	PMT_0247	P9313_02881
Q7V8T0	AKG35_RS01315	fatty acid desaturase	PMT_0249	P9313_02901
Q7V8S9	AKG35_RS01320	lanthipeptide-modifying enzyme LanM	PMT_0250	P9313_02911
Q7TV57	AKG35_RS01325	hypothetical protein	PMT_0251	P9313_02921
B9ERF9	AKG35_RS01330	hypothetical protein	NA	NA
Q7V8S8	AKG35_RS01335	LemA family protein	PMT_0252	P9313_02961
Q7TV56	AKG35_RS01340	DUF3137 domain-containing protein	PMT_0253	P9313_02971
Q7V8S7	AKG35_RS01345	NifU family protein	PMT_0254	P9313_02981
Q7V8S6	AKG35_RS01350	malate:quinone oxidoreductase	PMT_0255	P9313_02991
Q7V8S5	AKG35_RS01355	hemolysin-type calcium-binding domain-containing protein	PMT_0256	P9313_03001
Q7V8S4	AKG35_RS01365	translation elongation factor 4	PMT_0257	P9313_03021
Q7V8S3	AKG35_RS01370	hypothetical protein	PMT_0258	P9313_03031
Q7V8S2	AKG35_RS01375	prepilin-type N-terminal cleavage/methylation domain-containing protein	PMT_0259	P9313_03051
Q7V8S1	AKG35_RS01380	type II secretion system GspH family protein	PMT_0260	P9313_03061
Q7V8S0	AKG35_RS01385	hypothetical protein	PMT_0261	P9313_03071
Q7V8R9	AKG35_RS01390	prepilin-type N-terminal cleavage/methylation domain-containing protein	PMT_0262	P9313_03081
Q7V8R8	AKG35_RS01395	type II secretion system GspH family protein	PMT_0263	P9313_03091
B9ERH6	AKG35_RS12670	hypothetical protein	NA	NA
Q7V8R7	AKG35_RS01405	prepilin-type cleavage/methylation domain-containing protein	PMT_0264	P9313_03121
Q7V8R6	AKG35_RS01410	HAMP domain-containing histidine kinase	PMT_0265	P9313_03131
Q7V8R5	AKG35_RS01415	ABC transporter permease	PMT_0266	P9313_03141
Q7V8R4	AKG35_RS01420	hypothetical protein	PMT_0267	P9313_03151
Q7TV55	AKG35_RS01425	tRNA (guanosine(18)-2'-O)-methyltransferase TrmH	PMT_0268	P9313_03161
Q7V8R3	AKG35_RS01430	methylated-DNA--[protein]-cysteine S-methyltransferase	PMT_0269	P9313_03171
Q7V8R2	AKG35_RS01435	16S rRNA (cytosine(967)-C(5))-methyltransferase	PMT_0270	P9313_03181
Q7V8R1	AKG35_RS01440	PBP1A family penicillin-binding protein	PMT_0271	P9313_03191
Q7V8R0	AKG35_RS01445	chlorophyll synthase ChlG	PMT_0272	P9313_03201
Q7V8Q9	AKG35_RS01450	DUF2862 domain-containing protein	PMT_0273	P9313_03211
Q7V8Q8	AKG35_RS01455	imidazole glycerol phosphate synthase subunit HisF	NA	NA
Q7V8Q7	AKG35_RS01460	bifunctional demethylmenaquinone methyltransferase/2-methoxy-6-polyprenyl-1%2C4-benzoquinol methylase UbiE	PMT_0275	P9313_03241
Q7V8Q6	AKG35_RS01465	hypothetical protein	PMT_0277	P9313_03261
Q7V8Q5	AKG35_RS01470	hypothetical protein	PMT_0278	P9313_03281
Q7V8Q3	AKG35_RS01480	tetratricopeptide repeat protein	PMT_0280	P9313_03301
B9ERH9	AKG35_RS01485	hypothetical protein	NA	NA
Q7V8Q2	AKG35_RS01490	VTT domain-containing protein	PMT_0282	P9313_03331
Q7V8Q1	AKG35_RS01495	glycine--tRNA ligase subunit alpha	PMT_0283	P9313_03341
Q7V8Q0	AKG35_RS01500	iron uptake porin	PMT_0284	P9313_03361
Q7TV53	AKG35_RS01505	hypothetical protein	PMT_0285	P9313_03371
Q7V8P9	AKG35_RS01510	Fe2+-dependent dioxygenase	PMT_0286	P9313_03381
Q7V8P8	AKG35_RS01515	Fe(3+) ABC transporter substrate-binding protein	PMT_0287	P9313_03391
NA	AKG35_RS13150	hypothetical protein	NA	NA
NA	AKG35_RS13430	ComEC/Rec2 family competence protein	NA	NA
NA	AKG35_RS13435	hypothetical protein	NA	NA
B9ERG2	AKG35_RS12680	hypothetical protein	NA	NA
Q7V8P5	AKG35_RS01540	tyrosine-type recombinase/integrase	PMT_0290	P9313_03441
Q7TV52	AKG35_RS01545	hypothetical protein	PMT_0291	P9313_03451
B9ERG6	AKG35_RS01550	hypothetical protein	NA	NA
