seqid,gene_names,gene,locus_tag_ncbi,source,start,end,strand,Note,exception,inference,product,protein_id,Ontology_term,go_component,go_function,go_process,locus_tag,ec_numbers
NZ_CP139300.1,hisIE,hisIE,SOI86_RS00080,Protein Homology,11627,12289,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011124735.1,bifunctional phosphoribosyl-AMP cyclohydrolase/phosphoribosyl-ATP diphosphatase HisIE,WP_320681609.1,"GO:0000105,GO:0004635,GO:0004636",,"phosphoribosyl-AMP cyclohydrolase activity|0004635||IEA,phosphoribosyl-ATP diphosphatase activity|0004636||IEA",L-histidine biosynthetic process|0000105||IEA,SOI86_RS00080,"3.5.4.19,3.6.1.31"
NZ_CP139300.1,SOI86_RS00085,,SOI86_RS00085,Protein Homology,12353,12823,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011818083.1,6-carboxytetrahydropterin synthase,WP_320681610.1,"GO:0008616,GO:0046872,GO:0070497",,"metal ion binding|0046872||IEA,6-carboxy-5%2C6%2C7%2C8-tetrahydropterin synthase activity|0070497||IEA",queuosine biosynthetic process|0008616||IEA,SOI86_RS00085,4.1.2.50
NZ_CP139300.1,SOI86_RS00090,,SOI86_RS00090,Protein Homology,12873,15455,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011862596.1,ATP-dependent Clp protease ATP-binding subunit,WP_320681611.1,"GO:0005524,GO:0016887",,"ATP binding|0005524||IEA,ATP hydrolysis activity|0016887||IEA",,SOI86_RS00090,
NZ_CP139300.1,petE,petE,SOI86_RS00095,Protein Homology,15523,15873,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_019480558.1,plastocyanin,WP_320681612.1,"GO:0015979,GO:0005507,GO:0009055",,"copper ion binding|0005507||IEA,electron transfer activity|0009055||IEA",photosynthesis|0015979||IEA,SOI86_RS00095,
NZ_CP139300.1,SOI86_RS00100,,SOI86_RS00100,Protein Homology,15932,16915,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012007399.1,NAD(P)-dependent oxidoreductase,WP_320681613.1,"GO:0016491,GO:0051287,GO:0070403",,"oxidoreductase activity|0016491||IEA,NAD binding|0051287||IEA,NAD+ binding|0070403||IEA",,SOI86_RS00100,
NZ_CP139300.1,hemE,hemE,SOI86_RS00105,Protein Homology,16924,17964,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011819962.1,uroporphyrinogen decarboxylase,WP_320681614.1,"GO:0006779,GO:0004853",,uroporphyrinogen decarboxylase activity|0004853||IEA,porphyrin-containing compound biosynthetic process|0006779||IEA,SOI86_RS00105,4.1.1.37
NZ_CP139300.1,glgB,glgB,SOI86_RS00110,Protein Homology,18088,20352,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011376140.1,1%2C4-alpha-glucan branching protein GlgB,WP_320681615.1,"GO:0005975,GO:0005978,GO:0003844,GO:0004553,GO:0043169",,"1%2C4-alpha-glucan branching enzyme activity|0003844||IEA,hydrolase activity%2C hydrolyzing O-glycosyl compounds|0004553||IEA,cation binding|0043169||IEA","carbohydrate metabolic process|0005975||IEA,glycogen biosynthetic process|0005978||IEA",SOI86_RS00110,2.4.1.18
NZ_CP139300.1,SOI86_RS00115,,SOI86_RS00115,Protein Homology,20412,21986,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011862601.1,CocE/NonD family hydrolase,WP_320681616.1,GO:0016787,,hydrolase activity|0016787||IEA,,SOI86_RS00115,3.-.-.-
NZ_CP139300.1,SOI86_RS00120,,SOI86_RS00120,Protein Homology,21994,22260,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_002805243.1,hypothetical protein,WP_320681617.1,,,,,SOI86_RS00120,
NZ_CP139300.1,SOI86_RS00125,,SOI86_RS00125,Protein Homology,22313,22720,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011818090.1,DUF4332 domain-containing protein,WP_320681618.1,,,,,SOI86_RS00125,
NZ_CP139300.1,SOI86_RS00130,,SOI86_RS00130,Protein Homology,22733,23176,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011818091.1,DUF2518 family protein,WP_320681619.1,,,,,SOI86_RS00130,
NZ_CP139300.1,SOI86_RS00135,,SOI86_RS00135,Protein Homology,23292,27188,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011818093.1,translocation/assembly module TamB domain-containing protein,WP_320681620.1,"GO:0009306,GO:0005886",plasma membrane|0005886||IEA,,protein secretion|0009306||IEA,SOI86_RS00135,
NZ_CP139300.1,SOI86_RS00140,,SOI86_RS00140,Protein Homology,27255,28574,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011862606.1,glutamate-5-semialdehyde dehydrogenase,WP_320681621.1,"GO:0006561,GO:0004350,GO:0016620",,"glutamate-5-semialdehyde dehydrogenase activity|0004350||IEA,oxidoreductase activity%2C acting on the aldehyde or oxo group of donors%2C NAD or NADP as acceptor|0016620||IEA",proline biosynthetic process|0006561||IEA,SOI86_RS00140,1.2.1.41
NZ_CP139300.1,folB,folB,SOI86_RS00145,Protein Homology,28576,28938,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012007408.1,dihydroneopterin aldolase,WP_320681622.1,"GO:0006760,GO:0004150",,dihydroneopterin aldolase activity|0004150||IEA,folic acid-containing compound metabolic process|0006760||IEA,SOI86_RS00145,4.1.2.25
NZ_CP139300.1,SOI86_RS00150,,SOI86_RS00150,Protein Homology,28944,29537,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011376148.1,esterase/lipase family protein,WP_320681623.1,"GO:0016042,GO:0016787",,hydrolase activity|0016787||IEA,lipid catabolic process|0016042||IEA,SOI86_RS00150,3.1.1.-
NZ_CP139300.1,SOI86_RS00155,,SOI86_RS00155,Protein Homology,29527,31617,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011818097.1,M3 family metallopeptidase,WP_320681624.1,"GO:0006508,GO:0004222,GO:0008270",,"metalloendopeptidase activity|0004222||IEA,zinc ion binding|0008270||IEA",proteolysis|0006508||IEA,SOI86_RS00155,3.4.24.-
NZ_CP139300.1,SOI86_RS00160,,SOI86_RS00160,Protein Homology,31637,33175,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011376150.1,NAD(P)H-quinone oxidoreductase subunit 4,WP_320681625.1,,,,,SOI86_RS00160,
NZ_CP139300.1,thrB,thrB,SOI86_RS00165,Protein Homology,33254,34201,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011862611.1,homoserine kinase,WP_320681626.1,"GO:0009088,GO:0004413,GO:0005524",,"homoserine kinase activity|0004413||IEA,ATP binding|0005524||IEA",threonine biosynthetic process|0009088||IEA,SOI86_RS00165,2.7.1.39
NZ_CP139300.1,SOI86_RS00170,,SOI86_RS00170,Protein Homology,34211,35245,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011818100.1,glucokinase,WP_320681627.1,"GO:0006096,GO:0004340,GO:0005524,GO:0005536",,"glucokinase activity|0004340||IEA,ATP binding|0005524||IEA,D-glucose binding|0005536||IEA",glycolytic process|0006096||IEA,SOI86_RS00170,2.7.1.2
NZ_CP139300.1,thrS,thrS,SOI86_RS00175,Protein Homology,35256,37172,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011862613.1,threonine--tRNA ligase,WP_320681628.1,"GO:0006435,GO:0004829,GO:0005524,GO:0005737",cytoplasm|0005737||IEA,"threonine-tRNA ligase activity|0004829||IEA,ATP binding|0005524||IEA",threonyl-tRNA aminoacylation|0006435||IEA,SOI86_RS00175,6.1.1.3
NZ_CP139300.1,trpS,trpS,SOI86_RS00180,Protein Homology,37176,38192,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011862614.1,tryptophan--tRNA ligase,WP_320681629.1,"GO:0006436,GO:0000166,GO:0004830,GO:0005524",,"nucleotide binding|0000166||IEA,tryptophan-tRNA ligase activity|0004830||IEA,ATP binding|0005524||IEA",tryptophanyl-tRNA aminoacylation|0006436||IEA,SOI86_RS00180,6.1.1.2
NZ_CP139300.1,SOI86_RS00185,,SOI86_RS00185,Protein Homology,38182,38604,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012007416.1,hypothetical protein,WP_320681630.1,,,,,SOI86_RS00185,
NZ_CP139300.1,SOI86_RS00190,,SOI86_RS00190,Protein Homology,38771,40105,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011818104.1,YcjF family protein,WP_320681631.1,,,,,SOI86_RS00190,
NZ_CP139300.1,SOI86_RS00195,,SOI86_RS00195,Protein Homology,40126,41034,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011376157.1,metal ABC transporter substrate-binding protein,WP_320681632.1,,,,,SOI86_RS00195,
NZ_CP139300.1,SOI86_RS00200,,SOI86_RS00200,Protein Homology,41038,41802,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_002805616.1,metal ABC transporter ATP-binding protein,WP_320681633.1,"GO:0005524,GO:0016887,GO:0042626,GO:0140359",,"ATP binding|0005524||IEA,ATP hydrolysis activity|0016887||IEA,ATPase-coupled transmembrane transporter activity|0042626||IEA,ABC-type transporter activity|0140359||IEA",,SOI86_RS00200,
NZ_CP139300.1,SOI86_RS00205,,SOI86_RS00205,Protein Homology,41814,42686,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011376159.1,metal ABC transporter permease,WP_320681634.1,"GO:0055085,GO:0042626,GO:0140359,GO:0016020",membrane|0016020||IEA,"ATPase-coupled transmembrane transporter activity|0042626||IEA,ABC-type transporter activity|0140359||IEA",transmembrane transport|0055085||IEA,SOI86_RS00205,
NZ_CP139300.1,SOI86_RS00210,,SOI86_RS00210,Protein Homology,42689,43855,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011376160.1,DUF4336 domain-containing protein,WP_320681635.1,,,,,SOI86_RS00210,
NZ_CP139300.1,SOI86_RS00215,,SOI86_RS00215,Protein Homology,43862,44197,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011818109.1,DUF760 domain-containing protein,WP_320681636.1,,,,,SOI86_RS00215,
NZ_CP139300.1,lepB,lepB,SOI86_RS00220,Protein Homology,44243,44827,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_002807480.1,signal peptidase I,WP_320681637.1,"GO:0006465,GO:0009306,GO:0004252,GO:0016020",membrane|0016020||IEA,serine-type endopeptidase activity|0004252||IEA,"signal peptide processing|0006465||IEA,protein secretion|0009306||IEA",SOI86_RS00220,3.4.21.89
NZ_CP139300.1,menD,menD,SOI86_RS00225,Protein Homology,44879,46642,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011376163.1,2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid synthase,WP_320681638.1,"GO:0009234,GO:0030976,GO:0070204",,"thiamine pyrophosphate binding|0030976||IEA,2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid synthase activity|0070204||IEA",menaquinone biosynthetic process|0009234||IEA,SOI86_RS00225,2.2.1.9
NZ_CP139300.1,menB,menB,SOI86_RS00230,Protein Homology,46680,47537,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_002808359.1,1%2C4-dihydroxy-2-naphthoyl-CoA synthase,WP_320681639.1,"GO:0009234,GO:0008935",,1%2C4-dihydroxy-2-naphthoyl-CoA synthase activity|0008935||IEA,menaquinone biosynthetic process|0009234||IEA,SOI86_RS00230,4.1.3.36
NZ_CP139300.1,glgA,glgA,SOI86_RS00235,Protein Homology,47574,49031,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012007425.1,glycogen synthase GlgA,WP_320681640.1,,,,,SOI86_RS00235,2.4.1.21
NZ_CP139300.1,SOI86_RS00240,,SOI86_RS00240,Protein Homology,49039,50412,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011376166.1,UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase,WP_320681641.1,"GO:0009252,GO:0071555,GO:0005524,GO:0047480",,"ATP binding|0005524||IEA,UDP-N-acetylmuramoyl-tripeptide-D-alanyl-D-alanine ligase activity|0047480||IEA","peptidoglycan biosynthetic process|0009252||IEA,cell wall organization|0071555||IEA",SOI86_RS00240,6.3.2.10
NZ_CP139300.1,glmU,glmU,SOI86_RS00245,Protein Homology,50405,51763,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011376167.1,bifunctional UDP-N-acetylglucosamine diphosphorylase/glucosamine-1-phosphate N-acetyltransferase GlmU,WP_320682528.1,,,,,SOI86_RS00245,"2.3.1.157,2.7.7.23"
NZ_CP139300.1,SOI86_RS00250,,SOI86_RS00250,Protein Homology,51789,52694,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_002806828.1,tRNA (5-methylaminomethyl-2-thiouridine)(34)-methyltransferase MnmD,WP_320681642.1,,,,,SOI86_RS00250,
NZ_CP139300.1,aroA,aroA,SOI86_RS00255,Protein Homology,52707,54017,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_002806933.1,3-phosphoshikimate 1-carboxyvinyltransferase,WP_320681643.1,"GO:0009073,GO:0003866",,3-phosphoshikimate 1-carboxyvinyltransferase activity|0003866||IEA,aromatic amino acid family biosynthetic process|0009073||IEA,SOI86_RS00255,2.5.1.19
NZ_CP139300.1,SOI86_RS00260,,SOI86_RS00260,Protein Homology,54150,54878,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011826516.1,2-phosphosulfolactate phosphatase family protein,WP_320682529.1,,,,,SOI86_RS00260,
NZ_CP139300.1,SOI86_RS00265,,SOI86_RS00265,Protein Homology,54909,55736,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011862631.1,carbon-nitrogen hydrolase family protein,WP_320681644.1,,,,,SOI86_RS00265,
NZ_CP139300.1,SOI86_RS00270,,SOI86_RS00270,Protein Homology,55736,56821,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011376172.1,N-acetylmuramoyl-L-alanine amidase,WP_320681645.1,,,,,SOI86_RS00270,
NZ_CP139300.1,murI,murI,SOI86_RS00275,Protein Homology,56818,57612,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_002806030.1,glutamate racemase,WP_320681646.1,"GO:0009252,GO:0008881",,glutamate racemase activity|0008881||IEA,peptidoglycan biosynthetic process|0009252||IEA,SOI86_RS00275,5.1.1.3
NZ_CP139300.1,sds,sds,SOI86_RS00280,Protein Homology,57640,58611,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011376174.1,solanesyl diphosphate synthase,WP_320681647.1,"GO:0010236,GO:0052923",,all-trans-nonaprenyl-diphosphate synthase (geranyl-diphosphate specific) activity|0052923||IEA,plastoquinone biosynthetic process|0010236||IEA,SOI86_RS00280,
NZ_CP139300.1,acs,acs,SOI86_RS00285,Protein Homology,58704,60686,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011818123.1,acetate--CoA ligase,WP_287610421.1,"GO:0019427,GO:0003987,GO:0016208",,"acetate-CoA ligase activity|0003987||IEA,AMP binding|0016208||IEA",acetyl-CoA biosynthetic process from acetate|0019427||IEA,SOI86_RS00285,6.2.1.1
NZ_CP139300.1,SOI86_RS00290,,SOI86_RS00290,Protein Homology,60683,61405,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012007435.1,DUF1350 family protein,WP_320681648.1,,,,,SOI86_RS00290,
NZ_CP139300.1,SOI86_RS00295,,SOI86_RS00295,Protein Homology,61523,62302,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011376177.1,3'-5' exonuclease,WP_320681649.1,,,,,SOI86_RS00295,
NZ_CP139300.1,SOI86_RS00300,,SOI86_RS00300,Protein Homology,62333,62755,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011818126.1,hypothetical protein,WP_320681650.1,,,,,SOI86_RS00300,
NZ_CP139300.1,hisS,hisS,SOI86_RS00305,Protein Homology,62854,64134,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011818127.1,histidine--tRNA ligase,WP_320681651.1,"GO:0006427,GO:0004821,GO:0005524,GO:0005737",cytoplasm|0005737||IEA,"histidine-tRNA ligase activity|0004821||IEA,ATP binding|0005524||IEA",histidyl-tRNA aminoacylation|0006427||IEA,SOI86_RS00305,6.1.1.21
NZ_CP139300.1,SOI86_RS00310,,SOI86_RS00310,Protein Homology,64185,64424,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011376180.1,glycoprotein,WP_320681652.1,,,,,SOI86_RS00310,
NZ_CP139300.1,SOI86_RS00315,,SOI86_RS00315,Protein Homology,64427,64726,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011862641.1,TIGR02450 family Trp-rich protein,WP_320681653.1,,,,,SOI86_RS00315,
NZ_CP139300.1,SOI86_RS00320,,SOI86_RS00320,Protein Homology,64862,65095,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011376182.1,hypothetical protein,WP_320681654.1,,,,,SOI86_RS00320,
NZ_CP139300.1,SOI86_RS00325,,SOI86_RS00325,Protein Homology,65141,65317,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_002805575.1,hypothetical protein,WP_320681655.1,,,,,SOI86_RS00325,
NZ_CP139300.1,SOI86_RS00330,,SOI86_RS00330,Protein Homology,65645,66703,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011124935.1,chlorophyll a/b binding light-harvesting protein,WP_320681656.1,"GO:0009765,GO:0016168",,chlorophyll binding|0016168||IEA,photosynthesis%2C light harvesting|0009765||IEA,SOI86_RS00330,
NZ_CP139300.1,SOI86_RS00335,,SOI86_RS00335,Protein Homology,66795,68180,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011818132.1,sodium:solute symporter,WP_320681657.1,,,,,SOI86_RS00335,
NZ_CP139300.1,SOI86_RS00340,,SOI86_RS00340,Protein Homology,68219,68476,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011862645.1,hypothetical protein,WP_320682530.1,,,,,SOI86_RS00340,
NZ_CP139300.1,SOI86_RS00345,,SOI86_RS00345,Protein Homology,68473,69132,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_002805637.1,glutathione S-transferase,WP_320681658.1,,,,,SOI86_RS00345,
NZ_CP139300.1,SOI86_RS00350,,SOI86_RS00350,Protein Homology,69207,69749,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_002806002.1,GIY-YIG nuclease family protein,WP_320681659.1,GO:0004518,,nuclease activity|0004518||IEA,,SOI86_RS00350,
NZ_CP139300.1,SOI86_RS00355,,SOI86_RS00355,Protein Homology,69746,70453,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_002805276.1,SDR family NAD(P)-dependent oxidoreductase,WP_320681660.1,,,,,SOI86_RS00355,
NZ_CP139300.1,crtL,crtL,SOI86_RS00360,Protein Homology,70461,71744,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011862649.1,lycopene beta cyclase,WP_320681661.1,"GO:0016117,GO:0045436",,lycopene beta cyclase activity|0045436||IEA,carotenoid biosynthetic process|0016117||IEA,SOI86_RS00360,5.5.1.19
NZ_CP139300.1,SOI86_RS00365,,SOI86_RS00365,Protein Homology,71971,72972,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011862650.1,SDR family NAD(P)-dependent oxidoreductase,WP_320681662.1,,,,,SOI86_RS00365,
NZ_CP139300.1,SOI86_RS00370,,SOI86_RS00370,Protein Homology,72943,73974,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011818139.1,mechanosensitive ion channel family protein,WP_320681663.1,"GO:0055085,GO:0008381,GO:0016020",membrane|0016020||IEA,mechanosensitive monoatomic ion channel activity|0008381||IEA,transmembrane transport|0055085||IEA,SOI86_RS00370,
NZ_CP139300.1,SOI86_RS00375,,SOI86_RS00375,Protein Homology,74052,74618,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011376192.1,hydrolase,WP_320681664.1,GO:0016787,,hydrolase activity|0016787||IEA,,SOI86_RS00375,
NZ_CP139300.1,SOI86_RS00380,,SOI86_RS00380,Protein Homology,74739,75191,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011818141.1,Fur family transcriptional regulator,WP_320681665.1,"GO:0006355,GO:0003677,GO:0003700,GO:0046872",,"DNA binding|0003677||IEA,DNA-binding transcription factor activity|0003700||IEA,metal ion binding|0046872||IEA",regulation of DNA-templated transcription|0006355||IEA,SOI86_RS00380,
NZ_CP139300.1,arsS,arsS,SOI86_RS00385,Protein Homology,75198,76130,-,Some members of this family are selenoproteins.,,COORDINATES: similar to AA sequence:RefSeq:WP_012007453.1,arsenosugar biosynthesis radical SAM (seleno)protein ArsS,WP_320681666.1,GO:0051536,,iron-sulfur cluster binding|0051536||IEA,,SOI86_RS00385,
NZ_CP139300.1,stpA,stpA,SOI86_RS00390,Protein Homology,76160,77380,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011862655.1,glucosylglycerol 3-phosphatase,WP_320681667.1,"GO:0006970,GO:0050530",,glucosylglycerol 3-phosphatase activity|0050530||IEA,response to osmotic stress|0006970||IEA,SOI86_RS00390,3.1.3.69
NZ_CP139300.1,SOI86_RS00395,,SOI86_RS00395,Protein Homology,77548,79056,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012007455.1,hypothetical protein,WP_320681668.1,,,,,SOI86_RS00395,
NZ_CP139300.1,SOI86_RS00400,,SOI86_RS00400,Protein Homology,79150,79809,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012007456.1,hypothetical protein,WP_320681669.1,,,,,SOI86_RS00400,
NZ_CP139300.1,SOI86_RS00405,,SOI86_RS00405,Protein Homology,79880,81208,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011376198.1,O-acetylhomoserine aminocarboxypropyltransferase/cysteine synthase,WP_320681670.1,,,,,SOI86_RS00405,
NZ_CP139300.1,SOI86_RS00410,,SOI86_RS00410,Protein Homology,81222,82112,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011820023.1,homoserine O-succinyltransferase,WP_320681671.1,,,,,SOI86_RS00410,
NZ_CP139300.1,SOI86_RS00415,,SOI86_RS00415,Protein Homology,82118,83683,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011376200.1,SulP family inorganic anion transporter,WP_320682531.1,"GO:0015103,GO:0016020",membrane|0016020||IEA,inorganic anion transmembrane transporter activity|0015103||IEA,,SOI86_RS00415,
NZ_CP139300.1,SOI86_RS00420,,SOI86_RS00420,Protein Homology,83714,84994,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012007460.1,FAD-binding oxidoreductase,WP_320681672.1,"GO:0016491,GO:0071949",,"oxidoreductase activity|0016491||IEA,FAD binding|0071949||IEA",,SOI86_RS00420,1.-.-.-
NZ_CP139300.1,SOI86_RS00425,,SOI86_RS00425,Protein Homology,85042,86187,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011376202.1,sirohydrochlorin chelatase,WP_414477938.1,GO:0016829,,lyase activity|0016829||IEA,,SOI86_RS00425,4.99.1.-
NZ_CP139300.1,SOI86_RS00430,,SOI86_RS00430,Protein Homology,86538,86795,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011376203.1,DUF2811 domain-containing protein,WP_320681674.1,,,,,SOI86_RS00430,
NZ_CP139300.1,SOI86_RS00435,,SOI86_RS00435,Protein Homology,86782,88422,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_002806962.1,GMC family oxidoreductase,WP_320681675.1,GO:0016614,,oxidoreductase activity%2C acting on CH-OH group of donors|0016614||IEA,,SOI86_RS00435,
