gene_names,gene,locus_tag_ncbi,locus_tag,source,start,end,strand,Note,exception,inference,product,protein_id,Ontology_term,go_component,go_function,go_process,gene_synonym,old_locus_tags
ALTBGP6_RS00060,,ALTBGP6_RS00060,EZ55_00012,Protein Homology,15354,15683,+,,,COORDINATES: protein motif:HMM:NF024949.6,helix-turn-helix domain-containing protein,WP_161569402.1,GO:0003677,,DNA binding|0003677||IEA,,,EZ55_00012
ALTBGP6_RS00065,,ALTBGP6_RS00065,EZ55_00013,Protein Homology,15851,16594,+,,,COORDINATES: protein motif:HMM:NF020305.6,TnsA endonuclease N-terminal domain-containing protein,WP_156085677.1,,,,,,EZ55_00013
ALTBGP6_RS00070,,ALTBGP6_RS00070,EZ55_00014,Protein Homology,16548,18479,+,,,COORDINATES: protein motif:HMM:NF020859.6,Mu transposase C-terminal domain-containing protein,WP_197044374.1,,,,,,EZ55_00014
ALTBGP6_RS00075,,ALTBGP6_RS00075,EZ55_00015,Protein Homology,18476,19450,+,,,COORDINATES: protein motif:HMM:NF017437.6,TniB family NTP-binding protein,WP_136782386.1,,,,,,EZ55_00015
ALTBGP6_RS00080,,ALTBGP6_RS00080,EZ55_00016,Protein Homology,19447,21288,+,,,COORDINATES: protein motif:HMM:NF018259.6,TniQ family protein,WP_156085679.1,,,,,,EZ55_00016
ALTBGP6_RS00085,,ALTBGP6_RS00085,EZ55_00017,Protein Homology,21763,22590,-,,,COORDINATES: protein motif:HMM:NF017885.6,ImmA/IrrE family metallo-endopeptidase,WP_136782384.1,,,,,,EZ55_00017
ALTBGP6_RS00090,,ALTBGP6_RS00090,EZ55_00018,Protein Homology,22580,22948,-,,,COORDINATES: protein motif:HMM:NF013540.6,helix-turn-helix domain-containing protein,WP_136782383.1,GO:0003677,,DNA binding|0003677||IEA,,,EZ55_00018
ALTBGP6_RS00095,,ALTBGP6_RS00095,EZ55_00019,Protein Homology,23036,23260,+,,,COORDINATES: protein motif:HMM:NF021471.6,DUF2188 domain-containing protein,WP_136782382.1,,,,,,EZ55_00019
ALTBGP6_RS00100,,ALTBGP6_RS00100,EZ55_00020,Protein Homology,23425,23760,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_008984065.1,YegP family protein,WP_136782381.1,,,,,,EZ55_00020
ALTBGP6_RS00105,,ALTBGP6_RS00105,EZ55_00021,Protein Homology,23847,24365,+,,,COORDINATES: protein motif:HMM:NF016834.6,lecithin retinol acyltransferase family protein,WP_136782380.1,,,,,,EZ55_00021
ALTBGP6_RS00110,,ALTBGP6_RS00110,EZ55_00022,GeneMarkS-2+,24379,25227,+,,,COORDINATES: ab initio prediction:GeneMarkS-2+,hypothetical protein,WP_156085680.1,,,,,,EZ55_00022
ALTBGP6_RS00115,,ALTBGP6_RS00115,EZ55_00023,GeneMarkS-2+,25224,25841,+,,,COORDINATES: ab initio prediction:GeneMarkS-2+,hypothetical protein,WP_136782378.1,,,,,,EZ55_00023
ALTBGP6_RS00120,,ALTBGP6_RS00120,EZ55_00024,GeneMarkS-2+,26906,27223,+,,,COORDINATES: ab initio prediction:GeneMarkS-2+,hypothetical protein,WP_231506370.1,,,,,,EZ55_00024
ALTBGP6_RS00125,,ALTBGP6_RS00125,EZ55_00025,Protein Homology,27268,28404,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014947713.1,hypothetical protein,WP_231506371.1,,,,,,EZ55_00025
ALTBGP6_RS00130,,ALTBGP6_RS00130,EZ55_00026,Protein Homology,28472,28915,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_015065836.1,hypothetical protein,WP_139125413.1,,,,,,EZ55_00026
glyS,glyS,ALTBGP6_RS00135,EZ55_00027,Protein Homology,29000,31078,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014975245.1,glycine--tRNA ligase subunit beta,WP_156085681.1,"GO:0006426,GO:0000166,GO:0004820,GO:0005524,GO:0005737",cytoplasm|0005737||IEA,"nucleotide binding|0000166||IEA,glycine-tRNA ligase activity|0004820||IEA,ATP binding|0005524||IEA",glycyl-tRNA aminoacylation|0006426||IEA,,EZ55_00027
glyQ,glyQ,ALTBGP6_RS00140,EZ55_00028,Protein Homology,31081,31986,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_008305116.1,glycine--tRNA ligase subunit alpha,WP_014947716.1,"GO:0006426,GO:0000166,GO:0004820,GO:0005524,GO:0005737",cytoplasm|0005737||IEA,"nucleotide binding|0000166||IEA,glycine-tRNA ligase activity|0004820||IEA,ATP binding|0005524||IEA",glycyl-tRNA aminoacylation|0006426||IEA,,EZ55_00028
ALTBGP6_RS00145,,ALTBGP6_RS00145,EZ55_00029,Protein Homology,32133,32741,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014947717.1,DNA-3-methyladenine glycosylase I,WP_156085682.1,"GO:0006284,GO:0008725",,DNA-3-methyladenine glycosylase activity|0008725||IEA,base-excision repair|0006284||IEA,,EZ55_00029
ALTBGP6_RS00150,,ALTBGP6_RS00150,EZ55_00030,Protein Homology,32854,33315,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014977855.1,DUF2489 domain-containing protein,WP_039222303.1,,,,,,EZ55_00030
yihI,yihI,ALTBGP6_RS00155,EZ55_00031,Protein Homology,33335,33838,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014996766.1,Der GTPase-activating protein YihI,WP_014947719.1,,,,,,EZ55_00031
ALTBGP6_RS00160,,ALTBGP6_RS00160,EZ55_00032,Protein Homology,33966,34667,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014947720.1,class I SAM-dependent methyltransferase,WP_156087306.1,"GO:0032259,GO:0008168,GO:0008757,GO:1904047",,"methyltransferase activity|0008168||IEA,S-adenosylmethionine-dependent methyltransferase activity|0008757||IEA,S-adenosyl-L-methionine binding|1904047||IEA",methylation|0032259||IEA,,EZ55_00032
ALTBGP6_RS00165,,ALTBGP6_RS00165,EZ55_00033,Protein Homology,34968,35591,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014996768.1,c-type cytochrome,WP_014947721.1,"GO:0009055,GO:0020037,GO:0046872",,"electron transfer activity|0009055||IEA,heme binding|0020037||IEA,metal ion binding|0046872||IEA",,,EZ55_00033
yihA,yihA,ALTBGP6_RS00170,EZ55_00034,Protein Homology,35766,36401,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014975249.1,ribosome biogenesis GTP-binding protein YihA/YsxC,WP_014975249.1,"GO:0042254,GO:0003924,GO:0005525,GO:0043022,GO:0005737",cytoplasm|0005737||IEA,"GTPase activity|0003924||IEA,GTP binding|0005525||IEA,ribosome binding|0043022||IEA",ribosome biogenesis|0042254||IEA,,EZ55_00034
polA,polA,ALTBGP6_RS00175,EZ55_00035,Protein Homology,36818,39610,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012516538.1,DNA polymerase I,WP_156085683.1,"GO:0006261,GO:0003676,GO:0003677,GO:0003887,GO:0008408",,"nucleic acid binding|0003676||IEA,DNA binding|0003677||IEA,DNA-directed DNA polymerase activity|0003887||IEA,3'-5' exonuclease activity|0008408||IEA",DNA-templated DNA replication|0006261||IEA,,EZ55_00035
elbB,elbB,ALTBGP6_RS00180,EZ55_00036,Protein Homology,40032,40685,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014975251.1,isoprenoid biosynthesis glyoxalase ElbB,WP_156085684.1,,,,,,EZ55_00036
ALTBGP6_RS00185,,ALTBGP6_RS00185,EZ55_00037,Protein Homology,40951,42402,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012516540.1,TrkH family potassium uptake protein,WP_014947725.1,"GO:0015379,GO:0016020",membrane|0016020||IEA,potassium:chloride symporter activity|0015379||IEA,,,EZ55_00037
trkA,trkA,ALTBGP6_RS00190,EZ55_00038,Protein Homology,42517,43896,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_018982135.1,Trk system potassium transporter TrkA,WP_014947726.1,"GO:0006813,GO:0015079,GO:0016020",membrane|0016020||IEA,potassium ion transmembrane transporter activity|0015079||IEA,potassium ion transport|0006813||IEA,,EZ55_00038
rsmB,rsmB,ALTBGP6_RS00195,EZ55_00039,Protein Homology,43961,45280,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014975252.1,16S rRNA (cytosine(967)-C(5))-methyltransferase RsmB,WP_156085685.1,"GO:0001510,GO:0006355,GO:0006364,GO:0003723,GO:0008649",,"RNA binding|0003723||IEA,rRNA methyltransferase activity|0008649||IEA","RNA methylation|0001510||IEA,regulation of DNA-templated transcription|0006355||IEA,rRNA processing|0006364||IEA",,EZ55_00039
fmt,fmt,ALTBGP6_RS00200,EZ55_00040,Protein Homology,45283,46233,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014947728.1,methionyl-tRNA formyltransferase,WP_156085686.1,"GO:0071951,GO:0004479,GO:0005737",cytoplasm|0005737||IEA,methionyl-tRNA formyltransferase activity|0004479||IEA,conversion of methionyl-tRNA to N-formyl-methionyl-tRNA|0071951||IEA,,EZ55_00040
def,def,ALTBGP6_RS00205,EZ55_00041,Protein Homology,46242,46751,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_018982132.1,peptide deformylase,WP_014947729.1,"GO:0036211,GO:0042586",,peptide deformylase activity|0042586||IEA,protein modification process|0036211||IEA,,EZ55_00041
ALTBGP6_RS00210,,ALTBGP6_RS00210,EZ55_00042,Protein Homology,46968,48041,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012516545.1,LysM peptidoglycan-binding domain-containing protein,WP_014947730.1,GO:0097367,,carbohydrate derivative binding|0097367||IEA,,,EZ55_00042
dprA,dprA,ALTBGP6_RS00215,EZ55_00043,Protein Homology,48081,49190,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014947731.1,DNA-processing protein DprA,WP_156085687.1,GO:0009294,,,DNA-mediated transformation|0009294||IEA,,EZ55_00043
ALTBGP6_RS00220,,ALTBGP6_RS00220,EZ55_00044,Protein Homology,49192,49668,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_007107314.1,DUF494 family protein,WP_014947732.1,,,,,,EZ55_00044
ALTBGP6_RS00225,,ALTBGP6_RS00225,EZ55_00045,Protein Homology,49754,50296,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014977866.1,DNA topoisomerase family protein,WP_014975256.1,"GO:0006265,GO:0003677,GO:0003916,GO:0005694",chromosome|0005694||IEA,"DNA binding|0003677||IEA,DNA topoisomerase activity|0003916||IEA",DNA topological change|0006265||IEA,,EZ55_00045
ALTBGP6_RS00230,,ALTBGP6_RS00230,EZ55_00046,Protein Homology,50342,50947,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014947734.1,Sua5/YciO/YrdC/YwlC family protein,WP_156085688.1,GO:0003725,,double-stranded RNA binding|0003725||IEA,,,EZ55_00046
hemF,hemF,ALTBGP6_RS00235,EZ55_00047,Protein Homology,50944,51876,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014996781.1,oxygen-dependent coproporphyrinogen oxidase,WP_052247444.1,"GO:0006779,GO:0004109",,coproporphyrinogen oxidase activity|0004109||IEA,porphyrin-containing compound biosynthetic process|0006779||IEA,,EZ55_00047
ALTBGP6_RS00240,,ALTBGP6_RS00240,EZ55_00048,Protein Homology,52113,52793,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012516551.1,OmpW family outer membrane protein,WP_156085689.1,GO:0019867,outer membrane|0019867||IEA,,,,EZ55_00048
ALTBGP6_RS00245,,ALTBGP6_RS00245,EZ55_00049,Protein Homology,52918,53349,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014977869.1,group II truncated hemoglobin,WP_014947737.1,"GO:0005344,GO:0019825,GO:0020037,GO:0046872",,"oxygen carrier activity|0005344||IEA,oxygen binding|0019825||IEA,heme binding|0020037||IEA,metal ion binding|0046872||IEA",,,EZ55_00049
aroE,aroE,ALTBGP6_RS00250,EZ55_00050,Protein Homology,53348,54172,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012516553.1,shikimate dehydrogenase,WP_156085690.1,"GO:0019632,GO:0004764",,shikimate 3-dehydrogenase (NADP+) activity|0004764||IEA,shikimate metabolic process|0019632||IEA,,EZ55_00050
ALTBGP6_RS00255,,ALTBGP6_RS00255,EZ55_00051,GeneMarkS-2+,54310,55254,+,,,COORDINATES: ab initio prediction:GeneMarkS-2+,hypothetical protein,WP_156085691.1,,,,,,EZ55_00051
ALTBGP6_RS00260,,ALTBGP6_RS00260,EZ55_00052,Protein Homology,55290,55823,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012516554.1,gamma carbonic anhydrase family protein,WP_156085692.1,GO:0046872,,metal ion binding|0046872||IEA,,,EZ55_00052
ALTBGP6_RS00265,,ALTBGP6_RS00265,EZ55_00053,Protein Homology,56000,57043,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014977872.1,UDP-N-acetylglucosamine 2-epimerase,WP_014977872.1,,,,,,EZ55_00053
ALTBGP6_RS00300,,ALTBGP6_RS00300,EZ55_00060,Protein Homology,63176,63706,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014947741.1,acyloxyacyl hydrolase,WP_014975262.1,,,,,,EZ55_00060
ALTBGP6_RS00305,,ALTBGP6_RS00305,EZ55_00061,Protein Homology,63843,64673,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014975263.1,substrate-binding periplasmic protein,WP_069943474.1,,,,,,EZ55_00061
ALTBGP6_RS00310,,ALTBGP6_RS00310,EZ55_00062,Protein Homology,64654,65457,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014975264.1,hypothetical protein,WP_231506374.1,,,,,,EZ55_00062
ALTBGP6_RS00315,,ALTBGP6_RS00315,EZ55_00063,Protein Homology,65588,68677,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012516560.1,error-prone DNA polymerase,WP_156085693.1,"GO:0006260,GO:0003887,GO:0008408",,"DNA-directed DNA polymerase activity|0003887||IEA,3'-5' exonuclease activity|0008408||IEA",DNA replication|0006260||IEA,,EZ55_00063
ALTBGP6_RS00320,,ALTBGP6_RS00320,EZ55_00064,Protein Homology,68714,70201,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014996790.1,Y-family DNA polymerase,WP_061438881.1,"GO:0006260,GO:0006281,GO:0003684,GO:0003887,GO:0046872",,"damaged DNA binding|0003684||IEA,DNA-directed DNA polymerase activity|0003887||IEA,metal ion binding|0046872||IEA","DNA replication|0006260||IEA,DNA repair|0006281||IEA",,EZ55_00064
ALTBGP6_RS00325,,ALTBGP6_RS00325,EZ55_00065,Protein Homology,70201,70950,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_015065854.1,recombinase RecA,WP_156085694.1,,,,,,EZ55_00065
ALTBGP6_RS00330,,ALTBGP6_RS00330,EZ55_00066,Protein Homology,71198,71707,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014977879.1,hypothetical protein,WP_039226980.1,,,,,,EZ55_00066
ALTBGP6_RS00335,,ALTBGP6_RS00335,EZ55_00067,Protein Homology,71710,73461,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014977880.1,DUF885 domain-containing protein,WP_156085695.1,,,,,,EZ55_00067
ALTBGP6_RS00340,,ALTBGP6_RS00340,EZ55_00068,Protein Homology,73500,73835,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012516565.1,DUF1820 family protein,WP_061438894.1,,,,,,EZ55_00068
ALTBGP6_RS00345,,ALTBGP6_RS00345,EZ55_00069,Protein Homology,74025,75662,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014996794.1,M28 family metallopeptidase,WP_156085696.1,"GO:0008237,GO:0008270,GO:0016020",membrane|0016020||IEA,"metallopeptidase activity|0008237||IEA,zinc ion binding|0008270||IEA",,,EZ55_00069
ALTBGP6_RS00350,,ALTBGP6_RS00350,ALTBGP6_RS00350,Protein Homology,75762,76113,+,programmed frameshift,ribosomal slippage,COORDINATES: similar to AA sequence:RefSeq:WP_076612166.1,IS3 family transposase,WP_139125415.1,GO:0004803,,transposase activity|0004803||IEA,,,
ALTBGP6_RS00350,,ALTBGP6_RS00350,ALTBGP6_RS00350,Protein Homology,76113,76990,+,programmed frameshift,ribosomal slippage,COORDINATES: similar to AA sequence:RefSeq:WP_076612166.1,IS3 family transposase,WP_139125415.1,GO:0004803,,transposase activity|0004803||IEA,,,
slmA,slmA,ALTBGP6_RS00355,EZ55_00072,Protein Homology,77209,77796,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014996795.1,nucleoid occlusion factor SlmA,WP_012516568.1,"GO:0010974,GO:0003677",,DNA binding|0003677||IEA,negative regulation of division septum assembly|0010974||IEA,,EZ55_00072
coaBC,coaBC,ALTBGP6_RS00360,EZ55_00073,Protein Homology,77912,79141,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014947751.1,bifunctional phosphopantothenoylcysteine decarboxylase/phosphopantothenate--cysteine ligase CoaBC,WP_014977883.1,"GO:0015937,GO:0015941,GO:0004632,GO:0004633,GO:0010181",,"phosphopantothenate--cysteine ligase activity|0004632||IEA,phosphopantothenoylcysteine decarboxylase activity|0004633||IEA,FMN binding|0010181||IEA","coenzyme A biosynthetic process|0015937||IEA,pantothenate catabolic process|0015941||IEA",,EZ55_00073
radC,radC,ALTBGP6_RS00365,EZ55_00074,Protein Homology,79351,80028,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014947752.1,RadC family protein,WP_014947752.1,,,,,,EZ55_00074
ALTBGP6_RS00370,,ALTBGP6_RS00370,EZ55_00075,Protein Homology,80121,80474,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014977885.1,hypothetical protein,WP_014947753.1,,,,,,EZ55_00075
ALTBGP6_RS00375,,ALTBGP6_RS00375,EZ55_00076,Protein Homology,80569,81258,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014947754.1,YjbF family lipoprotein,WP_014947754.1,,,,,,EZ55_00076
ALTBGP6_RS00380,,ALTBGP6_RS00380,EZ55_00077,Protein Homology,81258,82007,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014996800.1,capsule biosynthesis GfcC family protein,WP_039236677.1,,,,,,EZ55_00077
ALTBGP6_RS00385,,ALTBGP6_RS00385,EZ55_00078,Protein Homology,82004,84106,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014996801.1,YjbH domain-containing protein,WP_014977887.1,,,,,,EZ55_00078
rpmB,rpmB,ALTBGP6_RS00390,EZ55_00079,Protein Homology,84444,84680,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_018347033.1,50S ribosomal protein L28,WP_014947757.1,"GO:0006412,GO:0003735,GO:0005840",ribosome|0005840||IEA,structural constituent of ribosome|0003735||IEA,translation|0006412||IEA,,EZ55_00079
rpmG,rpmG,ALTBGP6_RS00395,EZ55_00080,Protein Homology,84692,84847,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011470150.1,50S ribosomal protein L33,WP_012516577.1,"GO:0006412,GO:0003735,GO:0005840",ribosome|0005840||IEA,structural constituent of ribosome|0003735||IEA,translation|0006412||IEA,,EZ55_00080
ALTBGP6_RS00400,,ALTBGP6_RS00400,EZ55_00081,Protein Homology,85114,85578,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014977888.1,hypothetical protein,WP_039226967.1,,,,,,EZ55_00081
mutM,mutM,ALTBGP6_RS00405,EZ55_00082,Protein Homology,85579,86388,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014996803.1,bifunctional DNA-formamidopyrimidine glycosylase/DNA-(apurinic or apyrimidinic site) lyase,WP_061438898.1,"GO:0006281,GO:0006284,GO:0003676,GO:0003684,GO:0003906,GO:0008270,GO:0008534,GO:0016799,GO:0019104",,"nucleic acid binding|0003676||IEA,damaged DNA binding|0003684||IEA,DNA-(apurinic or apyrimidinic site) endonuclease activity|0003906||IEA,zinc ion binding|0008270||IEA,oxidized purine nucleobase lesion DNA N-glycosylase activity|0008534||IEA,hydrolase activity%2C hydrolyzing N-glycosyl compounds|0016799||IEA,DNA N-glycosylase activity|0019104||IEA","DNA repair|0006281||IEA,base-excision repair|0006284||IEA",,EZ55_00082
coaD,coaD,ALTBGP6_RS00410,EZ55_00083,Protein Homology,86407,86895,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014996804.1,pantetheine-phosphate adenylyltransferase,WP_061438900.1,"GO:0015937,GO:0004595",,pantetheine-phosphate adenylyltransferase activity|0004595||IEA,coenzyme A biosynthetic process|0015937||IEA,,EZ55_00083
ALTBGP6_RS00415,,ALTBGP6_RS00415,EZ55_00084,Protein Homology,86994,87725,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014996805.1,3-deoxy-D-manno-octulosonic acid kinase,WP_061438902.1,GO:0016773,,phosphotransferase activity%2C alcohol group as acceptor|0016773||IEA,,,EZ55_00084
ALTBGP6_RS00420,,ALTBGP6_RS00420,EZ55_00085,Protein Homology,88205,88678,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014977891.1,hypothetical protein,WP_039226966.1,,,,,,EZ55_00085
ALTBGP6_RS00425,,ALTBGP6_RS00425,EZ55_00086,Protein Homology,88675,89850,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014977892.1,hypothetical protein,WP_156085697.1,,,,,,EZ55_00086
ALTBGP6_RS00430,,ALTBGP6_RS00430,EZ55_00087,Protein Homology,89860,92304,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014947764.1,bifunctional diguanylate cyclase/phosphodiesterase,WP_156085698.1,,,,,,EZ55_00087
ALTBGP6_RS00435,,ALTBGP6_RS00435,EZ55_00088,Protein Homology,92468,93664,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012516586.1,glycine C-acetyltransferase,WP_014977894.1,"GO:0009058,GO:0008890,GO:0030170",,"glycine C-acetyltransferase activity|0008890||IEA,pyridoxal phosphate binding|0030170||IEA",biosynthetic process|0009058||IEA,,EZ55_00088
tdh,tdh,ALTBGP6_RS00440,EZ55_00089,Protein Homology,93661,94686,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_015065862.1,L-threonine 3-dehydrogenase,WP_014947766.1,"GO:0006567,GO:0008743",,L-threonine 3-dehydrogenase activity|0008743||IEA,L-threonine catabolic process|0006567||IEA,,EZ55_00089
glpE,glpE,ALTBGP6_RS00445,EZ55_00090,Protein Homology,94686,94997,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014977895.1,thiosulfate sulfurtransferase GlpE,WP_014947767.1,GO:0004792,,thiosulfate-cyanide sulfurtransferase activity|0004792||IEA,,,EZ55_00090
glpG,glpG,ALTBGP6_RS00450,EZ55_00091,Protein Homology,95138,96001,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014977896.1,rhomboid family intramembrane serine protease GlpG,WP_156085699.1,"GO:0019538,GO:0004252,GO:0005886",plasma membrane|0005886||IEA,serine-type endopeptidase activity|0004252||IEA,protein metabolic process|0019538||IEA,,EZ55_00091
ALTBGP6_RS00455,,ALTBGP6_RS00455,EZ55_00092,Protein Homology,96057,96470,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012516590.1,flagellar basal body-associated protein FliL,WP_014977897.1,,,,,,EZ55_00092
ALTBGP6_RS00460,,ALTBGP6_RS00460,EZ55_00093,Protein Homology,96619,97188,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_015065863.1,chorismate--pyruvate lyase family protein,WP_041693341.1,"GO:0006744,GO:0008813,GO:0005737",cytoplasm|0005737||IEA,chorismate lyase activity|0008813||IEA,ubiquinone biosynthetic process|0006744||IEA,,EZ55_00093
