old_locus_tag,locus_tag_new,gene,product,has_primary_tss,antisense_tss_count,internal_tss_count,minus10_element_score,tss_distance_to_cds,resolved_locus_tag,resolution_method
,P9313_06761,,Conserved hypothetical protein,False,1,0,,,,empty
,P9313_06881,,Conserved hypothetical protein,False,2,0,,,,empty
,P9313_06931,,Conserved hypothetical protein,True,0,0,3.139202291,62.0,,empty
,P9313_07361,,Conserved hypothetical protein,False,1,0,,,,empty
,P9313_07421,,,False,1,0,,,,empty
,P9313_07481,,,False,1,0,,,,empty
,P9313_07651,,Conserved hypothetical protein,False,1,0,,,,empty
,P9313_07781,,,False,1,0,,,,empty
,P9313_07861,,putative transcripton factor,True,1,2,4.685918812,98.0,,empty
,P9313_07981,,Conserved hypothetical protein,True,0,0,4.721561646,5.0,,empty
,P9313_08371,,,False,1,0,,,,empty
,P9313_08431,,Conserved hypothetical protein,False,1,0,,,,empty
,P9313_09081,,Conserved hypothetical protein,True,0,1,4.523794314,17.0,,empty
,P9313_09191,,,False,1,0,,,,empty
,P9313_09321,,,False,1,0,,,,empty
,P9313_09591,,,False,0,1,,,,empty
,P9313_09651,,,True,0,0,3.068041475,70.0,,empty
,P9313_09691,,,False,1,0,,,,empty
,P9313_09741,,,True,0,1,4.887785797,93.0,,empty
,P9313_09761,,,False,1,0,,,,empty
,P9313_09801,,,False,0,1,,,,empty
,P9313_09901,,,False,2,1,,,,empty
,P9313_09921,,,True,0,0,2.41452602,82.0,,empty
,P9313_09941,,Conserved hypothetical protein,True,0,0,5.450595445,72.0,,empty
,P9313_09961,,Conserved hypothetical protein,False,1,1,,,,empty
,P9313_09991,,Conserved hypothetical protein,False,1,0,,,,empty
,P9313_10041,,,True,1,0,5.221245144,25.0,,empty
,P9313_10091,,,True,0,1,3.442597183,,,empty
,P9313_10131,,,False,1,0,,,,empty
,P9313_10261,,Conserved hypothetical protein,False,1,0,,,,empty
,P9313_10281,,Conserved hypothetical protein,True,0,0,3.661947302,82.0,,empty
,P9313_10371,,,True,0,0,4.887785797,158.0,,empty
,P9313_10491,,,False,1,0,,,,empty
,P9313_10521,,,True,0,0,4.665986236,58.0,,empty
,P9313_10531,,,False,1,0,,,,empty
,P9313_10571,,,True,0,0,4.984956175,0.0,,empty
,P9313_10691,,Conserved hypothetical protein,True,0,0,3.801699182,88.0,,empty
,P9313_10761,,,True,0,0,3.759117681,5.0,,empty
,P9313_10771,,,True,0,0,2.35836889,30.0,,empty
,P9313_10781,,,False,1,0,,,,empty
,P9313_10791,,,False,1,0,,,,empty
,P9313_10801,,,False,2,0,,,,empty
,P9313_10851,,Conserved hypothetical protein,False,1,0,,,,empty
,P9313_10861,,Conserved hypothetical protein,True,0,1,3.442597183,65.0,,empty
,P9313_10891,,Conserved hypothetical protein,False,1,0,,,,empty
,P9313_10911,,Conserved hypothetical protein,True,0,0,3.922994026,20.0,,empty
,P9313_10921,,,False,1,0,,,,empty
,P9313_11011,,Conserved hypothetical protein,False,1,0,,,,empty
,P9313_11021,,Conserved hypothetical protein,False,1,0,,,,empty
,P9313_11041,,Conserved hypothetical protein,False,2,0,,,,empty
,P9313_11051,,Conserved hypothetical protein,True,0,0,4.958946612,64.0,,empty
,P9313_11101,,,False,1,0,,,,empty
,P9313_11131,,,True,1,0,3.442597183,37.0,,empty
,P9313_11221,,,False,1,0,,,,empty
,P9313_11241,,,True,1,0,3.442597183,37.0,,empty
,P9313_11271,,,False,1,0,,,,empty
,P9313_11281,,,False,1,0,,,,empty
,P9313_11341,,Conserved hypothetical protein,True,0,0,5.826237321,53.0,,empty
,P9313_11361,,Conserved hypothetical protein,False,1,0,,,,empty
,P9313_11441,,Conserved hypothetical protein,True,0,0,5.59688702,17.0,,empty
,P9313_11451,,,False,0,1,,,,empty
,P9313_11461,,,True,0,1,4.685918812,35.0,,empty
,P9313_11511,,,False,1,0,,,,empty
,P9313_11531,,,True,1,0,4.7355268,80.0,,empty
,P9313_11541,,Conserved hypothetical protein,True,1,1,3.637390819,94.0,,empty
,P9313_11571,,Conserved hypothetical protein,True,0,0,2.033108675,16.0,,empty
,P9313_11621,,,False,1,0,,,,empty
,P9313_11701,,,True,0,0,4.031049483,77.0,,empty
,P9313_11741,,,True,1,0,4.426623935,25.0,,empty
,P9313_11781,,,True,0,0,4.426623935,25.0,,empty
,P9313_11811,,,True,0,0,3.241816367,74.0,,empty
,P9313_11831,,,True,0,0,4.426623935,25.0,,empty
,P9313_11871,,,False,1,0,,,,empty
,P9313_11901,,,False,0,1,,,,empty
,P9313_11961,,Conserved hypothetical protein,True,0,0,3.922994026,69.0,,empty
,P9313_12001,,Conserved hypothetical protein,False,1,0,,,,empty
,P9313_12111,,,False,1,0,,,,empty
,P9313_12151,,,True,0,0,2.41452602,21.0,,empty
,P9313_12161,,,False,1,0,,,,empty
,P9313_12211,,,False,1,0,,,,empty
,P9313_12231,,,False,2,0,,,,empty
,P9313_12251,,,False,1,0,,,,empty
,P9313_12271,,Conserved hypothetical protein,True,0,0,2.259634936,111.0,,empty
,P9313_12291,,Conserved hypothetical protein,False,0,1,,,,empty
,P9313_12381,,,False,1,0,,,,empty
,P9313_12511,,Conserved hypothetical protein,False,1,0,,,,empty
,P9313_12581,,Conserved hypothetical protein,False,1,0,,,,empty
,P9313_12611,,Conserved hypothetical protein,False,1,1,,,,empty
,P9313_12621,,Conserved hypothetical protein,False,0,1,,,,empty
,P9313_12711,,Conserved hypothetical protein,True,0,0,4.72959631,64.0,,empty
,P9313_12751,,Conserved hypothetical protein,False,2,0,,,,empty
,P9313_12771,,,False,0,1,,,,empty
,P9313_12801,,,False,1,0,,,,empty
,P9313_12811,,Conserved hypothetical protein,False,1,0,,,,empty
,P9313_12821,,Conserved hypothetical protein,False,0,1,,,,empty
,P9313_12841,,,False,0,3,,,,empty
,P9313_12871,,Conserved hypothetical protein,True,0,0,4.026425577,20.0,,empty
,P9313_12881,,Conserved hypothetical protein,False,0,1,,,,empty
,P9313_12901,,Conserved hypothetical protein,False,3,0,,,,empty
,P9313_12911,,,False,1,0,,,,empty
,P9313_12931,,Conserved hypothetical protein,False,1,1,,,,empty
,P9313_12941,,,True,0,0,4.72959631,47.0,,empty
,P9313_12961,,Conserved hypothetical protein,True,0,1,4.527729326,6.0,,empty
,P9313_12991,,Conserved hypothetical protein,False,1,0,,,,empty
,P9313_13021,,,True,0,0,4.172717151,34.0,,empty
,P9313_13031,,,False,1,0,,,,empty
,P9313_13041,,Conserved hypothetical protein,False,1,0,,,,empty
,P9313_13061,,Conserved hypothetical protein,True,0,1,4.194269979,100.0,,empty
,P9313_13071,,,False,1,0,,,,empty
,P9313_13101,,,False,1,1,,,,empty
,P9313_13151,,Conserved hypothetical protein,True,0,0,2.259634936,17.0,,empty
,P9313_13161,,Conserved hypothetical protein,True,1,0,4.826766689,91.0,,empty
,P9313_13171,,Conserved hypothetical protein,True,0,0,4.760083283,126.0,,empty
,P9313_13181,,Conserved hypothetical protein,True,1,1,6.159696669,15.0,,empty
,P9313_13201,,Conserved hypothetical protein,False,1,0,,,,empty
,P9313_13231,,,False,1,0,,,,empty
,P9313_13261,,Conserved hypothetical protein,True,0,0,5.430662869,18.0,,empty
,P9313_13331,,,False,1,0,,,,empty
,P9313_13371,,,False,1,1,,,,empty
,P9313_13381,,,False,2,1,,,,empty
,P9313_13391,,,False,1,0,,,,empty
,P9313_13402,,,False,0,1,,,,empty
,P9313_13411,,Conserved hypothetical protein,True,0,0,4.958946612,10.0,,empty
,P9313_13771,,Conserved hypothetical protein,True,0,0,2.595918324,16.0,,empty
,P9313_13881,,Conserved hypothetical protein,True,0,1,4.334021858,126.0,,empty
,P9313_13951,,,False,1,0,,,,empty
,P9313_13981,,,False,1,1,,,,empty
,P9313_14001,,Conserved hypothetical protein,False,0,1,,,,empty
,P9313_14021,,,False,1,0,,,,empty
,P9313_14181,,,False,2,0,,,,empty
,P9313_14191,,Conserved hypothetical protein,True,0,1,3.430249195,43.0,,empty
,P9313_14231,,,False,0,1,,,,empty
,P9313_14611,,Conserved hypothetical protein,True,1,0,5.292405959,54.0,,empty
,P9313_14781,,,True,1,1,3.99540665,33.0,,empty
,P9313_14801,,conserved hypothetical,True,1,0,5.826237321,47.0,,empty
,P9313_14861,,cytochrome b6-F complex subunit VII,True,0,0,2.311911944,71.0,,empty
,P9313_14921,,Conserved hypothetical protein,True,0,0,3.463615928,32.0,,empty
,P9313_14951,,Conserved hypothetical protein,False,1,0,,,,empty
,P9313_15011,,,False,1,0,,,,empty
,P9313_15121,,,False,3,1,,,,empty
,P9313_15141,,Conserved hypothetical protein,False,1,0,,,,empty
,P9313_15301,,Conserved hypothetical protein,False,1,0,,,,empty
,P9313_15421,,,False,1,0,,,,empty
,P9313_15441,,,False,1,0,,,,empty
,P9313_15501,,Conserved hypothetical protein,True,2,1,3.463615928,21.0,,empty
,P9313_15671,,Conserved hypothetical protein,True,0,0,4.492211344,25.0,,empty
,P9313_15871,,Conserved hypothetical protein,False,0,1,,,,empty
,P9313_16091,,,False,0,1,,,,empty
,P9313_16191,,Conserved hypothetical protein,False,1,0,,,,empty
,P9313_16241,,Conserved hypothetical protein,False,1,0,,,,empty
,P9313_16271,,,False,1,0,,,,empty
,P9313_16331,,Conserved hypothetical protein,False,0,2,,,,empty
,P9313_16391,,Conserved hypothetical protein,True,0,0,5.221245144,149.0,,empty
,P9313_16501,,Conserved hypothetical protein,False,1,0,,,,empty
,P9313_16611,gmk,Guanylate kinase,False,1,1,,,,empty
,P9313_16751,,,True,0,0,3.268944488,67.0,,empty
,P9313_16801,,Conserved hypothetical protein,True,0,0,4.826766689,0.0,,empty
,P9313_16881,,Conserved hypothetical protein,True,2,0,3.39067135,21.0,,empty
,P9313_17341,,Conserved hypothetical protein,False,1,0,,,,empty
,P9313_17361,,Conserved hypothetical protein,False,1,0,,,,empty
,P9313_17421,,Conserved hypothetical protein,True,0,0,5.923407699,79.0,,empty
,P9313_17431,,Conserved hypothetical protein,False,1,0,,,,empty
,P9313_17501,,Conserved hypothetical protein,False,0,1,,,,empty
,P9313_17521,,Conserved hypothetical protein,True,1,1,2.216409015,47.0,,empty
,P9313_17571,,,False,1,0,,,,empty
,P9313_17581,,Conserved hypothetical protein,True,0,0,3.574777106,20.0,,empty
,P9313_17751,,Conserved hypothetical protein,False,1,0,,,,empty
,P9313_17761,,Conserved hypothetical protein,True,1,0,5.061560688,20.0,,empty
,P9313_17891,,,False,3,0,,,,empty
,P9313_18001,,,False,1,0,,,,empty
,P9313_18021,,,True,0,0,2.35836889,46.0,,empty
,P9313_18121,,,False,0,1,,,,empty
,P9313_18171,,,False,1,0,,,,empty
,P9313_18261,,Conserved hypothetical protein,False,1,1,,,,empty
,P9313_18361,,,False,1,0,,,,empty
,P9313_18371,,,True,0,0,5.930346367,38.0,,empty
,P9313_18381,,,False,1,0,,,,empty
,P9313_18391,,,False,1,0,,,,empty
,P9313_18571,,Conserved hypothetical protein,False,1,0,,,,empty
,P9313_18651,,Conserved hypothetical protein,False,1,0,,,,empty
,P9313_18841,,,False,1,0,,,,empty
,P9313_19071,,,True,0,0,5.026573705,36.0,,empty
,P9313_19261,,Conserved hypothetical protein,True,0,0,2.508623068,18.0,,empty
,P9313_19501,,Conserved hypothetical protein,False,0,1,,,,empty
,P9313_19521,,Conserved hypothetical protein,True,0,1,4.7355268,27.0,,empty
,P9313_19541,,,True,0,0,5.694057398,,,empty
,P9313_19581,,,True,1,0,5.292405959,68.0,,empty
,P9313_19591,,Conserved hypothetical protein,True,0,0,4.523794314,69.0,,empty
,P9313_19621,,,True,0,0,5.450595445,49.0,,empty
,P9313_19631,,,False,0,1,,,,empty
,P9313_19641,,,False,1,0,,,,empty
,P9313_19671,,,True,1,0,4.826766689,63.0,,empty
,P9313_19681,,Conserved hypothetical protein,True,1,0,5.395020035,12.0,,empty
,P9313_19761,,,True,1,1,5.59688702,60.0,,empty
,P9313_19771,,,False,0,1,,,,empty
,P9313_19791,,,True,0,0,3.922994026,53.0,,empty
,P9313_19801,,,False,0,2,,,,empty
,P9313_19961,,,False,1,0,,,,empty
,P9313_19981,,Conserved hypothetical protein,True,2,0,4.665986236,40.0,,empty
,P9313_20141,,,True,0,0,2.318534324,70.0,,empty
,P9313_20191,,Conserved hypothetical protein,False,1,2,,,,empty
,P9313_20211,,,False,1,0,,,,empty
,P9313_20311,,Conserved hypothetical protein,True,1,0,4.530732981,63.0,,empty
,P9313_20331,,,False,1,0,,,,empty
,P9313_20351,,membrane protein,False,1,0,,,,empty
,P9313_20361,,,False,1,1,,,,empty
,P9313_20641,,Conserved hypothetical protein,True,1,0,3.661947302,11.0,,empty
,P9313_20661,,,False,1,0,,,,empty
,P9313_20691,,Conserved hypothetical protein,True,0,1,4.563372159,16.0,,empty
,P9313_20721,,Conserved hypothetical protein,False,1,1,,,,empty
,P9313_20751,,Conserved hypothetical protein,True,0,0,5.430662869,15.0,,empty
,P9313_20771,,Conserved hypothetical protein,False,2,0,,,,empty
,P9313_20991,,,False,1,0,,,,empty
,P9313_21051,,Conserved hypothetical protein,False,0,2,,,,empty
,P9313_21111,,Conserved hypothetical protein,False,1,1,,,,empty
,P9313_21191,,,True,0,0,4.317472482,93.0,,empty
,P9313_21201,,,False,0,1,,,,empty
,P9313_21231,,,True,0,0,3.588438682,65.0,,empty
,P9313_21241,,,True,0,2,4.665986236,97.0,,empty
,P9313_21281,,,False,1,0,,,,empty
,P9313_21301,,Conserved hypothetical protein,False,0,1,,,,empty
,P9313_21381,,Conserved hypothetical protein,False,1,0,,,,empty
,P9313_21401,,,False,1,0,,,,empty
,P9313_21431,,,False,1,0,,,,empty
,P9313_21491,,,True,1,0,5.05611699,60.0,,empty
,P9313_21531,,,False,1,0,,,,empty
,P9313_21561,,,True,0,0,5.930346367,17.0,,empty
,P9313_21601,,,False,1,0,,,,empty
,P9313_21611,,Conserved hypothetical protein,False,1,0,,,,empty
,P9313_21621,,Conserved hypothetical protein,False,1,0,,,,empty
,P9313_21671,,Conserved hypothetical protein,True,0,0,4.172717151,68.0,,empty
,P9313_21681,,,False,0,1,,,,empty
,P9313_21841,,,True,0,0,3.922994026,54.0,,empty
,P9313_22361,,Conserved hypothetical protein,False,2,0,,,,empty
,P9313_22391,,,False,1,0,,,,empty
,P9313_22451,,Conserved hypothetical protein,True,0,0,4.317472482,18.0,,empty
,P9313_22511,,Conserved hypothetical protein,False,1,1,,,,empty
,P9313_22691,,Conserved hypothetical protein,False,0,1,,,,empty
,P9313_22791,,Conserved hypothetical protein,True,1,0,4.081183513,71.0,,empty
,P9313_22911,,Conserved hypothetical protein,False,1,0,,,,empty
,P9313_22971,,Conserved hypothetical protein,False,1,0,,,,empty
,P9313_23051,,Conserved hypothetical protein,False,2,0,,,,empty
,P9313_23121,,Conserved hypothetical protein,True,1,0,5.292405959,20.0,,empty
,P9313_23481,,,True,1,1,3.777142699,81.0,,empty
,P9313_23911,,,False,1,0,,,,empty
,P9313_23921,,,True,0,0,3.984013134,31.0,,empty
,P9313_23941,,Conserved hypothetical protein,False,0,2,,,,empty
,P9313_23951,,Conserved hypothetical protein,False,1,0,,,,empty
,P9313_24001,,Conserved hypothetical protein,False,1,0,,,,empty
,P9313_24011,,Conserved hypothetical protein,True,0,0,2.272334098,39.0,,empty
,P9313_24241,,,False,1,0,,,,empty
,P9313_24311,,Conserved hypothetical protein,True,3,0,4.026425577,83.0,,empty
,P9313_24341,,Conserved hypothetical protein,True,0,0,2.130279053,87.0,,empty
,P9313_24371,,,False,2,1,,,,empty
,P9313_24631,,,True,0,0,5.292405959,96.0,,empty
,P9313_24721,,Conserved hypothetical protein,True,0,0,3.025459975,47.0,,empty
,P9313_24871,,Conserved hypothetical protein,False,1,0,,,,empty
,P9313_24921,,Conserved hypothetical protein,False,0,1,,,,empty
,P9313_25081,,Conserved hypothetical protein,False,1,0,,,,empty
,P9313_25411,,Conserved hypothetical protein,False,1,0,,,,empty
,P9313_25461,,,False,0,1,,,,empty
,P9313_25471,,,True,0,0,2.186354401,18.0,,empty
,P9313_25691,,,False,1,0,,,,empty
,P9313_25911,,,False,1,1,,,,empty
,P9313_25931,,,True,0,0,3.430249195,16.0,,empty
,P9313_25951,,,True,0,0,3.39067135,89.0,,empty
,P9313_25991,,Conserved hypothetical protein,False,1,0,,,,empty
,P9313_26011,,,False,0,2,,,,empty
,P9313_26031,,,False,1,0,,,,empty
,P9313_26041,,Conserved hypothetical protein,True,0,0,6.159696669,42.0,,empty
,P9313_26051,,,True,0,0,5.221245144,18.0,,empty
,P9313_26061,,,False,1,0,,,,empty
,P9313_26081,,Rubredoxin,True,0,0,5.05611699,21.0,,empty
,P9313_26111,,,False,1,0,,,,empty
,P9313_26121,,Conserved hypothetical protein,False,2,1,,,,empty
,P9313_26401,,,False,1,0,,,,empty
,P9313_26501,,Conserved hypothetical protein,True,0,0,3.345426804,46.0,,empty
,P9313_26551,,,False,1,0,,,,empty
,P9313_26671,,,True,0,0,5.450595445,90.0,,empty
,P9313_26681,,,True,0,0,5.923407699,27.0,,empty
,P9313_26801,,,False,1,0,,,,empty
,P9313_26881,,,False,1,0,,,,empty
,P9313_26971,,,False,1,0,,,,empty
,P9313_27101,,,False,1,1,,,,empty
,P9313_27111,,Conserved hypothetical protein,False,0,1,,,,empty
,P9313_27211,,Conserved hypothetical protein,False,3,0,,,,empty
,P9313_27491,,,False,1,0,,,,empty
,P9313_27501,,,False,1,0,,,,empty
,P9313_27631,,,False,1,0,,,,empty
,P9313_27681,,Conserved hypothetical protein,False,1,0,,,,empty
,P9313_27731,,,False,1,1,,,,empty
,P9313_27761,,Conserved hypothetical protein,True,0,1,3.956885013,16.0,,empty
,P9313_28041,,,False,1,0,,,,empty
,P9313_28071,,Conserved hypothetical protein,False,1,0,,,,empty
PMT0001,P9313_00001,dnaN,"DNA polymerase III, beta chain",False,0,1,,,PMT0001,locus_tag:old_locus_tag
PMT0002,P9313_00011,,conserved hypothetical protein,False,1,0,,,PMT0002,locus_tag:old_locus_tag
PMT0003,P9313_00021,purL,phosphoribosylformylglycinamide synthetase II,False,0,5,,,PMT0003,locus_tag:old_locus_tag
PMT0004,P9313_00031,purF,Glutamine amidotransferase class-II:Phosphoribosyl transferase,True,3,4,4.402067452,33.0,PMT0004,locus_tag:old_locus_tag
PMT0005,P9313_00041,,"DNA gyrase/topoisomerase IV, subunit A",True,6,0,5.221245144,26.0,PMT0005,locus_tag:old_locus_tag
PMT0006,P9313_00051,,"Flp pilus assembly protein TadD, contains TPR repeats",True,4,0,4.492211344,15.0,PMT0006,locus_tag:old_locus_tag
PMT0007,P9313_00061,,Uncharacterized Fe-S protein,False,1,1,,,PMT0007,locus_tag:old_locus_tag
PMT0008,P9313_00071,,Conserved hypothetical protein,True,0,1,4.721561646,69.0,PMT0008,locus_tag:old_locus_tag
PMT0009,P9313_00081,,Uncharacterized conserved protein,True,0,1,4.530732981,33.0,PMT0009,locus_tag:old_locus_tag
PMT0010,P9313_00091,nusB,Antitermination protein NusB,False,0,3,,,PMT0010,locus_tag:old_locus_tag
PMT0011,P9313_00101,ftsY,signal recognition particle docking protein FtsY,False,3,1,,,PMT0011,locus_tag:old_locus_tag
PMT0012,P9313_00111,rsbU,Protein phosphatase 2C domain,True,1,5,3.661947302,16.0,PMT0012,locus_tag:old_locus_tag
PMT0013,P9313_00121,argH,Fumarate lyase:Delta crystallin,True,3,5,3.463615928,17.0,PMT0013,locus_tag:old_locus_tag
PMT0014,P9313_00131,,RNA-binding region RNP-1 (RNA recognition motif),False,0,1,,,PMT0014,locus_tag:old_locus_tag
PMT0015,P9313_00141,,tRNA-dihydrouridine synthase,True,2,0,4.402067452,33.0,PMT0015,locus_tag:old_locus_tag
PMT0016,P9313_00151,,Domain of unknown function DUF25,True,1,0,3.956885013,148.0,PMT0016,locus_tag:old_locus_tag
PMT0017,P9313_00161,,conserved hypohetical protein,True,1,0,4.760083283,62.0,PMT0017,locus_tag:old_locus_tag
PMT0018,P9313_00171,pilC,pili biogenesis protein,False,2,2,,,PMT0018,locus_tag:old_locus_tag
PMT0019,P9313_00181,pilT1,homologous to PilT1 protein,False,2,0,,,PMT0019,locus_tag:old_locus_tag
PMT0020,P9313_00191,gspE1,General secretion pathway protein E,False,6,2,,,PMT0020,locus_tag:old_locus_tag
PMT0021,P9313_00201,grpE,Heat shock protein GrpE,True,0,2,3.637390819,23.0,PMT0021,locus_tag:old_locus_tag
PMT0022,P9313_00211,dnaJ,DnaJ protein,True,4,3,5.063055658,14.0,PMT0022,locus_tag:old_locus_tag
PMT0023,P9313_00221,,conserved hypothetical protein,False,1,0,,,PMT0023,locus_tag:old_locus_tag
PMT0024,P9313_00231,,Predicted GTPases,False,1,3,,,PMT0024,locus_tag:old_locus_tag
PMT0025,P9313_00241,,Uncharacterized protein conserved in bacteria,False,1,0,,,PMT0025,locus_tag:old_locus_tag
PMT0026,P9313_00251,murB,UDP-N-acetylenolpyruvoylglucosamine reductase,False,1,1,,,PMT0026,locus_tag:old_locus_tag
PMT0027,P9313_00261,murC,Probable UDP-N-acetylmuramate-alanine ligase,True,9,4,4.826766689,,PMT0027,locus_tag:old_locus_tag
PMT0028,P9313_00271,gap2,Glyceraldehyde 3-phosphate dehydrogenase(NADP+; phosphorylating),False,4,4,,,PMT0028,locus_tag:old_locus_tag
PMT0029,P9313_00281,thiL,putative thiamine monophosphate kinase,False,2,1,,,PMT0029,locus_tag:old_locus_tag
PMT0030,P9313_00291,,Cyclophilin-type peptidyl-prolyl cis-trans isomerase,True,5,3,3.534776743,16.0,PMT0030,locus_tag:old_locus_tag
PMT0031,P9313_00301,efp,Elongation factor P (EF-P),True,0,0,5.694057398,15.0,PMT0031,locus_tag:old_locus_tag
PMT0032,P9313_00311,accB,Biotin / Lipoyl attachment:Acetyl-CoA biotin carboxyl carrier subunit,True,0,1,3.19913523,86.0,PMT0032,locus_tag:old_locus_tag
PMT0033,P9313_00321,pdxA,putative pyridoxal phosphate biosynthetic protein PdxA,True,4,0,4.291440357,,PMT0033,locus_tag:old_locus_tag
PMT0034,P9313_00341,,Nucleoside-diphosphate-sugar epimerases,True,2,0,4.031049483,68.0,PMT0034,locus_tag:old_locus_tag
PMT0035,P9313_00351,,possible Squash family serine protease inhibit,False,1,0,,,PMT0035,locus_tag:old_locus_tag
PMT0036,P9313_00361,,HNH endonuclease:HNH nuclease,False,2,1,,,PMT0036,locus_tag:old_locus_tag
PMT0037,P9313_00371,,SNF2 related domain:DEAD/DEAH box helicase:Helicase C-termina...,True,2,1,4.426623935,11.0,PMT0037,locus_tag:old_locus_tag
PMT0038,P9313_00381,,possible Penicillin amidase,False,0,1,,,PMT0038,locus_tag:old_locus_tag
PMT0039,P9313_00391,,conserved hypothetical protein,False,1,0,,,PMT0039,locus_tag:old_locus_tag
PMT0040,P9313_00401,,possible methyl-accepting chemotaxis protein [Bacillus ...,True,0,1,4.194269979,37.0,PMT0040,locus_tag:old_locus_tag
PMT0041,P9313_00411,,conserved hypothetical protein,True,1,1,4.006493,10.0,PMT0041,locus_tag:old_locus_tag
PMT0042,P9313_00421,,conserved hypothetical protein,True,0,0,5.117136098,21.0,PMT0042,locus_tag:old_locus_tag
PMT0043,P9313_00431,DHSS,soluble hydrogenase small subunit,False,2,4,,,PMT0043,locus_tag:old_locus_tag
PMT0044,P9313_00441,cbiD,CbiD protein,False,0,5,,,PMT0044,locus_tag:old_locus_tag
PMT0045,P9313_00451,guaA,Glutamine amidotransferase class-I:GMP synthase,True,2,1,3.956885013,36.0,PMT0045,locus_tag:old_locus_tag
PMT0046,P9313_00461,,conserved hypothetical protein,True,0,1,4.352459465,15.0,PMT0046,locus_tag:old_locus_tag
PMT0048,P9313_00481,,Putative penicillin-binding protein,False,11,2,,,PMT0048,locus_tag:old_locus_tag
PMT0049,P9313_00491,sqdX,SqdX,False,2,0,,,PMT0049,locus_tag:old_locus_tag
