old_locus_tag,locus_tag_new,gene,product,has_primary_tss,antisense_tss_count,internal_tss_count,minus10_element_score,tss_distance_to_cds,resolved_locus_tag,resolution_method
,IG1413f5-6,,,True,0,0,4.720043179,84.0,,empty
,IG1428f2,,,False,1,0,,,,empty
,IG1429f21-24,,,True,0,0,3.894558973,59.0,,empty
,IG1429f3-4,,,False,1,0,,,,empty
,IG1429r11-17,IG1429r11-17,,False,0,1,,,,empty
,IG1429r4-6,,,False,1,0,,,,empty
IG1442f4,PMED4_16202,,,True,0,0,2.981007048,14.0,PMM2075,tier1:locus_tag_new
,IG1443f7-9,,,True,0,1,3.530951357,67.0,,empty
,IG1451f8-15,,,False,1,0,,,,empty
IG1451f8-16,PMED4_16313,,,True,0,0,4.505569212,149.0,,unresolved
,IG1451r5-8,,,False,1,0,,,,empty
,PMED4_01602,PMED4_01602,,True,0,1,3.337999729,22.0,,empty
,PMED4_08162,PMED4_08162,,True,0,0,4.720043179,28.0,,empty
,PMED4_11271,,,True,0,0,4.720043179,201.0,,empty
,PMED4_12632,,,True,0,0,4.720043179,98.0,,empty
,PMED4_15512,,,True,0,0,4.720043179,71.0,,empty
,PMED4_15721,,,True,0,0,3.270970978,232.0,,empty
,PMED4_15902,,,True,0,0,4.720043179,66.0,,empty
,PMED4_16131,,,True,0,0,4.720043179,110.0,,empty
PMM0001,PMED4_00001,dnaN,"DNA polymerase III, beta chain",True,2,0,4.015984759,16.0,PMM0001,locus_tag:old_locus_tag
PMM0003,PMED4_00021,purL,phosphoribosylformylglycinamidine synthetase II,False,0,1,,,PMM0003,locus_tag:old_locus_tag
PMM0004,PMED4_00031,purF,Glutamine amidotransferase class-II:Phosphoribosyl transferase,False,1,1,,,PMM0004,locus_tag:old_locus_tag
PMM0005,PMED4_00041,,"DNA gyrase/topoisomerase IV, subunit A",True,3,3,3.041366904,34.0,PMM0005,locus_tag:old_locus_tag
PMM0006,PMED4_00051,,"Flp pilus assembly protein TadD, contains TPR repeats",False,1,0,,,PMM0006,locus_tag:old_locus_tag
PMM0007,PMED4_00061,,Uncharacterized Fe-S protein,True,1,0,2.875441293,0.0,PMM0007,locus_tag:old_locus_tag
PMM0008,PMED4_00071,,Uncharacterized conserved protein,True,0,0,3.270970978,28.0,PMM0008,locus_tag:old_locus_tag
PMM0009,PMED4_00081,nusB,Antitermination protein NusB,False,1,0,,,PMM0009,locus_tag:old_locus_tag
PMM0010,PMED4_00091,ftsY,signal recognition particle docking protein FtsY,True,0,1,4.78707193,21.0,PMM0010,locus_tag:old_locus_tag
PMM0011,PMED4_00101,rsbU,Protein phosphatase 2C domain,False,6,1,,,PMM0011,locus_tag:old_locus_tag
PMM0012,PMED4_00111,argH,Fumarate lyase:Delta crystallin,False,3,0,,,PMM0012,locus_tag:old_locus_tag
PMM0013,PMED4_00121,,RNA-binding region RNP-1 (RNA recognition motif),True,1,1,4.869176828,3.0,PMM0013,locus_tag:old_locus_tag
PMM0014,PMED4_00131,,tRNA-dihydrouridine synthase,True,2,1,4.720043179,52.0,PMM0014,locus_tag:old_locus_tag
PMM0015,PMED4_00141,,Domain of unknown function DUF25,True,1,0,3.92962596,42.0,PMM0015,locus_tag:old_locus_tag
PMM0016,PMED4_00151,grpE,Heat shock protein GrpE,True,0,0,2.350663868,17.0,PMM0016,locus_tag:old_locus_tag
PMM0018,PMED4_00171,,conserved hypothetical protein,True,0,0,3.961587724,50.0,PMM0018,locus_tag:old_locus_tag
PMM0019,PMED4_00181,,Predicted GTPases,False,1,1,,,PMM0019,locus_tag:old_locus_tag
PMM0020,PMED4_00191,,Uncharacterized protein conserved in bacteria,True,0,0,2.854078467,20.0,PMM0020,locus_tag:old_locus_tag
PMM0021,PMED4_00201,murB,UDP-N-acetylenolpyruvoylglucosamine reductase,False,2,2,,,PMM0021,locus_tag:old_locus_tag
PMM0022,PMED4_00211,murC,Probable UDP-N-acetylmuramate-alanine ligase,False,2,3,,,PMM0022,locus_tag:old_locus_tag
PMM0023,PMED4_00221,gap2,Glyceraldehyde 3-phosphate dehydrogenase(NADP+)(phosphorylating),True,0,1,4.423464314,29.0,PMM0023,locus_tag:old_locus_tag
PMM0024,PMED4_00231,thiL,putative thiamine-monophosphate kinase,False,0,1,,,PMM0024,locus_tag:old_locus_tag
PMM0025,PMED4_00241,,Cyclophilin-type peptidyl-prolyl cis-trans isomerase,False,1,3,,,PMM0025,locus_tag:old_locus_tag
PMM0026,PMED4_00251,efp,Elongation factor P (EF-P),True,1,1,4.720043179,87.0,PMM0026,locus_tag:old_locus_tag
PMM0027,PMED4_00261,accB,Biotin / Lipoyl attachment:Acetyl-CoA biotin carboxyl carrier subunit,False,1,0,,,PMM0027,locus_tag:old_locus_tag
PMM0028,PMED4_00271,pdxA,putative pyridoxal phosphate biosynthetic protein PdxA,True,1,0,4.720043179,0.0,PMM0028,locus_tag:old_locus_tag
PMM0029,PMED4_00281,,Nucleoside-diphosphate-sugar epimerases,True,0,0,3.337999729,64.0,PMM0029,locus_tag:old_locus_tag
PMM0030,PMED4_00291,,possible Transcription factor TFIID (or TATA-b,False,1,0,,,PMM0030,locus_tag:old_locus_tag
PMM0031,PMED4_00301,,HNH endonuclease:HNH nuclease,True,0,2,4.78707193,102.0,PMM0031,locus_tag:old_locus_tag
PMM0032,PMED4_00311,,type II secretion system protein-like,False,3,1,,,PMM0032,locus_tag:old_locus_tag
PMM0033,PMED4_00321,,conserved hypothetical protein,False,2,1,,,PMM0033,locus_tag:old_locus_tag
PMM0034,PMED4_00331,,conserved hypothetical protein,True,0,0,2.875441293,15.0,PMM0034,locus_tag:old_locus_tag
PMM0035,PMED4_00341,DHSS,soluble hydrogenase small subunit,True,0,0,3.041366904,17.0,PMM0035,locus_tag:old_locus_tag
PMM0036,PMED4_00351,cbiD,CbiD protein,False,2,3,,,PMM0036,locus_tag:old_locus_tag
PMM0037,PMED4_00361,guaA,Glutamine amidotransferase class-I:GMP synthase,True,1,1,2.16346172,0.0,PMM0037,locus_tag:old_locus_tag
PMM0038,PMED4_00371,,hypothetical,False,3,1,,,PMM0038,locus_tag:old_locus_tag
PMM0039,PMED4_00381,,conserved hypothetical protein,True,0,0,3.041366904,19.0,PMM0039,locus_tag:old_locus_tag
PMM0040,PMED4_00401,,Putative penicillin-binding protein,False,1,0,,,PMM0040,locus_tag:old_locus_tag
PMM0041,PMED4_00411,,possible reductase,False,0,1,,,PMM0041,locus_tag:old_locus_tag
PMM0042,PMED4_00421,,flavoprotein,False,1,0,,,PMM0042,locus_tag:old_locus_tag
PMM0043,PMED4_00431,,flavoprotein,True,4,1,3.862597209,16.0,PMM0043,locus_tag:old_locus_tag
PMM0044,PMED4_00441,alaS,Alanyl-tRNA synthetase,False,4,2,,,PMM0044,locus_tag:old_locus_tag
PMM0045,PMED4_00451,speA,Orn/DAP/Arg decarboxylases family 2,True,3,0,4.720043179,49.0,PMM0045,locus_tag:old_locus_tag
PMM0046,PMED4_00461,ndk,Nucleoside diphosphate kinase,True,1,0,2.060786228,16.0,PMM0046,locus_tag:old_locus_tag
PMM0048,PMED4_00481,gatB,Glutamyl-tRNA (Gln) amidotransferase subunit B,True,1,1,4.78707193,14.0,PMM0048,locus_tag:old_locus_tag
PMM0050,PMED4_00501,argJ,ArgJ family,True,3,1,3.933879861,45.0,PMM0050,locus_tag:old_locus_tag
PMM0051,PMED4_00511,,ATPases involved in chromosome partitioning,False,2,0,,,PMM0051,locus_tag:old_locus_tag
PMM0052,PMED4_00521,tas,Aldo/keto reductase family,False,1,0,,,PMM0052,locus_tag:old_locus_tag
PMM0053,PMED4_00541,,Putative RNA methylase family UPF0020,False,0,1,,,PMM0053,locus_tag:old_locus_tag
PMM0054,PMED4_00551,,conserved hypothetical protein,False,1,0,,,PMM0054,locus_tag:old_locus_tag
PMM0055,PMED4_00561,,conserved hypothetical protein,True,0,0,2.583618231,16.0,PMM0055,locus_tag:old_locus_tag
PMM0056,PMED4_00581,,conserved hypothetical protein,False,0,1,,,PMM0056,locus_tag:old_locus_tag
PMM0057,PMED4_00591,smc,"putative chromosome segregation protein, SMC ATPase superfamily",True,3,3,3.108395655,17.0,PMM0057,locus_tag:old_locus_tag
PMM0058,PMED4_00601,,Uncharacterized conserved protein,True,0,0,2.957546191,16.0,PMM0058,locus_tag:old_locus_tag
PMM0059,PMED4_00611,,cyanobacteria-specific protein related to lipid A disaccharide synthetase,False,2,0,,,PMM0059,locus_tag:old_locus_tag
PMM0060,PMED4_00621,accC,"acetyl-CoA carboxylase, biotin carboxylase subunit",True,3,1,3.076433891,90.0,PMM0060,locus_tag:old_locus_tag
PMM0061,PMED4_00631,,"YGGT family, conserved hypothetical integral membrane protein",True,1,0,4.78707193,17.0,PMM0061,locus_tag:old_locus_tag
PMM0062,PMED4_00641,psbX,photosystem II PsbX protein,True,0,0,4.505569212,81.0,PMM0062,locus_tag:old_locus_tag
PMM0063,PMED4_00651,,conserved hypothetical protein,True,0,0,3.894558973,46.0,PMM0063,locus_tag:old_locus_tag
PMM0065,PMED4_00671,,"ABC transporter, ATP binding protein",True,1,2,4.720043179,98.0,PMM0065,locus_tag:old_locus_tag
PMM0066,PMED4_00681,,conserved hypothetical protein,False,1,0,,,PMM0066,locus_tag:old_locus_tag
PMM0067,PMED4_00691,hit,HIT (Histidine triad) family protein,False,1,0,,,PMM0067,locus_tag:old_locus_tag
PMM0068,PMED4_00701,def,putative formylmethionine deformylase,True,0,0,3.86685111,33.0,PMM0068,locus_tag:old_locus_tag
PMM0069,PMED4_00711,dap2,Esterase/lipase/thioesterase family active site,False,1,1,,,PMM0069,locus_tag:old_locus_tag
PMM0070,PMED4_00721,,putative cysteine desulfurase or selenocysteine lyase,False,2,0,,,PMM0070,locus_tag:old_locus_tag
PMM0071,PMED4_00731,,"ABC transporter, membrane component",False,1,1,,,PMM0071,locus_tag:old_locus_tag
PMM0072,PMED4_00741,sufC,"ABC transporter, ATP binding component",False,2,0,,,PMM0072,locus_tag:old_locus_tag
PMM0073,PMED4_00751,,"ABC transporter, membrane component",False,2,0,,,PMM0073,locus_tag:old_locus_tag
PMM0074,PMED4_00761,,conserved hypothetical,False,1,0,,,PMM0074,locus_tag:old_locus_tag
PMM0075,PMED4_00771,,Uncharacterized protein conserved in bacteria,True,2,0,2.049957087,23.0,PMM0075,locus_tag:old_locus_tag
PMM0076,PMED4_00791,pgm,Phosphoglucomutase,True,0,1,3.420104627,15.0,PMM0076,locus_tag:old_locus_tag
PMM0078,PMED4_00811,,possible 4'-phosphopantetheinyl transferase family protein,True,2,0,3.933879861,86.0,PMM0078,locus_tag:old_locus_tag
PMM0079,PMED4_00821,bcp,putative bacterioferritin comigratory (BCP) protein,True,0,0,2.48480766,20.0,PMM0079,locus_tag:old_locus_tag
PMM0080,PMED4_00831,,Predicted transcriptional regulator,False,2,0,,,PMM0080,locus_tag:old_locus_tag
PMM0081,PMED4_00841,cysH,Phosphoadenosine phosphosulfate reductase,True,1,0,3.933879861,57.0,PMM0081,locus_tag:old_locus_tag
PMM0082,PMED4_00851,,"putative NADH dehydrogenase, transport associated",False,1,0,,,PMM0082,locus_tag:old_locus_tag
PMM0083,PMED4_00861,citT,"putative sodium/sulfate transporter, DASS family",True,4,3,3.337999729,13.0,PMM0083,locus_tag:old_locus_tag
PMM0084,PMED4_00871,trkG,"possible sodium transporter, Trk family",False,0,1,,,PMM0084,locus_tag:old_locus_tag
PMM0085,PMED4_00881,,"putative potassium channel, VIC family",True,1,0,4.869176828,61.0,PMM0085,locus_tag:old_locus_tag
PMM0086,PMED4_00891,,Conserved hypothetical protein,True,0,0,3.961587724,21.0,PMM0086,locus_tag:old_locus_tag
PMM0087,PMED4_00901,,conserved hypothetical protein,True,0,0,3.337999729,41.0,PMM0087,locus_tag:old_locus_tag
PMM0088,PMED4_00911,,conserved hypothetical protein,True,0,0,3.190500553,18.0,PMM0088,locus_tag:old_locus_tag
PMM0089,PMED4_00931,,"ABC transporter, ATP binding component",True,3,1,3.108395655,70.0,PMM0089,locus_tag:old_locus_tag
PMM0090,PMED4_00951,,possible serine protease,False,2,0,,,PMM0090,locus_tag:old_locus_tag
PMM0091,PMED4_00961,,conserved hypothetical protein,True,0,0,3.933879861,25.0,PMM0091,locus_tag:old_locus_tag
PMM0092,PMED4_00971,,conserved hypothetical protein,False,1,0,,,PMM0092,locus_tag:old_locus_tag
PMM0093,PMED4_00981,hli1,possible high light inducible protein,True,0,0,4.720043179,20.0,PMM0093,locus_tag:old_locus_tag
PMM0094,PMED4_00991,,conserved hypothetical protein,False,1,0,,,PMM0094,locus_tag:old_locus_tag
PMM0095,PMED4_01001,rbn,similar to serum resistance locus BrkB,False,2,2,,,PMM0095,locus_tag:old_locus_tag
PMM0096,PMED4_01011,,inositol monophosphate family protein,False,1,0,,,PMM0096,locus_tag:old_locus_tag
PMM0097,PMED4_01021,,possible RND family outer membrane efflux protein,True,8,1,3.933879861,37.0,PMM0097,locus_tag:old_locus_tag
PMM0098,PMED4_01031,,possible Fe-S oxidoreductase,True,1,0,4.262294506,25.0,PMM0098,locus_tag:old_locus_tag
PMM0099,PMED4_01041,,conserved hypothetical protein,False,1,0,,,PMM0099,locus_tag:old_locus_tag
PMM0100,PMED4_01051,nadB,L-aspartate oxidase,False,1,2,,,PMM0100,locus_tag:old_locus_tag
PMM0101,PMED4_01061,,Predicted membrane protein,True,0,1,3.86685111,31.0,PMM0101,locus_tag:old_locus_tag
PMM0102,PMED4_01071,,possible Fe-S oxidoreductase,True,1,0,4.78707193,57.0,PMM0102,locus_tag:old_locus_tag
PMM0103,PMED4_01091,,conserved hypothetical protein,True,0,0,3.86685111,23.0,PMM0103,locus_tag:old_locus_tag
PMM0104,PMED4_01101,,Uncharacterized protein conserved in bacteria,False,1,0,,,PMM0104,locus_tag:old_locus_tag
PMM0105,PMED4_01111,,RibD/ribG C-terminal domain,False,1,0,,,PMM0105,locus_tag:old_locus_tag
PMM0106,PMED4_01121,,6-pyruvoyl tetrahydropterin synthase,True,3,0,4.356435563,13.0,PMM0106,locus_tag:old_locus_tag
PMM0108,PMED4_01141,,conserved hypothetical protein,True,1,0,2.813222305,76.0,PMM0108,locus_tag:old_locus_tag
PMM0110,PMED4_01161,,putative glutathione S-transferase,True,0,1,2.907363362,14.0,PMM0110,locus_tag:old_locus_tag
PMM0111,PMED4_01171,,conserved hypothetical protein,True,0,0,4.78707193,47.0,PMM0111,locus_tag:old_locus_tag
PMM0112,PMED4_01181,rbfA,Ribosome-binding factor A,False,1,0,,,PMM0112,locus_tag:old_locus_tag
PMM0114,PMED4_01201,,Predicted integral membrane protein,False,0,1,,,PMM0114,locus_tag:old_locus_tag
PMM0115,PMED4_01211,crtQ,zeta-carotene desaturase,False,1,1,,,PMM0115,locus_tag:old_locus_tag
PMM0116,PMED4_01221,,Uncharacterized conserved protein,True,0,0,3.92962596,18.0,PMM0116,locus_tag:old_locus_tag
PMM0118,PMED4_01241,,Uncharacterized protein conserved in bacteria,False,1,2,,,PMM0118,locus_tag:old_locus_tag
PMM0119,PMED4_01251,,conserved hypothetical protein,False,1,0,,,PMM0119,locus_tag:old_locus_tag
PMM0120,PMED4_01261,,putative cell division inhibitor,True,1,1,3.190500553,17.0,PMM0120,locus_tag:old_locus_tag
PMM0121,PMED4_01271,,conserved hypothetical protein,False,0,1,,,PMM0121,locus_tag:old_locus_tag
PMM0122,PMED4_01281,,,False,2,0,,,PMM0122,locus_tag:old_locus_tag
PMM0123,PMED4_01291,cysK2,O-acetylserine (thiol)-lyase A,True,1,0,4.720043179,64.0,PMM0123,locus_tag:old_locus_tag
PMM0124,PMED4_01301,,conserved hypothetical protein in cyanobacteria,True,1,0,3.92962596,25.0,PMM0124,locus_tag:old_locus_tag
PMM0125,PMED4_01311,,"possible ABC transporter, ATP-binding component",False,1,0,,,PMM0125,locus_tag:old_locus_tag
PMM0126,PMED4_01321,,possible Herpesvirus UL6 like,False,1,0,,,PMM0126,locus_tag:old_locus_tag
PMM0127,PMED4_01331,,possible Signal peptide binding domain,True,1,0,4.869176828,72.0,PMM0127,locus_tag:old_locus_tag
PMM0128,PMED4_01341,rpaA,two-component response regulator,True,1,0,3.270970978,36.0,PMM0128,locus_tag:old_locus_tag
PMM0129,PMED4_01351,holB,"DNA polymerase III, delta prime subunit",False,2,0,,,PMM0129,locus_tag:old_locus_tag
PMM0130,PMED4_01361,tmk,Thymidylate kinase,False,1,0,,,PMM0130,locus_tag:old_locus_tag
PMM0131,PMED4_01371,zntA,putative P-type ATPase transporter for copper,True,2,0,3.92962596,35.0,PMM0131,locus_tag:old_locus_tag
PMM0132,PMED4_01381,,cyanobacterial conserved hypothetical,True,0,1,3.409102437,64.0,PMM0132,locus_tag:old_locus_tag
PMM0133,PMED4_01391,sms,putative DNA repair protein RadA,False,5,1,,,PMM0133,locus_tag:old_locus_tag
PMM0134,PMED4_01401,rpaB,two-component response regulator,False,1,0,,,PMM0134,locus_tag:old_locus_tag
PMM0135,PMED4_01411,plsX,fatty acid/phospholipid synthesis protein PlsX,False,1,0,,,PMM0135,locus_tag:old_locus_tag
PMM0136,PMED4_01421,fabH,3-oxoacyl-[acyl-carrier-protein] synthase III,False,0,2,,,PMM0136,locus_tag:old_locus_tag
PMM0137,PMED4_01431,fabD,Malonyl coenzyme A-acyl carrier protein transacylase,False,2,0,,,PMM0137,locus_tag:old_locus_tag
PMM0138,PMED4_01441,plsC,putative 1-acyl-sn-glycerol-3-phosphate acyltransferase,False,1,1,,,PMM0138,locus_tag:old_locus_tag
PMM0139,PMED4_01451,,"Inactive homolog of metal-dependent proteases, putative molecular chaperone",False,2,0,,,PMM0139,locus_tag:old_locus_tag
PMM0140,PMED4_01461,ycf34,putative Ycf34,True,0,0,3.158538789,37.0,PMM0140,locus_tag:old_locus_tag
PMM0141,PMED4_01471,,Poly A polymerase family,True,3,1,4.720043179,78.0,PMM0141,locus_tag:old_locus_tag
PMM0142,PMED4_01481,,RNA-binding region RNP-1 (RNA recognition motif),False,2,0,,,PMM0142,locus_tag:old_locus_tag
PMM0143,PMED4_01491,"crtB,pys",Squalene and phytoene synthases,False,3,0,,,PMM0143,locus_tag:old_locus_tag
PMM0144,PMED4_01501,pds,phytoene desaturase,True,1,0,2.312595369,39.0,PMM0144,locus_tag:old_locus_tag
PMM0145,PMED4_01511,,NADH dehydrogenase I subunit M,True,1,0,2.854078467,40.0,PMM0145,locus_tag:old_locus_tag
PMM0146,PMED4_01521,,conserved hypothetical protein,False,1,0,,,PMM0146,locus_tag:old_locus_tag
PMM0147,PMED4_01531,rbcR,putative Rubisco transcriptional regulator,True,0,0,4.869176828,21.0,PMM0147,locus_tag:old_locus_tag
PMM0149,PMED4_01551,ndhF,putative NADH Dehydrogenase (complex I) subunit (chain 5),True,1,0,4.015984759,16.0,PMM0149,locus_tag:old_locus_tag
PMM0150,PMED4_01561,ndhD,putative NADH dehydrogenase subunit (chain 4),True,3,0,4.869176828,20.0,PMM0150,locus_tag:old_locus_tag
PMM0151,PMED4_01571,,Uncharacterized conserved protein,True,1,0,2.230490471,170.0,PMM0151,locus_tag:old_locus_tag
PMM0152,PMED4_01581,,Putative sugar-phosphate nucleotidyl transferase,False,1,0,,,PMM0152,locus_tag:old_locus_tag
PMM0153,PMED4_01591,metF,Methylenetetrahydrofolate reductase,True,2,0,3.337999729,48.0,PMM0153,locus_tag:old_locus_tag
PMM0154,PMED4_01601,csgD,"Bacterial regulatory protein, LuxR family",True,0,0,3.894558973,22.0,PMM0154,locus_tag:old_locus_tag
PMM0155,PMED4_01611,,Uncharacterized protein conserved in bacteria,False,1,1,,,PMM0155,locus_tag:old_locus_tag
PMM0156,PMED4_01621,,predicted inorganic polyphosphate / ATP-NAD+ kinase,True,0,3,3.862597209,24.0,PMM0156,locus_tag:old_locus_tag
PMM0157,PMED4_01631,ndhE,putative NADH Dehydrogenase subunit,False,1,1,,,PMM0157,locus_tag:old_locus_tag
PMM0159,PMED4_01651,ndhI,putative NADH Dehydrogenase subunit,True,0,0,4.869176828,19.0,PMM0159,locus_tag:old_locus_tag
PMM0160,PMED4_01661,ndhA,putative respiratory-chain NADH dehydrogenase subunit,True,1,0,3.041366904,16.0,PMM0160,locus_tag:old_locus_tag
PMM0161,PMED4_01671,gltA,Citrate synthase,True,3,0,2.230490471,27.0,PMM0161,locus_tag:old_locus_tag
PMM0162,PMED4_01681,,Conserved hypothetical protein,False,7,6,,,PMM0162,locus_tag:old_locus_tag
PMM0163,PMED4_01691,pspE,Rhodanese-like,True,1,2,4.720043179,87.0,PMM0163,locus_tag:old_locus_tag
PMM0164,PMED4_01701,trpB,Tryptophan synthase subunit beta,True,1,0,3.92962596,19.0,PMM0164,locus_tag:old_locus_tag
PMM0165,PMED4_01711,sui1,Translation initiation factor SUI1,True,0,0,3.92962596,30.0,PMM0165,locus_tag:old_locus_tag
PMM0166,PMED4_01721,cysC,Adenylylsulfate kinase,True,0,0,4.720043179,22.0,PMM0166,locus_tag:old_locus_tag
PMM0167,PMED4_01731,purE,Phosphoribosylaminoimidazole carboxylase,True,1,0,2.022249224,62.0,PMM0167,locus_tag:old_locus_tag
PMM0168,PMED4_01741,chlM,Mg-protoporphyrin IX methyltransferase,True,0,0,4.78707193,56.0,PMM0168,locus_tag:old_locus_tag
PMM0170,PMED4_01761,,NifS-like aminotransferase class-V,False,0,1,,,PMM0170,locus_tag:old_locus_tag
PMM0171,PMED4_01771,,Predicted S-adenosylmethionine-dependent methyltransferase,False,0,1,,,PMM0171,locus_tag:old_locus_tag
PMM0172,PMED4_01781,ndhH,putative NADH dehydrogenase subunit,True,2,0,4.356435563,16.0,PMM0172,locus_tag:old_locus_tag
PMM0174,PMED4_01801,menE,probable O-succinylbenzoic acid--CoA ligase (OSB-CoA synthetase),False,2,0,,,PMM0174,locus_tag:old_locus_tag
PMM0175,PMED4_01811,menC,putative O-succinylbenzoate synthase,False,0,1,,,PMM0175,locus_tag:old_locus_tag
PMM0177,PMED4_01831,menF,Isochorismate synthase,True,2,1,4.78707193,67.0,PMM0177,locus_tag:old_locus_tag
