old_locus_tag,locus_tag_new,gene,product,has_primary_tss,antisense_tss_count,internal_tss_count,minus10_element_score,tss_distance_to_cds
,P9313_06021,,,true,0,0,4.523794314,6.0
new ORF determined by 454,P9313_06331,,,true,0,0,2.259634936,30.0
new ORF determined by 454,P9313_06332,,,false,0,1,,
,P9313_06421,,Conserved hypothetical protein,true,1,0,5.117136098,31.0
,P9313_06451,,Conserved hypothetical protein,true,0,0,2.186354401,21.0
,P9313_06501,,Conserved hypothetical protein,false,1,0,,
,P9313_06511,,,false,1,0,,
,P9313_06621,,,false,1,0,,
,P9313_06761,,Conserved hypothetical protein,false,1,0,,
,P9313_06881,,Conserved hypothetical protein,false,2,0,,
,P9313_06931,,Conserved hypothetical protein,true,0,0,3.139202291,62.0
,P9313_07361,,Conserved hypothetical protein,false,1,0,,
,P9313_07421,,,false,1,0,,
,P9313_07481,,,false,1,0,,
,P9313_07651,,Conserved hypothetical protein,false,1,0,,
,P9313_07781,,,false,1,0,,
,P9313_07861,,putative transcripton factor,true,1,2,4.685918812,98.0
,P9313_07981,,Conserved hypothetical protein,true,0,0,4.721561646,5.0
,P9313_08371,,,false,1,0,,
,P9313_08431,,Conserved hypothetical protein,false,1,0,,
,P9313_09081,,Conserved hypothetical protein,true,0,1,4.523794314,17.0
,P9313_09191,,,false,1,0,,
,P9313_09321,,,false,1,0,,
,P9313_09591,,,false,0,1,,
,P9313_09651,,,true,0,0,3.068041475,70.0
new ORF deterimened by 454,P9313_09662,,,false,1,0,,
,P9313_09691,,,false,1,0,,
,P9313_09741,,,true,0,1,4.887785797,93.0
,P9313_09761,,,false,1,0,,
,P9313_09801,,,false,0,1,,
,P9313_09901,,,false,2,1,,
,P9313_09921,,,true,0,0,2.41452602,82.0
,P9313_09941,,Conserved hypothetical protein,true,0,0,5.450595445,72.0
,P9313_09961,,Conserved hypothetical protein,false,1,1,,
new ORF determined by 454,P9313_09972,,,false,0,1,,
new ORF determined by 454,P9313_09973,,,true,1,0,5.923407699,3.0
,P9313_09991,,Conserved hypothetical protein,false,1,0,,
,P9313_10041,,,true,1,0,5.221245144,25.0
,P9313_10091,,,true,0,1,3.442597183,
,P9313_10131,,,false,1,0,,
,P9313_10261,,Conserved hypothetical protein,false,1,0,,
,P9313_10281,,Conserved hypothetical protein,true,0,0,3.661947302,82.0
,P9313_10371,,,true,0,0,4.887785797,158.0
,P9313_10491,,,false,1,0,,
,P9313_10521,,,true,0,0,4.665986236,58.0
,P9313_10531,,,false,1,0,,
,P9313_10571,,,true,0,0,4.984956175,0.0
new ORF determined by 454,P9313_10652,new ORF determined by 454,,true,3,0,5.450595445,68.0
,P9313_10691,,Conserved hypothetical protein,true,0,0,3.801699182,88.0
,P9313_10761,,,true,0,0,3.759117681,5.0
,P9313_10771,,,true,0,0,2.35836889,30.0
,P9313_10781,,,false,1,0,,
,P9313_10791,,,false,1,0,,
,P9313_10801,,,false,2,0,,
,P9313_10851,,Conserved hypothetical protein,false,1,0,,
,P9313_10861,,Conserved hypothetical protein,true,0,1,3.442597183,65.0
,P9313_10891,,Conserved hypothetical protein,false,1,0,,
,P9313_10911,,Conserved hypothetical protein,true,0,0,3.922994026,20.0
,P9313_10921,,,false,1,0,,
,P9313_11011,,Conserved hypothetical protein,false,1,0,,
,P9313_11021,,Conserved hypothetical protein,false,1,0,,
,P9313_11041,,Conserved hypothetical protein,false,2,0,,
,P9313_11051,,Conserved hypothetical protein,true,0,0,4.958946612,64.0
,P9313_11101,,,false,1,0,,
,P9313_11131,,,true,1,0,3.442597183,37.0
,P9313_11221,,,false,1,0,,
,P9313_11241,,,true,1,0,3.442597183,37.0
,P9313_11271,,,false,1,0,,
,P9313_11281,,,false,1,0,,
,P9313_11341,,Conserved hypothetical protein,true,0,0,5.826237321,53.0
,P9313_11361,,Conserved hypothetical protein,false,1,0,,
new ORF determined by 454,P9313_11402,,,true,0,0,5.826237321,38.0
,P9313_11441,,Conserved hypothetical protein,true,0,0,5.59688702,17.0
,P9313_11451,,,false,0,1,,
,P9313_11461,,,true,0,1,4.685918812,35.0
,P9313_11511,,,false,1,0,,
,P9313_11531,,,true,1,0,4.7355268,80.0
,P9313_11541,,Conserved hypothetical protein,true,1,1,3.637390819,94.0
,P9313_11571,,Conserved hypothetical protein,true,0,0,2.033108675,16.0
,P9313_11621,,,false,1,0,,
,P9313_11701,,,true,0,0,4.031049483,77.0
,P9313_11741,,,true,1,0,4.426623935,25.0
,P9313_11781,,,true,0,0,4.426623935,25.0
,P9313_11811,,,true,0,0,3.241816367,74.0
,P9313_11831,,,true,0,0,4.426623935,25.0
,P9313_11871,,,false,1,0,,
,P9313_11901,,,false,0,1,,
,P9313_11961,,Conserved hypothetical protein,true,0,0,3.922994026,69.0
,P9313_12001,,Conserved hypothetical protein,false,1,0,,
new ORF determined by 454,P9313_12042,,,false,1,0,,
,P9313_12111,,,false,1,0,,
,P9313_12151,,,true,0,0,2.41452602,21.0
,P9313_12161,,,false,1,0,,
,P9313_12211,,,false,1,0,,
,P9313_12231,,,false,2,0,,
,P9313_12251,,,false,1,0,,
,P9313_12271,,Conserved hypothetical protein,true,0,0,2.259634936,111.0
,P9313_12291,,Conserved hypothetical protein,false,0,1,,
,P9313_12381,,,false,1,0,,
,P9313_12511,,Conserved hypothetical protein,false,1,0,,
,P9313_12581,,Conserved hypothetical protein,false,1,0,,
,P9313_12611,,Conserved hypothetical protein,false,1,1,,
,P9313_12621,,Conserved hypothetical protein,false,0,1,,
,P9313_12711,,Conserved hypothetical protein,true,0,0,4.72959631,64.0
,P9313_12751,,Conserved hypothetical protein,false,2,0,,
,P9313_12771,,,false,0,1,,
,P9313_12801,,,false,1,0,,
,P9313_12811,,Conserved hypothetical protein,false,1,0,,
,P9313_12821,,Conserved hypothetical protein,false,0,1,,
,P9313_12841,,,false,0,3,,
,P9313_12871,,Conserved hypothetical protein,true,0,0,4.026425577,20.0
,P9313_12881,,Conserved hypothetical protein,false,0,1,,
,P9313_12901,,Conserved hypothetical protein,false,3,0,,
,P9313_12911,,,false,1,0,,
,P9313_12931,,Conserved hypothetical protein,false,1,1,,
,P9313_12941,,,true,0,0,4.72959631,47.0
,P9313_12961,,Conserved hypothetical protein,true,0,1,4.527729326,6.0
,P9313_12991,,Conserved hypothetical protein,false,1,0,,
,P9313_13021,,,true,0,0,4.172717151,34.0
,P9313_13031,,,false,1,0,,
new ORF determined by 454,P9313_13032,,,false,1,1,,
new ORF determined by 454,P9313_13033,,,false,2,1,,
,P9313_13041,,Conserved hypothetical protein,false,1,0,,
,P9313_13061,,Conserved hypothetical protein,true,0,1,4.194269979,100.0
,P9313_13071,,,false,1,0,,
,P9313_13101,,,false,1,1,,
,P9313_13151,,Conserved hypothetical protein,true,0,0,2.259634936,17.0
,P9313_13161,,Conserved hypothetical protein,true,1,0,4.826766689,91.0
,P9313_13171,,Conserved hypothetical protein,true,0,0,4.760083283,126.0
,P9313_13181,,Conserved hypothetical protein,true,1,1,6.159696669,15.0
,P9313_13201,,Conserved hypothetical protein,false,1,0,,
,P9313_13231,,,false,1,0,,
,P9313_13261,,Conserved hypothetical protein,true,0,0,5.430662869,18.0
new ORF determined by 454,P9313_13262,,,true,0,0,4.031049483,85.0
new ORF determined by 454,P9313_13312,,,true,0,0,4.449629843,24.0
,P9313_13331,,,false,1,0,,
,P9313_13371,,,false,1,1,,
,P9313_13381,,,false,2,1,,
,P9313_13391,,,false,1,0,,
new ORF determined by 454,P9313_13402,,,true,2,1,4.72959631,45.0
,P9313_13411,,Conserved hypothetical protein,true,0,0,4.958946612,10.0
,P9313_13771,,Conserved hypothetical protein,true,0,0,2.595918324,16.0
,P9313_13881,,Conserved hypothetical protein,true,0,1,4.334021858,126.0
,P9313_13951,,,false,1,0,,
,P9313_13981,,,false,1,1,,
,P9313_14001,,Conserved hypothetical protein,false,0,1,,
,P9313_14021,,,false,1,0,,
,P9313_14181,,,false,2,0,,
,P9313_14191,,Conserved hypothetical protein,true,0,1,3.430249195,43.0
,P9313_14231,,,false,0,1,,
,P9313_14611,,Conserved hypothetical protein,true,1,0,5.292405959,54.0
,P9313_14781,,,true,1,1,3.99540665,33.0
,P9313_14801,,conserved hypothetical,true,1,0,5.826237321,47.0
,P9313_14861,,cytochrome b6-F complex subunit VII,true,0,0,2.311911944,71.0
,P9313_14921,,Conserved hypothetical protein,true,0,0,3.463615928,32.0
,P9313_14951,,Conserved hypothetical protein,false,1,0,,
,P9313_15011,,,false,1,0,,
,P9313_15121,,,false,3,1,,
,P9313_15141,,Conserved hypothetical protein,false,1,0,,
,P9313_15301,,Conserved hypothetical protein,false,1,0,,
,P9313_15421,,,false,1,0,,
,P9313_15441,,,false,1,0,,
,P9313_15501,,Conserved hypothetical protein,true,2,1,3.463615928,21.0
,P9313_15671,,Conserved hypothetical protein,true,0,0,4.492211344,25.0
,P9313_15871,,Conserved hypothetical protein,false,0,1,,
,P9313_16091,,,false,0,1,,
,P9313_16191,,Conserved hypothetical protein,false,1,0,,
,P9313_16241,,Conserved hypothetical protein,false,1,0,,
,P9313_16271,,,false,1,0,,
,P9313_16331,,Conserved hypothetical protein,false,0,2,,
,P9313_16391,,Conserved hypothetical protein,true,0,0,5.221245144,149.0
,P9313_16501,,Conserved hypothetical protein,false,1,0,,
,P9313_16611,gmk,Guanylate kinase,false,1,1,,
,P9313_16751,,,true,0,0,3.268944488,67.0
,P9313_16801,,Conserved hypothetical protein,true,0,0,4.826766689,0.0
,P9313_16881,,Conserved hypothetical protein,true,2,0,3.39067135,21.0
,P9313_17341,,Conserved hypothetical protein,false,1,0,,
,P9313_17361,,Conserved hypothetical protein,false,1,0,,
new ORF determined by 454,P9313_17382,,,true,2,0,3.179202653,31.0
,P9313_17421,,Conserved hypothetical protein,true,0,0,5.923407699,79.0
,P9313_17431,,Conserved hypothetical protein,false,1,0,,
,P9313_17501,,Conserved hypothetical protein,false,0,1,,
,P9313_17521,,Conserved hypothetical protein,true,1,1,2.216409015,47.0
,P9313_17571,,,false,1,0,,
,P9313_17581,,Conserved hypothetical protein,true,0,0,3.574777106,20.0
,P9313_17751,,Conserved hypothetical protein,false,1,0,,
,P9313_17761,,Conserved hypothetical protein,true,1,0,5.061560688,20.0
,P9313_17891,,,false,3,0,,
,P9313_18001,,,false,1,0,,
,P9313_18021,,,true,0,0,2.35836889,46.0
,P9313_18121,,,false,0,1,,
,P9313_18171,,,false,1,0,,
,P9313_18261,,Conserved hypothetical protein,false,1,1,,
,P9313_18361,,,false,1,0,,
,P9313_18371,,,true,0,0,5.930346367,38.0
,P9313_18381,,,false,1,0,,
,P9313_18391,,,false,1,0,,
,P9313_18571,,Conserved hypothetical protein,false,1,0,,
,P9313_18651,,Conserved hypothetical protein,false,1,0,,
,P9313_18841,,,false,1,0,,
,P9313_19071,,,true,0,0,5.026573705,36.0
new ORF determined by 454,P9313_19252,,,true,1,0,5.214306476,69.0
,P9313_19261,,Conserved hypothetical protein,true,0,0,2.508623068,18.0
,P9313_19501,,Conserved hypothetical protein,false,0,1,,
,P9313_19521,,Conserved hypothetical protein,true,0,1,4.7355268,27.0
,P9313_19541,,,true,0,0,5.694057398,
,P9313_19581,,,true,1,0,5.292405959,68.0
,P9313_19591,,Conserved hypothetical protein,true,0,0,4.523794314,69.0
,P9313_19621,,,true,0,0,5.930346367,12.0
,P9313_19631,,,false,0,1,,
,P9313_19641,,,false,1,0,,
,P9313_19671,,,true,1,0,4.826766689,63.0
,P9313_19681,,Conserved hypothetical protein,true,1,0,5.395020035,12.0
,P9313_19761,,,true,1,1,5.59688702,60.0
,P9313_19771,,,false,0,1,,
,P9313_19791,,,true,0,0,3.922994026,53.0
,P9313_19801,,,false,0,2,,
new ORF deterimened by 454,P9313_19822,,,true,1,0,5.292405959,13.0
new ORF determined by 454_65,P9313_19922,,,true,0,1,5.59688702,16.0
,P9313_19961,,,false,1,0,,
,P9313_19981,,Conserved hypothetical protein,true,2,0,4.665986236,40.0
,P9313_20141,,,true,0,0,2.318534324,70.0
,P9313_20191,,Conserved hypothetical protein,false,1,2,,
,P9313_20211,,,false,1,0,,
,P9313_20311,,Conserved hypothetical protein,true,1,0,4.530732981,63.0
,P9313_20331,,,false,1,0,,
,P9313_20351,,membrane protein,false,1,0,,
,P9313_20361,,,false,1,1,,
,P9313_20641,,Conserved hypothetical protein,true,1,0,3.661947302,11.0
,P9313_20661,,,false,1,0,,
,P9313_20691,,Conserved hypothetical protein,true,0,1,4.563372159,16.0
,P9313_20721,,Conserved hypothetical protein,false,1,1,,
,P9313_20751,,Conserved hypothetical protein,true,0,0,5.430662869,15.0
,P9313_20771,,Conserved hypothetical protein,false,2,0,,
,P9313_20991,,,false,1,0,,
,P9313_21051,,Conserved hypothetical protein,false,0,2,,
,P9313_21111,,Conserved hypothetical protein,false,1,1,,
,P9313_21191,,,true,0,0,4.317472482,93.0
,P9313_21201,,,false,0,1,,
,P9313_21231,,,true,0,0,3.588438682,65.0
,P9313_21241,,,true,0,2,4.665986236,97.0
,P9313_21281,,,false,1,0,,
,P9313_21301,,Conserved hypothetical protein,false,0,1,,
,P9313_21381,,Conserved hypothetical protein,false,1,0,,
,P9313_21401,,,false,1,0,,
,P9313_21431,,,false,1,0,,
,P9313_21491,,,true,1,0,5.05611699,60.0
,P9313_21531,,,false,1,0,,
,P9313_21561,,,true,0,0,5.930346367,17.0
,P9313_21601,,,false,1,0,,
,P9313_21611,,Conserved hypothetical protein,false,1,0,,
,P9313_21621,,Conserved hypothetical protein,false,1,0,,
,P9313_21671,,Conserved hypothetical protein,true,0,0,4.172717151,68.0
,P9313_21681,,,false,0,1,,
,P9313_21841,,,true,0,0,3.922994026,54.0
,P9313_22361,,Conserved hypothetical protein,false,2,0,,
,P9313_22391,,,false,1,0,,
,P9313_22451,,Conserved hypothetical protein,true,0,0,4.317472482,18.0
,P9313_22511,,Conserved hypothetical protein,false,1,1,,
,P9313_22691,,Conserved hypothetical protein,false,0,1,,
,P9313_22791,,Conserved hypothetical protein,true,1,0,4.081183513,71.0
,P9313_22911,,Conserved hypothetical protein,false,1,0,,
,P9313_22971,,Conserved hypothetical protein,false,1,0,,
,P9313_23051,,Conserved hypothetical protein,false,2,0,,
,P9313_23121,,Conserved hypothetical protein,true,1,0,5.292405959,20.0
,P9313_23481,,,true,1,1,3.777142699,81.0
,P9313_23911,,,false,1,0,,
,P9313_23921,,,true,0,0,3.984013134,31.0
,P9313_23941,,Conserved hypothetical protein,false,0,2,,
,P9313_23951,,Conserved hypothetical protein,false,1,0,,
,P9313_24001,,Conserved hypothetical protein,false,1,0,,
,P9313_24011,,Conserved hypothetical protein,true,0,0,2.272334098,39.0
,P9313_24241,,,false,1,0,,
,P9313_24311,,Conserved hypothetical protein,true,3,0,4.026425577,83.0
,P9313_24341,,Conserved hypothetical protein,true,0,0,2.130279053,87.0
,P9313_24371,,,false,2,1,,
new ORF determined by 454,P9313_24402,,,true,0,0,5.214306476,46.0
,P9313_24631,,,true,0,0,5.292405959,96.0
,P9313_24721,,Conserved hypothetical protein,true,0,0,3.025459975,47.0
,P9313_24871,,Conserved hypothetical protein,false,1,0,,
,P9313_24921,,Conserved hypothetical protein,false,0,1,,
,P9313_25081,,Conserved hypothetical protein,false,1,0,,
new ORF determined by Solexa,P9313_25252,,,true,0,0,5.923407699,19.0
,P9313_25411,,Conserved hypothetical protein,false,1,0,,
,P9313_25461,,,false,0,1,,
,P9313_25471,,,true,0,0,2.186354401,18.0
,P9313_25691,,,false,1,0,,
,P9313_25911,,,false,1,1,,
,P9313_25931,,,true,0,0,3.430249195,16.0
,P9313_25951,,,true,0,0,3.39067135,89.0
,P9313_25991,,Conserved hypothetical protein,false,1,0,,
,P9313_26011,,,false,0,2,,
,P9313_26031,,,false,1,0,,
,P9313_26041,,Conserved hypothetical protein,true,0,0,6.159696669,42.0
,P9313_26051,,,true,0,0,5.221245144,18.0
,P9313_26061,,,false,1,0,,
,P9313_26081,,Rubredoxin,true,0,0,5.05611699,21.0
,P9313_26111,,,false,1,0,,
,P9313_26121,,Conserved hypothetical protein,false,2,1,,
,P9313_26401,,,false,1,0,,
new ORF determined by 454,P9313_26462,,,true,1,0,4.887785797,27.0
,P9313_26501,,Conserved hypothetical protein,true,0,0,3.345426804,46.0
,P9313_26551,,,false,1,0,,
,P9313_26671,,,true,0,0,5.450595445,90.0
,P9313_26681,,,true,0,0,5.923407699,27.0
,P9313_26801,,,false,1,0,,
,P9313_26881,,,false,1,0,,
,P9313_26971,,,false,1,0,,
,P9313_27101,,,false,1,1,,
,P9313_27111,,Conserved hypothetical protein,false,0,1,,
,P9313_27211,,Conserved hypothetical protein,false,3,0,,
,P9313_27491,,,false,1,0,,
,P9313_27501,,,false,1,0,,
,P9313_27631,,,false,1,0,,
,P9313_27681,,Conserved hypothetical protein,false,1,0,,
,P9313_27731,,,false,1,1,,
,P9313_27761,,Conserved hypothetical protein,true,0,1,3.956885013,16.0
,P9313_28041,,,false,1,0,,
,P9313_28071,,Conserved hypothetical protein,false,1,0,,
PMT0001,P9313_00001,dnaN,"DNA polymerase III, beta chain",false,0,1,,
PMT0002,P9313_00011,,conserved hypothetical protein,false,1,0,,
PMT0003,P9313_00021,purL,phosphoribosylformylglycinamide synthetase II,false,0,5,,
PMT0004,P9313_00031,purF,Glutamine amidotransferase class-II:Phosphoribosyl transferase,true,3,4,4.402067452,33.0
PMT0005,P9313_00041,,"DNA gyrase/topoisomerase IV, subunit A",true,6,0,5.221245144,26.0
PMT0006,P9313_00051,,"Flp pilus assembly protein TadD, contains TPR repeats",true,4,0,4.492211344,15.0
PMT0007,P9313_00061,,Uncharacterized Fe-S protein,false,1,1,,
PMT0008,P9313_00071,,Conserved hypothetical protein,true,0,1,4.721561646,69.0
PMT0009,P9313_00081,,Uncharacterized conserved protein,true,0,1,4.530732981,33.0
PMT0010,P9313_00091,nusB,Antitermination protein NusB,false,0,3,,
PMT0011,P9313_00101,ftsY,signal recognition particle docking protein FtsY,false,3,1,,
PMT0012,P9313_00111,rsbU,Protein phosphatase 2C domain,true,1,5,3.661947302,16.0
PMT0013,P9313_00121,argH,Fumarate lyase:Delta crystallin,true,3,5,3.463615928,17.0
PMT0014,P9313_00131,,RNA-binding region RNP-1 (RNA recognition motif),false,0,1,,
PMT0015,P9313_00141,,tRNA-dihydrouridine synthase,true,2,0,4.402067452,33.0
PMT0016,P9313_00151,,Domain of unknown function DUF25,true,1,0,3.956885013,148.0
PMT0017,P9313_00161,,conserved hypohetical protein,true,1,0,4.760083283,62.0
PMT0018,P9313_00171,pilC,pili biogenesis protein,false,2,2,,
PMT0019,P9313_00181,pilT1,homologous to PilT1 protein,false,2,0,,
PMT0020,P9313_00191,gspE1,General secretion pathway protein E,false,6,2,,
PMT0021,P9313_00201,grpE,Heat shock protein GrpE,true,0,2,3.637390819,23.0
PMT0022,P9313_00211,dnaJ,DnaJ protein,true,4,3,5.063055658,14.0
PMT0023,P9313_00221,,conserved hypothetical protein,false,1,0,,
PMT0024,P9313_00231,,Predicted GTPases,false,1,3,,
PMT0025,P9313_00241,,Uncharacterized protein conserved in bacteria,false,1,0,,
PMT0026,P9313_00251,murB,UDP-N-acetylenolpyruvoylglucosamine reductase,false,1,1,,
PMT0027,P9313_00261,murC,Probable UDP-N-acetylmuramate-alanine ligase,true,9,4,4.826766689,
PMT0028,P9313_00271,gap2,Glyceraldehyde 3-phosphate dehydrogenase(NADP+; phosphorylating),false,4,4,,
PMT0029,P9313_00281,thiL,putative thiamine monophosphate kinase,false,2,1,,
PMT0030,P9313_00291,,Cyclophilin-type peptidyl-prolyl cis-trans isomerase,true,5,3,3.534776743,16.0
PMT0031,P9313_00301,efp,Elongation factor P (EF-P),true,0,0,5.694057398,15.0
PMT0032,P9313_00311,accB,Biotin / Lipoyl attachment:Acetyl-CoA biotin carboxyl carrier subunit,true,0,1,3.19913523,86.0
PMT0033,P9313_00321,pdxA,putative pyridoxal phosphate biosynthetic protein PdxA,true,4,0,4.291440357,
PMT0034,P9313_00341,,Nucleoside-diphosphate-sugar epimerases,true,2,0,4.031049483,68.0
PMT0035,P9313_00351,,possible Squash family serine protease inhibit,false,1,0,,
PMT0036,P9313_00361,,HNH endonuclease:HNH nuclease,false,2,1,,
PMT0037,P9313_00371,,SNF2 related domain:DEAD/DEAH box helicase:Helicase C-termina...,true,2,1,4.426623935,11.0
PMT0038,P9313_00381,,possible Penicillin amidase,false,0,1,,
PMT0039,P9313_00391,,conserved hypothetical protein,false,1,0,,
PMT0040,P9313_00401,,possible methyl-accepting chemotaxis protein [Bacillus ...,true,0,1,4.194269979,37.0
PMT0041,P9313_00411,,conserved hypothetical protein,true,1,1,4.006493,10.0
PMT0042,P9313_00421,,conserved hypothetical protein,true,0,0,5.117136098,21.0
PMT0043,P9313_00431,DHSS,soluble hydrogenase small subunit,false,2,4,,
PMT0044,P9313_00441,cbiD,CbiD protein,false,0,5,,
PMT0045,P9313_00451,guaA,Glutamine amidotransferase class-I:GMP synthase,true,2,1,3.956885013,36.0
PMT0046,P9313_00461,,conserved hypothetical protein,true,0,1,4.352459465,15.0
PMT0048,P9313_00481,,Putative penicillin-binding protein,false,11,2,,
PMT0049,P9313_00491,sqdX,SqdX,false,2,0,,
PMT0050,P9313_00501,sqdB,sulfolipid (UDP-sulfoquinovose) biosynthesis protein,true,2,0,3.99540665,35.0
PMT0051,P9313_00511,,similar to high light inducible protein,true,1,0,5.063055658,15.0
PMT0052,P9313_00521,thiG,thiamin biosynthesis protein,true,6,0,4.506176498,
PMT0053,P9313_00531,,conserved hypothetical protein,true,1,1,3.99540665,76.0
PMT0054,P9313_00541,,putative photosystem I assembly related protein Ycf37,true,3,0,3.179202653,99.0
PMT0055,P9313_00581,rpl20,50S ribosomal protein L20,false,1,0,,
PMT0056,P9313_00591,rpl35,50S ribosomal protein L35,true,1,0,4.826766689,20.0
PMT0057,P9313_00611,,possible amidase enhancer,false,1,3,,
PMT0058,P9313_00621,,"Glycosyl transferase, family 2",true,6,1,5.292405959,15.0
PMT0059,P9313_00631,dnaX,"DNA polymerase, gamma and tau subunits",true,4,0,4.352459465,14.0
PMT0060,P9313_00641,,conserved hypothetical protein,false,3,1,,
PMT0061,P9313_00651,clpX,"putative Clp protease ATP-binding subunit, ClpX",false,4,2,,
PMT0062,P9313_00661,clpP2,Clp protease proteolytic subunit,false,4,2,,
PMT0063,P9313_00671,tig,FKBP-type peptidyl-prolyl cis-trans isomerase (PPIase),true,2,2,5.063055658,20.0
PMT0064,P9313_00681,asd,aspartate Semialdehyde dehydrogenase,true,1,0,3.922994026,101.0
PMT0065,P9313_00701,dapA,Dihydrodipicolinate synthetase,false,1,3,,
PMT0066,P9313_00721,,Predicted hydrolase of the metallo-beta-lactamase superfamily,true,3,6,3.99540665,51.0
PMT0067,P9313_00731,,possible liver stage antigen LSA-1-malaria parasite ...,false,1,0,,
PMT0068,P9313_00741,mesJ,Predicted ATPase of the PP-loop superfamily implicated in cell cycle control,false,2,0,,
PMT0069,P9313_00751,ycf23,conserved hypothetical protein,true,2,0,2.77511349,16.0
PMT0070,P9313_00761,,conserved hypothetical protein,true,0,0,3.99540665,35.0
PMT0071,P9313_00771,uvrB,Excinuclease ABC subunit B (UvrB),true,2,1,4.887785797,18.0
PMT0072,P9313_00781,,possible FAD binding domain,true,0,0,4.760083283,7.0
PMT0073,P9313_00791,lysC,Aspartate kinase,true,7,2,2.415704703,17.0
PMT0074,P9313_00801,holA,"DNA polymerase III, delta subunit",false,3,0,,
PMT0075,P9313_00811,cobH,putative Precorrin-8X methylmutase CobH,true,0,1,3.442597183,24.0
PMT0076,P9313_00821,,possible transporter component,false,5,2,,
PMT0077,P9313_00831,,"ABC transporter, multi drug efflux family",false,8,3,,
PMT0078,P9313_00841,,Conserved hypothetical protein,true,4,0,4.685918812,15.0
PMT0079,P9313_00851,mutS,putative DNA mismatch repair protein,true,8,2,5.201312567,22.0
PMT0080,P9313_00861,psbZ,possible Photosystem II reaction center Z protein (PsbZ),true,0,0,3.908236453,33.0
PMT0083,P9313_00891,secA,Preprotein translocase SecA subunit,true,4,7,4.492211344,186.0
PMT0084,P9313_00901,,putative glucose-1-phosphate thymidylyltransferase,true,1,0,4.72959631,32.0
PMT0085,P9313_00911,,glycosyltransferase,true,0,0,4.790284736,68.0
PMT0086,P9313_00921,,Possible UDP-glucose-4-epimerase,true,3,2,4.887785797,15.0
PMT0087,P9313_00931,,glycosyltransferase,false,5,0,,
