Accession,Peptide count,Unique peptides,Confidence score,Anova (p),Max fold change,Highest mean condition,Lowest mean condition,Description
1::Q7VAL1_PROMA,2,2,124.96,0.019718943,2.351477796,Azaserine,Control,Uncharacterized protein OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=Pro_1449 PE=4 SV=1
1::Q7VDQ2_PROMA,8,7,448.61,0.020579153,1.551059551,Azaserine,Control,DegT/DnrJ/EryC1/StrS aminotransferase family enzyme OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=wecE PE=3 SV=1
1::PSBL_PROMA,2,2,99.61,0.022439041,3.580407126,Azaserine,Control,Photosystem II reaction center protein L OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=psbL PE=3 SV=1
1::Q7VA90_PROMA,5,4,297.69,0.028593208,3.037078604,Azaserine,Control,Phosphate-binding protein OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=pstS PE=3 SV=1
1::Q7VA33_PROMA,3,3,150.39,0.032668337,1.260537322,Azaserine,Control,Na+/proline symporter OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=putP PE=3 SV=1
1::Q7VDG0_PROMA,2,2,66.74,0.033763025,1.494612934,Azaserine,Control,Uncharacterized protein OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=Pro_0416 PE=4 SV=1
1::PETD_PROMA,2,2,63.44,0.034473719,3.548036176,Azaserine,Control,Cytochrome b6-f complex subunit 4 OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=petD PE=3 SV=1
1::PSBE_PROMA,3,3,116.67,0.0388505,3.002896913,Azaserine,Control,Cytochrome b559 subunit alpha OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=psbE PE=3 SV=1
1::PCBE_PROMA,11,10,733.98,0.041182924,2.969068619,Azaserine,Control,Divinyl chlorophyll a/b light-harvesting protein PcbE OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=pcbE PE=1 SV=1
1::Q7VE04_PROMA,5,5,179.42,0.042435886,2.280555328,Azaserine,Control,Histidinol-phosphate aminotransferase OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=hisC PE=3 SV=1
1::Q7VCR3_PROMA,8,8,559.46,0.043395166,2.005822767,Azaserine,Control,Uncharacterized protein OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=Pro_0677 PE=4 SV=1
1::PCBD_PROMA,9,9,538.77,0.044751423,2.821307682,Azaserine,Control,Divinyl chlorophyll a/b light-harvesting protein PcbD OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=pcbD PE=1 SV=1
1::Q7VB78_PROMA,2,2,80.04,0.046072453,1.831057316,Azaserine,Control,Membrane serine protease of rhomboid family OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=glpG PE=4 SV=1
1::PEBB_PROMA,2,2,66.75,0.047889101,1.545949918,Azaserine,Control,Phycoerythrobilin:ferredoxin oxidoreductase OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=pebB PE=3 SV=1
1::CCMK_PROMA,8,8,851.85,0.048445806,1.382552524,Azaserine,Control,Carbon dioxide-concentrating mechanism protein CcmK OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=ccmK PE=3 SV=1
1::RISB_PROMA,8,8,405.1,0.052649165,1.399472068,Azaserine,Control,"6,7-dimethyl-8-ribityllumazine synthase OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=ribH PE=3 SV=1"
1::Q7VA01_PROMA,29,27,1197.44,0.05287651,1.374108965,Azaserine,Control,Ferredoxin-dependent glutamate synthase OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=glsF PE=4 SV=1
1::Q7VAA2_PROMA,4,4,190.97,0.0543815,1.364351624,Azaserine,Control,Predicted membrane protein OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) GN=Pro_1562 PE=4 SV=1
