NCBI_PGAP_function,NCBI_PGAP_accession,COG20_CATEGORY_accession,COG20_CATEGORY_function,Prop. Abund. MVs,Prop. Abund. Cells,prop_abund_mvs_percent,prop_abund_cells_percent,log2_mv_cell_enrichment
50S_ribosomal_protein_L2_(rplB),WP_014947976.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.7%,,0.7,
50S_ribosomal_protein_L21_(rplU),WP_012517169.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.5%,,0.5,
50S_ribosomal_protein_L22_(rplV),WP_014947977.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.7%,,0.7,
50S_ribosomal_protein_L24_(rplX),WP_012519227.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.8%,,0.8,
50S_ribosomal_protein_L25/general_stress_proteinCtc,WP_014976150.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.8%,,0.8,
50S_ribosomal_protein_L27_(rpmA),WP_012517170.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.7%,,0.7,
50S_ribosomal_protein_L29_(rpmC),WP_014947980.1,J,"Translation,_ribosomal_structure_and_biogenesis",,1.0%,,1.0,
50S_ribosomal_protein_L3_(rplC),WP_014947975.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.4%,,0.4,
ADP-forming_succinate--CoA_ligase_subunit_beta_(sucC),WP_014949450.1,C,Energy_production_and_conversion,,0.8%,,0.8,
carbonic_anhydrase,WP_014948664.1,P,Inorganic_ion_transport_and_metabolism,,0.5%,,0.5,
citrate_synthase,WP_014949444.1,C,Energy_production_and_conversion,,0.5%,,0.5,
cold-shock_protein,WP_012519905.1,K,Transcription,,2.1%,,2.1,
dihydrolipoyl_dehydrogenase_(lpdA),WP_014950394.1,C,Energy_production_and_conversion,,1.5%,,1.5,
DNA-binding_protein_HU-beta_(hupB),WP_012518978.1,L,"Replication,_recombination_and_repair",,1.3%,,1.3,
elongation_factor_G,WP_014978897.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.7%,,0.7,
inorganic_diphosphatase,WP_014947861.1,C,Energy_production_and_conversion,,0.9%,,0.9,
ketol-acid_reductoisomerase_(ilvC),WP_014951396.1,E!!!H,Amino_acid_transport_and_metabolism!!!Coenzyme_transport_and_metabolism,,0.6%,,0.6,
malate_dehydrogenase_(mdh),WP_014950802.1,C,Energy_production_and_conversion,,0.5%,,0.5,
NADP-dependent_isocitrate_dehydrogenase,WP_014979200.1,C,Energy_production_and_conversion,,0.6%,,0.6,
P-II_family_nitrogen_regulator_(glnK),WP_012516988.1,T!!!E,Signal_transduction_mechanisms!!!Amino_acid_transport_and_metabolism,,0.9%,,0.9,
peroxiredoxin_C,WP_014948770.1,V,Defense_mechanisms,,1.1%,,1.1,
polyribonucleotide_nucleotidyltransferase_(pnp),WP_039229711.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.4%,,0.4,
succinate--CoA_ligase_subunit_alpha_(sucD),WP_012518366.1,C,Energy_production_and_conversion,,0.5%,,0.5,
succinate_dehydrogenase_iron-sulfur_subunit_(sdhB),WP_012518362.1,C,Energy_production_and_conversion,,0.6%,,0.6,
