NCBI_PGAP_function,NCBI_PGAP_accession,COG20_CATEGORY_accession,COG20_CATEGORY_function,Prop. Abund. MVs,Prop. Abund. Cells,prop_abund_mvs_percent,prop_abund_cells_percent,log2_mv_cell_enrichment,resolved_locus_tag,resolution_method
superoxide_dismutase_[Fe]_(sodB),WP_014948764.1,P,Inorganic_ion_transport_and_metabolism,0.5%,0.6%,0.5,0.6,-0.2630344058337938,MASE_05550,tier1:NCBI_PGAP_accession
elongation_factor_Ts_(tsf),WP_014948553.1,J,"Translation,_ribosomal_structure_and_biogenesis",0.5%,,0.5,,,MASE_04445,tier1:NCBI_PGAP_accession
SapC_family_protein,WP_014950439.1,Unk,Unk,0.5%,0.4%,0.5,0.4,0.3219280948873623,MASE_14245,tier1:NCBI_PGAP_accession
inorganic_diphosphatase_(ppa),WP_014947861.1,C,Energy_production_and_conversion,0.5%,,0.5,,,MASE_00810,tier1:NCBI_PGAP_accession
phosphoenolpyruvate_synthase_(ppsA),WP_014949316.1,G,Carbohydrate_transport_and_metabolism,0.5%,0.4%,0.5,0.4,0.3219280948873623,MASE_08435,tier1:NCBI_PGAP_accession
50S_ribosomal_protein_L28_(rpmB),WP_014947757.1,J,"Translation,_ribosomal_structure_and_biogenesis",0.5%,0.8%,0.5,0.8,-0.6780719051126377,MASE_00255,tier1:NCBI_PGAP_accession
chaperonin_GroEL_(groL),WP_014951270.1,O,"Posttranslational_modification,_protein_turnover,_chaperones",0.5%,,0.5,,,MASE_18735,tier1:NCBI_PGAP_accession
30S_ribosomal_protein_S17_(rpsQ),WP_014947981.1,J,"Translation,_ribosomal_structure_and_biogenesis",0.4%,0.7%,0.4,0.7,-0.807354922057604,MASE_01445,tier1:NCBI_PGAP_accession
polysaccharide_export_protein,WP_014950246.1,M,Cell_wall/membrane/envelope_biogenesis,0.4%,,0.4,,,MASE_13235,tier1:NCBI_PGAP_accession
nucleoside-diphosphate_kinase_(ndk),WP_012519000.1,F,Nucleotide_transport_and_metabolism,0.4%,,0.4,,,MASE_12850,tier1:NCBI_PGAP_accession
30S_ribosomal_protein_S18_(rpsR),WP_012519954.1,J,"Translation,_ribosomal_structure_and_biogenesis",0.4%,0.4%,0.4,0.4,0.0,MASE_17950,tier1:NCBI_PGAP_accession
30S_ribosomal_protein_S1_(rpsA),WP_014949642.1,J,"Translation,_ribosomal_structure_and_biogenesis",0.4%,0.9%,0.4,0.9,-1.1699250014423124,MASE_10095,tier1:NCBI_PGAP_accession
adenylate_kinase_(adk),WP_014950043.1,F,Nucleotide_transport_and_metabolism,0.4%,,0.4,,,MASE_12175,tier1:NCBI_PGAP_accession
50S_ribosomal_protein_L10_(rplJ),WP_014951041.1,J,"Translation,_ribosomal_structure_and_biogenesis",0.4%,1.0%,0.4,1.0,-1.3219280948873622,MASE_17550,tier1:NCBI_PGAP_accession
dihydrolipoyl_dehydrogenase_(lpdA),WP_014950394.1,C,Energy_production_and_conversion,0.4%,0.5%,0.4,0.5,-0.3219280948873623,MASE_14015,tier1:NCBI_PGAP_accession
30S_ribosomal_protein_S2_(rpsB),WP_014948552.1,J,"Translation,_ribosomal_structure_and_biogenesis",0.4%,0.9%,0.4,0.9,-1.1699250014423124,MASE_04440,tier1:NCBI_PGAP_accession
glutamate--ammonia_ligase_(glnA),WP_014950588.1,E,Amino_acid_transport_and_metabolism,0.4%,0.7%,0.4,0.7,-0.807354922057604,MASE_15050,tier1:NCBI_PGAP_accession
polyribonucleotide_nucleotidyltransferase_(pnp),WP_039229711.1,J,"Translation,_ribosomal_structure_and_biogenesis",0.4%,0.6%,0.4,0.6,-0.5849625007211561,MASE_08780,tier1:NCBI_PGAP_accession
nucleotide_sugar_dehydrogenase,WP_014950856.1,M,Cell_wall/membrane/envelope_biogenesis,0.4%,,0.4,,,MASE_16540,tier1:NCBI_PGAP_accession
"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate_N-succinyltransferase_(dapD)",WP_014948549.1,E,Amino_acid_transport_and_metabolism,0.3%,0.5%,0.3,0.5,-0.7369655941662062,MASE_04425,tier1:NCBI_PGAP_accession
ribose-phosphate_pyrophosphokinase,WP_014949014.1,F,Nucleotide_transport_and_metabolism,0.3%,,0.3,,,MASE_06860,tier1:NCBI_PGAP_accession
DNA-directed_RNA_polymerase_subunit_beta'_(rpoC),WP_014951038.1,K,Transcription,0.3%,0.3%,0.3,0.3,0.0,MASE_17535,tier1:NCBI_PGAP_accession
citrate_synthase,WP_014949444.1,C,Energy_production_and_conversion,0.3%,0.6%,0.3,0.6,-1.0,MASE_09080,tier1:NCBI_PGAP_accession
30S_ribosomal_protein_S13_(rpsM),WP_012519216.1,J,"Translation,_ribosomal_structure_and_biogenesis",0.3%,0.7%,0.3,0.7,-1.222392421336448,MASE_16820,tier1:NCBI_PGAP_accession
TIGR04219_family_outer_membrane_beta-barrel_protein,WP_014950720.1,Unk,Unk,0.3%,,0.3,,,MASE_15840,tier1:NCBI_PGAP_accession
FKBP-type_peptidyl-prolyl_cis-trans_isomerase_(fkpA),WP_014951335.1,O,"Posttranslational_modification,_protein_turnover,_chaperones",0.3%,,0.3,,,MASE_19080,tier1:NCBI_PGAP_accession
30S_ribosomal_protein_S10_(rpsJ),WP_010179497.1,J,"Translation,_ribosomal_structure_and_biogenesis",,1.1%,,1.1,,MASE_01395,tier1:NCBI_PGAP_accession
30S_ribosomal_protein_S11_(rpsK),WP_012519215.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.5%,,0.5,,MASE_16815,tier1:NCBI_PGAP_accession
30S_ribosomal_protein_S15_(rpsO),WP_012518257.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.4%,,0.4,,MASE_08140,tier1:NCBI_PGAP_accession
30S_ribosomal_protein_S16_(rpsP),WP_014948832.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.6%,,0.6,,MASE_05910,tier1:NCBI_PGAP_accession
30S_ribosomal_protein_S19_(rpsS),WP_012516961.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.7%,,0.7,,MASE_01420,tier1:NCBI_PGAP_accession
30S_ribosomal_protein_S4_(rpsD),WP_012519214.1,J,"Translation,_ribosomal_structure_and_biogenesis",,1.1%,,1.1,,MASE_16810,tier1:NCBI_PGAP_accession
30S_ribosomal_protein_S5_(rpsE),WP_012519221.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.8%,,0.8,,MASE_16850,tier1:NCBI_PGAP_accession
30S_ribosomal_protein_S6_(rpsF),WP_014951120.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.5%,,0.5,,MASE_17955,tier1:NCBI_PGAP_accession
30S_ribosomal_protein_S7_(rpsG),WP_014951036.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.8%,,0.8,,MASE_17525,tier1:NCBI_PGAP_accession
30S_ribosomal_protein_S8_(rpsH),WP_012519224.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.5%,,0.5,,MASE_16865,tier1:NCBI_PGAP_accession
30S_ribosomal_protein_S9_(rpsI),WP_014948330.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.6%,,0.6,,MASE_03295,tier1:NCBI_PGAP_accession
50S_ribosomal_protein_L1_(rplA),WP_014951042.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.9%,,0.9,,MASE_17555,tier1:NCBI_PGAP_accession
50S_ribosomal_protein_L11_(rplK),WP_014951043.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.4%,,0.4,,MASE_17560,tier1:NCBI_PGAP_accession
50S_ribosomal_protein_L13_(rplM),WP_014948329.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.5%,,0.5,,MASE_03290,tier1:NCBI_PGAP_accession
50S_ribosomal_protein_L14_(rplN),WP_012519228.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.7%,,0.7,,MASE_16885,tier1:NCBI_PGAP_accession
50S_ribosomal_protein_L16_(rplP),WP_014947979.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.5%,,0.5,,MASE_01435,tier1:NCBI_PGAP_accession
50S_ribosomal_protein_L19_(rplS),WP_024015986.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.6%,,0.6,,MASE_05925,tier1:NCBI_PGAP_accession
50S_ribosomal_protein_L2_(rplB),WP_014947976.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.6%,,0.6,,MASE_01415,tier1:NCBI_PGAP_accession
50S_ribosomal_protein_L20_(rplT),WP_012518092.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.5%,,0.5,,MASE_07325,tier1:NCBI_PGAP_accession
50S_ribosomal_protein_L21_(rplU),WP_012517169.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.4%,,0.4,,MASE_02340,tier1:NCBI_PGAP_accession
50S_ribosomal_protein_L22_(rplV),WP_014947977.1,J,"Translation,_ribosomal_structure_and_biogenesis",,1.1%,,1.1,,MASE_01425,tier1:NCBI_PGAP_accession
50S_ribosomal_protein_L23_(rplW),WP_012516959.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.5%,,0.5,,MASE_01410,tier1:NCBI_PGAP_accession
50S_ribosomal_protein_L24_(rplX),WP_014950912.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.8%,,0.8,,MASE_16880,tier1:NCBI_PGAP_accession
50S_ribosomal_protein_L25/general_stress_proteinCtc,WP_014949011.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.7%,,0.7,,MASE_06845,tier1:NCBI_PGAP_accession
50S_ribosomal_protein_L27_(rpmA),WP_012517170.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.5%,,0.5,,MASE_02345,tier1:NCBI_PGAP_accession
50S_ribosomal_protein_L29_(rpmC),WP_014947980.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.6%,,0.6,,MASE_01440,tier1:NCBI_PGAP_accession
50S_ribosomal_protein_L4_(rplD),WP_012516958.1,J,"Translation,_ribosomal_structure_and_biogenesis",,1.3%,,1.3,,MASE_01405,tier1:NCBI_PGAP_accession
50S_ribosomal_protein_L6_(rplF),WP_014950909.1,J,"Translation,_ribosomal_structure_and_biogenesis",,1.1%,,1.1,,MASE_16860,tier1:NCBI_PGAP_accession
"6,7-dimethyl-8-ribityllumazine_synthase_(ribE)",WP_014950088.1,H,Coenzyme_transport_and_metabolism,,0.5%,,0.5,,MASE_12410,tier1:NCBI_PGAP_accession
acetate--CoA_ligase_(acs),WP_014950825.1,I,Lipid_transport_and_metabolism,,0.4%,,0.4,,MASE_16375,tier1:NCBI_PGAP_accession
adenylosuccinate_synthase,WP_014948109.1,F,Nucleotide_transport_and_metabolism,,0.4%,,0.4,,MASE_02120,tier1:NCBI_PGAP_accession
alanine_dehydrogenase_(ald),WP_014949636.1,E,Amino_acid_transport_and_metabolism,,0.3%,,0.3,,MASE_10065,tier1:NCBI_PGAP_accession
cold-shock_protein,WP_012519905.1,K,Transcription,,1.1%,,1.1,,MASE_17020,tier1:NCBI_PGAP_accession
DNA-directed_RNA_polymerase_subunit_alpha_(rpoA),WP_039226687.1,K,Transcription,,0.7%,,0.7,,MASE_16805,tier1:NCBI_PGAP_accession
DNA-directed_RNA_polymerase_subunit_beta_(rpoB),WP_014951039.1,K,Transcription,,0.4%,,0.4,,MASE_17540,tier1:NCBI_PGAP_accession
ketol-acid_reductoisomerase_(ilvC),WP_014951396.1,E!!!H,Amino_acid_transport_and_metabolism!!!Coenzyme_transport_and_metabolism,,0.5%,,0.5,,MASE_19395,tier1:NCBI_PGAP_accession
peroxiredoxin_C,WP_014948770.1,V,Defense_mechanisms,,0.4%,,0.4,,MASE_05590,tier1:NCBI_PGAP_accession
succinate_dehydrogenase_flavoprotein_subunit_(sdhA),WP_014949447.1,C,Energy_production_and_conversion,,0.5%,,0.5,,MASE_09095,tier1:NCBI_PGAP_accession
