NCBI_PGAP_function,NCBI_PGAP_accession,COG20_CATEGORY_accession,COG20_CATEGORY_function,Prop. Abund. MVs,Prop. Abund. Cells,prop_abund_mvs_percent,prop_abund_cells_percent,log2_mv_cell_enrichment,resolved_locus_tag,resolution_method
glutamate--ammonia_ligase,WP_014950588.1,E,Amino_acid_transport_and_metabolism,0.7%,0.8%,0.7,0.8,-0.192645077942396,ALTBGP6_03191,tier1:NCBI_PGAP_accession
30S_ribosomal_protein_S2_(rpsB),WP_014948552.1,J,"Translation,_ribosomal_structure_and_biogenesis",0.7%,0.6%,0.7,0.6,0.222392421336448,ALTBGP6_01006,tier1:NCBI_PGAP_accession
30S_ribosomal_protein_S18_(rpsR),WP_012519954.1,J,"Translation,_ribosomal_structure_and_biogenesis",0.7%,0.7%,0.7,0.7,0.0,ALTBGP6_03754,tier1:NCBI_PGAP_accession
SapC_family_protein,WP_014950439.1,Unk,Unk,0.6%,0.5%,0.6,0.5,0.2630344058337938,ALTBGP6_03038,tier1:NCBI_PGAP_accession
30S_ribosomal_protein_S3_(rpsC),WP_014947978.1,J,"Translation,_ribosomal_structure_and_biogenesis",0.6%,0.9%,0.6,0.9,-0.5849625007211563,ALTBGP6_00367,tier1:NCBI_PGAP_accession
dihydrolipoyl_dehydrogenase_(lpdA),WP_014950394.1,C,Energy_production_and_conversion,0.6%,1.6%,0.6,1.6,-1.415037499278844,ALTBGP6_02992,tier1:NCBI_PGAP_accession
pyruvate_dehydrogenase_complex_dihydrolipoyllysine-residue_acetyltransferase_(aceF),WP_156078728.1,C,Energy_production_and_conversion,0.5%,,0.5,,,ALTBGP6_02993,tier1:NCBI_PGAP_accession
chaperonin_GroEL_(groL),WP_014951270.1,O,"Posttranslational_modification,_protein_turnover,_chaperones",0.5%,,0.5,,,ALTBGP6_03881,tier1:NCBI_PGAP_accession
NADP-dependent_isocitrate_dehydrogenase,WP_069944212.1,C,Energy_production_and_conversion,0.5%,0.9%,0.5,0.9,-0.84799690655495,ALTBGP6_01868,tier1:NCBI_PGAP_accession
TIGR04219_family_outer_membrane_beta-barrel_protein,WP_014950720.1,Unk,Unk,0.5%,,0.5,,,ALTBGP6_03344,tier1:NCBI_PGAP_accession
30S_ribosomal_protein_S1_(rpsA),WP_014949642.1,J,"Translation,_ribosomal_structure_and_biogenesis",0.5%,0.5%,0.5,0.5,0.0,ALTBGP6_02169,tier1:NCBI_PGAP_accession
30S_ribosomal_protein_S13_(rpsM),WP_012519216.1,J,"Translation,_ribosomal_structure_and_biogenesis",0.5%,0.8%,0.5,0.8,-0.6780719051126377,ALTBGP6_03527,tier1:NCBI_PGAP_accession
inorganic_diphosphatase,WP_014947861.1,C,Energy_production_and_conversion,0.5%,0.4%,0.5,0.4,0.3219280948873623,ALTBGP6_00217,tier1:NCBI_PGAP_accession
polysaccharide_export_protein,WP_014950246.1,M,Cell_wall/membrane/envelope_biogenesis,0.5%,,0.5,,,ALTBGP6_02838,tier1:NCBI_PGAP_accession
phosphoenolpyruvate_synthase_(ppsA),WP_014949316.1,G,Carbohydrate_transport_and_metabolism,0.4%,0.5%,0.4,0.5,-0.3219280948873623,ALTBGP6_01854,tier1:NCBI_PGAP_accession
polyribonucleotide_nucleotidyltransferase_(pnp),WP_039229711.1,J,"Translation,_ribosomal_structure_and_biogenesis",0.4%,0.4%,0.4,0.4,0.0,ALTBGP6_01924,tier1:NCBI_PGAP_accession
50S_ribosomal_protein_L22_(rplV),WP_014947977.1,J,"Translation,_ribosomal_structure_and_biogenesis",0.4%,,0.4,,,ALTBGP6_00366,tier1:NCBI_PGAP_accession
glyceraldehyde-3-phosphate_dehydrogenase,WP_014979588.1,G,Carbohydrate_transport_and_metabolism,0.4%,,0.4,,,ALTBGP6_02386,tier1:NCBI_PGAP_accession
superoxide_dismutase_[Fe]_(sodB),WP_014948764.1,P,Inorganic_ion_transport_and_metabolism,0.4%,1.2%,0.4,1.2,-1.584962500721156,ALTBGP6_01232,tier1:NCBI_PGAP_accession
50S_ribosomal_protein_L4_(rplD),WP_012516958.1,J,"Translation,_ribosomal_structure_and_biogenesis",0.4%,1.7%,0.4,1.7,-2.087462841250339,ALTBGP6_00362,tier1:NCBI_PGAP_accession
ketol-acid_reductoisomerase_(ilvC),WP_014951396.1,E!!!H,Amino_acid_transport_and_metabolism!!!Coenzyme_transport_and_metabolism,0.4%,,0.4,,,ALTBGP6_04008,tier1:NCBI_PGAP_accession
"2,3-diphosphoglycerate-dependent_phosphoglycerate_mutase_(gpmA)",WP_156077790.1,G,Carbohydrate_transport_and_metabolism,,0.4%,,0.4,,ALTBGP6_00355,tier1:NCBI_PGAP_accession
30S_ribosomal_protein_S10_(rpsJ),WP_010179497.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.6%,,0.6,,ALTBGP6_00360,tier1:NCBI_PGAP_accession
30S_ribosomal_protein_S11_(rpsK),WP_012519215.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.5%,,0.5,,ALTBGP6_03526,tier1:NCBI_PGAP_accession
30S_ribosomal_protein_S15_(rpsO),WP_012518257.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.4%,,0.4,,ALTBGP6_01788,tier1:NCBI_PGAP_accession
30S_ribosomal_protein_S16_(rpsP),WP_014948832.1,J,"Translation,_ribosomal_structure_and_biogenesis",,1.2%,,1.2,,ALTBGP6_01306,tier1:NCBI_PGAP_accession
30S_ribosomal_protein_S17_(rpsQ),WP_014975444.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.4%,,0.4,,ALTBGP6_00370,tier1:NCBI_PGAP_accession
30S_ribosomal_protein_S19_(rpsS),WP_012516961.1,J,"Translation,_ribosomal_structure_and_biogenesis",,1.5%,,1.5,,ALTBGP6_00365,tier1:NCBI_PGAP_accession
30S_ribosomal_protein_S4_(rpsD),WP_012519214.1,J,"Translation,_ribosomal_structure_and_biogenesis",,1.4%,,1.4,,ALTBGP6_03525,tier1:NCBI_PGAP_accession
30S_ribosomal_protein_S5_(rpsE),WP_012519221.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.8%,,0.8,,ALTBGP6_03533,tier1:NCBI_PGAP_accession
30S_ribosomal_protein_S6_(rpsF),WP_014951120.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.8%,,0.8,,ALTBGP6_03755,tier1:NCBI_PGAP_accession
30S_ribosomal_protein_S7_(rpsG),WP_014951036.1,J,"Translation,_ribosomal_structure_and_biogenesis",,1.0%,,1.0,,ALTBGP6_03667,tier1:NCBI_PGAP_accession
30S_ribosomal_protein_S9_(rpsI),WP_014975723.1,J,"Translation,_ribosomal_structure_and_biogenesis",,1.0%,,1.0,,ALTBGP6_00772,tier1:NCBI_PGAP_accession
50S_ribosomal_protein_L10_(rplJ),WP_014951041.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.6%,,0.6,,ALTBGP6_03672,tier1:NCBI_PGAP_accession
50S_ribosomal_protein_L14_(rplN),WP_012519228.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.9%,,0.9,,ALTBGP6_03540,tier1:NCBI_PGAP_accession
50S_ribosomal_protein_L16_(rplP),WP_014997065.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.5%,,0.5,,ALTBGP6_00368,tier1:NCBI_PGAP_accession
50S_ribosomal_protein_L19_(rplS),WP_024015986.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.4%,,0.4,,ALTBGP6_01309,tier1:NCBI_PGAP_accession
50S_ribosomal_protein_L2_(rplB),WP_014947976.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.6%,,0.6,,ALTBGP6_00364,tier1:NCBI_PGAP_accession
50S_ribosomal_protein_L20_(rplT),WP_012518092.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.6%,,0.6,,ALTBGP6_01618,tier1:NCBI_PGAP_accession
50S_ribosomal_protein_L25/general_stress_proteinCtc,WP_014976150.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.7%,,0.7,,ALTBGP6_01519,tier1:NCBI_PGAP_accession
50S_ribosomal_protein_L27_(rpmA),WP_012517170.1,J,"Translation,_ribosomal_structure_and_biogenesis",,1.0%,,1.0,,ALTBGP6_00553,tier1:NCBI_PGAP_accession
50S_ribosomal_protein_L29_(rpmC),WP_014947980.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.5%,,0.5,,ALTBGP6_00369,tier1:NCBI_PGAP_accession
50S_ribosomal_protein_L6_(rplF),WP_014950909.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.5%,,0.5,,ALTBGP6_03535,tier1:NCBI_PGAP_accession
aspartate/tyrosine/aromatic_aminotransferase,WP_014949721.1,E,Amino_acid_transport_and_metabolism,,0.5%,,0.5,,ALTBGP6_02263,tier1:NCBI_PGAP_accession
citrate_synthase,WP_156078341.1,C,Energy_production_and_conversion,,0.9%,,0.9,,ALTBGP6_01988,tier1:NCBI_PGAP_accession
cold-shock_protein,WP_012519905.1,K,Transcription,,1.0%,,1.0,,ALTBGP6_03567,tier1:NCBI_PGAP_accession
DNA-directed_RNA_polymerase_subunit_beta_(rpoB),WP_014977618.1,K,Transcription,,0.4%,,0.4,,ALTBGP6_03670,tier1:NCBI_PGAP_accession
mechanosensitive_ion_channel,WP_156078752.1,M,Cell_wall/membrane/envelope_biogenesis,,0.5%,,0.5,,ALTBGP6_03055,tier1:NCBI_PGAP_accession
peroxiredoxin_C,WP_014948770.1,V,Defense_mechanisms,,0.6%,,0.6,,ALTBGP6_01239,tier1:NCBI_PGAP_accession
protein-export_chaperone_SecB_(secB),WP_014948068.1,U,"Intracellular_trafficking,_secretion,_and_vesicular_transport",,0.4%,,0.4,,ALTBGP6_00459,tier1:NCBI_PGAP_accession
stringent_starvation_protein_A_(sspA),WP_012517332.1,O,"Posttranslational_modification,_protein_turnover,_chaperones",,0.5%,,0.5,,ALTBGP6_00776,tier1:NCBI_PGAP_accession
succinate_dehydrogenase_flavoprotein_subunit_(sdhA),WP_014949447.1,C,Energy_production_and_conversion,,0.6%,,0.6,,ALTBGP6_01991,tier1:NCBI_PGAP_accession
