NCBI_PGAP_function,NCBI_PGAP_accession,COG20_CATEGORY_accession,COG20_CATEGORY_function,Prop. Abund. MVs,Prop. Abund. Cells,prop_abund_mvs_percent,prop_abund_cells_percent,log2_mv_cell_enrichment,resolved_locus_tag,resolution_method
50S_ribosomal_protein_L2_(rplB),WP_014997064.1,J,"Translation,_ribosomal_structure_and_biogenesis",0.5%,0.5%,0.5,0.5,0.0,AMBLS11_01735,tier1:NCBI_PGAP_accession
adenylosuccinate_synthase,WP_014997180.1,F,Nucleotide_transport_and_metabolism,0.5%,0.4%,0.5,0.4,0.3219280948873623,AMBLS11_02400,tier1:NCBI_PGAP_accession
30S_ribosomal_protein_S18_(rpsR),WP_012519954.1,J,"Translation,_ribosomal_structure_and_biogenesis",0.5%,,0.5,,,AMBLS11_17430,tier1:NCBI_PGAP_accession
chaperonin_GroEL_(groL),WP_014999991.1,O,"Posttranslational_modification,_protein_turnover,_chaperones",0.5%,,0.5,,,AMBLS11_18040,tier1:NCBI_PGAP_accession
glutamate--ammonia_ligase,WP_014999421.1,E,Amino_acid_transport_and_metabolism,0.5%,0.4%,0.5,0.4,0.3219280948873623,AMBLS11_14840,tier1:NCBI_PGAP_accession
tetratricopeptide_repeat_protein,WP_014997703.1,R,General_function_prediction_only,0.5%,,0.5,,,AMBLS11_05345,tier1:NCBI_PGAP_accession
nucleoside-diphosphate_kinase,WP_012519000.1,F,Nucleotide_transport_and_metabolism,0.5%,,0.5,,,AMBLS11_12880,tier1:NCBI_PGAP_accession
DNA-directed_RNA_polymerase_subunit_alpha_(rpoA),WP_039226687.1,K,Transcription,0.5%,0.3%,0.5,0.3,0.7369655941662062,AMBLS11_16340,tier1:NCBI_PGAP_accession
acetate--CoA_ligase_(acs),WP_014999659.1,I,Lipid_transport_and_metabolism,0.5%,0.6%,0.5,0.6,-0.2630344058337938,AMBLS11_16090,tier1:NCBI_PGAP_accession
peptidoglycan-associated_lipoprotein_Pal_(pal),WP_014948870.1,M,Cell_wall/membrane/envelope_biogenesis,0.5%,,0.5,,,AMBLS11_06155,tier1:NCBI_PGAP_accession
50S_ribosomal_protein_L19_(rplS),WP_024015986.1,J,"Translation,_ribosomal_structure_and_biogenesis",0.5%,,0.5,,,AMBLS11_05975,tier1:NCBI_PGAP_accession
malate_dehydrogenase_(mdh),WP_014999636.1,C,Energy_production_and_conversion,0.5%,2.3%,0.5,2.3,-2.2016338611696504,AMBLS11_15970,tier1:NCBI_PGAP_accession
UDP-N-acetylglucosamine_1-carboxyvinyltransferase_(murA),WP_014997402.1,M,Cell_wall/membrane/envelope_biogenesis,0.5%,,0.5,,,AMBLS11_03655,tier1:NCBI_PGAP_accession
30S_ribosomal_protein_S5_(rpsE),WP_012519221.1,J,"Translation,_ribosomal_structure_and_biogenesis",0.4%,0.6%,0.4,0.6,-0.5849625007211561,AMBLS11_16380,tier1:NCBI_PGAP_accession
succinate_dehydrogenase_flavoprotein_subunit_(sdhA),WP_014949447.1,C,Energy_production_and_conversion,0.4%,0.6%,0.4,0.6,-0.5849625007211561,AMBLS11_08900,tier1:NCBI_PGAP_accession
DNA-binding_protein_HU-beta_(hupB),WP_012518978.1,L,"Replication,_recombination_and_repair",0.4%,0.5%,0.4,0.5,-0.3219280948873623,AMBLS11_12725,tier1:NCBI_PGAP_accession
50S_ribosomal_protein_L9_(rplI),WP_012519953.1,J,"Translation,_ribosomal_structure_and_biogenesis",0.4%,0.3%,0.4,0.3,0.415037499278844,AMBLS11_17425,tier1:NCBI_PGAP_accession
50S_ribosomal_protein_L4_(rplD),WP_012516958.1,J,"Translation,_ribosomal_structure_and_biogenesis",0.4%,1.6%,0.4,1.6,-2.0,AMBLS11_01725,tier1:NCBI_PGAP_accession
UTP--glucose-1-phosphate_uridylyltransferase_GalU_(galU),WP_014997547.1,M,Cell_wall/membrane/envelope_biogenesis,0.4%,,0.4,,,AMBLS11_04445,tier1:NCBI_PGAP_accession
2-oxoglutarate_dehydrogenase_complex_dihydrolipoyllysine-residue_succinyltransferase_(odhB),WP_014998324.1,C,Energy_production_and_conversion,0.4%,,0.4,,,AMBLS11_08915,tier1:NCBI_PGAP_accession
outer_membrane_channel_protein_TolC_(tolC),WP_014997261.1,M,Cell_wall/membrane/envelope_biogenesis,0.4%,,0.4,,,AMBLS11_02825,tier1:NCBI_PGAP_accession
30S_ribosomal_protein_S4_(rpsD),WP_012519214.1,J,"Translation,_ribosomal_structure_and_biogenesis",0.4%,0.4%,0.4,0.4,0.0,AMBLS11_16345,tier1:NCBI_PGAP_accession
elongation_factor_Ts_(tsf),WP_014975850.1,J,"Translation,_ribosomal_structure_and_biogenesis",0.3%,,0.3,,,AMBLS11_04560,tier1:NCBI_PGAP_accession
CsgG/HfaB_family_protein,WP_014999891.1,M,Cell_wall/membrane/envelope_biogenesis,0.3%,0.5%,0.3,0.5,-0.7369655941662062,AMBLS11_17500,tier1:NCBI_PGAP_accession
30S_ribosomal_protein_S1_(rpsA),WP_014998499.1,J,"Translation,_ribosomal_structure_and_biogenesis",0.3%,0.4%,0.3,0.4,-0.415037499278844,AMBLS11_09875,tier1:NCBI_PGAP_accession
2-oxoglutarate_dehydrogenase_E1_component_(sucA),WP_014998323.1,C,Energy_production_and_conversion,,0.3%,,0.3,,AMBLS11_08910,tier1:NCBI_PGAP_accession
"2,3-diphosphoglycerate-dependent_phosphoglycerate_mutase_(gpmA)",WP_014997060.1,G,Carbohydrate_transport_and_metabolism,,0.4%,,0.4,,AMBLS11_01695,tier1:NCBI_PGAP_accession
"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate_N-succinyltransferase_(dapD)",WP_014997565.1,E,Amino_acid_transport_and_metabolism,,0.4%,,0.4,,AMBLS11_04540,tier1:NCBI_PGAP_accession
30S_ribosomal_protein_S10_(rpsJ),WP_010179497.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.4%,,0.4,,AMBLS11_01715,tier1:NCBI_PGAP_accession
30S_ribosomal_protein_S15_(rpsO),WP_012518257.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.3%,,0.3,,AMBLS11_08095,tier1:NCBI_PGAP_accession
30S_ribosomal_protein_S16_(rpsP),WP_014948832.1,J,"Translation,_ribosomal_structure_and_biogenesis",,1.0%,,1.0,,AMBLS11_05960,tier1:NCBI_PGAP_accession
30S_ribosomal_protein_S19_(rpsS),WP_012516961.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.9%,,0.9,,AMBLS11_01740,tier1:NCBI_PGAP_accession
30S_ribosomal_protein_S7_(rpsG),WP_014951036.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.8%,,0.8,,AMBLS11_17015,tier1:NCBI_PGAP_accession
30S_ribosomal_protein_S8_(rpsH),WP_012519224.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.4%,,0.4,,AMBLS11_16395,tier1:NCBI_PGAP_accession
50S_ribosomal_protein_L1_(rplA),WP_014999812.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.5%,,0.5,,AMBLS11_17045,tier1:NCBI_PGAP_accession
50S_ribosomal_protein_L17_(rplQ),WP_012519212.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.3%,,0.3,,AMBLS11_16335,tier1:NCBI_PGAP_accession
50S_ribosomal_protein_L20_(rplT),WP_012518092.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.3%,,0.3,,AMBLS11_07325,tier1:NCBI_PGAP_accession
50S_ribosomal_protein_L22_(rplV),WP_014947977.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.6%,,0.6,,AMBLS11_01745,tier1:NCBI_PGAP_accession
50S_ribosomal_protein_L27_(rpmA),WP_012517170.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.5%,,0.5,,AMBLS11_02615,tier1:NCBI_PGAP_accession
50S_ribosomal_protein_L29_(rpmC),WP_014947980.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.6%,,0.6,,AMBLS11_01760,tier1:NCBI_PGAP_accession
50S_ribosomal_protein_L6_(rplF),WP_014950909.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.8%,,0.8,,AMBLS11_16390,tier1:NCBI_PGAP_accession
adenylate_kinase,WP_012519076.1,F,Nucleotide_transport_and_metabolism,,0.4%,,0.4,,AMBLS11_11910,tier1:NCBI_PGAP_accession
adenylosuccinate_lyase_(purB),WP_014998221.1,F,Nucleotide_transport_and_metabolism,,0.5%,,0.5,,AMBLS11_08340,tier1:NCBI_PGAP_accession
alanine_dehydrogenase_(ald),WP_014998494.1,E,Amino_acid_transport_and_metabolism,,0.4%,,0.4,,AMBLS11_09845,tier1:NCBI_PGAP_accession
aspartate/tyrosine/aromatic_aminotransferase,WP_014998597.1,E,Amino_acid_transport_and_metabolism,,0.3%,,0.3,,AMBLS11_10380,tier1:NCBI_PGAP_accession
beta-ketoacyl-ACP_synthase_I_(fabB),WP_014949953.1,I!!!Q,"Lipid_transport_and_metabolism!!!Secondary_metabolites_biosynthesis,_transport_and_catabolism",,0.3%,,0.3,,AMBLS11_11525,tier1:NCBI_PGAP_accession
bifunctional_aconitate_hydratase_2/2-methylisocitrate_dehydratase,WP_014997342.1,C,Energy_production_and_conversion,,0.5%,,0.5,,AMBLS11_03295,tier1:NCBI_PGAP_accession
carbonic_anhydrase,WP_014997670.1,P,Inorganic_ion_transport_and_metabolism,,0.3%,,0.3,,AMBLS11_05135,tier1:NCBI_PGAP_accession
dihydrolipoyl_dehydrogenase_(lpdA),WP_014999248.1,C,Energy_production_and_conversion,,0.6%,,0.6,,AMBLS11_13920,tier1:NCBI_PGAP_accession
F0F1_ATP_synthase_subunit_gamma_(atpG),WP_012520217.1,C,Energy_production_and_conversion,,0.4%,,0.4,,AMBLS11_18935,tier1:NCBI_PGAP_accession
isocitrate_dehydrogenase,WP_014997549.1,C!!!E,Energy_production_and_conversion!!!Amino_acid_transport_and_metabolism,,0.3%,,0.3,,AMBLS11_04455,tier1:NCBI_PGAP_accession
ketol-acid_reductoisomerase_(ilvC),WP_015000102.1,E!!!H,Amino_acid_transport_and_metabolism!!!Coenzyme_transport_and_metabolism,,0.4%,,0.4,,AMBLS11_18690,tier1:NCBI_PGAP_accession
NAD(P)/FAD-dependent_oxidoreductase,WP_014999932.1,C,Energy_production_and_conversion,,0.4%,,0.4,,AMBLS11_17720,tier1:NCBI_PGAP_accession
NADP-dependent_isocitrate_dehydrogenase,WP_014998225.1,C,Energy_production_and_conversion,,0.6%,,0.6,,AMBLS11_08360,tier1:NCBI_PGAP_accession
superoxide_dismutase_[Fe]_(sodB),WP_014948764.1,P,Inorganic_ion_transport_and_metabolism,,0.5%,,0.5,,AMBLS11_05615,tier1:NCBI_PGAP_accession
transaldolase_(tal),WP_014999319.1,G,Carbohydrate_transport_and_metabolism,,0.3%,,0.3,,AMBLS11_14305,tier1:NCBI_PGAP_accession
translational_GTPase_TypA_(typA),WP_014999419.1,T,Signal_transduction_mechanisms,,0.3%,,0.3,,AMBLS11_14830,tier1:NCBI_PGAP_accession
