NCBI_PGAP_function,NCBI_PGAP_accession,COG20_CATEGORY_accession,COG20_CATEGORY_function,Prop. Abund. MVs,Prop. Abund. Cells,prop_abund_mvs_percent,prop_abund_cells_percent,log2_mv_cell_enrichment
50S_ribosomal_protein_L20_(rplT),WP_012518092.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.8%,,0.8,
50S_ribosomal_protein_L21_(rplU),WP_012517169.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.7%,,0.7,
50S_ribosomal_protein_L22_(rplV),WP_014947977.1,J,"Translation,_ribosomal_structure_and_biogenesis",,2.4%,,2.4,
50S_ribosomal_protein_L24_(rplX),WP_014950912.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.9%,,0.9,
50S_ribosomal_protein_L25/general_stress_proteinCtc,WP_014976150.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.5%,,0.5,
50S_ribosomal_protein_L27_(rpmA),WP_012517170.1,J,"Translation,_ribosomal_structure_and_biogenesis",,1.7%,,1.7,
50S_ribosomal_protein_L28_(rpmB),WP_014947757.1,J,"Translation,_ribosomal_structure_and_biogenesis",,2.1%,,2.1,
50S_ribosomal_protein_L3_(rplC),WP_014947975.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.5%,,0.5,
50S_ribosomal_protein_L4_(rplD),WP_012516958.1,J,"Translation,_ribosomal_structure_and_biogenesis",,2.3%,,2.3,
50S_ribosomal_protein_L5_(rplE),WP_014950911.1,J,"Translation,_ribosomal_structure_and_biogenesis",,3.6%,,3.6,
50S_ribosomal_protein_L6_(rplF),WP_014950909.1,J,"Translation,_ribosomal_structure_and_biogenesis",,1.1%,,1.1,
ADP-forming_succinate--CoA_ligase_subunit_beta_(sucC),WP_014949450.1,C,Energy_production_and_conversion,,0.6%,,0.6,
dihydrolipoyl_dehydrogenase_(lpdA),WP_014950394.1,C,Energy_production_and_conversion,,0.7%,,0.7,
DNA-directed_RNA_polymerase_subunit_beta'_(rpoC),WP_039229319.1,K,Transcription,,0.5%,,0.5,
DNA-directed_RNA_polymerase_subunit_beta_(rpoB),WP_014977618.1,K,Transcription,,0.8%,,0.8,
elongation_factor_G,WP_061485411.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.7%,,0.7,
elongation_factor_Tu_(tuf),WP_014977498.1,J,"Translation,_ribosomal_structure_and_biogenesis",,5.0%,,5.0,
F0F1_ATP_synthase_subunit_alpha_(atpA),WP_014951450.1,C,Energy_production_and_conversion,,0.7%,,0.7,
F0F1_ATP_synthase_subunit_beta_(atpD),WP_039221268.1,C,Energy_production_and_conversion,,1.0%,,1.0,
NADH:ubiquinone_reductase_(Na(+)-transporting)_subunit_F,WP_014950793.1,C,Energy_production_and_conversion,,0.4%,,0.4,
NADP-dependent_isocitrate_dehydrogenase,WP_061485794.1,C,Energy_production_and_conversion,,0.4%,,0.4,
peroxiredoxin_C,WP_014948770.1,V,Defense_mechanisms,,0.6%,,0.6,
succinate_dehydrogenase_flavoprotein_subunit_(sdhA),WP_014949447.1,C,Energy_production_and_conversion,,0.7%,,0.7,
succinate_dehydrogenase_iron-sulfur_subunit,WP_012518362.1,C,Energy_production_and_conversion,,1.4%,,1.4,
trigger_factor_(tig),WP_014950148.1,O,"Posttranslational_modification,_protein_turnover,_chaperones",,0.4%,,0.4,
