NCBI_PGAP_function,NCBI_PGAP_accession,COG20_CATEGORY_accession,COG20_CATEGORY_function,Prop. Abund. MVs,Prop. Abund. Cells,prop_abund_mvs_percent,prop_abund_cells_percent,log2_mv_cell_enrichment
polysaccharide_export_protein,WP_014950246.1,M,Cell_wall/membrane/envelope_biogenesis,0.5%,,0.5,,
phosphoenolpyruvate_synthase_(ppsA),WP_014949316.1,G,Carbohydrate_transport_and_metabolism,0.4%,0.5%,0.4,0.5,-0.3219280948873623
polyribonucleotide_nucleotidyltransferase_(pnp),WP_039229711.1,J,"Translation,_ribosomal_structure_and_biogenesis",0.4%,0.4%,0.4,0.4,0.0
50S_ribosomal_protein_L22_(rplV),WP_014947977.1,J,"Translation,_ribosomal_structure_and_biogenesis",0.4%,,0.4,,
glyceraldehyde-3-phosphate_dehydrogenase,WP_014979588.1,G,Carbohydrate_transport_and_metabolism,0.4%,,0.4,,
superoxide_dismutase_[Fe]_(sodB),WP_014948764.1,P,Inorganic_ion_transport_and_metabolism,0.4%,1.2%,0.4,1.2,-1.584962500721156
50S_ribosomal_protein_L4_(rplD),WP_012516958.1,J,"Translation,_ribosomal_structure_and_biogenesis",0.4%,1.7%,0.4,1.7,-2.087462841250339
ketol-acid_reductoisomerase_(ilvC),WP_014951396.1,E!!!H,Amino_acid_transport_and_metabolism!!!Coenzyme_transport_and_metabolism,0.4%,,0.4,,
"2,3-diphosphoglycerate-dependent_phosphoglycerate_mutase_(gpmA)",WP_156077790.1,G,Carbohydrate_transport_and_metabolism,,0.4%,,0.4,
30S_ribosomal_protein_S10_(rpsJ),WP_010179497.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.6%,,0.6,
30S_ribosomal_protein_S11_(rpsK),WP_012519215.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.5%,,0.5,
30S_ribosomal_protein_S15_(rpsO),WP_012518257.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.4%,,0.4,
30S_ribosomal_protein_S16_(rpsP),WP_014948832.1,J,"Translation,_ribosomal_structure_and_biogenesis",,1.2%,,1.2,
30S_ribosomal_protein_S17_(rpsQ),WP_014975444.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.4%,,0.4,
30S_ribosomal_protein_S19_(rpsS),WP_012516961.1,J,"Translation,_ribosomal_structure_and_biogenesis",,1.5%,,1.5,
30S_ribosomal_protein_S4_(rpsD),WP_012519214.1,J,"Translation,_ribosomal_structure_and_biogenesis",,1.4%,,1.4,
30S_ribosomal_protein_S5_(rpsE),WP_012519221.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.8%,,0.8,
30S_ribosomal_protein_S6_(rpsF),WP_014951120.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.8%,,0.8,
30S_ribosomal_protein_S7_(rpsG),WP_014951036.1,J,"Translation,_ribosomal_structure_and_biogenesis",,1.0%,,1.0,
30S_ribosomal_protein_S9_(rpsI),WP_014975723.1,J,"Translation,_ribosomal_structure_and_biogenesis",,1.0%,,1.0,
50S_ribosomal_protein_L10_(rplJ),WP_014951041.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.6%,,0.6,
50S_ribosomal_protein_L14_(rplN),WP_012519228.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.9%,,0.9,
50S_ribosomal_protein_L16_(rplP),WP_014997065.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.5%,,0.5,
50S_ribosomal_protein_L19_(rplS),WP_024015986.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.4%,,0.4,
50S_ribosomal_protein_L2_(rplB),WP_014947976.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.6%,,0.6,
50S_ribosomal_protein_L20_(rplT),WP_012518092.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.6%,,0.6,
50S_ribosomal_protein_L25/general_stress_proteinCtc,WP_014976150.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.7%,,0.7,
50S_ribosomal_protein_L27_(rpmA),WP_012517170.1,J,"Translation,_ribosomal_structure_and_biogenesis",,1.0%,,1.0,
50S_ribosomal_protein_L29_(rpmC),WP_014947980.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.5%,,0.5,
50S_ribosomal_protein_L6_(rplF),WP_014950909.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.5%,,0.5,
aspartate/tyrosine/aromatic_aminotransferase,WP_014949721.1,E,Amino_acid_transport_and_metabolism,,0.5%,,0.5,
citrate_synthase,WP_156078341.1,C,Energy_production_and_conversion,,0.9%,,0.9,
cold-shock_protein,WP_012519905.1,K,Transcription,,1.0%,,1.0,
DNA-directed_RNA_polymerase_subunit_beta_(rpoB),WP_014977618.1,K,Transcription,,0.4%,,0.4,
mechanosensitive_ion_channel,WP_156078752.1,M,Cell_wall/membrane/envelope_biogenesis,,0.5%,,0.5,
peroxiredoxin_C,WP_014948770.1,V,Defense_mechanisms,,0.6%,,0.6,
protein-export_chaperone_SecB_(secB),WP_014948068.1,U,"Intracellular_trafficking,_secretion,_and_vesicular_transport",,0.4%,,0.4,
stringent_starvation_protein_A_(sspA),WP_012517332.1,O,"Posttranslational_modification,_protein_turnover,_chaperones",,0.5%,,0.5,
succinate_dehydrogenase_flavoprotein_subunit_(sdhA),WP_014949447.1,C,Energy_production_and_conversion,,0.6%,,0.6,
