NCBI_PGAP_function,NCBI_PGAP_accession,COG20_CATEGORY_accession,COG20_CATEGORY_function,Prop. Abund. MVs,Prop. Abund. Cells,prop_abund_mvs_percent,prop_abund_cells_percent,log2_mv_cell_enrichment
"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate_N-succinyltransferase_(dapD)",WP_014948549.1,E,Amino_acid_transport_and_metabolism,0.3%,0.5%,0.3,0.5,-0.7369655941662062
ribose-phosphate_pyrophosphokinase,WP_014949014.1,F,Nucleotide_transport_and_metabolism,0.3%,,0.3,,
DNA-directed_RNA_polymerase_subunit_beta'_(rpoC),WP_014951038.1,K,Transcription,0.3%,0.3%,0.3,0.3,0.0
citrate_synthase,WP_014949444.1,C,Energy_production_and_conversion,0.3%,0.6%,0.3,0.6,-1.0
30S_ribosomal_protein_S13_(rpsM),WP_012519216.1,J,"Translation,_ribosomal_structure_and_biogenesis",0.3%,0.7%,0.3,0.7,-1.2223924213364479
TIGR04219_family_outer_membrane_beta-barrel_protein,WP_014950720.1,Unk,Unk,0.3%,,0.3,,
FKBP-type_peptidyl-prolyl_cis-trans_isomerase_(fkpA),WP_014951335.1,O,"Posttranslational_modification,_protein_turnover,_chaperones",0.3%,,0.3,,
30S_ribosomal_protein_S10_(rpsJ),WP_010179497.1,J,"Translation,_ribosomal_structure_and_biogenesis",,1.1%,,1.1,
30S_ribosomal_protein_S11_(rpsK),WP_012519215.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.5%,,0.5,
30S_ribosomal_protein_S15_(rpsO),WP_012518257.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.4%,,0.4,
30S_ribosomal_protein_S16_(rpsP),WP_014948832.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.6%,,0.6,
30S_ribosomal_protein_S19_(rpsS),WP_012516961.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.7%,,0.7,
30S_ribosomal_protein_S4_(rpsD),WP_012519214.1,J,"Translation,_ribosomal_structure_and_biogenesis",,1.1%,,1.1,
30S_ribosomal_protein_S5_(rpsE),WP_012519221.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.8%,,0.8,
30S_ribosomal_protein_S6_(rpsF),WP_014951120.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.5%,,0.5,
30S_ribosomal_protein_S7_(rpsG),WP_014951036.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.8%,,0.8,
30S_ribosomal_protein_S8_(rpsH),WP_012519224.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.5%,,0.5,
30S_ribosomal_protein_S9_(rpsI),WP_014948330.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.6%,,0.6,
50S_ribosomal_protein_L1_(rplA),WP_014951042.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.9%,,0.9,
50S_ribosomal_protein_L11_(rplK),WP_014951043.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.4%,,0.4,
50S_ribosomal_protein_L13_(rplM),WP_014948329.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.5%,,0.5,
50S_ribosomal_protein_L14_(rplN),WP_012519228.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.7%,,0.7,
50S_ribosomal_protein_L16_(rplP),WP_014947979.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.5%,,0.5,
50S_ribosomal_protein_L19_(rplS),WP_024015986.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.6%,,0.6,
50S_ribosomal_protein_L2_(rplB),WP_014947976.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.6%,,0.6,
50S_ribosomal_protein_L20_(rplT),WP_012518092.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.5%,,0.5,
50S_ribosomal_protein_L21_(rplU),WP_012517169.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.4%,,0.4,
50S_ribosomal_protein_L22_(rplV),WP_014947977.1,J,"Translation,_ribosomal_structure_and_biogenesis",,1.1%,,1.1,
50S_ribosomal_protein_L23_(rplW),WP_012516959.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.5%,,0.5,
50S_ribosomal_protein_L24_(rplX),WP_014950912.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.8%,,0.8,
50S_ribosomal_protein_L25/general_stress_proteinCtc,WP_014949011.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.7%,,0.7,
50S_ribosomal_protein_L27_(rpmA),WP_012517170.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.5%,,0.5,
50S_ribosomal_protein_L29_(rpmC),WP_014947980.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.6%,,0.6,
50S_ribosomal_protein_L4_(rplD),WP_012516958.1,J,"Translation,_ribosomal_structure_and_biogenesis",,1.3%,,1.3,
50S_ribosomal_protein_L6_(rplF),WP_014950909.1,J,"Translation,_ribosomal_structure_and_biogenesis",,1.1%,,1.1,
"6,7-dimethyl-8-ribityllumazine_synthase_(ribE)",WP_014950088.1,H,Coenzyme_transport_and_metabolism,,0.5%,,0.5,
acetate--CoA_ligase_(acs),WP_014950825.1,I,Lipid_transport_and_metabolism,,0.4%,,0.4,
adenylosuccinate_synthase,WP_014948109.1,F,Nucleotide_transport_and_metabolism,,0.4%,,0.4,
alanine_dehydrogenase_(ald),WP_014949636.1,E,Amino_acid_transport_and_metabolism,,0.3%,,0.3,
cold-shock_protein,WP_012519905.1,K,Transcription,,1.1%,,1.1,
DNA-directed_RNA_polymerase_subunit_alpha_(rpoA),WP_039226687.1,K,Transcription,,0.7%,,0.7,
DNA-directed_RNA_polymerase_subunit_beta_(rpoB),WP_014951039.1,K,Transcription,,0.4%,,0.4,
ketol-acid_reductoisomerase_(ilvC),WP_014951396.1,E!!!H,Amino_acid_transport_and_metabolism!!!Coenzyme_transport_and_metabolism,,0.5%,,0.5,
peroxiredoxin_C,WP_014948770.1,V,Defense_mechanisms,,0.4%,,0.4,
succinate_dehydrogenase_flavoprotein_subunit_(sdhA),WP_014949447.1,C,Energy_production_and_conversion,,0.5%,,0.5,
