gene_names,gene,locus_tag_ncbi,locus_tag,source,start,end,strand,Note,exception,inference,product,protein_id,Ontology_term_ncbi,go_component,go_function,go_process,old_locus_tags,start_cyanorak,end_cyanorak,strand_cyanorak,locus_tag_cyanoak,gene_names_cyanorak,Ontology_term_cyanorak,cluster_number,cyanorak_Role,cyanorak_Role_description,eggNOG,eggNOG_description,kegg,kegg_description,ontology_term_description,product_cyanorak,protein_domains,protein_domains_description,tIGR_Role,tIGR_Role_description
PMT9312_RS01475,,PMT9312_RS01475,PMT9312_0291,Protein Homology,279805.0,280650.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_002807982.1,MlaD family protein,WP_011375854.1,GO:0015914,,,phospholipid transport|0015914||IEA,PMT9312_0291,279805.0,280650.0,-,CK_Pro_MIT9312_00291,,,CK_00000264,,,"COG1463,bactNOG54973,bactNOG24579,bactNOG17583,cyaNOG06111,cyaNOG02454","COG: METABOLISM [Q] Secondary metabolites biosynthesis%2C transport and catabolism,bactNOG: METABOLISM [Q] Secondary metabolites biosynthesis%2C transport and catabolism,bactNOG: METABOLISM [Q] Secondary metabolites biosynthesis%2C transport and catabolism,bactNOG: METABOLISM [Q] Secondary metabolites biosynthesis%2C transport and catabolism,cyaNOG: METABOLISM [Q] Secondary metabolites biosynthesis%2C transport and catabolism,cyaNOG: METABOLISM [Q] Secondary metabolites biosynthesis%2C transport and catabolism",,,,ABC-type transport system%2C periplasmic component,"PF02470,IPR003399","MlaD protein,Mce/MlaD",185,Unclassified / Role category not yet assigned
PMT9312_RS01480,,PMT9312_RS01480,PMT9312_0292,Protein Homology,280656.0,281441.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_002807399.1,ABC transporter ATP-binding protein,WP_071813298.1,"GO:0005524,GO:0016887,GO:0042626,GO:0140359",,"ATP binding|0005524||IEA,ATP hydrolysis activity|0016887||IEA,ATPase-coupled transmembrane transporter activity|0042626||IEA,ABC-type transporter activity|0140359||IEA",,PMT9312_0292,280656.0,281378.0,-,CK_Pro_MIT9312_00292,,"GO:0005524,GO:0016887",CK_00008067,,,"COG1127,bactNOG04893,bactNOG61609,cyaNOG01988","COG: METABOLISM [Q] Secondary metabolites biosynthesis%2C transport and catabolism,bactNOG: METABOLISM [Q] Secondary metabolites biosynthesis%2C transport and catabolism,bactNOG: METABOLISM [Q] Secondary metabolites biosynthesis%2C transport and catabolism,cyaNOG: METABOLISM [Q] Secondary metabolites biosynthesis%2C transport and catabolism",,,"ATP binding,ATPase activity",ABC transporter family protein,"PF00005,PS00211,PS50893,IPR017871,IPR003439","ABC transporter,ABC transporters family signature.,ATP-binding cassette%2C ABC transporter-type domain profile.,ABC transporter%2C conserved site,ABC transporter-like",141,Transport and binding proteins / Unknown substrate
PMT9312_RS01485,,PMT9312_RS01485,PMT9312_0293,Protein Homology,281578.0,282963.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011862331.1,gluconeogenesis factor YvcK family protein,WP_011375856.1,"GO:0043743,GO:0051287",,"LPPG:FO 2-phospho-L-lactate transferase activity|0043743||IEA,NAD binding|0051287||IEA",,PMT9312_0293,281578.0,282963.0,+,CK_Pro_MIT9312_00293,,,CK_00000265,,,"COG0391,bactNOG02831,cyaNOG01026","COG: POORLY CHARACTERIZED [S] Function unknown,bactNOG: POORLY CHARACTERIZED [S] Function unknown,cyaNOG: POORLY CHARACTERIZED [S] Function unknown",,,,conserved hypothetical family protein,"TIGR01826,PF01933,IPR002882,IPR010119","conserved hypothetical protein,Uncharacterised protein family UPF0052,LPPG:FO 2-phospho-L-lactate transferase CofD/UPF0052,Gluconeogenesis factor",156,Hypothetical proteins / Conserved
PMT9312_RS01490,,PMT9312_RS01490,PMT9312_0294,Protein Homology,282960.0,283490.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012007091.1,NAD(P)H-quinone oxidoreductase subunit J,WP_011375857.1,,,,,PMT9312_0294,282960.0,283490.0,-,CK_Pro_MIT9312_00294,ndhJ,"GO:0055114,GO:0042773,GO:0050136,GO:0048038,GO:0016655,GO:0016021,GO:0042651",CK_00000266,"G.2,J.6","Electron transport,NADH dehydrogenase","COG0852,bactNOG13369,bactNOG37601,cyaNOG00004","COG: METABOLISM [C] Energy production and conversion,bactNOG: METABOLISM [C] Energy production and conversion,bactNOG: METABOLISM [C] Energy production and conversion,cyaNOG: METABOLISM [C] Energy production and conversion",1.6.99.5,Transferred to 1.6.5.11,"oxidation-reduction process,ATP synthesis coupled electron transport,oxidation-reduction process,ATP synthesis coupled electron transport,NADH dehydrogenase (quinone) activity,quinone binding,oxidoreductase activity%2C acting on NAD(P)H%2C quinone or similar compound as acceptor,oxidation-reduction process,ATP synthesis coupled electron transport,NADH dehydrogenase (quinone) activity,quinone binding,oxidoreductase activity%2C acting on NAD(P)H%2C quinone or similar compound as acceptor,integral component of membrane,thylakoid membrane",NADH dehydrogenase I subunit NdhJ,"PF00329,PS00542,IPR020396,IPR001268","Respiratory-chain NADH dehydrogenase%2C 30 Kd subunit,Respiratory chain NADH dehydrogenase 30 Kd subunit signature.,NADH:ubiquinone oxidoreductase%2C 30kDa subunit%2C conserved site,NADH:ubiquinone oxidoreductase%2C 30kDa subunit","112,164","Energy metabolism / Electron transport,Energy metabolism / Photosynthesis"
PMT9312_RS01495,,PMT9312_RS01495,PMT9312_0295,Protein Homology,283490.0,284224.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011375858.1,NADH dehydrogenase subunit K,WP_011375858.1,,,,,PMT9312_0295,283490.0,284224.0,-,CK_Pro_MIT9312_00295,ndhK,"GO:0055114,GO:0042773,GO:0050136,GO:0048038,GO:0016655,GO:0016021,GO:0042651",CK_00000267,"G.2,J.6","Electron transport,NADH dehydrogenase","COG0377,bactNOG17778,bactNOG24529,cyaNOG01280","COG: METABOLISM [C] Energy production and conversion,bactNOG: METABOLISM [C] Energy production and conversion,bactNOG: METABOLISM [C] Energy production and conversion,cyaNOG: METABOLISM [C] Energy production and conversion",1.6.99.5,Transferred to 1.6.5.11,"oxidation-reduction process,ATP synthesis coupled electron transport,oxidation-reduction process,ATP synthesis coupled electron transport,NADH dehydrogenase (quinone) activity,quinone binding,oxidoreductase activity%2C acting on NAD(P)H%2C quinone or similar compound as acceptor,oxidation-reduction process,ATP synthesis coupled electron transport,NADH dehydrogenase (quinone) activity,quinone binding,oxidoreductase activity%2C acting on NAD(P)H%2C quinone or similar compound as acceptor,integral component of membrane,thylakoid membrane",NADH dehydrogenase I subunit NdhK (chain beta or K),"TIGR01957,PF01058,PS01150,IPR006138,IPR006137","NADH-quinone oxidoreductase%2C B subunit,NADH ubiquinone oxidoreductase%2C 20 Kd subunit,Respiratory-chain NADH dehydrogenase 20 Kd subunit signature.,NADH-ubiquinone oxidoreductase%2C 20 Kd subunit,NADH:ubiquinone oxidoreductase-like%2C 20kDa subunit","112,164","Energy metabolism / Electron transport,Energy metabolism / Photosynthesis"
PMT9312_RS01500,,PMT9312_RS01500,PMT9312_0296,Protein Homology,284229.0,284591.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012411797.1,NAD(P)H-quinone oxidoreductase subunit 3,WP_011375859.1,,,,,PMT9312_0296,284229.0,284591.0,-,CK_Pro_MIT9312_00296,ndhC,"GO:0055114,GO:0042773,GO:0050136,GO:0048038,GO:0016655,GO:0016491,GO:0016021,GO:0042651",CK_00000268,"G.2,J.6","Electron transport,NADH dehydrogenase","COG0838,bactNOG37696,cyaNOG02645,cyaNOG05243","COG: METABOLISM [C] Energy production and conversion,bactNOG: METABOLISM [C] Energy production and conversion,cyaNOG: METABOLISM [C] Energy production and conversion,cyaNOG: METABOLISM [C] Energy production and conversion",1.6.99.5,Transferred to 1.6.5.11,"oxidation-reduction process,ATP synthesis coupled electron transport,oxidation-reduction process,ATP synthesis coupled electron transport,NADH dehydrogenase (quinone) activity,quinone binding,oxidoreductase activity%2C acting on NAD(P)H%2C quinone or similar compound as acceptor,oxidoreductase activity,oxidation-reduction process,ATP synthesis coupled electron transport,NADH dehydrogenase (quinone) activity,quinone binding,oxidoreductase activity%2C acting on NAD(P)H%2C quinone or similar compound as acceptor,oxidoreductase activity,integral component of membrane,thylakoid membrane",NADH dehydrogenase I subunit NdhC (chain 3 or alpha),"PF00507,IPR000440","NADH-ubiquinone/plastoquinone oxidoreductase%2C chain 3,NADH:ubiquinone/plastoquinone oxidoreductase%2C chain 3","112,164","Energy metabolism / Electron transport,Energy metabolism / Photosynthesis"
PMT9312_RS01505,,PMT9312_RS01505,PMT9312_0297,Protein Homology,284668.0,285096.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011375860.1,rubredoxin,WP_011375860.1,,,,,PMT9312_0297,284668.0,285096.0,+,CK_Pro_MIT9312_00297,rub,GO:0009055,CK_00000269,G.2,Electron transport,"COG1773,bactNOG32261,cyaNOG03296","COG: METABOLISM [C] Energy production and conversion,bactNOG: METABOLISM [C] Energy production and conversion,cyaNOG: METABOLISM [C] Energy production and conversion",,,electron transfer activity,rubredoxin,"PF00301,PS50903,IPR024934,IPR024935","Rubredoxin,Rubredoxin-like domain profile.,Rubredoxin-like domain,Rubredoxin domain",112,Energy metabolism / Electron transport
PMT9312_RS01510,,PMT9312_RS01510,PMT9312_0298,Protein Homology,285106.0,286122.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011862336.1,photosynthesis system II assembly factor Ycf48,WP_011375861.1,,,,,PMT9312_0298,285106.0,286122.0,+,CK_Pro_MIT9312_00298,ycf48,,CK_00000270,"J.8,L.3","Photosystem II,Protein folding and stabilization","COG4447,bactNOG37360,bactNOG11783,bactNOG44859,bactNOG51410,bactNOG45366,bactNOG30534,bactNOG17484,bactNOG01248,bactNOG84492,cyaNOG01283","COG: POORLY CHARACTERIZED [R] General function prediction only,bactNOG: POORLY CHARACTERIZED [R] General function prediction only,bactNOG: POORLY CHARACTERIZED [R] General function prediction only,bactNOG: POORLY CHARACTERIZED [R] General function prediction only,bactNOG: POORLY CHARACTERIZED [S] Function unknown,bactNOG: POORLY CHARACTERIZED [R] General function prediction only,bactNOG: POORLY CHARACTERIZED [S] Function unknown,bactNOG: POORLY CHARACTERIZED [R] General function prediction only,bactNOG: POORLY CHARACTERIZED [R] General function prediction only,bactNOG: POORLY CHARACTERIZED [S] Function unknown,cyaNOG: POORLY CHARACTERIZED [R] General function prediction only",,,,photosystem II stability/assembly factor,"PF14870,PS51257,IPR028203","Photosynthesis system II assembly factor YCF48,Prokaryotic membrane lipoprotein lipid attachment site profile.,Photosynthesis system II assembly factor Ycf48/Hcf136-like domain",95,Protein fate / Protein folding and stabilization
psbE,psbE,PMT9312_RS01515,PMT9312_0299,Protein Homology,286258.0,286506.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012194879.1,cytochrome b559 subunit alpha,WP_002806020.1,"GO:0009767,GO:0015979,GO:0019684,GO:0020037,GO:0009523",photosystem II|0009523||IEA,heme binding|0020037||IEA,"photosynthetic electron transport chain|0009767||IEA,photosynthesis|0015979||IEA,photosynthesis%2C light reaction|0019684||IEA",PMT9312_0299,286258.0,286506.0,+,CK_Pro_MIT9312_00299,psbE,"GO:0015979,GO:0020037,GO:0009523",CK_00000271,J.8,Photosystem II,"NOG07088,COG0477,bactNOG29874,bactNOG66326,bactNOG39242,cyaNOG03329","COG: METABOLISM [C] Energy production and conversion,COG: GEPR,bactNOG: METABOLISM [C] Energy production and conversion,bactNOG: METABOLISM [C] Energy production and conversion,bactNOG: METABOLISM [C] Energy production and conversion,cyaNOG: METABOLISM [C] Energy production and conversion",,,"photosynthesis,photosynthesis,heme binding,photosynthesis,heme binding,photosystem II",cytochrome b559%2C alpha subunit,"TIGR01332,PF00284,PF00283,IPR006217,IPR013082,IPR013081","cytochrome b559%2C alpha subunit,Lumenal portion of Cytochrome b559%2C alpha (gene psbE) subunit,Cytochrome b559%2C alpha (gene psbE) and beta (gene psbF)subunits,Photosystem II cytochrome b559%2C alpha subunit,Photosystem II cytochrome b559%2C alpha subunit%2C lumenal region,Photosystem II cytochrome b559%2C N-terminal",164,Energy metabolism / Photosynthesis
psbF,psbF,PMT9312_RS01520,PMT9312_0300,Protein Homology,286509.0,286655.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011375863.1,cytochrome b559 subunit beta,WP_011375863.1,"GO:0009767,GO:0015979,GO:0019684,GO:0020037,GO:0009523,GO:0009539,GO:0016020","photosystem II|0009523||IEA,photosystem II reaction center|0009539||IEA,membrane|0016020||IEA",heme binding|0020037||IEA,"photosynthetic electron transport chain|0009767||IEA,photosynthesis|0015979||IEA,photosynthesis%2C light reaction|0019684||IEA",PMT9312_0300,286509.0,286655.0,+,CK_Pro_MIT9312_00300,psbF1,"GO:0015979,GO:0020037,GO:0009523",CK_00001665,J.8,Photosystem II,"NOG09649,bactNOG50746,cyaNOG04233","COG: METABOLISM [C] Energy production and conversion,bactNOG: METABOLISM [C] Energy production and conversion,cyaNOG: METABOLISM [C] Energy production and conversion",,,"photosynthesis,photosynthesis,heme binding,photosynthesis,heme binding,photosystem II",cytochrome b559%2C beta subunit,"TIGR01333,PF00283,PS00537,IPR006216,IPR013081,IPR006241","cytochrome b559%2C beta subunit,Cytochrome b559%2C alpha (gene psbE) and beta (gene psbF)subunits,Cytochrome b559 subunits heme-binding site signature.,Photosystem II cytochrome b559%2C conserved site,Photosystem II cytochrome b559%2C N-terminal,Photosystem II cytochrome b559%2C beta subunit",164,Energy metabolism / Photosynthesis
PMT9312_RS09410,,PMT9312_RS09410,PMT9312_0301,Protein Homology,286667.0,286786.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_009544126.1,photosystem II reaction center protein L,WP_002806119.1,,,,,PMT9312_0301,286667.0,286786.0,+,CK_Pro_MIT9312_00301,psbL,"GO:0015979,GO:0009523",CK_00001331,J.8,Photosystem II,"NOG09652,bactNOG51433,cyaNOG04504","COG: POORLY CHARACTERIZED [S] Function unknown,bactNOG: METABOLISM [C] Energy production and conversion,cyaNOG: METABOLISM [C] Energy production and conversion",,,"photosynthesis,photosynthesis,photosystem II",photosystem II reaction center protein PsbL,"PF02419,IPR003372","PsbL protein,Photosystem II PsbL",164,Energy metabolism / Photosynthesis
PMT9312_RS01525,,PMT9312_RS01525,PMT9312_0302,Protein Homology,286796.0,286993.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011375864.1,photosystem II reaction center protein J,WP_011375864.1,,,,,PMT9312_0302,286796.0,286993.0,+,CK_Pro_MIT9312_00302,psbJ,"GO:0015979,GO:0009523",CK_00000272,J.8,Photosystem II,"NOG39942,bactNOG51390,cyaNOG04513","COG: POORLY CHARACTERIZED [S] Function unknown,bactNOG: POORLY CHARACTERIZED [S] Function unknown,cyaNOG: POORLY CHARACTERIZED [S] Function unknown",,,"photosynthesis,photosynthesis,photosystem II",photosystem II reaction center protein PsbJ,"PF01788,IPR002682","PsbJ,Photosystem II PsbJ",164,Energy metabolism / Photosynthesis
mtnP,mtnP,PMT9312_RS01530,PMT9312_0303,Protein Homology,287037.0,287930.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011862337.1,S-methyl-5'-thioadenosine phosphorylase,WP_011375865.1,"GO:0006168,GO:0019509,GO:0017061",,S-methyl-5-thioadenosine phosphorylase activity|0017061||IEA,"adenine salvage|0006168||IEA,L-methionine salvage from methylthioadenosine|0019509||IEA",PMT9312_0303,287037.0,287930.0,-,CK_Pro_MIT9312_00303,mtnP,"GO:0006168,GO:0019509,GO:0017061",CK_00000821,M.5,Salvage of nucleosides and nucleotides,"COG0005,bactNOG01328,cyaNOG00938","COG: METABOLISM [F] Nucleotide transport and metabolism,bactNOG: METABOLISM [F] Nucleotide transport and metabolism,cyaNOG: METABOLISM [F] Nucleotide transport and metabolism",2.4.2.28,S-methyl-5'-thioadenosine phosphorylase%3B 5'-deoxy-5'-methylthioadenosine phosphorylase%3B MTA phosphorylase%3B MeSAdo phosphorylase%3B MeSAdo/Ado phosphorylase%3B methylthioadenosine phosphorylase%3B methylthioadenosine nucleoside phosphorylase%3B 5'-methylthioadenosine:phosphate methylthio-D-ribosyl-transferase%3B S-methyl-5-thioadenosine phosphorylase%3B S-methyl-5-thioadenosine:phosphate S-methyl-5-thio-alpha-D-ribosyl-transferase,"adenine salvage,L-methionine salvage from methylthioadenosine,adenine salvage,L-methionine salvage from methylthioadenosine,S-methyl-5-thioadenosine phosphorylase activity",methylthioadenosine phosphorylase,"TIGR01694,PF01048,PS01240,IPR018099,IPR010044,IPR000845","methylthioadenosine phosphorylase,Phosphorylase superfamily,Purine and other phosphorylases family 2 signature.,Purine phosphorylase%2C family 2%2C conserved site,Methylthioadenosine phosphorylase (MTAP),Nucleoside phosphorylase domain","102,127","Central intermediary metabolism / Other,Purines%2C pyrimidines%2C nucleosides%2C and nucleotides / Salvage of nucleosides and nucleotides"
selD,selD,PMT9312_RS01535,PMT9312_0304,Protein Homology,287941.0,290112.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011817790.1,selenide%2C water dikinase SelD,WP_011375866.1,"GO:0001887,GO:0004756,GO:0005524",,"selenide%2C water dikinase activity|0004756||IEA,ATP binding|0005524||IEA",selenium compound metabolic process|0001887||IEA,PMT9312_0304,287941.0,290112.0,+,CK_Pro_MIT9312_00304,selD,"GO:0055114,GO:0005524,GO:0016491",CK_00000277,A.7,Other,"COG1252,COG0709,bactNOG02267,bactNOG31735,cyaNOG00514","COG: METABOLISM [C] Energy production and conversion,COG: METABOLISM [E] Amino acid transport and metabolism,bactNOG: METABOLISM [E] Amino acid transport and metabolism,bactNOG: METABOLISM [C] Energy production and conversion,cyaNOG: METABOLISM [E] Amino acid transport and metabolism",2.7.9.3,selenide%2C water dikinase%3B selenophosphate synthase,"oxidation-reduction process,oxidation-reduction process,ATP binding,oxidoreductase activity",bifunctional selenide%2C water dikinase / oxidoreductase fusion protein,"TIGR00476,PF00586,PF02769,IPR000728,IPR010918,IPR017584,IPR030805,IPR004536,IPR023753,IPR016188","selenide%2C water dikinase,AIR synthase related protein%2C N-terminal domain,AIR synthase related protein%2C C-terminal domain,Description not found.,PurM-like%2C C-terminal domain,Pyridine nucleotide-disulphide oxidoreductase family protein%2C N-terminal,Oxidoreductase-SelD-related fusion protein,Selenophosphate synthetase,FAD/NAD(P)-binding domain,PurM-like%2C N-terminal domain",69,Amino acid biosynthesis / Other
PMT9312_RS01540,,PMT9312_RS01540,PMT9312_0305,Protein Homology,290113.0,291360.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011817791.1,CCA tRNA nucleotidyltransferase,WP_011375867.1,,,,,PMT9312_0305,290113.0,291360.0,-,CK_Pro_MIT9312_00305,pcnB,"GO:0006396,GO:0003723,GO:0016779",CK_00000278,P.4,RNA processing,"COG0617,bactNOG01635,bactNOG70716,cyaNOG01502","COG: INFORMATION STORAGE AND PROCESSING [J] Translation%2C ribosomal structure and biogenesis,bactNOG: INFORMATION STORAGE AND PROCESSING [J] Translation%2C ribosomal structure and biogenesis,bactNOG: INFORMATION STORAGE AND PROCESSING [J] Translation%2C ribosomal structure and biogenesis,cyaNOG: INFORMATION STORAGE AND PROCESSING [J] Translation%2C ribosomal structure and biogenesis",2.7.7.19,polynucleotide adenylyltransferase%3B NTP polymerase%3B RNA adenylating enzyme%3B AMP polynucleotidylexotransferase%3B ATP-polynucleotide adenylyltransferase%3B ATP:polynucleotidylexotransferase%3B poly(A) polymerase%3B poly(A) synthetase%3B polyadenylate nucleotidyltransferase%3B polyadenylate polymerase%3B polyadenylate synthetase%3B polyadenylic acid polymerase%3B polyadenylic polymerase%3B terminal riboadenylate transferase%3B poly(A) hydrolase%3B RNA formation factors%2C PF1%3B adenosine triphosphate:ribonucleic acid adenylyltransferase,"RNA processing,RNA processing,RNA binding,nucleotidyltransferase activity",poly(A) polymerase,"PF01743,IPR002646","Poly A polymerase head domain,Poly A polymerase%2C head domain",166,Transcription / RNA processing
PMT9312_RS01545,,PMT9312_RS01545,PMT9312_0306,Protein Homology,291366.0,293774.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011375868.1,UvrD-helicase domain-containing protein,WP_011375868.1,GO:0005524,,ATP binding|0005524||IEA,,PMT9312_0306,291366.0,293774.0,-,CK_Pro_MIT9312_00306,uvrD,"GO:0006281,GO:0003677",CK_00000116,F.1.2,Nucleotide excision repair,"COG0210,bactNOG01073,cyaNOG00521","COG: INFORMATION STORAGE AND PROCESSING [L] Replication%2C recombination and repair,bactNOG: INFORMATION STORAGE AND PROCESSING [L] Replication%2C recombination and repair,cyaNOG: INFORMATION STORAGE AND PROCESSING [L] Replication%2C recombination and repair",3.6.4.12,DNA helicase%3B 3' to 5' DNA helicase%3B 3'-5' DNA helicase%3B 3'-5' PfDH%3B 5' to 3' DNA helicase%3B AvDH1%3B BACH1 helicase%3B BcMCM%3B BLM protein%3B BRCA1-associated C-terminal helicase%3B CeWRN-1%3B Dbp9p%3B DmRECQ5%3B DNA helicase 120%3B DNA helicase A%3B DNA helicase E%3B DNA helicase II%3B DNA helicase III%3B DNA helicase RECQL5beta%3B DNA helicase VI%3B dnaB%3B DnaB helicase E1%3B helicase HDH IV%3B Hel E%3B helicase DnaB%3B helicase domain of bacteriophage T7 gene 4 protein helicase%3B PcrA helicase%3B UvrD%3B hHcsA%3B Hmi1p%3B hPif1%3B MCM helicase%3B MCM protein%3B MER3 helicase%3B MER3 protein%3B MPH1%3B PcrA%3B PcrA helicase%3B PDH120%3B PfDH A%3B Pfh1p%3B PIF1,"DNA repair,DNA repair,DNA binding",DNA-dependent ATPase I and helicase II,"PF13361,PF00580,PS51217,PS51198,IPR014017,IPR014016","UvrD-like helicase C-terminal domain,UvrD/REP helicase N-terminal domain,UvrD-like DNA helicase C-terminal domain profile.,UvrD-like DNA helicase ATP-binding domain profile.,UvrD-like DNA helicase%2C C-terminal,UvrD-like helicase%2C ATP-binding domain",132,DNA metabolism / DNA replication%2C recombination%2C and repair
PMT9312_RS01555,,PMT9312_RS01555,PMT9312_0307,Protein Homology,294182.0,294694.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011817794.1,phycobilisome protein,WP_011375869.1,,,,,PMT9312_0307,294182.0,294694.0,+,CK_Pro_MIT9312_00307,ppeB,"GO:0016038,GO:0031992,GO:0030089",CK_00008002,J.5.3,Phycoerythrin,"COG1947,NOG43668,bactNOG02774,cyaNOG01261","COG: METABOLISM [I] Lipid transport and metabolism,COG: POORLY CHARACTERIZED [S] Function unknown,bactNOG: POORLY CHARACTERIZED [S] Function unknown,cyaNOG: POORLY CHARACTERIZED [S] Function unknown",,,"absorption of visible light,absorption of visible light,energy transducer activity,absorption of visible light,energy transducer activity,phycobilisome",phycoerythrin class III%2C beta subunit,"PF00502,IPR012128","Phycobilisome protein,Phycobilisome%2C alpha/beta subunit",164,Energy metabolism / Photosynthesis
PMT9312_RS01560,,PMT9312_RS01560,PMT9312_0308,Protein Homology,294678.0,295229.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011375870.1,phycobiliprotein lyase,WP_011375870.1,GO:0017009,,,protein-phycocyanobilin linkage|0017009||IEA,PMT9312_0308,294678.0,295229.0,-,CK_Pro_MIT9312_00308,cpeS,"GO:0017007,GO:0030089",CK_00001397,J.5.4,Phycobilin lyase,"NOG12629,NOG42487,NOG299257,COG0840,bactNOG61890,bactNOG19378,bactNOG75460,cyaNOG00892,cyaNOG02647,cyaNOG08371","COG: POORLY CHARACTERIZED [S] Function unknown,COG: POORLY CHARACTERIZED [S] Function unknown,COG: NT,bactNOG: POORLY CHARACTERIZED [S] Function unknown,bactNOG: POORLY CHARACTERIZED [S] Function unknown,bactNOG: POORLY CHARACTERIZED [S] Function unknown,cyaNOG: POORLY CHARACTERIZED [S] Function unknown,cyaNOG: POORLY CHARACTERIZED [S] Function unknown,cyaNOG: POORLY CHARACTERIZED [S] Function unknown",,,"protein-bilin linkage,protein-bilin linkage,phycobilisome",phycoerythrobilin:Cys-82 beta-phycoerythrin lyase,"PF09367,IPR018536","CpeS-like protein,Chromophore lyase CpcS/CpeS",164,Energy metabolism / Photosynthesis
PMT9312_RS01565,,PMT9312_RS01565,PMT9312_0309,Protein Homology,295204.0,295383.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011131944.1,hypothetical protein,WP_011375871.1,,,,,PMT9312_0309,295204.0,295383.0,-,CK_Pro_MIT9312_00309,unk6,,CK_00005948,R.2,Conserved hypothetical proteins,COG0188,COG: INFORMATION STORAGE AND PROCESSING [L] Replication%2C recombination and repair,,,,conserved hypothetical protein,,,156,Hypothetical proteins / Conserved
PMT9312_RS01570,,PMT9312_RS01570,PMT9312_0310,Protein Homology,295502.0,296137.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012007104.1,TVP38/TMEM64 family protein,WP_011375872.1,GO:0016020,membrane|0016020||IEA,,,PMT9312_0310,295502.0,296137.0,-,CK_Pro_MIT9312_00310,unk3,,CK_00001398,R.2,Conserved hypothetical proteins,"NOG121658,COG0398,COG0477,bactNOG31650,cyaNOG02882","COG: POORLY CHARACTERIZED [S] Function unknown,COG: POORLY CHARACTERIZED [S] Function unknown,COG: GEPR,bactNOG: POORLY CHARACTERIZED [S] Function unknown,cyaNOG: POORLY CHARACTERIZED [S] Function unknown",,,,uncharacterized membrane protein,PF09335,SNARE associated Golgi protein,156,Hypothetical proteins / Conserved
PMT9312_RS01575,,PMT9312_RS01575,PMT9312_0311,Protein Homology,296285.0,296704.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_002807207.1,hypothetical protein,WP_011375873.1,,,,,PMT9312_0311,296285.0,296704.0,+,CK_Pro_MIT9312_00311,,,CK_00003363,R.2,Conserved hypothetical proteins,,,,,,conserved hypothetical protein,,,156,Hypothetical proteins / Conserved
PMT9312_RS01580,,PMT9312_RS01580,PMT9312_0312,Protein Homology,296966.0,297958.0,-,,,COORDINATES: protein motif:HMM:NF012863.5,SGNH/GDSL hydrolase family protein,WP_155105301.1,GO:0016788,,hydrolase activity%2C acting on ester bonds|0016788||IEA,,PMT9312_0312,296966.0,298114.0,-,CK_Pro_MIT9312_00312,,"GO:0006629,GO:0016788",CK_00043682,,,,,,,"lipid metabolic process,lipid metabolic process,hydrolase activity%2C acting on ester bonds",conserved hypothetical protein,"PF00657,IPR001087","GDSL-like Lipase/Acylhydrolase,GDSL lipase/esterase",856,Not Found
PMT9312_RS09965,,PMT9312_RS09965,PMT9312_0313,Protein Homology,298123.0,298284.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012196014.1,DUF5989 family protein,WP_011375875.1,,,,,PMT9312_0313,298123.0,298284.0,-,CK_Pro_MIT9312_00313,,,CK_00005441,,,"NOG82243,bactNOG44832,bactNOG79203,cyaNOG04237","COG: POORLY CHARACTERIZED [S] Function unknown,bactNOG: POORLY CHARACTERIZED [S] Function unknown,bactNOG: POORLY CHARACTERIZED [S] Function unknown,cyaNOG: POORLY CHARACTERIZED [S] Function unknown",,,,putative sxtK,,,185,Unclassified / Role category not yet assigned
PMT9312_RS01585,,PMT9312_RS01585,PMT9312_0314,Protein Homology,298287.0,298682.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011375876.1,SxtJ family membrane protein,WP_011375876.1,,,,,PMT9312_0314,298287.0,298682.0,-,CK_Pro_MIT9312_00314,,GO:0016020,CK_00002659,,,"NOG257052,NOG82079,NOG269001,bactNOG92612,bactNOG46865,cyaNOG04041","COG: POORLY CHARACTERIZED [R] General function prediction only,bactNOG: POORLY CHARACTERIZED [S] Function unknown,bactNOG: POORLY CHARACTERIZED [S] Function unknown,cyaNOG: POORLY CHARACTERIZED [S] Function unknown",,,membrane,putative membrane protein,,,88,Cell envelope / Other
