Protein,Gene,ORF,# peptides,Control MEAN,deplete MEAN,deplete SD,Ratio of means,log2_fold_change,resolved_locus_tag,resolution_method
Histone-like DNA-binding protein,HistDNA,PMT9312_1419,4,0.851001452,0.694836104,0.26809106,0.816492266,-0.2924888745704357,PMT9312_1419,locus_tag:ORF
Hypothetical protein,Hyp_1383,PMT9312_1383,4,0.839980923,1.03365003,0.312542067,1.230563697,0.2993193371683719,PMT9312_1383,locus_tag:ORF
Photosystem II 44 kDa subunit reaction center protein,CP43,PMT9312_1257,4,0.976910131,0.773144758,0.355459076,0.791418508,-0.3374872905224184,PMT9312_1257,locus_tag:ORF
Putative secreted protein precursor,phoA,PMT9312_0720,4,0.842231427,7.875248469,2.559760646,9.35045668,3.2250368285170405,PMT9312_0720,locus_tag:ORF
Photosystem II reaction center Psb27 protein-like precursor,psb27,PMT9312_0508,4,0.962067671,1.041393606,0.16793182,1.082453592,0.1143051736571593,PMT9312_0508,locus_tag:ORF
Photosystem II manganese-stabilizing protein precursor,psbO,PMT9312_0230,4,1.028864938,0.76075594,0.048871593,0.739412835,-0.435548008313604,PMT9312_0230,locus_tag:ORF
Photosystem I PsaL protein (Subunit XI),psaL,PMT9312_1611,5,1.111550158,1.90521016,0.466012754,1.714011866,0.7773770971750908,PMT9312_1611,locus_tag:ORF
"Signal peptide peptidase SppA, 36K type",sppA,PMT9312_1281,5,0.921596079,1.115255455,0.271823062,1.210134765,0.2751677202030582,PMT9312_1281,locus_tag:ORF
Ferredoxin-NADP oxidoreductase (FNR),FNR,PMT9312_1086,5,1.214525707,1.480998403,0.275292914,1.21940474,0.2861770590791392,PMT9312_1086,locus_tag:ORF
Ribulose-bisphosphate carboxylase,rbcS,PMT9312_0551,5,0.956823285,0.407312534,0.08588369,0.425692539,-1.2321162902787308,PMT9312_0551,locus_tag:ORF
Photosystem I protein PsaD,psaD,PMT9312_1670,6,1.114634946,1.380304935,0.269570618,1.238347083,0.308415728723029,PMT9312_1670,locus_tag:ORF
ATP synthase subunit alpha,atpA,PMT9312_1544,6,1.064653687,1.0853269,0.144609659,1.019417782,0.0277454239233893,PMT9312_1544,locus_tag:ORF
Photosystem I P700 chlorophyll a apoprotein A1,psaA,PMT9312_1616,7,0.944664773,1.020491964,0.309956155,1.080268889,0.1113904573366976,PMT9312_1616,locus_tag:ORF
Photosystem I P700 chlorophyll a apoprotein A2,psaB,PMT9312_1615,7,0.864105839,0.843458643,0.39708781,0.97610571,-0.0348906980885655,PMT9312_1615,locus_tag:ORF
ATP synthase subunit beta,atpD,PMT9312_1531,7,1.041612139,0.884412131,0.027475575,0.849080092,-0.2360274481981841,PMT9312_1531,locus_tag:ORF
Porin precursor-like,Porin_1131,PMT9312_1131,7,0.853243554,0.90172272,0.081848721,1.056817501,0.0797262630645715,PMT9312_1131,locus_tag:ORF
Band 7 protein,Band 7,PMT9312_0483,10,0.887831925,1.125869882,0.240425139,1.268111509,0.3426816117297284,PMT9312_0483,locus_tag:ORF
50S ribosomal protein L7/L12,rplL,PMT9312_0203,10,0.890979996,0.491079461,0.042525943,0.551167774,-0.8594365567173103,PMT9312_0203,locus_tag:ORF
Periplasmic phosphate binding protein precursor,pstS,PMT9312_0722,12,0.941792693,3.131025785,0.799808437,3.324538202,1.7331539556651812,PMT9312_0722,locus_tag:ORF
Ribulose bisphosphate carboxylase large chain,rbcL,PMT9312_0550,15,1.003066372,0.531655501,0.081575914,0.530030231,-0.9158534467776348,PMT9312_0550,locus_tag:ORF
Carboxysome shell protein CsoS1,csoS1,PMT9312_0549,53,1.055331734,0.698066106,0.141825475,0.661466043,-0.5962609986297385,PMT9312_0549,locus_tag:ORF
