gene_names,gene,locus_tag_ncbi,locus_tag,source,start,end,strand,Note,exception,inference,product,protein_id,Ontology_term,go_component,go_function,go_process,gene_synonym,old_locus_tags,ec_numbers
SYNPCC7942_RS00065,,SYNPCC7942_RS00065,Synpcc7942_0013,Protein Homology,12321,13028,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011243794.1,hypothetical protein,WP_011243794.1,,,,,,Synpcc7942_0013,
SYNPCC7942_RS00070,,SYNPCC7942_RS00070,Synpcc7942_0014,Protein Homology,13067,13411,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011243793.1,hypothetical protein,WP_011243793.1,,,,,,Synpcc7942_0014,
SYNPCC7942_RS00075,,SYNPCC7942_RS00075,Synpcc7942_0015,Protein Homology,13577,14248,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011243792.1,Fe2+-dependent dioxygenase,WP_011243792.1,,,,,,Synpcc7942_0015,
SYNPCC7942_RS00080,,SYNPCC7942_RS00080,SYNPCC7942_RS00080,Protein Homology,14425,14628,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_006456724.1,hypothetical protein,WP_039755514.1,,,,,,,
SYNPCC7942_RS00085,,SYNPCC7942_RS00085,Synpcc7942_0016,Protein Homology,15020,15604,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011243791.1,hypothetical protein,WP_011243791.1,,,,,,Synpcc7942_0016,
SYNPCC7942_RS00090,,SYNPCC7942_RS00090,Synpcc7942_0017,Protein Homology,15630,16193,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011243790.1,bifunctional 4-hydroxy-2-oxoglutarate aldolase/2-dehydro-3-deoxy-phosphogluconate aldolase,WP_011243790.1,,,,,,Synpcc7942_0017,"4.1.2.14,4.1.3.16"
glyS,glyS,SYNPCC7942_RS00095,Synpcc7942_0018,Protein Homology,16206,18392,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011243789.1,glycine--tRNA ligase subunit beta,WP_011377402.1,"GO:0006426,GO:0000166,GO:0004820,GO:0005524,GO:0005737",cytoplasm|0005737||IEA,"nucleotide binding|0000166||IEA,glycine-tRNA ligase activity|0004820||IEA,ATP binding|0005524||IEA",glycyl-tRNA aminoacylation|0006426||IEA,,Synpcc7942_0018,6.1.1.14
sir,sir,SYNPCC7942_RS00100,Synpcc7942_0019,Protein Homology,18615,20489,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011377403.1,sulfite reductase%2C ferredoxin dependent,WP_011377403.1,"GO:0020037,GO:0050311,GO:0051539",,"heme binding|0020037||IEA,sulfite reductase (ferredoxin) activity|0050311||IEA,4 iron%2C 4 sulfur cluster binding|0051539||IEA",,,Synpcc7942_0019,1.8.7.1
SYNPCC7942_RS00105,,SYNPCC7942_RS00105,Synpcc7942_0020,Protein Homology,20490,21092,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011243787.1,hypothetical protein,WP_011243787.1,,,,,,Synpcc7942_0020,
SYNPCC7942_RS00110,,SYNPCC7942_RS00110,Synpcc7942_0021,Protein Homology,21134,21874,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011243786.1,cobalt-precorrin-6A reductase,WP_011243786.1,"GO:0009236,GO:0016994",,precorrin-6A reductase activity|0016994||IEA,cobalamin biosynthetic process|0009236||IEA,,Synpcc7942_0021,1.3.1.106
SYNPCC7942_RS00115,,SYNPCC7942_RS00115,Synpcc7942_0022,Protein Homology,21880,23049,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011377404.1,pentapeptide repeat-containing protein,WP_011377404.1,,,,,,Synpcc7942_0022,
cax,cax,SYNPCC7942_RS00120,Synpcc7942_0023,Protein Homology,23057,24121,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011243784.1,calcium/proton exchanger,WP_011243784.1,"GO:0006816,GO:0015369",,calcium:proton antiporter activity|0015369||IEA,calcium ion transport|0006816||IEA,,Synpcc7942_0023,
SYNPCC7942_RS00125,,SYNPCC7942_RS00125,Synpcc7942_0024,Protein Homology,24181,25371,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011243783.1,DUF4336 domain-containing protein,WP_011377405.1,,,,,,Synpcc7942_0024,
SYNPCC7942_RS00130,,SYNPCC7942_RS00130,Synpcc7942_0025,Protein Homology,25479,27122,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011377406.1,alpha/beta hydrolase,WP_161565872.1,,,,,,Synpcc7942_0025,
SYNPCC7942_RS00135,,SYNPCC7942_RS00135,Synpcc7942_0026,Protein Homology,27082,28059,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011243781.1,aldo/keto reductase,WP_011243781.1,,,,,,Synpcc7942_0026,
SYNPCC7942_RS00140,,SYNPCC7942_RS00140,Synpcc7942_0027,Protein Homology,28220,29350,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011243780.1,aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme,WP_265575057.1,"GO:0016747,GO:0030170",,"acyltransferase activity%2C transferring groups other than amino-acyl groups|0016747||IEA,pyridoxal phosphate binding|0030170||IEA",,,Synpcc7942_0027,2.3.-.-
SYNPCC7942_RS00145,,SYNPCC7942_RS00145,Synpcc7942_0028,Protein Homology,29347,30015,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011377407.1,alpha/beta hydrolase,WP_011377407.1,,,,,,Synpcc7942_0028,
SYNPCC7942_RS00150,,SYNPCC7942_RS00150,Synpcc7942_0029,Protein Homology,30012,30833,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011243778.1,methyltransferase domain-containing protein,WP_011243778.1,,,,,,Synpcc7942_0029,
bioD,bioD,SYNPCC7942_RS00155,Synpcc7942_0030,Protein Homology,30839,31471,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011243777.1,dethiobiotin synthase,WP_011243777.1,"GO:0009102,GO:0000287,GO:0004141,GO:0005524",,"magnesium ion binding|0000287||IEA,dethiobiotin synthase activity|0004141||IEA,ATP binding|0005524||IEA",biotin biosynthetic process|0009102||IEA,,Synpcc7942_0030,6.3.3.3
bioA,bioA,SYNPCC7942_RS00160,Synpcc7942_0031,Protein Homology,31464,32738,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011243776.1,adenosylmethionine--8-amino-7-oxononanoate transaminase,WP_011243776.1,"GO:0009102,GO:0004015",,adenosylmethionine-8-amino-7-oxononanoate transaminase activity|0004015||IEA,biotin biosynthetic process|0009102||IEA,,Synpcc7942_0031,2.6.1.62
SYNPCC7942_RS00165,,SYNPCC7942_RS00165,Synpcc7942_0032,Protein Homology,32849,33202,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011243775.1,HepT-like ribonuclease domain-containing protein,WP_011243775.1,,,,,,Synpcc7942_0032,3.1.27.-
SYNPCC7942_RS13645,,SYNPCC7942_RS13645,Synpcc7942_0033,Protein Homology,33174,33506,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011243774.1,nucleotidyltransferase family protein,WP_011243774.1,"GO:0016779,GO:0046872",,"nucleotidyltransferase activity|0016779||IEA,metal ion binding|0046872||IEA",,,Synpcc7942_0033,2.7.7.-
SYNPCC7942_RS00170,,SYNPCC7942_RS00170,SYNPCC7942_RS00170,GeneMarkS-2+,33960,34289,+,,,COORDINATES: ab initio prediction:GeneMarkS-2+,hypothetical protein,WP_039755513.1,,,,,,,
SYNPCC7942_RS00175,,SYNPCC7942_RS00175,Synpcc7942_0035,Protein Homology,34357,35115,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011377409.1,hypothetical protein,WP_011377409.1,,,,,,Synpcc7942_0035,
SYNPCC7942_RS00180,,SYNPCC7942_RS00180,Synpcc7942_0036,Protein Homology,35341,36126,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011377410.1,hypothetical protein,WP_011377410.1,,,,,,Synpcc7942_0036,
SYNPCC7942_RS00185,,SYNPCC7942_RS00185,Synpcc7942_0037,GeneMarkS-2+,36123,36326,-,,,COORDINATES: ab initio prediction:GeneMarkS-2+,hypothetical protein,WP_011377411.1,,,,,,Synpcc7942_0037,
SYNPCC7942_RS00190,,SYNPCC7942_RS00190,Synpcc7942_0038,Protein Homology,36479,36955,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011377412.1,NUDIX hydrolase,WP_011377412.1,"GO:0016818,GO:0046872",,"hydrolase activity%2C acting on acid anhydrides%2C in phosphorus-containing anhydrides|0016818||IEA,metal ion binding|0046872||IEA",,,Synpcc7942_0038,3.6.1.-
gndA,gndA,SYNPCC7942_RS00195,Synpcc7942_0039,Protein Homology,37130,38545,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011243770.1,NADP-dependent phosphogluconate dehydrogenase,WP_011377413.1,"GO:0006098,GO:0004616,GO:0050661",,"phosphogluconate dehydrogenase (decarboxylating) activity|0004616||IEA,NADP binding|0050661||IEA",pentose-phosphate shunt|0006098||IEA,,Synpcc7942_0039,1.1.1.44
folB,folB,SYNPCC7942_RS00200,Synpcc7942_0040,Protein Homology,38630,39007,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011243769.1,dihydroneopterin aldolase,WP_011243769.1,"GO:0006760,GO:0004150",,dihydroneopterin aldolase activity|0004150||IEA,folic acid-containing compound metabolic process|0006760||IEA,,Synpcc7942_0040,4.1.2.25
SYNPCC7942_RS00205,,SYNPCC7942_RS00205,Synpcc7942_0041,Protein Homology,39441,40745,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011377414.1,SLC13 family permease,WP_011377414.1,"GO:0055085,GO:0016020",membrane|0016020||IEA,,transmembrane transport|0055085||IEA,,Synpcc7942_0041,
rpmB,rpmB,SYNPCC7942_RS00210,Synpcc7942_0042,Protein Homology,40855,41091,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011243767.1,50S ribosomal protein L28,WP_011243767.1,"GO:0006412,GO:0003735,GO:0005840",ribosome|0005840||IEA,structural constituent of ribosome|0003735||IEA,translation|0006412||IEA,,Synpcc7942_0042,
SYNPCC7942_RS00215,,SYNPCC7942_RS00215,Synpcc7942_0043,Protein Homology,41131,41496,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011243766.1,hypothetical protein,WP_011243766.1,,,,,,Synpcc7942_0043,
SYNPCC7942_RS00220,,SYNPCC7942_RS00220,Synpcc7942_0044,Protein Homology,41495,43477,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011377415.1,FAD-dependent oxidoreductase,WP_011377415.1,,,,,,Synpcc7942_0044,
SYNPCC7942_RS00225,,SYNPCC7942_RS00225,Synpcc7942_0045,Protein Homology,43530,44927,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011377416.1,tetratricopeptide repeat protein,WP_199290689.1,,,,,,Synpcc7942_0045,
SYNPCC7942_RS00230,,SYNPCC7942_RS00230,Synpcc7942_0046,Protein Homology,45164,46507,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011243763.1,class I SAM-dependent methyltransferase,WP_011243763.1,,,,,,Synpcc7942_0046,"2.1.-.-,2.1.1.-"
SYNPCC7942_RS00235,,SYNPCC7942_RS00235,Synpcc7942_0047,Protein Homology,46515,48881,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011377417.1,exostosin domain-containing protein,WP_011377417.1,,,,,,Synpcc7942_0047,
SYNPCC7942_RS00240,,SYNPCC7942_RS00240,Synpcc7942_0048,Protein Homology,48927,49361,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011377418.1,type IV pilin protein,WP_011377418.1,"GO:0043683,GO:0016020",membrane|0016020||IEA,,type IV pilus assembly|0043683||IEA,,Synpcc7942_0048,
SYNPCC7942_RS00245,,SYNPCC7942_RS00245,Synpcc7942_0049,Protein Homology,49550,49984,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011377419.1,type IV pilin protein,WP_011377419.1,"GO:0043683,GO:0016020",membrane|0016020||IEA,,type IV pilus assembly|0043683||IEA,,Synpcc7942_0049,
SYNPCC7942_RS00250,,SYNPCC7942_RS00250,Synpcc7942_0050,Protein Homology,50070,52616,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011243761.1,glycosyltransferase,WP_011243761.1,,,,,,Synpcc7942_0050,2.4.-.-
SYNPCC7942_RS00255,,SYNPCC7942_RS00255,Synpcc7942_0051,Protein Homology,52606,54507,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011377420.1,tetratricopeptide repeat protein,WP_011377420.1,,,,,,Synpcc7942_0051,
SYNPCC7942_RS00260,,SYNPCC7942_RS00260,Synpcc7942_0052,Protein Homology,54512,55030,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011243759.1,class I SAM-dependent methyltransferase,WP_011243759.1,"GO:0032259,GO:0008168,GO:0008757,GO:1904047",,"methyltransferase activity|0008168||IEA,S-adenosylmethionine-dependent methyltransferase activity|0008757||IEA,S-adenosyl-L-methionine binding|1904047||IEA",methylation|0032259||IEA,,Synpcc7942_0052,2.1.1.-
SYNPCC7942_RS00265,,SYNPCC7942_RS00265,Synpcc7942_0053,Protein Homology,55204,56352,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011243758.1,glycosyltransferase family 2 protein,WP_011243758.1,"GO:0006486,GO:0016757",,glycosyltransferase activity|0016757||IEA,protein glycosylation|0006486||IEA,,Synpcc7942_0053,2.4.-.-
SYNPCC7942_RS00270,,SYNPCC7942_RS00270,Synpcc7942_0054,Protein Homology,56423,57190,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011243757.1,cephalosporin hydroxylase family protein,WP_011243757.1,,,,,,Synpcc7942_0054,
SYNPCC7942_RS00275,,SYNPCC7942_RS00275,Synpcc7942_0055,Protein Homology,57223,57906,-,,,COORDINATES: protein motif:HMM:NF024812.6,GNAT family N-acetyltransferase,WP_011377421.1,"GO:0008080,GO:0016746",,"N-acetyltransferase activity|0008080||IEA,acyltransferase activity|0016746||IEA",,,Synpcc7942_0055,2.3.-.-
SYNPCC7942_RS00280,,SYNPCC7942_RS00280,Synpcc7942_0056,Protein Homology,57941,59068,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011377422.1,DegT/DnrJ/EryC1/StrS family aminotransferase,WP_011377422.1,GO:0008483,,transaminase activity|0008483||IEA,,,Synpcc7942_0056,2.6.1.-
SYNPCC7942_RS00285,,SYNPCC7942_RS00285,Synpcc7942_0057,Protein Homology,59072,60304,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011243755.1,class I SAM-dependent methyltransferase,WP_011243755.1,,,,,,Synpcc7942_0057,2.1.1.-
rfbC,rfbC,SYNPCC7942_RS00290,Synpcc7942_0058,Protein Homology,60301,60846,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011243754.1,dTDP-4-dehydrorhamnose 3%2C5-epimerase,WP_011243754.1,"GO:0019305,GO:0008830",,dTDP-4-dehydrorhamnose 3%2C5-epimerase activity|0008830||IEA,dTDP-rhamnose biosynthetic process|0019305||IEA,,Synpcc7942_0058,5.1.3.13
SYNPCC7942_RS00295,,SYNPCC7942_RS00295,Synpcc7942_0059,GeneMarkS-2+,60867,61112,-,,,COORDINATES: ab initio prediction:GeneMarkS-2+,hypothetical protein,WP_011377423.1,,,,,,Synpcc7942_0059,
rfbG,rfbG,SYNPCC7942_RS00305,Synpcc7942_0061,Protein Homology,61366,62472,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011377425.1,CDP-glucose 4%2C6-dehydratase,WP_011377425.1,"GO:0009243,GO:0047733",,CDP-glucose 4%2C6-dehydratase activity|0047733||IEA,O antigen biosynthetic process|0009243||IEA,,Synpcc7942_0061,4.2.1.45
rfbF,rfbF,SYNPCC7942_RS00310,Synpcc7942_0062,Protein Homology,62469,63242,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011243752.1,glucose-1-phosphate cytidylyltransferase,WP_011243752.1,"GO:0009243,GO:0047343",,glucose-1-phosphate cytidylyltransferase activity|0047343||IEA,O antigen biosynthetic process|0009243||IEA,,Synpcc7942_0062,2.7.7.33
SYNPCC7942_RS00315,,SYNPCC7942_RS00315,Synpcc7942_0063,Protein Homology,64266,64706,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011243751.1,protein-tyrosine phosphatase family protein,WP_011243751.1,"GO:0006470,GO:0004721,GO:0004722,GO:0004725",,"phosphoprotein phosphatase activity|0004721||IEA,protein serine/threonine phosphatase activity|0004722||IEA,protein tyrosine phosphatase activity|0004725||IEA",protein dephosphorylation|0006470||IEA,,Synpcc7942_0063,3.1.3.-
SYNPCC7942_RS13650,,SYNPCC7942_RS13650,Synpcc7942_0064,Protein Homology,64703,64870,-,,,COORDINATES: protein motif:HMM:NF022553.6,DUF2887 domain-containing protein,WP_011377426.1,,,,,,Synpcc7942_0064,
infC,infC,SYNPCC7942_RS00320,Synpcc7942_0065,Protein Homology,64987,65541,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011243750.1,translation initiation factor IF-3,WP_011243750.1,"GO:0006413,GO:0003743",,translation initiation factor activity|0003743||IEA,translational initiation|0006413||IEA,,Synpcc7942_0065,
SYNPCC7942_RS00325,,SYNPCC7942_RS00325,Synpcc7942_0066,Protein Homology,65658,67172,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011243749.1,GldG family protein,WP_011243749.1,,,,,,Synpcc7942_0066,
SYNPCC7942_RS00330,,SYNPCC7942_RS00330,Synpcc7942_0067,Protein Homology,67177,67986,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011243748.1,ABC transporter permease,WP_011243748.1,"GO:0055085,GO:0042626,GO:0140359,GO:0016020",membrane|0016020||IEA,"ATPase-coupled transmembrane transporter activity|0042626||IEA,ABC-type transporter activity|0140359||IEA",transmembrane transport|0055085||IEA,,Synpcc7942_0067,
SYNPCC7942_RS00335,,SYNPCC7942_RS00335,Synpcc7942_0068,Protein Homology,67991,68944,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011243747.1,ABC transporter ATP-binding protein,WP_011243747.1,"GO:0005524,GO:0016887,GO:0140359",,"ATP binding|0005524||IEA,ATP hydrolysis activity|0016887||IEA,ABC-type transporter activity|0140359||IEA",,,Synpcc7942_0068,
SYNPCC7942_RS00340,,SYNPCC7942_RS00340,Synpcc7942_0069,GeneMarkS-2+,69079,69375,+,,,COORDINATES: ab initio prediction:GeneMarkS-2+,hypothetical protein,WP_011377428.1,,,,,,Synpcc7942_0069,
SYNPCC7942_RS00345,,SYNPCC7942_RS00345,Synpcc7942_0070,Protein Homology,69378,69938,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011243746.1,Npun_F5749 family FMN-dependent PPOX-type flavoprotein,WP_011243746.1,"GO:0010181,GO:0016491",,"FMN binding|0010181||IEA,oxidoreductase activity|0016491||IEA",,,Synpcc7942_0070,1.-.-.-
SYNPCC7942_RS00350,,SYNPCC7942_RS00350,Synpcc7942_0071,Protein Homology,69940,71139,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011243745.1,DegT/DnrJ/EryC1/StrS family aminotransferase,WP_011243745.1,GO:0008483,,transaminase activity|0008483||IEA,,,Synpcc7942_0071,2.6.1.-
SYNPCC7942_RS00355,,SYNPCC7942_RS00355,Synpcc7942_0072,Protein Homology,71307,71960,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011243744.1,DUF1997 domain-containing protein,WP_011243744.1,,,,,,Synpcc7942_0072,
SYNPCC7942_RS00360,,SYNPCC7942_RS00360,Synpcc7942_0073,Protein Homology,72000,73196,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011363276.1,4-hydroxy-3-methylbut-2-enyl diphosphate reductase,WP_011243743.1,,,,,,Synpcc7942_0073,1.17.7.4
SYNPCC7942_RS00365,,SYNPCC7942_RS00365,Synpcc7942_0074,Protein Homology,73306,73659,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011377429.1,hypothetical protein,WP_011377429.1,,,,,,Synpcc7942_0074,
SYNPCC7942_RS00370,,SYNPCC7942_RS00370,Synpcc7942_0075,Protein Homology,73775,75088,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011243741.1,aminopeptidase P N-terminal domain-containing protein,WP_011243741.1,"GO:0030145,GO:0070006",,"manganese ion binding|0030145||IEA,metalloaminopeptidase activity|0070006||IEA",,,Synpcc7942_0075,
SYNPCC7942_RS00375,,SYNPCC7942_RS00375,Synpcc7942_0076,Protein Homology,75091,75852,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011243740.1,transporter substrate-binding domain-containing protein,WP_011243740.1,,,,,,Synpcc7942_0076,
SYNPCC7942_RS00380,,SYNPCC7942_RS00380,Synpcc7942_0077,Protein Homology,75928,76617,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011243739.1,helix-turn-helix domain-containing protein,WP_011243739.1,GO:0003677,,DNA binding|0003677||IEA,,,Synpcc7942_0077,
SYNPCC7942_RS00385,,SYNPCC7942_RS00385,Synpcc7942_0078,Protein Homology,76614,77063,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011243738.1,secondary thiamine-phosphate synthase enzyme YjbQ,WP_011243738.1,"GO:0003824,GO:0005737",cytoplasm|0005737||IEA,catalytic activity|0003824||IEA,,,Synpcc7942_0078,
SYNPCC7942_RS00390,,SYNPCC7942_RS00390,Synpcc7942_0079,Protein Homology,77138,77584,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011243737.1,single-stranded DNA-binding protein,WP_011243737.1,"GO:0006260,GO:0003697",,single-stranded DNA binding|0003697||IEA,DNA replication|0006260||IEA,,Synpcc7942_0079,
SYNPCC7942_RS00395,,SYNPCC7942_RS00395,Synpcc7942_0080,Protein Homology,77648,78871,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011243736.1,ABC transporter permease,WP_011243736.1,"GO:0042626,GO:0140359",,"ATPase-coupled transmembrane transporter activity|0042626||IEA,ABC-type transporter activity|0140359||IEA",,,Synpcc7942_0080,
SYNPCC7942_RS00400,,SYNPCC7942_RS00400,Synpcc7942_0081,Protein Homology,78987,79196,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011243735.1,RNA-binding S4 domain-containing protein,WP_011377430.1,GO:0003723,,RNA binding|0003723||IEA,,,Synpcc7942_0081,
SYNPCC7942_RS00405,,SYNPCC7942_RS00405,Synpcc7942_0082,Protein Homology,79265,81013,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011377431.1,ABC transporter ATP-binding protein,WP_011377431.1,"GO:0005524,GO:0016887,GO:0042626,GO:0140359,GO:0055052",ATP-binding cassette (ABC) transporter complex%2C substrate-binding subunit-containing|0055052||IEA,"ATP binding|0005524||IEA,ATP hydrolysis activity|0016887||IEA,ATPase-coupled transmembrane transporter activity|0042626||IEA,ABC-type transporter activity|0140359||IEA",,,Synpcc7942_0082,7.-.-.-
SYNPCC7942_RS00410,,SYNPCC7942_RS00410,Synpcc7942_0083,Protein Homology,81023,81220,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011243733.1,hypothetical protein,WP_011243733.1,,,,,,Synpcc7942_0083,
SYNPCC7942_RS00415,,SYNPCC7942_RS00415,Synpcc7942_0084,Protein Homology,81217,81918,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011377432.1,hypothetical protein,WP_011377432.1,,,,,,Synpcc7942_0084,
SYNPCC7942_RS00420,,SYNPCC7942_RS00420,Synpcc7942_0085,Protein Homology,82179,82865,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011377433.1,HAD family hydrolase,WP_011377433.1,GO:0016787,,hydrolase activity|0016787||IEA,,,Synpcc7942_0085,3.-.-.-
