Gene Number,Protein ID,Protein Description,COG Category,eggNOG HMM Description,Goterms,Kegg Ko,Localization,Protein Length,Biller et al. 2014 Science paper Table S2 MED4 vesicle detected proteins,Blast % Identity Uniprot,NCBI reference sequence,MIT9312 HL Vesicles Trypsin/Lys-C (COMETa) Did we detect the same vesicle proteins as in Table S2 from homologus MED4 Biller et al. Science 2014,MIT9312 HL Vesicles Trypsin/Lys-C (COMETa) Number specs adjusted (Abacus 9312 Vesicle),MIT9312 HL Vesicles Trypsin/Lys-C (COMETa) Number of specs adjusted normalized to Hi3 (Abacus 9312 Vesicle),MIT9312 HL Vesicles Trypsin/Lys-C (COMETa) Normalized specs adjusted.per.vesicle (Abacus 9312 Vesicle),MIT9312 HL Vesicles Trypsin/Lys-C (COMETa) Normalized specs adjusted.per.vesicle.biovolume (Abacus 9312 Vesicle),MIT9312 HL Cells Trypsin/Lys-C (COMETa) Avg Number specs adjusted (Abacus 9312cells trypsin),MIT9312 HL Cells Trypsin/Lys-C (COMETa) Avg Number specs adjusted normalized to Hi3 (Abacus 9312cells trypsin),MIT9312 HL Cells Trypsin/Lys-C (COMETa) Normalized specs adjusted.per.cell (Abacus 9312cells trypsin),MIT9312 HL Cells Trypsin/Lys-C (COMETa) Normalized specs adjusted.per.cell.biovolume (Abacus 9312cells trypsin),MIT9312 HL Cells Glu-C (COMETa) Avg Number specs adjusted (Abacus 9312cells gluc),MIT9312 HL Cells Glu-C (COMETa) Avg Number specs adjusted normalized to Hi3 (Abacus 9312cells gluc),MIT9312 HL Cells Glu-C (COMETa) Normalized specs adjusted.per.cell (Abacus 9312cells gluc),MIT9312 HL Cells Glu-C (COMETa) Normalized specs adjusted.per.cell.biovolume (Abacus 9312cells gluc)
PMT9312_0549,Q31BY5,Q31BY5_PROM9 Carboxysome shell protein CsoS1 OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0549 PE=4 SV=1,E,carbon dioxide concentrating mechanism protein,,K08696,Unknown,103,,,,,308,3.76,2.11E-11,4.03E-08,154,3.16,3.01E-08,1.36E-07,102.33,1.54,1.46E-08,6.61E-08
PMT9312_1264,Q319X2,Q319X2_PROM9 Porin-like protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1264 PE=3 SV=1,M,Carbohydrate-selective porin OprB,,,Unknown,437,,,,,296,3.61,2.03E-11,3.87E-08,27.67,0.57,5.41E-09,2.45E-08,2.33,0.04,3.33E-10,1.51E-09
cbbL,Q31BY4,RBL_PROM9 Ribulose bisphosphate carboxylase large chain OS=Prochlorococcus marinus (strain MIT 9312) GN=cbbL PE=3 SV=1,G,"RuBisCO catalyzes two reactions the carboxylation of D- ribulose 1,5-bisphosphate, the primary event in carbon dioxide fixation, as well as the oxidative fragmentation of the pentose substrate in the photorespiration process. Both reactions occur simultaneously and in competition at the same active site (By similarity)",,K01601,Cytoplasmic,471,gi|33861107|ref|NP_892668.1| ribulose bisophosphate carboxylase,100,WP_002805854.1,Yes,292,3.56,2.00E-11,3.82E-08,221.67,4.55,4.34E-08,1.96E-07,287,4.31,4.10E-08,1.86E-07
PMT9312_0551,Q31BY3,"Q31BY3_PROM9 Ribulose 1,5-bisphosphate carboxylase small subunit OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0551 PE=4 SV=1",C,"ribulose bisphosphate carboxylase, small",,K01602,Unknown,113,,,,,245,2.99,1.68E-11,3.20E-08,257.67,5.29,5.04E-08,2.28E-07,18.67,0.28,2.67E-09,1.21E-08
rplR,Q318J9,RL18_PROM9 50S ribosomal protein L18 OS=Prochlorococcus marinus (strain MIT 9312) GN=rplR PE=3 SV=1,J,"This is one of the proteins that binds and probably mediates the attachment of the 5S RNA into the large ribosomal subunit, where it forms part of the central protuberance (By similarity)",,K02881,Cytoplasmic,122,,,,,226,2.76,1.55E-11,2.95E-08,27.67,0.57,5.41E-09,2.45E-08,3.33,0.05,4.76E-10,2.15E-09
PMT9312_0256,Q31CS8,Q31CS8_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0256 PE=4 SV=1,S,Protein of unknown function (DUF3769),,,OuterMembrane,643,gi|33860812|ref|NP_892373.1| hypothetical protein,61.6, WP_011131891.1,Yes,210,2.56,1.44E-11,2.75E-08,33.67,0.69,6.59E-09,2.98E-08,4,0.06,5.71E-10,2.59E-09
rplD,Q318I5,RL4_PROM9 50S ribosomal protein L4 OS=Prochlorococcus marinus (strain MIT 9312) GN=rplD PE=3 SV=1,J,"One of the primary rRNA binding proteins, this protein initially binds near the 5'-end of the 23S rRNA. It is important during the early stages of 50S assembly. It makes multiple contacts with different domains of the 23S rRNA in the assembled 50S subunit and ribosome (By similarity)",,K02926,Cytoplasmic,210,,,,,192,2.34,1.32E-11,2.51E-08,54.33,1.12,1.06E-08,4.81E-08,9.67,0.15,1.38E-09,6.25E-09
rplE,Q318J6,RL5_PROM9 50S ribosomal protein L5 OS=Prochlorococcus marinus (strain MIT 9312) GN=rplE PE=3 SV=1,J,"This is 1 of the proteins that binds and probably mediates the attachment of the 5S RNA into the large ribosomal subunit, where it forms part of the central protuberance. In the 70S ribosome it contacts protein S13 of the 30S subunit (bridge B1b), connecting the 2 subunits",,K02931,Cytoplasmic,179,,,,,175,2.13,1.20E-11,2.29E-08,49.33,1.01,9.65E-09,4.37E-08,30,0.45,4.29E-09,1.94E-08
rplC,Q318I4,RL3_PROM9 50S ribosomal protein L3 OS=Prochlorococcus marinus (strain MIT 9312) GN=rplC PE=3 SV=1,J,"One of the primary rRNA binding proteins, it binds directly near the 3'-end of the 23S rRNA, where it nucleates assembly of the 50S subunit (By similarity)",,K02906,Cytoplasmic,217,gi|33862114|ref|NP_893675.1| 50S ribosomal protein L3,90.3,WP_011133186.1,Yes,170,2.07,1.16E-11,2.22E-08,46,0.95,9.00E-09,4.07E-08,10.67,0.16,1.52E-09,6.90E-09
iRT-InternalStandard,Biognosys,Biognosys iRT-Kit_WR_fusion,InternalStandard,InternalStandard,InternalStandard,InternalStandard,InternalStandard,134,,,,,153,1.87,1.05E-11,2.00E-08,88.33,1.82,1.73E-08,7.82E-08,87.33,1.31,1.25E-08,5.65E-08
rplW,Q318I6,RL23_PROM9 50S ribosomal protein L23 OS=Prochlorococcus marinus (strain MIT 9312) GN=rplW PE=3 SV=1,J,One of the early assembly proteins it binds 23S rRNA. One of the proteins that surrounds the polypeptide exit tunnel on the outside of the ribosome. Forms the main docking site for trigger factor binding to the ribosome (By similarity),,K02892,Cytoplasmic,100,,,,,134,1.63,9.18E-12,1.75E-08,35,0.72,6.85E-09,3.10E-08,28,0.42,4.00E-09,1.81E-08
PMT9312_1283,Q319V3,Q319V3_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1283 PE=4 SV=1,S,Protein of unknown function (DUF2808),,,Unknown,193,gi|33861738|ref|NP_893299.1| hypothetical protein,62.6,WP_011132816.1,Yes,127,1.55,8.70E-12,1.66E-08,37.67,0.77,7.37E-09,3.34E-08,5,0.08,7.14E-10,3.23E-09
rplN,Q318J4,RL14_PROM9 50S ribosomal protein L14 OS=Prochlorococcus marinus (strain MIT 9312) GN=rplN PE=3 SV=1,J,Binds to 23S rRNA. Forms part of two intersubunit bridges in the 70S ribosome (By similarity),,K02874,Cytoplasmic,121,,,,,126,1.54,8.63E-12,1.65E-08,31.67,0.65,6.20E-09,2.80E-08,10.67,0.16,1.52E-09,6.90E-09
rplQ,Q318K8,RL17_PROM9 50S ribosomal protein L17 OS=Prochlorococcus marinus (strain MIT 9312) GN=rplQ PE=3 SV=1,J,50S ribosomal protein L17,,K02879,Cytoplasmic,116,,,,,119,1.45,8.15E-12,1.56E-08,9.67,0.2,1.89E-09,8.56E-09,,,,
PMT9312_0722,Q31BG3,Q31BG3_PROM9 Phosphate-binding protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0722 PE=3 SV=1,P,Phosphate-binding protein,,K02040,Periplasmic,331,"gi|33861267|ref|NP_892828.1| ABC transporter, substrate binding protein, phosphate",90.5,WP_011132344.1,Yes,117,1.43,8.02E-12,1.53E-08,44.67,0.92,8.74E-09,3.96E-08,,,,
PMT9312_1120,Q31AB6,Q31AB6_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1120 PE=4 SV=1,S,,"GO:0005575,GO:0005623,GO:0030288,GO:0030312,GO:0030313,GO:0031975,GO:0042597,GO:0044462,GO:0044464,GO:0071944",,Unknown,171,,,,,104,1.27,7.13E-12,1.36E-08,19.33,0.4,3.78E-09,1.71E-08,5.67,0.09,8.10E-10,3.66E-09
rplO1,Q318K1,RL15_PROM9 50S ribosomal protein L15 OS=Prochlorococcus marinus (strain MIT 9312) GN=rplO1 PE=3 SV=1,J,Binds to the 23S rRNA (By similarity),,K02876,Cytoplasmic,152,,,,,95,1.16,6.51E-12,1.24E-08,34.33,0.71,6.72E-09,3.04E-08,,,,
rplV,Q318I9,RL22_PROM9 50S ribosomal protein L22 OS=Prochlorococcus marinus (strain MIT 9312) GN=rplV PE=3 SV=1,J,"its binding is stimulated by other ribosomal proteins, e.g. L4, L17, and L20. It is important during the early stages of 50S assembly. It makes multiple contacts with different domains of the 23S rRNA in the assembled 50S subunit and ribosome (By similarity)",,K02890,Cytoplasmic,128,,,,,85,1.04,5.82E-12,1.11E-08,12.67,0.26,2.48E-09,1.12E-08,,,,
acpP,Q318D3,ACP_PROM9 Acyl carrier protein OS=Prochlorococcus marinus (strain MIT 9312) GN=acpP PE=3 SV=1,S,,,,Cytoplasmic,79,,,,,83,1.01,5.69E-12,1.09E-08,371.67,7.64,7.27E-08,3.29E-07,172.33,2.59,2.46E-08,1.11E-07
Hi3-InternalStandard,P63284,CLPB_ECOLI Chaperone protein ClpB OS=Escherichia coli (strain K12) GN=clpB PE=1 SV=1,InternalStandard,InternalStandard,InternalStandard,InternalStandard,InternalStandard,857,,,,,82,1,5.62E-12,1.07E-08,48.67,1,9.52E-09,4.31E-08,66.67,1,9.52E-09,4.31E-08
rpsL,Q318N2,RS12_PROM9 30S ribosomal protein S12 OS=Prochlorococcus marinus (strain MIT 9312) GN=rpsL PE=3 SV=1,J,"Interacts with and stabilizes bases of the 16S rRNA that are involved in tRNA selection in the A site and with the mRNA backbone. Located at the interface of the 30S and 50S subunits, it traverses the body of the 30S subunit contacting proteins on the other side and probably holding the rRNA structure together. The combined cluster of proteins S8, S12 and S17 appears to hold together the shoulder and platform of the 30S subunit (By similarity)",,K02950,Cytoplasmic,124,,,,,81,0.99,5.55E-12,1.06E-08,19,0.39,3.72E-09,1.68E-08,5.67,0.09,8.10E-10,3.66E-09
PMT9312_1199,Q31A37,Q31A37_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1199 PE=4 SV=1,U,Competence protein,,,Extracellular,221,,,,,79,0.96,5.41E-12,1.03E-08,160,3.29,3.13E-08,1.42E-07,38.33,0.58,5.48E-09,2.48E-08
PMT9312_0187,Q31CZ6,Q31CZ6_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0187 PE=4 SV=1,S,Zn-dependent hydrolase,"GO:0005575,GO:0005623,GO:0030288,GO:0030312,GO:0030313,GO:0031975,GO:0042597,GO:0044462,GO:0044464,GO:0071944",,Unknown,241,gi|33860745|ref|NP_892306.1| hypothetical protein,75,WP_011131824.1,Yes,79,0.96,5.41E-12,1.03E-08,22,0.45,4.31E-09,1.95E-08,2,0.03,2.86E-10,1.29E-09
rpsG,Q318N3,RS7_PROM9 30S ribosomal protein S7 OS=Prochlorococcus marinus (strain MIT 9312) GN=rpsG PE=3 SV=1,J,"One of the primary rRNA binding proteins, it binds directly to 16S rRNA where it nucleates assembly of the head domain of the 30S subunit. Is located at the subunit interface close to the decoding center, probably blocks exit of the E-site tRNA (By similarity)",,K02992,Cytoplasmic,156,,,,,78,0.95,5.34E-12,1.02E-08,104.33,2.14,2.04E-08,9.24E-08,10.33,0.16,1.48E-09,6.68E-09
rpmA,Q319E2,RL27_PROM9 50S ribosomal protein L27 OS=Prochlorococcus marinus (strain MIT 9312) GN=rpmA PE=3 SV=1,J,50S ribosomal protein L27,,K02899,Cytoplasmic,86,,,,,75,0.91,5.14E-12,9.81E-09,22,0.45,4.31E-09,1.95E-08,,,,
rpsD,Q31CC9,RS4_PROM9 30S ribosomal protein S4 OS=Prochlorococcus marinus (strain MIT 9312) GN=rpsD PE=3 SV=1,J,"One of the primary rRNA binding proteins, it binds directly to 16S rRNA where it nucleates assembly of the body of the 30S subunit (By similarity)",,K02986,Cytoplasmic,202,,,,,74,0.9,5.07E-12,9.68E-09,67.67,1.39,1.32E-08,5.99E-08,8.33,0.13,1.19E-09,5.39E-09
rpmG,Q31AV4,RL33_PROM9 50S ribosomal protein L33 OS=Prochlorococcus marinus (strain MIT 9312) GN=rpmG PE=3 SV=2,J,,,,Cytoplasmic,64,,,,,74,0.9,5.07E-12,9.68E-09,3,0.06,5.87E-10,2.66E-09,20.33,0.31,2.90E-09,1.31E-08
PMT9312_0721,Q31BG4,Q31BG4_PROM9 Cyanobacterial porin OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0721 PE=3 SV=1,S,,,,OuterMembrane,440,,,,,71,0.87,4.86E-12,9.28E-09,5.33,0.11,1.04E-09,4.72E-09,63.33,0.95,9.05E-09,4.09E-08
rpmI,Q317Y1,RL35_PROM9 50S ribosomal protein L35 OS=Prochlorococcus marinus (strain MIT 9312) GN=rpmI PE=3 SV=1,J,,,,Cytoplasmic,65,,,,,70,0.85,4.80E-12,9.15E-09,6.67,0.14,1.30E-09,5.90E-09,,,,
rpsC,Q318J0,RS3_PROM9 30S ribosomal protein S3 OS=Prochlorococcus marinus (strain MIT 9312) GN=rpsC PE=3 SV=1,J,"Binds the lower part of the 30S subunit head. Binds mRNA in the 70S ribosome, positioning it for translation (By similarity)",,K02982,Cytoplasmic,243,,,,,67,0.82,4.59E-12,8.76E-09,40.33,0.83,7.89E-09,3.57E-08,10.67,0.16,1.52E-09,6.90E-09
PMT9312_1516,Q318W9,Q318W9_PROM9 Protein family PM-24 OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1516 PE=4 SV=1,S,Protein of unknown function,,,Unknown,85,,,,,67,0.82,4.59E-12,8.76E-09,20.67,0.42,4.04E-09,1.83E-08,14.33,0.22,2.05E-09,9.27E-09
rplP,Q318J1,RL16_PROM9 50S ribosomal protein L16 OS=Prochlorococcus marinus (strain MIT 9312) GN=rplP PE=3 SV=1,J,Binds 23S rRNA and is also seen to make contacts with the A and possibly P site tRNAs (By similarity),,K02878,Cytoplasmic,160,,,,,67,0.82,4.59E-12,8.76E-09,5.33,0.11,1.04E-09,4.72E-09,3.67,0.06,5.24E-10,2.37E-09
rpsJ,Q318N6,RS10_PROM9 30S ribosomal protein S10 OS=Prochlorococcus marinus (strain MIT 9312) GN=rpsJ PE=3 SV=1,J,Involved in the binding of tRNA to the ribosomes (By similarity),,K02946,Cytoplasmic,106,,,,,66,0.8,4.52E-12,8.63E-09,56.33,1.16,1.10E-08,4.99E-08,,,,
groL2,Q318V6,CH602_PROM9 60 kDa chaperonin 2 OS=Prochlorococcus marinus (strain MIT 9312) GN=groL2 PE=3 SV=1,O,Prevents misfolding and promotes the refolding and proper assembly of unfolded polypeptides generated under stress conditions (By similarity),"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464",K04077,Cytoplasmic,545,gi|33861992|ref|NP_893553.1| molecular chaperone GroEL,97.2,WP_011133065.1,Yes,61,0.74,4.18E-12,7.98E-09,885.33,18.19,1.73E-07,7.84E-07,633.33,9.5,9.05E-08,4.09E-07
PMT9312_0677,Q31BK7,"Q31BK7_PROM9 C-terminal processing peptidase-2, Serine peptidase, MEROPS family S41A OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0677 PE=3 SV=1",M,protease,"GO:0005575,GO:0005623,GO:0030288,GO:0030312,GO:0030313,GO:0031975,GO:0042597,GO:0044462,GO:0044464,GO:0071944",K03797,CytoplasmicMembrane,444,gi|33861234|ref|NP_892795.1| carboxyl-terminal processing protease,79,WP_011132311.1,Yes,59,0.72,4.04E-12,7.71E-09,8.67,0.18,1.70E-09,7.67E-09,1.67,0.03,2.38E-10,1.08E-09
PMT9312_1179,Q31A57,Q31A57_PROM9 Adhesin-like protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1179 PE=4 SV=1,S,Protein of unknown function (DUF3442),,,OuterMembrane,372,,,,,59,0.72,4.04E-12,7.71E-09,4,0.08,7.83E-10,3.54E-09,,,,
rpmB,Q31AY7,RL28_PROM9 50S ribosomal protein L28 OS=Prochlorococcus marinus (strain MIT 9312) GN=rpmB PE=3 SV=1,J,,,,Cytoplasmic,78,,,,,57,0.7,3.91E-12,7.45E-09,4.67,0.1,9.13E-10,4.13E-09,,,,
rplM,Q318L0,RL13_PROM9 50S ribosomal protein L13 OS=Prochlorococcus marinus (strain MIT 9312) GN=rplM PE=3 SV=1,J,"This protein is one of the early assembly proteins of the 50S ribosomal subunit, although it is not seen to bind rRNA by itself. It is important during the early stages of 50S assembly (By similarity)",,K02871,Cytoplasmic,143,gi|33862088|ref|NP_893649.1| 50S ribosomal protein L13,95.1,WP_011133160.1,Yes,56,0.68,3.84E-12,7.32E-09,40,0.82,7.83E-09,3.54E-08,3.67,0.06,5.24E-10,2.37E-09
rpmJ,Q318K4,RL36_PROM9 50S ribosomal protein L36 OS=Prochlorococcus marinus (strain MIT 9312) GN=rpmJ PE=3 SV=1,J,,,,Unknown,38,,,,,53,0.65,3.63E-12,6.93E-09,11.33,0.23,2.22E-09,1.00E-08,,,,
PMT9312_0616,Q31BR8,Q31BR8_PROM9 Cell wall hydrolase/autolysin OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0616 PE=4 SV=1,M,N-acetylmuramoyl-L-alanine amidase,,K01448,Unknown,361,,,,,52,0.63,3.56E-12,6.80E-09,7,0.14,1.37E-09,6.20E-09,2.67,0.04,3.81E-10,1.72E-09
rpsP,Q319K4,RS16_PROM9 30S ribosomal protein S16 OS=Prochlorococcus marinus (strain MIT 9312) GN=rpsP PE=3 SV=1,J,30S ribosomal protein S16,,K02959,Cytoplasmic,121,,,,,50,0.61,3.43E-12,6.54E-09,48,0.99,9.39E-09,4.25E-08,26.67,0.4,3.81E-09,1.72E-08
rpsM,Q318K5,RS13_PROM9 30S ribosomal protein S13 OS=Prochlorococcus marinus (strain MIT 9312) GN=rpsM PE=3 SV=1,J,"Located at the top of the head of the 30S subunit, it contacts several helices of the 16S rRNA. In the 70S ribosome it contacts the 23S rRNA (bridge B1a) and protein L5 of the 50S subunit (bridge B1b), connecting the 2 subunits","GO:0003674,GO:0003735,GO:0005198,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0006412,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0015935,GO:0019538,GO:0022613,GO:0030529,GO:0032991,GO:0034645,GO:0042254,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0044085,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044446,GO:0044464,GO:0071704,GO:0071840,GO:1901576",K02952,Cytoplasmic,121,,,,,49,0.6,3.36E-12,6.41E-09,34,0.7,6.65E-09,3.01E-08,,,,
PMT9312_0998,Q31AN7,Q31AN7_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0998 PE=4 SV=1,S,,,,CytoplasmicMembrane,89,,,,,47,0.57,3.22E-12,6.15E-09,,,,,,,,
rpsR,Q31AV3,RS18_PROM9 30S ribosomal protein S18 OS=Prochlorococcus marinus (strain MIT 9312) GN=rpsR PE=3 SV=1,J,,,,Cytoplasmic,73,,,,,46,0.56,3.15E-12,6.01E-09,22.67,0.47,4.44E-09,2.01E-08,1.67,0.03,2.38E-10,1.08E-09
PMT9312_1170,Q31A66,Q31A66_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1170 PE=4 SV=1,S,Family of unknown function (DUF500),,,Unknown,201,,,,,45,0.55,3.08E-12,5.88E-09,9,0.18,1.76E-09,7.97E-09,3.33,0.05,4.76E-10,2.15E-09
rpsH,Q318J7,RS8_PROM9 30S ribosomal protein S8 OS=Prochlorococcus marinus (strain MIT 9312) GN=rpsH PE=3 SV=1,J,"One of the primary rRNA binding proteins, it binds directly to 16S rRNA central domain where it helps coordinate assembly of the platform of the 30S subunit (By similarity)",,K02994,Cytoplasmic,133,,,,,44,0.54,3.01E-12,5.75E-09,34.33,0.71,6.72E-09,3.04E-08,,,,
PMT9312_0880,Q31B05,Q31B05_PROM9 Glutamine synthetase OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0880 PE=3 SV=1,E,glutamine synthetase,"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464",K01915,Cytoplasmic,473,,,,,43,0.52,2.95E-12,5.62E-09,127.67,2.62,2.50E-08,1.13E-07,72,1.08,1.03E-08,4.65E-08
rpsE,Q318K0,RS5_PROM9 30S ribosomal protein S5 OS=Prochlorococcus marinus (strain MIT 9312) GN=rpsE PE=3 SV=1,J,Located at the back of the 30S subunit body where it stabilizes the conformation of the head with respect to the body (By similarity),,K02988,Cytoplasmic,207,,,,,43,0.52,2.95E-12,5.62E-09,53.33,1.1,1.04E-08,4.72E-08,6.33,0.1,9.05E-10,4.09E-09
