gene_names,gene,locus_tag_ncbi,locus_tag,source,start,end,strand,Note,exception,inference,product,protein_id,Ontology_term_ncbi,go_component,go_function,go_process,old_locus_tags,start_cyanorak,end_cyanorak,strand_cyanorak,locus_tag_cyanorak,gene_names_cyanorak,Ontology_term_cyanorak,cluster_number,cyanorak_Role,cyanorak_Role_description,eggNOG,eggNOG_description,kegg,kegg_description,ontology_term_description,product_cyanorak,protein_domains,protein_domains_description,tIGR_Role,tIGR_Role_description,position_merge_note,ec_numbers
bchI,bchI,P9303_RS03995,P9303_08951,Protein Homology,810697.0,811788.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011130507.1,magnesium chelatase ATPase subunit I,WP_011825553.1,"GO:0015995,GO:0005524,GO:0016851,GO:0016887,GO:0010007",magnesium chelatase complex|0010007||IEA,"ATP binding|0005524||IEA,magnesium chelatase activity|0016851||IEA,ATP hydrolysis activity|0016887||IEA",chlorophyll biosynthetic process|0015995||IEA,P9303_08951,810697.0,811788.0,-,CK_Pro_MIT9303_08951,chlI,"GO:0015995,GO:0016851,GO:0016887,GO:0046406,GO:0010007",CK_00001009,B.5.2,Chlorophylls and porphyrins,"COG1239,bactNOG02235,cyaNOG00357","COG: METABOLISM [H] Coenzyme transport and metabolism,bactNOG: METABOLISM [H] Coenzyme transport and metabolism,cyaNOG: METABOLISM [H] Coenzyme transport and metabolism",6.6.1.1,magnesium chelatase%3B protoporphyrin IX magnesium-chelatase%3B protoporphyrin IX Mg-chelatase%3B magnesium-protoporphyrin IX chelatase%3B magnesium-protoporphyrin chelatase%3B magnesium-chelatase%3B Mg-chelatase%3B Mg-protoporphyrin IX magnesio-lyase,"chlorophyll biosynthetic process,chlorophyll biosynthetic process,magnesium chelatase activity,ATPase activity,magnesium protoporphyrin IX methyltransferase activity,chlorophyll biosynthetic process,magnesium chelatase activity,ATPase activity,magnesium protoporphyrin IX methyltransferase activity,magnesium chelatase complex",protoporphyrin IX Mg-chelatase%2C subunit ChlI,"TIGR02030,PF01078,IPR011775,IPR000523","magnesium chelatase ATPase subunit I,Magnesium chelatase%2C subunit ChlI,Magnesium chelatase%2C ATPase subunit I,Magnesium chelatase ChlI domain",191,Biosynthesis of cofactors%2C prosthetic groups%2C and carriers / Chlorophyll and bacteriochlorphyll,,6.6.1.1
P9303_RS04000,,P9303_RS04000,P9303_08961,Protein Homology,811785.0,813203.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011130506.1,DUF3370 domain-containing protein,WP_011825554.1,,,,,P9303_08961,811785.0,813203.0,-,CK_Pro_MIT9303_08961,,,CK_00001501,R.2,Conserved hypothetical proteins,"NOG10275,NOG78436,bactNOG09980,cyaNOG00540","COG: POORLY CHARACTERIZED [S] Function unknown,COG: POORLY CHARACTERIZED [S] Function unknown,bactNOG: POORLY CHARACTERIZED [S] Function unknown,cyaNOG: POORLY CHARACTERIZED [S] Function unknown",,,,uncharacterized conserved secreted protein (DUF3370),"PF11850,IPR021801","Protein of unknown function (DUF3370),Protein of unknown function DUF3370",156,Hypothetical proteins / Conserved,,
P9303_RS04005,,P9303_RS04005,P9303_08971,Protein Homology,813200.0,814360.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011825555.1,serine hydrolase,WP_011825555.1,"GO:0030655,GO:0008800",,beta-lactamase activity|0008800||IEA,beta-lactam antibiotic catabolic process|0030655||IEA,P9303_08971,813200.0,814360.0,-,CK_Pro_MIT9303_08971,penP,,CK_00001297,D.8,Toxin production and resistance,"COG2367,bactNOG05019,bactNOG39264,bactNOG35769,cyaNOG02345","COG: CELLULAR PROCESSES AND SIGNALING [V] Defense mechanisms,bactNOG: CELLULAR PROCESSES AND SIGNALING [V] Defense mechanisms,bactNOG: CELLULAR PROCESSES AND SIGNALING [V] Defense mechanisms,bactNOG: CELLULAR PROCESSES AND SIGNALING [V] Defense mechanisms,cyaNOG: CELLULAR PROCESSES AND SIGNALING [V] Defense mechanisms",3.5.2.6,beta-lactamase%3B penicillinase%3B cephalosporinase%3B neutrapen%3B penicillin beta-lactamase%3B exopenicillinase%3B ampicillinase%3B penicillin amido-beta-lactamhydrolase%3B penicillinase I%2C II%3B beta-lactamase I-III%3B beta-lactamase A%2C B%2C C%3B beta-lactamase AME I%3B cephalosporin-beta-lactamase,,beta-lactamase class A,PF13354,Beta-lactamase enzyme family,94,Cellular processes / Toxin production and resistance,,
P9303_RS04010,,P9303_RS04010,P9303_08981,Protein Homology,814391.0,815140.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011130504.1,RNA methyltransferase,WP_011825556.1,"GO:0006396,GO:0003723,GO:0008173,GO:1904047",,"RNA binding|0003723||IEA,RNA methyltransferase activity|0008173||IEA,S-adenosyl-L-methionine binding|1904047||IEA",RNA processing|0006396||IEA,P9303_08981,814391.0,815140.0,-,CK_Pro_MIT9303_08981,lasT,"GO:0009451,GO:0006396,GO:0008173,GO:0003723,GO:0008173",CK_00001008,"D.1.9,K.3"," Other,tRNA and rRNA base modification","COG0565,bactNOG30690,bactNOG17730,bactNOG42852,cyaNOG02015","COG: INFORMATION STORAGE AND PROCESSING [J] Translation%2C ribosomal structure and biogenesis,bactNOG: INFORMATION STORAGE AND PROCESSING [J] Translation%2C ribosomal structure and biogenesis,bactNOG: INFORMATION STORAGE AND PROCESSING [J] Translation%2C ribosomal structure and biogenesis,bactNOG: INFORMATION STORAGE AND PROCESSING [J] Translation%2C ribosomal structure and biogenesis,cyaNOG: INFORMATION STORAGE AND PROCESSING [J] Translation%2C ribosomal structure and biogenesis",2.1.1.-,,"RNA modification,RNA processing,RNA modification,RNA processing,RNA methyltransferase activity,RNA binding,RNA methyltransferase activity",RNA methyltransferase%2C TrmH %2C group 1 family protein,"TIGR00050,PF00588,IPR001537,IPR004384,IPR029028,IPR029026","RNA methyltransferase%2C TrmH family%2C group 1,SpoU rRNA Methylase family,tRNA/rRNA methyltransferase%2C SpoU type,RNA methyltransferase TrmJ/LasT,Alpha/beta knot methyltransferases,tRNA (guanine-N1-)-methyltransferase%2C N-terminal",168,Protein synthesis / tRNA and rRNA base modification,,2.1.1.-
P9303_RS04015,,P9303_RS04015,P9303_08991,GeneMarkS-2+,815679.0,815999.0,+,,,COORDINATES: ab initio prediction:GeneMarkS-2+,hypothetical protein,WP_041374741.1,,,,,P9303_08991,815694.0,815999.0,+,CK_Pro_MIT9303_08991,,,CK_00050868,,,,,,,,conserved hypothetical protein,,,856,Not Found,,
P9303_RS04020,,P9303_RS04020,P9303_09001,Protein Homology,815996.0,816286.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011825558.1,hypothetical protein,WP_011825558.1,,,,,P9303_09001,815996.0,816286.0,-,CK_Pro_MIT9303_09001,,,CK_00052022,,,,,,,,possible (AF314193) Toutatis,,,,,,
P9303_RS04025,,P9303_RS04025,P9303_09011,GeneMarkS-2+,816773.0,817528.0,-,,,COORDINATES: ab initio prediction:GeneMarkS-2+,hypothetical protein,WP_011825559.1,,,,,P9303_09011,816773.0,817528.0,-,CK_Pro_MIT9303_09011,,,CK_00054634,,,,,,,,conserved hypothetical protein,,,856,Not Found,,
P9303_RS04030,,P9303_RS04030,P9303_09021,GeneMarkS-2+,818443.0,819387.0,-,,,COORDINATES: ab initio prediction:GeneMarkS-2+,hypothetical protein,WP_236069898.1,,,,,P9303_09021,818443.0,819390.0,-,CK_Pro_MIT9303_09021,,,CK_00047662,,,,,,,,conserved hypothetical protein,,,156,Hypothetical proteins / Conserved,,
P9303_RS04040,,P9303_RS04040,P9303_09041,GeneMarkS-2+,820554.0,820757.0,-,,,COORDINATES: ab initio prediction:GeneMarkS-2+,hypothetical protein,WP_011825562.1,,,,,P9303_09041,820554.0,820757.0,-,CK_Pro_MIT9303_09041,,,CK_00039860,,,,,,,,hypothetical protein,,,,,,
P9303_RS13940,,P9303_RS13940,P9303_09051,GeneMarkS-2+,821040.0,821201.0,+,,,COORDINATES: ab initio prediction:GeneMarkS-2+,hypothetical protein,WP_011825563.1,,,,,P9303_09051,821040.0,821201.0,+,CK_Pro_MIT9303_09051,,,CK_00039859,,,,,,,,hypothetical protein,,,,,,
P9303_RS04045,,P9303_RS04045,P9303_09061,GeneMarkS-2+,821214.0,821711.0,-,,,COORDINATES: ab initio prediction:GeneMarkS-2+,hypothetical protein,WP_011825564.1,,,,,P9303_09061,821214.0,821711.0,-,CK_Pro_MIT9303_09061,,,CK_00003889,,,,,,,,possible Paralytic/GBP/PSP peptide,,,,,,
P9303_RS04050,,P9303_RS04050,P9303_09071,GeneMarkS-2+,821811.0,822554.0,-,,,COORDINATES: ab initio prediction:GeneMarkS-2+,hypothetical protein,WP_011825565.1,,,,,P9303_09071,821811.0,822554.0,-,CK_Pro_MIT9303_09071,,,CK_00039858,,,,,,,,hypothetical protein,,,,,,
P9303_RS04060,,P9303_RS04060,P9303_09091,Protein Homology,824585.0,824986.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011130503.1,c-type cytochrome,WP_236069899.1,"GO:0009055,GO:0020037",,"electron transfer activity|0009055||IEA,heme binding|0020037||IEA",,P9303_09091,824585.0,824962.0,-,CK_Pro_MIT9303_09091,cytM,"GO:0009055,GO:0020037",CK_00001007,G.2,Electron transport,"COG2010,bactNOG37422,bactNOG54263,cyaNOG03651","COG: METABOLISM [C] Energy production and conversion,bactNOG: METABOLISM [C] Energy production and conversion,bactNOG: METABOLISM [C] Energy production and conversion,cyaNOG: METABOLISM [C] Energy production and conversion",,,"electron transfer activity,heme binding",cytochrome cM,"PF00034,PS51007,IPR009056","Cytochrome c,Cytochrome c family profile.,Cytochrome c-like domain",112,Energy metabolism / Electron transport,,
hisH,hisH,P9303_RS04070,P9303_09111,Protein Homology,825706.0,826347.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011130500.1,imidazole glycerol phosphate synthase subunit HisH,WP_011825569.1,"GO:0000105,GO:0000107",,imidazoleglycerol-phosphate synthase activity|0000107||IEA,L-histidine biosynthetic process|0000105||IEA,P9303_09111,825706.0,826347.0,-,CK_Pro_MIT9303_09111,hisH,"GO:0000105,GO:0006541,GO:0008652,GO:0000107,GO:0016884,GO:0016740,GO:0016763,GO:0009382,GO:0005737",CK_00000075,"A.4,D.1.9","Histidine family, Other","COG0118,bactNOG17802,bactNOG68319,cyaNOG00850","COG: METABOLISM [E] Amino acid transport and metabolism,bactNOG: METABOLISM [E] Amino acid transport and metabolism,bactNOG: METABOLISM [E] Amino acid transport and metabolism,cyaNOG: METABOLISM [E] Amino acid transport and metabolism",2.4.2.-,,"histidine biosynthetic process,glutamine metabolic process,cellular amino acid biosynthetic process,histidine biosynthetic process,glutamine metabolic process,cellular amino acid biosynthetic process,imidazoleglycerol-phosphate synthase activity,carbon-nitrogen ligase activity%2C with glutamine as amido-N-donor,transferase activity,transferase activity%2C transferring pentosyl groups,histidine biosynthetic process,glutamine metabolic process,cellular amino acid biosynthetic process,imidazoleglycerol-phosphate synthase activity,carbon-nitrogen ligase activity%2C with glutamine as amido-N-donor,transferase activity,transferase activity%2C transferring pentosyl groups,imidazoleglycerol-phosphate synthase complex,cytoplasm",imidazole glycerol phosphate synthase%2C HisH subunit,"TIGR01855,PF00117,PS51273,IPR010139,IPR017926,IPR029062","imidazole glycerol phosphate synthase%2C glutamine amidotransferase subunit,Glutamine amidotransferase class-I,Glutamine amidotransferase type 1 domain profile.,Imidazole glycerol phosphate synthase%2C subunit H,Glutamine amidotransferase,Class I glutamine amidotransferase-like",161,Amino acid biosynthesis / Histidine family,,4.3.2.10
trxA,trxA,P9303_RS04075,P9303_09121,Protein Homology,826442.0,826765.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_017312996.1,thioredoxin,WP_011130499.1,GO:0015035,,protein-disulfide reductase activity|0015035||IEA,,P9303_09121,826442.0,826765.0,-,CK_Pro_MIT9303_09121,trxA,"GO:0006125,GO:0045454,GO:0006662,GO:0030508,GO:0015035",CK_00008028,"D.1.4,G.2","Oxidative stress,Electron transport","COG3118,COG0526,bactNOG37263,cyaNOG06633,cyaNOG02928,cyaNOG07265","COG: CELLULAR PROCESSES AND SIGNALING [O] Posttranslational modification%2C protein turnover%2C chaperones,COG: OC,bactNOG: CELLULAR PROCESSES AND SIGNALING [O] Posttranslational modification%2C protein turnover%2C chaperones,cyaNOG: CELLULAR PROCESSES AND SIGNALING [O] Posttranslational modification%2C protein turnover%2C chaperones,cyaNOG: CELLULAR PROCESSES AND SIGNALING [O] Posttranslational modification%2C protein turnover%2C chaperones,cyaNOG: CELLULAR PROCESSES AND SIGNALING [O] Posttranslational modification%2C protein turnover%2C chaperones",,,"obsolete thioredoxin pathway,cell redox homeostasis,glycerol ether metabolic process,obsolete thioredoxin pathway,cell redox homeostasis,glycerol ether metabolic process,obsolete thiol-disulfide exchange intermediate activity,protein disulfide oxidoreductase activity",m-type thioredoxin,"TIGR01068,PF00085,PS00194,PS51352,IPR012336,IPR017937,IPR005746,IPR013766","thioredoxin,Thioredoxin,Thioredoxin family active site.,Thioredoxin domain profile.,Thioredoxin-like fold,Thioredoxin%2C conserved site,Thioredoxin,Thioredoxin domain",112,Energy metabolism / Electron transport,,
P9303_RS04080,,P9303_RS04080,P9303_09131,Protein Homology,826990.0,828153.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_009556227.1,GuaB3 family IMP dehydrogenase-related protein,WP_041375079.1,GO:0003938,,IMP dehydrogenase activity|0003938||IEA,,P9303_09131,826990.0,828156.0,-,CK_Pro_MIT9303_09131,guaB,"GO:0055114,GO:0006164,GO:0006177,GO:0003824,GO:0016491,GO:0003938,GO:0042802,GO:0046872",CK_00001005,M.3,Purine ribonucleotide biosynthesis,"COG0516,bactNOG01824,cyaNOG01086","COG: METABOLISM [F] Nucleotide transport and metabolism,bactNOG: METABOLISM [F] Nucleotide transport and metabolism,cyaNOG: METABOLISM [F] Nucleotide transport and metabolism",1.1.1.205,IMP dehydrogenase%3B inosine-5'-phosphate dehydrogenase%3B inosinic acid dehydrogenase%3B inosinate dehydrogenase%3B inosine 5'-monophosphate dehydrogenase%3B inosine monophosphate dehydrogenase%3B IMP oxidoreductase%3B inosine monophosphate oxidoreductase,"oxidation-reduction process,purine nucleotide biosynthetic process,GMP biosynthetic process,oxidation-reduction process,purine nucleotide biosynthetic process,GMP biosynthetic process,catalytic activity,oxidoreductase activity,IMP dehydrogenase activity,identical protein binding,metal ion binding",inositol-5-monophosphate dehydrogenase,"TIGR01304,PF00478,IPR001093,IPR005992,IPR013785","IMP dehydrogenase family protein,IMP dehydrogenase / GMP reductase domain,IMP dehydrogenase/GMP reductase,IMP dehydrogenase-related 2,Aldolase-type TIM barrel",125,Purines%2C pyrimidines%2C nucleosides%2C and nucleotides / Purine ribonucleotide biosynthesis,,
P9303_RS04085,,P9303_RS04085,P9303_09141,Protein Homology,828229.0,829368.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011130497.1,CAAD domain-containing protein,WP_011825571.1,,,,,P9303_09141,828229.0,829368.0,-,CK_Pro_MIT9303_09141,,,CK_00001632,,,"NOG137281,bactNOG69449,cyaNOG03807","bactNOG: POORLY CHARACTERIZED [S] Function unknown,cyaNOG: POORLY CHARACTERIZED [S] Function unknown",,,,conserved hypothetical protein,"PF14159,IPR025564","CAAD domains of cyanobacterial aminoacyl-tRNA synthetase,Cyanobacterial aminoacyl-tRNA synthetase%2C CAAD domain",156,Hypothetical proteins / Conserved,,
gyrA,gyrA,P9303_RS04090,P9303_09151,Protein Homology,829527.0,832154.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011825572.1,DNA gyrase subunit A,WP_011825572.1,"GO:0006259,GO:0006265,GO:0003677,GO:0003916,GO:0003918,GO:0005524",,"DNA binding|0003677||IEA,DNA topoisomerase activity|0003916||IEA,DNA topoisomerase type II (double strand cut%2C ATP-hydrolyzing) activity|0003918||IEA,ATP binding|0005524||IEA","DNA metabolic process|0006259||IEA,DNA topological change|0006265||IEA",P9303_09151,829527.0,832154.0,+,CK_Pro_MIT9303_09151,gyrA,"GO:0006265,GO:0003916,GO:0003918,GO:0009330",CK_00000028,F.1,DNA replication%2C recombination%2C and repair,"COG0188,bactNOG01176,cyaNOG00012","COG: INFORMATION STORAGE AND PROCESSING [L] Replication%2C recombination and repair,bactNOG: INFORMATION STORAGE AND PROCESSING [L] Replication%2C recombination and repair,cyaNOG: INFORMATION STORAGE AND PROCESSING [L] Replication%2C recombination and repair",5.99.1.3,Transferred to 5.6.2.2,"DNA topological change,DNA topological change,DNA topoisomerase activity,DNA topoisomerase type II (double strand cut%2C ATP-hydrolyzing) activity,DNA topological change,DNA topoisomerase activity,DNA topoisomerase type II (double strand cut%2C ATP-hydrolyzing) activity,DNA topoisomerase type II (double strand cut%2C ATP-hydrolyzing) complex",DNA gyrase%2C A subunit,"TIGR01063,PF00521,PF03989,IPR002205,IPR005743,IPR006691","DNA gyrase%2C A subunit,DNA gyrase/topoisomerase IV%2C subunit A,DNA gyrase C-terminal domain%2C beta-propeller,DNA topoisomerase%2C type IIA%2C subunit A/C-terminal,DNA gyrase%2C subunit A,DNA gyrase/topoisomerase IV%2C subunit A%2C C-terminal repeat",132,DNA metabolism / DNA replication%2C recombination%2C and repair,,5.6.2.2
crtL,crtL,P9303_RS04095,P9303_09161,Protein Homology,832157.0,833383.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011825573.1,lycopene beta cyclase,WP_011825573.1,"GO:0016117,GO:0045436",,lycopene beta cyclase activity|0045436||IEA,carotenoid biosynthetic process|0016117||IEA,P9303_09161,832157.0,833383.0,+,CK_Pro_MIT9303_09161,crtL-b,"GO:0016117,GO:0009975",CK_00000086,B.5.1,Carotenoids,"COG3634,NOG12892,COG0644,COG0654,bactNOG51188,bactNOG06866,cyaNOG09100,cyaNOG09228,cyaNOG05069","COG: CELLULAR PROCESSES AND SIGNALING [O] Posttranslational modification%2C protein turnover%2C chaperones,COG: METABOLISM [I] Lipid transport and metabolism,COG: METABOLISM [C] Energy production and conversion,COG: HC,bactNOG: METABOLISM [I] Lipid transport and metabolism,bactNOG: METABOLISM [I] Lipid transport and metabolism,cyaNOG: METABOLISM [I] Lipid transport and metabolism,cyaNOG: METABOLISM [I] Lipid transport and metabolism,cyaNOG: METABOLISM [I] Lipid transport and metabolism",5.5.1.19,lycopene beta-cyclase%3B CrtL%3B CrtL-b%3B CrtY%3B LCYb%3B carotenoid beta-end group lyase (decyclizing),"carotenoid biosynthetic process,carotenoid biosynthetic process,cyclase activity",lycopene beta cyclase,"TIGR01790,PF05834,IPR008671,IPR010108","lycopene cyclase family protein,Lycopene cyclase protein,Description not found.,Lycopene cyclase%2C beta/epsilon",76,Biosynthesis of cofactors%2C prosthetic groups%2C and carriers / Other,,5.5.1.19
P9303_RS04100,,P9303_RS04100,P9303_09171,Protein Homology,833380.0,834948.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011825574.1,glycoside hydrolase family 57 protein,WP_011825574.1,"GO:0005975,GO:0003844,GO:0004553",,"1%2C4-alpha-glucan branching enzyme activity|0003844||IEA,hydrolase activity%2C hydrolyzing O-glycosyl compounds|0004553||IEA",carbohydrate metabolic process|0005975||IEA,P9303_09171,833380.0,834948.0,-,CK_Pro_MIT9303_09171,,GO:0004556,CK_00001004,,,"COG1543,bactNOG98131,bactNOG05620,cyaNOG04786,cyaNOG00688","COG: POORLY CHARACTERIZED [S] Function unknown,bactNOG: METABOLISM [G] Carbohydrate transport and metabolism,cyaNOG: METABOLISM [G] Carbohydrate transport and metabolism,cyaNOG: METABOLISM [G] Carbohydrate transport and metabolism",2.4.1.18,1%2C4-alpha-glucan branching enzyme%3B branching enzyme%3B amylo-(1%2C4->1%2C6)-transglycosylase%3B Q-enzyme%3B alpha-glucan-branching glycosyltransferase%3B amylose isomerase%3B enzymatic branching factor%3B branching glycosyltransferase%3B enzyme Q%3B glucosan transglycosylase%3B glycogen branching enzyme%3B plant branching enzyme%3B alpha-1%2C4-glucan:alpha-1%2C4-glucan-6-glycosyltransferase%3B starch branching enzyme%3B 1%2C4-alpha-D-glucan:1%2C4-alpha-D-glucan 6-alpha-D-(1%2C4-alpha-D-glucano)-transferase,alpha-amylase activity,alpha-glucan branching enzyme,"PF09210,PF03065,IPR015293,IPR004300","Domain of unknown function (DUF1957),Glycosyl hydrolase family 57,Domain of unknown function DUF1957,Glycoside hydrolase family 57%2C N-terminal domain","105,119,706,90","Energy metabolism / Biosynthesis and degradation of polysaccharides,Energy metabolism / Sugars,Cellular processes / Biosynthesis of natural products,Cell envelope / Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides",,3.2.1.-
P9303_RS04105,,P9303_RS04105,P9303_09181,Protein Homology,835096.0,836718.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_007098257.1,2-isopropylmalate synthase,WP_011825575.1,"GO:0009098,GO:0019752,GO:0003852",,2-isopropylmalate synthase activity|0003852||IEA,"L-leucine biosynthetic process|0009098||IEA,carboxylic acid metabolic process|0019752||IEA",P9303_09181,835096.0,836718.0,+,CK_Pro_MIT9303_09181,leuA,,CK_00001003,A.5,Pyruvate family (Ala%2C Val%2C Leu),"COG0119,bactNOG00957,cyaNOG00334","COG: METABOLISM [E] Amino acid transport and metabolism,bactNOG: METABOLISM [E] Amino acid transport and metabolism,cyaNOG: METABOLISM [E] Amino acid transport and metabolism",2.3.3.13,2-isopropylmalate synthase%3B 3-carboxy-3-hydroxy-4-methylpentanoate 3-methyl-2-oxobutanoate-lyase (CoA-acetylating)%3B alpha-isopropylmalate synthetase%3B alpha-isopropylmalate synthase%3B alpha-isopropylmalic synthetase%3B isopropylmalate synthase%3B isopropylmalate synthetase,,2-isopropylmalate synthase,"TIGR00973,PF00682,PF08502,PS00815,PS00816,PS50991,IPR000891,IPR002034,IPR013709,IPR005671","2-isopropylmalate synthase,HMGL-like,LeuA allosteric (dimerisation) domain,Alpha-isopropylmalate and homocitrate synthases signature 1.,Alpha-isopropylmalate and homocitrate synthases signature 2.,Pyruvate carboxyltransferase domain.,Pyruvate carboxyltransferase,Alpha-isopropylmalate/homocitrate synthase%2C conserved site,2-isopropylmalate synthase LeuA%2C allosteric (dimerisation) domain,2-isopropylmalate synthase%2C bacterial-type",74,Amino acid biosynthesis / Pyruvate family,,2.3.3.13
P9303_RS04110,,P9303_RS04110,P9303_09191,Protein Homology,836746.0,837585.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011825576.1,carbohydrate ABC transporter permease,WP_369818037.1,"GO:0008643,GO:0055085",,,"carbohydrate transport|0008643||IEA,transmembrane transport|0055085||IEA",P9303_09191,836722.0,837585.0,+,CK_Pro_MIT9303_09191,,,CK_00001499,Q.7, Sugars,"COG0395,bactNOG03611,cyaNOG01825","COG: METABOLISM [G] Carbohydrate transport and metabolism,bactNOG: METABOLISM [G] Carbohydrate transport and metabolism,cyaNOG: METABOLISM [G] Carbohydrate transport and metabolism",,,,ABC-type sugar transport system%2C permease component,"PF00528,PS50928,IPR000515","Binding-protein-dependent transport system inner membrane component,ABC transporter integral membrane type-1 domain profile.,ABC transporter type 1%2C transmembrane domain MetI-like",141,Transport and binding proteins / Unknown substrate,,
P9303_RS04115,,P9303_RS04115,P9303_09201,Protein Homology,837653.0,838009.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011130491.1,hypothetical protein,WP_041374745.1,,,,,P9303_09201,837653.0,837961.0,-,CK_Pro_MIT9303_09201,,,CK_00054226,,,,,,,,putative hAMP domain protein,,,157,Unknown function / General,,
P9303_RS04120,,P9303_RS04120,P9303_09211,Protein Homology,838152.0,838397.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011825578.1,Nif11-like leader peptide family natural product precursor,WP_011825578.1,,,,,P9303_09211,838152.0,838397.0,+,CK_Pro_MIT9303_09211,,,CK_00001498,R.2,Conserved hypothetical proteins,"NOG130868,COG1566,COG0568,bactNOG74908,cyaNOG07945","COG: POORLY CHARACTERIZED [S] Function unknown,COG: CELLULAR PROCESSES AND SIGNALING [V] Defense mechanisms,COG: INFORMATION STORAGE AND PROCESSING [K] Transcription,bactNOG: POORLY CHARACTERIZED [S] Function unknown,cyaNOG: POORLY CHARACTERIZED [S] Function unknown",,,,nif11-like leader peptide domain protein,"TIGR03798,PF07862,IPR012903,IPR022516","nif11-like leader peptide domain,Nif11 domain,Nif11 domain,Nif11-like leader peptide","156,157","Hypothetical proteins / Conserved,Unknown function / General",,
P9303_RS04125,,P9303_RS04125,P9303_09231,Protein Homology,838914.0,839132.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011825580.1,hypothetical protein,WP_011825580.1,,,,,P9303_09231,838914.0,839132.0,+,CK_Pro_MIT9303_09231,,,CK_00001859,R.2,Conserved hypothetical proteins,,,,,,conserved hypothetical protein,,,156,Hypothetical proteins / Conserved,,
P9303_RS04130,,P9303_RS04130,P9303_09241,Protein Homology,839388.0,839693.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011130488.1,hypothetical protein,WP_071817965.1,,,,,P9303_09241,839388.0,839603.0,-,CK_Pro_MIT9303_09241,,,CK_00003790,,,,,,,,conserved hypothetical protein,,,,,,
P9303_RS04135,,P9303_RS04135,P9303_09251,GeneMarkS-2+,840146.0,840397.0,+,,,COORDINATES: ab initio prediction:GeneMarkS-2+,hypothetical protein,WP_011825582.1,,,,,P9303_09251,840146.0,840397.0,+,CK_Pro_MIT9303_09251,,,CK_00050119,,,,,,,,Hypothetical protein,,,,,,
P9303_RS04140,,P9303_RS04140,P9303_09261,Protein Homology,840529.0,841026.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011825583.1,hypothetical protein,WP_011825583.1,,,,,P9303_09261,840529.0,841026.0,+,CK_Pro_MIT9303_09261,,,CK_00002494,R.2,Conserved hypothetical proteins,,,,,,uncharacterized conserved secreted protein,,,156,Hypothetical proteins / Conserved,,
P9303_RS13945,,P9303_RS13945,P9303_09271,GeneMarkS-2+,841062.0,841223.0,+,,,COORDINATES: ab initio prediction:GeneMarkS-2+,hypothetical protein,WP_236069900.1,,,,,P9303_09271,841056.0,841223.0,+,CK_Pro_MIT9303_09271,,GO:0003677,CK_00047119,R.2,Conserved hypothetical proteins,,,,,DNA binding,conserved hypothetical protein,IPR015893,Description not found.,156,Hypothetical proteins / Conserved,,
P9303_RS13125,,P9303_RS13125,P9303_09281,GeneMarkS-2+,841281.0,841457.0,+,,,COORDINATES: ab initio prediction:GeneMarkS-2+,hypothetical protein,WP_236069901.1,,,,,P9303_09281,841260.0,841457.0,+,CK_Pro_MIT9303_09281,,,CK_00039864,,,,,,,,hypothetical protein,,,,,,
P9303_RS04150,,P9303_RS04150,P9303_09291,Protein Homology,841526.0,841933.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_006852276.1,hypothetical protein,WP_011130485.1,,,,,P9303_09291,841502.0,841933.0,+,CK_Pro_MIT9303_09291,,GO:0005975,CK_00001874,,,"COG0477,COG1966,COG0609,NOG125538,COG0591,bactNOG68312,cyaNOG07144","COG: GEPR,COG: CELLULAR PROCESSES AND SIGNALING [T] Signal transduction mechanisms,COG: METABOLISM [P] Inorganic ion transport and metabolism,COG: POORLY CHARACTERIZED [S] Function unknown,COG: ER,bactNOG: POORLY CHARACTERIZED [S] Function unknown,cyaNOG: POORLY CHARACTERIZED [S] Function unknown",3.2.1.-,,carbohydrate metabolic process,alpha-glycosidase,,,88,Cell envelope / Other,,
